<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AM,20180423,26.48,26.83,26.17,26.40,678557
AM,20180420,27.04,27.04,26.21,26.30,386716
AM,20180419,27.30,27.4589,26.64,27.00,337457
AM,20180418,27.05,27.2873,26.78,27.17,352434
AM,20180417,26.94,27.64,26.73,26.92,693771
AM,20180416,25.23,26.80,24.94,26.77,517677
AM,20180413,24.69,25.32,24.55,25.08,455899
AM,20180412,25.46,25.67,24.56,24.65,638679
AM,20180411,24.90,25.50,24.84,25.31,515175
AM,20180410,24.56,25.13,24.436,24.94,493922
AM,20180409,24.59,25.00,24.20,24.32,717614
AM,20180406,25.35,25.4199,24.32,24.71,341686
AM,20180405,25.13,25.76,25.03,25.41,265513
AM,20180404,24.96,25.22,24.75,25.10,160937
AM,20180403,25.50,25.54,24.78,25.21,510266
AM,20180402,25.77,25.77,25.07,25.49,358484
AM,20180329,25.56,26.04,25.36,25.89,422696
AM,20180328,24.86,25.62,24.59,25.47,507288
AM,20180327,25.37,25.725,24.88,24.99,405776
AM,20180326,25.21,25.49,24.70,25.16,509009
AM,20180323,25.26,25.55,24.76,25.05,465433
AM,20180322,25.72,25.84,25.26,25.31,559854
AM,20180321,25.42,25.94,25.00,25.87,549972
AM,20180320,25.59,25.69,24.9101,25.43,408646
AM,20180319,26.53,26.56,25.19,25.52,544440
AM,20180316,26.33,26.945,26.09,26.49,537965
AM,20180315,26.88,27.10,25.11,26.26,1016468
AM,20180314,27.28,27.30,26.72,26.85,362830
AM,20180313,27.57,27.7099,27.16,27.30,209979
AM,20180312,27.10,27.56,27.06,27.52,288059
AM,20180309,27.15,27.25,26.98,27.03,272582
AM,20180308,27.17,27.27,26.64,26.98,245325
AM,20180307,26.84,27.16,26.76,26.96,228355
AM,20180306,27.06,27.289,26.77,26.92,290829
AM,20180305,26.37,27.04,26.37,26.90,493863
AM,20180302,26.27,26.44,25.92,26.32,400315
AM,20180301,26.12,26.81,26.09,26.35,315435
AM,20180228,26.40,26.675,26.11,26.11,530084
AM,20180227,26.44,26.5599,26.24,26.25,444354
AM,20180226,26.54,26.85,26.20,26.30,730202
AM,20180223,26.18,26.58,25.85,26.49,658944
AM,20180222,26.58,26.655,25.995,26.05,401497
AM,20180221,26.98,26.985,26.41,26.42,742490
AM,20180220,27.70,27.98,26.80,27.01,615452
AM,20180216,27.51,27.80,27.10,27.70,591338
AM,20180215,27.915,27.915,27.19,27.68,659451
AM,20180214,28.49,28.49,27.77,27.88,646089
AM,20180213,27.96,28.31,27.47,28.25,523605
AM,20180212,28.07,28.24,27.60,28.05,527803
AM,20180209,28.07,28.07,26.95,27.75,691763
AM,20180208,29.19,29.45,27.69,27.78,472157
AM,20180207,29.82,30.53,29.15,29.21,367784
AM,20180206,28.66,30.24,28.56,29.98,295685
AM,20180205,29.26,29.85,28.77,29.23,298035
AM,20180202,29.74,30.28,29.22,29.56,451967
AM,20180201,30.40,30.5984,29.67,30.02,752470
AM,20180131,30.88,31.01,29.82,30.42,393482
AM,20180130,31.95,32.02,30.4801,31.02,743484
AM,20180129,33.00,33.115,32.01,32.13,262881
AM,20180126,33.34,33.34,32.94,33.13,193016
AM,20180125,33.16,33.37,32.795,33.16,254664
AM,20180124,33.06,33.41,32.86,32.94,369368
AM,20180123,32.75,33.175,32.595,32.99,368190
AM,20180122,31.67,32.86,31.67,32.78,417052
AM,20180119,31.49,31.74,31.34,31.70,307708
AM,20180118,30.98,31.80,30.82,31.51,538963
AM,20180117,31.90,32.00,30.71,30.95,292683
AM,20180116,31.99,32.17,31.66,31.75,432498
AM,20180112,31.59,31.85,31.191,31.75,369510
AM,20180111,31.16,31.70,30.78,31.45,827099
AM,20180110,30.86,31.08,30.40,31.04,934035
AM,20180109,30.88,31.09,30.725,30.93,261765
AM,20180108,30.68,30.91,30.47,30.83,397717
AM,20180105,30.39,30.74,30.00,30.68,375725
AM,20180104,29.94,30.34,29.8901,30.25,411505
AM,20180103,29.39,29.89,29.12,29.79,484404
AM,20180102,29.42,29.53,29.05,29.20,378333
AM,20171229,28.85,29.22,28.63,29.04,282770
AM,20171228,28.66,28.93,28.54,28.82,500674
AM,20171227,29.00,29.13,28.48,28.58,214252
AM,20171226,29.17,29.36,28.99,29.03,576632
AM,20171222,28.68,29.18,28.66,29.18,365453
AM,20171221,28.85,29.26,28.45,28.75,476428
AM,20171220,29.20,29.29,28.40,28.95,602135
AM,20171219,29.90,30.19,29.08,29.13,299148
AM,20171218,29.55,30.44,29.529,29.83,424966
AM,20171215,29.40,29.55,29.18,29.46,2081226
AM,20171214,28.77,29.60,28.77,29.34,437454
AM,20171213,28.45,29.18,28.32,28.935,369086
AM,20171212,29.08,29.39,28.39,28.56,419964
AM,20171211,28.73,29.31,28.55,29.08,368709
AM,20171208,28.66,28.735,28.27,28.63,383374
AM,20171207,28.16,28.625,27.84,28.50,242282
AM,20171206,28.48,28.55,28.14,28.28,365680
AM,20171205,27.95,28.58,27.8501,28.49,599134
AM,20171204,28.81,28.885,27.88,28.01,412293
AM,20171201,27.64,28.59,27.64,28.58,473580
AM,20171130,26.16,27.61,26.06,27.55,616396
AM,20171129,26.24,26.24,25.7518,26.09,308534
AM,20171128,25.72,26.11,25.72,26.06,250697
AM,20171127,26.31,26.3873,25.71,25.75,185476
AM,20171124,26.47,26.63,26.25,26.34,158209
AM,20171122,26.55,26.91,26.21,26.32,179765
AM,20171121,26.83,26.935,26.50,26.54,371415
AM,20171120,26.61,26.79,25.96,26.72,225780
AM,20171117,26.60,26.74,26.09,26.70,460384
AM,20171116,26.65,26.80,26.2411,26.54,148681
AM,20171115,26.19,26.61,25.74,26.48,181401
AM,20171114,26.72,26.795,26.1201,26.30,300524
AM,20171113,27.26,27.42,26.81,26.81,343763
AM,20171110,27.44,27.5106,27.18,27.40,165633
AM,20171109,27.80,28.16,27.37,27.52,138367
AM,20171108,28.49,28.59,27.81,27.85,181867
AM,20171107,27.93,28.49,27.865,28.49,163682
AM,20171106,27.91,28.15,27.6272,27.9901,175057
AM,20171103,27.46,27.86,27.29,27.78,168909
AM,20171102,28.63,28.755,27.48,27.67,524739
AM,20171101,28.90,29.19,28.64,29.08,388960
AM,20171031,28.75,28.83,27.4101,28.70,633813
AM,20171030,29.09,29.50,29.001,29.09,203016
AM,20171027,28.91,29.63,28.755,29.21,248562
AM,20171026,28.55,29.00,28.22,28.81,197468
AM,20171025,28.87,29.00,28.06,28.48,433226
AM,20171024,29.02,29.17,28.695,28.87,232471
AM,20171023,29.90,29.90,28.83,28.98,337047
AM,20171020,29.86,30.10,29.6523,29.88,208455
AM,20171019,29.71,30.02,29.567,29.83,156497
AM,20171018,29.97,30.24,29.48,29.81,448021
AM,20171017,30.41,30.64,29.83,30.05,513501
AM,20171016,31.19,31.225,30.00,30.42,620531
AM,20171013,31.41,31.70,30.92,31.11,178122
AM,20171012,31.41,31.56,31.24,31.39,164770
AM,20171011,31.51,31.71,31.41,31.52,337531
AM,20171010,32.00,32.20,31.42,31.51,176684
AM,20171009,31.90,31.97,31.64,31.73,216038
AM,20171006,31.88,31.95,31.7203,31.86,387718
AM,20171005,31.80,31.92,31.58,31.89,269186
AM,20171004,31.73,31.77,31.49,31.72,223121
AM,20171003,31.63,31.77,31.49,31.74,365651
AM,20171002,31.46,31.645,31.33,31.60,273401
AM,20170929,31.68,31.74,31.095,31.53,856876
AM,20170928,31.30,31.50,30.85,31.11,301258
AM,20170927,31.54,31.635,31.17,31.29,328505
AM,20170926,31.87,31.88,31.43,31.59,157237
AM,20170925,31.49,31.99,31.32,31.91,294401
AM,20170922,31.17,31.38,30.81,31.06,133185
AM,20170921,31.25,31.28,30.8371,31.22,133237
AM,20170920,31.36,31.47,31.15,31.28,162780
AM,20170919,31.40,31.74,31.19,31.41,471605
AM,20170918,31.13,31.37,31.07,31.36,237400
AM,20170915,31.44,31.56,30.87,31.07,497712
AM,20170914,31.44,31.57,31.29,31.47,1197330
AM,20170913,31.60,31.80,31.42,31.47,518919
AM,20170912,31.51,31.7061,31.3101,31.66,466504
AM,20170911,31.26,31.65,31.20,31.45,369180
AM,20170908,31.25,31.36,31.00,31.21,625639
AM,20170907,31.04,31.61,31.03,31.23,2967980
AM,20170906,33.69,33.71,33.23,33.59,142676
AM,20170905,33.64,33.979,33.4101,33.57,172096
AM,20170901,33.82,33.989,33.175,33.55,116848
AM,20170831,32.79,33.89,32.77,33.77,388087
AM,20170830,32.26,32.81,32.12,32.69,79688
AM,20170829,32.05,32.34,31.50,32.23,106882
AM,20170828,32.62,32.74,32.13,32.22,94810
AM,20170825,32.02,32.53,31.96,32.45,106689
AM,20170824,31.88,32.109,31.61,32.00,532381
AM,20170823,31.10,32.128,31.10,31.91,164186
AM,20170822,31.05,31.35,30.48,31.23,311010
AM,20170821,31.29,31.29,30.80,30.97,219863
AM,20170818,31.40,31.46,31.04,31.31,152865
AM,20170817,31.75,32.01,31.30,31.40,254370
AM,20170816,31.94,32.17,31.59,31.75,260410
AM,20170815,32.43,32.50,31.62,31.76,491148
AM,20170814,32.18,32.6491,32.025,32.48,219853
AM,20170811,31.84,32.36,31.34,32.07,359156
AM,20170810,32.81,32.93,32.17,32.28,332168
AM,20170809,32.81,33.10,32.70,32.81,513601
AM,20170808,33.59,33.84,32.775,32.83,280178
AM,20170807,33.98,34.20,33.82,33.82,479145
AM,20170804,34.19,34.54,33.90,34.10,200267
AM,20170803,35.04,35.10,33.93,34.17,362076
AM,20170802,34.51,35.08,34.20,35.02,203292
AM,20170801,34.33,34.61,34.02,34.52,307174
AM,20170731,34.00,34.73,33.83,34.69,335754
AM,20170728,34.32,34.49,34.00,34.10,209091
AM,20170727,34.50,34.5745,34.22,34.31,180142
AM,20170726,34.68,34.72,34.34,34.46,210848
AM,20170725,34.69,34.94,34.39,34.53,352613
AM,20170724,34.29,34.56,34.11,34.51,178643
AM,20170721,34.13,34.35,34.00,34.26,235419
AM,20170720,34.43,34.43,33.93,34.14,172557
AM,20170719,33.76,34.28,33.2202,34.10,313973
AM,20170718,33.78,33.88,33.48,33.75,272107
AM,20170717,33.22,33.89,33.22,33.70,161217
AM,20170714,32.64,33.32,32.64,33.21,118338
AM,20170713,32.69,32.7199,32.34,32.65,61198
AM,20170712,32.78,33.04,32.31,32.72,151101
AM,20170711,32.50,32.5403,32.15,32.45,121059
AM,20170710,32.72,32.72,32.21,32.51,216397
AM,20170707,32.90,32.98,32.271,32.74,296929
AM,20170706,33.64,34.08,32.98,33.09,254301
AM,20170705,33.68,33.95,33.31,33.54,853583
AM,20170703,33.28,33.88,33.26,33.73,179118
AM,20170630,33.08,33.50,32.935,33.18,552608
AM,20170629,32.28,33.10,32.28,32.95,428703
AM,20170628,31.80,32.63,31.21,32.22,589633
AM,20170627,31.62,32.25,31.53,31.75,618034
AM,20170626,30.65,31.94,30.50,31.75,571971
AM,20170623,29.82,30.64,29.82,30.55,668846
AM,20170622,29.82,30.21,29.62,29.80,301282
AM,20170621,30.19,30.28,29.776,29.83,252332
AM,20170620,31.24,31.24,29.78,30.19,410410
AM,20170619,32.58,32.69,31.10,31.24,375060
AM,20170616,32.65,32.82,32.31,32.45,285166
AM,20170615,32.89,33.13,32.39,32.55,287250
AM,20170614,33.12,33.165,32.53,32.95,380628
AM,20170613,33.07,33.33,32.98,33.20,187629
AM,20170612,33.15,33.54,32.58,33.10,432062
AM,20170609,33.06,33.40,33.03,33.21,375808
AM,20170608,33.52,33.735,33.01,33.06,380289
AM,20170607,34.70,34.835,33.60,33.71,342200
AM,20170606,34.26,34.76,34.04,34.70,257169
AM,20170605,34.40,34.71,34.26,34.45,224575
AM,20170602,35.15,35.15,34.27,34.52,264813
AM,20170601,34.77,35.55,34.75,35.13,471721
AM,20170531,34.37,34.73,34.12,34.63,222342
AM,20170530,34.65,34.78,34.01,34.54,338265
AM,20170526,34.40,34.65,34.15,34.28,132159
AM,20170525,34.66,34.79,34.12,34.34,378070
AM,20170524,34.56,34.89,34.52,34.69,235584
AM,20170523,34.13,34.76,33.94,34.72,331611
AM,20170522,34.14,34.275,33.78,34.08,355460
AM,20170519,33.75,34.17,33.63,33.97,476663
AM,20170518,34.20,34.25,33.55,33.74,402249
AM,20170517,34.53,34.88,34.38,34.40,481066
AM,20170516,34.91,35.06,34.57,34.82,271383
AM,20170515,34.79,34.9457,34.18,34.75,186290
AM,20170512,34.19,34.85,34.16,34.49,605432
AM,20170511,34.25,34.42,33.62,34.16,310489
AM,20170510,33.65,34.17,33.64,34.12,391734
AM,20170509,33.51,34.07,32.9039,33.49,169562
AM,20170508,33.53,33.89,33.171,33.56,471725
AM,20170505,32.63,33.57,32.32,33.53,258977
AM,20170504,33.77,33.78,32.10,32.78,406731
AM,20170503,34.02,34.38,33.47,33.77,180256
AM,20170502,34.51,34.84,33.88,34.17,467906
AM,20170501,33.70,34.4801,33.61,34.38,345425
AM,20170428,33.89,34.13,33.592,34.02,283088
AM,20170427,33.57,34.315,33.57,33.74,1124056
AM,20170426,33.11,34.00,33.00,33.77,644164
AM,20170425,32.65,33.21,32.555,33.09,712157
AM,20170424,32.76,32.76,32.34,32.63,429066
AM,20170421,32.68,32.69,32.25,32.55,173178
AM,20170420,32.69,32.84,32.37,32.67,78368
AM,20170419,32.80,32.825,32.46,32.55,191549
AM,20170418,32.68,33.06,32.37,32.83,187204
AM,20170417,32.49,32.86,32.28,32.83,120799
AM,20170413,32.98,33.025,32.30,32.43,143442
AM,20170412,33.50,33.50,32.70,33.01,220610
AM,20170411,33.58,33.58,33.03,33.39,139945
AM,20170410,33.37,33.64,33.24,33.37,97170
AM,20170407,33.81,33.945,33.20,33.29,245378
AM,20170406,33.74,33.95,33.561,33.82,209866
