<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ANFI,20180423,4.00,4.00,3.90,3.91,107520
ANFI,20180420,3.94,4.00,3.94,3.98,90303
ANFI,20180419,4.00,4.00,3.881,3.99,135688
ANFI,20180418,3.96,4.00,3.96,3.98,52773
ANFI,20180417,4.03,4.03,3.92,3.97,201655
ANFI,20180416,3.94,4.03,3.93,4.00,83470
ANFI,20180413,4.00,4.09,3.90,3.91,108498
ANFI,20180412,4.06,4.09,3.96,3.99,79473
ANFI,20180411,4.04,4.1108,4.00,4.01,144871
ANFI,20180410,4.25,4.25,4.05,4.11,227332
ANFI,20180409,4.20,4.2421,4.15,4.19,32728
ANFI,20180406,4.22,4.30,4.161,4.20,41097
ANFI,20180405,4.32,4.35,4.25,4.25,32671
ANFI,20180404,4.19,4.32,4.1701,4.32,45749
ANFI,20180403,4.17,4.25,4.15,4.21,27087
ANFI,20180402,4.19,4.25,4.07,4.10,60791
ANFI,20180329,4.12,4.24,4.12,4.17,39531
ANFI,20180328,4.29,4.29,4.07,4.12,48937
ANFI,20180327,4.21,4.39,4.20,4.27,62921
ANFI,20180326,4.19,4.22,4.04,4.19,67583
ANFI,20180323,4.17,4.22,4.07,4.11,38994
ANFI,20180322,4.22,4.28,4.06,4.21,106276
ANFI,20180321,4.27,4.32,4.20,4.26,50627
ANFI,20180320,4.34,4.34,4.23,4.28,53125
ANFI,20180319,4.42,4.42,4.25,4.32,60090
ANFI,20180316,4.35,4.40,4.3101,4.40,89579
ANFI,20180315,4.35,4.43,4.31,4.34,64850
ANFI,20180314,4.30,4.41,4.26,4.39,130940
ANFI,20180313,4.18,4.275,4.161,4.24,35080
ANFI,20180312,4.20,4.31,4.12,4.19,96398
ANFI,20180309,4.19,4.24,4.14,4.17,46658
ANFI,20180308,4.17,4.31,4.00,4.14,139812
ANFI,20180307,4.27,4.35,4.18,4.19,66645
ANFI,20180306,4.17,4.31,4.17,4.29,147969
ANFI,20180305,4.14,4.20,4.14,4.18,51799
ANFI,20180302,4.11,4.20,4.11,4.13,126596
ANFI,20180301,4.05,4.15,4.02,4.12,88284
ANFI,20180228,4.06,4.06,4.02,4.04,68435
ANFI,20180227,3.99,4.08,3.99,4.02,65661
