<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AON,20180503,138.98,140.31,137.30,140.00,691360
AON,20180502,142.15,142.73,139.67,139.79,731190
AON,20180501,142.29,143.12,141.32,142.86,351943
AON,20180430,144.14,144.61,142.43,142.47,536615
AON,20180427,143.00,144.52,142.82,144.23,496424
AON,20180426,142.73,144.62,140.96,143.50,845689
AON,20180425,142.20,142.38,140.99,142.00,674011
AON,20180424,143.84,144.395,141.69,142.33,824204
AON,20180423,144.46,145.00,143.48,143.78,629989
AON,20180420,145.24,145.72,143.30,144.04,779852
AON,20180419,144.24,145.58,143.68,144.82,594182
AON,20180418,144.70,144.775,143.70,144.20,522127
AON,20180417,144.18,144.67,143.28,144.08,651413
AON,20180416,143.14,145.69,142.25,143.78,504385
AON,20180413,142.48,143.34,141.64,142.02,509626
AON,20180412,140.71,142.61,140.67,141.60,731552
AON,20180411,139.00,140.20,138.7901,140.04,607569
AON,20180410,140.06,141.18,139.31,140.16,539977
AON,20180409,138.62,140.81,137.97,139.01,796096
AON,20180406,139.21,140.38,137.07,138.20,520436
AON,20180405,140.75,141.145,139.62,140.17,499375
AON,20180404,137.55,140.39,137.09,140.13,465394
AON,20180403,138.61,139.43,137.30,138.74,557549
AON,20180402,140.89,141.2299,136.49,138.19,900817
AON,20180329,140.29,141.98,139.18,140.77,571285
AON,20180328,139.12,140.5499,138.40,139.46,703741
AON,20180327,140.80,141.93,137.941,138.82,1021974
AON,20180326,138.22,141.10,137.92,140.80,732822
AON,20180323,139.77,140.72,137.13,137.17,1105418
AON,20180322,142.54,143.8099,139.12,139.31,1293879
AON,20180321,145.29,145.48,143.41,143.41,1112043
AON,20180320,145.63,146.12,144.93,145.28,698157
AON,20180319,146.00,146.92,144.40,145.00,615783
AON,20180316,144.84,146.49,144.79,145.97,1097034
AON,20180315,145.13,145.5911,143.94,144.97,1238948
AON,20180314,146.72,146.72,143.83,144.22,994756
AON,20180313,146.72,147.09,145.67,145.96,687095
AON,20180312,148.20,148.44,145.58,146.31,788323
AON,20180309,145.00,148.16,144.98,148.03,1079932
AON,20180308,143.00,144.75,142.305,144.23,585373
AON,20180307,140.99,142.92,140.69,142.49,665864
AON,20180306,141.42,142.26,139.19,142.17,668091
AON,20180305,137.79,141.97,136.63,141.38,724781
AON,20180302,136.82,138.68,136.30,138.49,657771
AON,20180301,140.12,141.16,137.00,137.45,864967
AON,20180228,143.01,144.27,140.28,140.28,922783
AON,20180227,142.94,144.31,142.42,142.46,1122270
AON,20180226,142.38,143.32,141.52,143.30,749019
AON,20180223,139.72,142.04,138.41,141.91,829219
AON,20180222,139.93,140.01,137.70,139.08,1007149
AON,20180221,140.63,142.06,139.325,139.37,789405
AON,20180220,140.23,141.98,139.89,140.72,669031
AON,20180216,140.36,141.65,139.79,140.86,930786
AON,20180215,140.22,141.32,139.87,140.89,917447
AON,20180214,138.79,140.60,138.20,139.99,1053526
AON,20180213,139.03,139.8858,137.92,139.23,808886
AON,20180212,138.75,140.97,138.29,139.96,962520
AON,20180209,137.50,138.80,134.79,137.89,1513928
AON,20180208,140.28,141.16,135.93,136.08,1407528
AON,20180207,139.65,142.63,139.35,140.55,1430103
AON,20180206,137.63,140.36,135.49,139.92,2609192
AON,20180205,143.54,144.99,139.77,140.39,1666172
AON,20180202,143.21,147.98,140.63,143.58,1600439
AON,20180201,142.00,144.57,140.96,144.48,995781
AON,20180131,141.39,142.97,140.79,142.195,1015777
AON,20180130,142.17,143.375,141.09,141.77,1028580
AON,20180129,142.95,143.24,141.38,142.34,827880
AON,20180126,140.05,143.48,139.55,143.47,892033
AON,20180125,138.85,139.98,138.17,139.55,793976
AON,20180124,137.84,139.26,136.50,138.99,788693
AON,20180123,135.87,138.68,135.67,137.42,796185
AON,20180122,135.20,136.17,134.77,135.98,859307
AON,20180119,135.64,135.83,134.38,135.20,819523
AON,20180118,136.07,136.08,133.41,135.08,850834
AON,20180117,135.15,136.98,134.88,136.50,698327
AON,20180116,136.39,136.75,134.29,134.54,893326
AON,20180112,135.89,137.29,134.61,136.55,711615
AON,20180111,136.51,136.62,134.92,135.22,451630
AON,20180110,137.01,137.42,135.69,136.66,964422
AON,20180109,136.73,138.28,136.37,136.94,888778
AON,20180108,135.83,136.79,135.19,136.58,763888
AON,20180105,135.40,136.70,134.975,136.57,664391
AON,20180104,134.55,136.53,133.8536,135.42,1173858
AON,20180103,131.48,133.72,130.87,133.59,838783
AON,20180102,134.25,134.75,131.25,131.49,691541
AON,20171229,134.85,135.29,133.97,134.04,309379
AON,20171228,134.50,134.68,133.68,134.52,569062
AON,20171227,133.61,134.13,133.15,133.92,529488
AON,20171226,133.66,133.91,133.11,133.30,356912
AON,20171222,134.99,135.58,133.20,133.36,979339
AON,20171221,136.87,137.36,135.18,135.34,680232
AON,20171220,137.63,137.65,136.31,136.39,622516
AON,20171219,137.43,138.305,136.22,136.87,1047578
AON,20171218,138.57,139.62,136.90,137.25,875572
AON,20171215,137.53,139.65,137.305,138.39,2249717
AON,20171214,136.68,137.37,135.98,136.58,1127726
AON,20171213,138.30,138.66,136.47,136.57,812072
AON,20171212,138.85,138.97,138.12,138.50,840921
AON,20171211,138.24,138.69,137.80,138.30,819862
AON,20171208,138.99,138.99,138.00,138.49,488435
AON,20171207,138.80,139.14,137.33,138.45,559363
AON,20171206,139.68,139.68,138.75,139.11,546247
AON,20171205,139.87,139.87,138.27,139.24,774131
AON,20171204,142.94,143.39,139.58,139.68,1060328
AON,20171201,140.73,142.56,139.70,142.24,1190345
AON,20171130,141.20,141.31,139.24,140.22,2091414
AON,20171129,140.01,141.19,139.96,140.47,696882
AON,20171128,138.26,140.55,138.14,139.94,643615
AON,20171127,138.55,138.90,138.11,138.12,1049924
AON,20171124,139.63,139.77,138.34,138.63,685934
AON,20171122,141.55,141.95,139.09,139.24,808917
AON,20171121,142.05,142.07,141.14,141.44,865485
AON,20171120,141.67,142.39,140.89,142.05,778889
AON,20171117,140.78,141.4899,140.09,141.18,676460
AON,20171116,143.16,143.5933,141.22,141.28,794750
AON,20171115,143.29,143.99,142.55,142.83,728114
AON,20171114,141.74,143.77,141.43,143.54,583801
AON,20171113,142.56,144.09,141.825,141.89,747919
AON,20171110,142.84,144.02,142.4101,143.25,767714
AON,20171109,140.59,143.59,140.07,143.46,1071375
AON,20171108,140.64,141.22,139.86,140.87,1100220
AON,20171107,140.28,140.985,139.89,140.11,885232
AON,20171106,138.54,141.40,138.25,140.18,1077264
AON,20171103,138.88,139.24,137.91,138.64,1297415
AON,20171102,142.92,143.29,137.85,138.96,2388668
AON,20171101,143.82,144.71,142.69,142.84,835436
AON,20171031,142.73,144.62,142.69,143.43,1136023
AON,20171030,143.47,145.53,143.00,143.45,1218804
AON,20171027,146.75,147.98,144.91,146.18,1454872
AON,20171026,152.15,152.15,149.80,151.21,1208599
AON,20171025,151.90,152.34,150.88,151.65,688685
AON,20171024,151.91,152.78,151.85,152.38,563849
AON,20171023,151.66,152.47,151.28,151.95,395658
AON,20171020,151.65,151.845,150.98,151.50,444662
AON,20171019,149.32,150.86,148.9186,150.82,434482
AON,20171018,149.25,149.96,148.84,149.60,736024
AON,20171017,150.04,150.15,148.50,149.20,593540
AON,20171016,149.95,150.16,148.89,149.95,346315
AON,20171013,149.52,150.12,148.93,149.36,411259
AON,20171012,147.59,149.50,147.55,149.24,1180965
AON,20171011,147.66,147.81,146.94,147.77,586673
AON,20171010,147.32,147.65,147.00,147.63,627709
