<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
APA,20180706,42.39,42.73,41.95,42.66,1575850
APA,20180705,42.39,42.73,41.95,42.66,1575850
APA,20180703,42.39,42.73,41.95,42.66,1575850
APA,20180702,42.39,42.73,41.95,42.66,1575850
APA,20180629,42.39,42.73,41.95,42.66,1575850
APA,20180628,42.39,42.73,41.95,42.66,1575850
APA,20180627,42.39,42.73,41.95,42.66,1575850
APA,20180626,42.39,42.73,41.95,42.66,1575850
APA,20180625,42.39,42.73,41.95,42.66,1575850
APA,20180622,42.39,42.73,41.95,42.66,1575850
APA,20180621,42.39,42.73,41.95,42.66,1575850
APA,20180620,42.39,42.73,41.95,42.66,1575850
APA,20180619,42.39,42.73,41.95,42.66,1575850
APA,20180618,42.39,42.73,41.95,42.66,1575850
APA,20180615,42.39,42.73,41.95,42.66,1575850
APA,20180614,42.39,42.73,41.95,42.66,1575850
APA,20180613,42.39,42.73,41.95,42.66,1575850
APA,20180612,42.39,42.73,41.95,42.66,1575850
APA,20180611,42.39,42.73,41.95,42.66,1575850
APA,20180608,42.39,42.73,41.95,42.66,1575850
APA,20180607,42.39,42.73,41.95,42.66,1575850
APA,20180606,42.39,42.73,41.95,42.66,1575850
APA,20180605,42.39,42.73,41.95,42.66,1575850
APA,20180604,42.39,42.73,41.95,42.66,1575850
APA,20180601,42.39,42.73,41.95,42.66,1575850
APA,20180531,42.39,42.73,41.95,42.66,1575850
APA,20180530,42.39,42.73,41.95,42.66,1575850
APA,20180529,42.39,42.73,41.95,42.66,1575850
APA,20180525,42.39,42.73,41.95,42.66,1575850
APA,20180524,42.39,42.73,41.95,42.66,1575850
APA,20180523,42.39,42.73,41.95,42.66,1575850
APA,20180522,42.39,42.73,41.95,42.66,1575850
APA,20180521,42.39,42.73,41.95,42.66,1575850
APA,20180518,42.39,42.73,41.95,42.66,1575850
APA,20180517,42.39,42.73,41.95,42.66,1575850
APA,20180516,42.39,42.73,41.95,42.66,1575850
APA,20180515,42.2,42.54,41.87,42.52,1797417
APA,20180514,41.71,42.52,41.67,42.33,1989438
APA,20180511,41.66,41.76,41.165,41.42,1831947
APA,20180510,41.59,41.89,41.14,41.64,2689493
APA,20180509,40.95,42.24,40.8,41.25,4181647
APA,20180508,39.37,40.13,38.56,40.12,4067327
APA,20180507,40.01,41.32,39.35,39.47,3539372
APA,20180504,38.6,39.8,38.49,39.49,3493644
APA,20180503,41.33,41.53,38.0725,38.54,6940650
APA,20180502,40.38,41.59,40.07,41.06,3935456
APA,20180501,40.63,40.76,40.01,40.45,2173886
APA,20180430,40.01,41.21,39.95,40.95,3615923
APA,20180427,40.58,40.83,40.08,40.18,3302580
APA,20180426,40.93,41.31,40.46,40.88,3184599
APA,20180425,40.46,41.39,40.17,41.0,4007976
APA,20180424,41.49,42.04,40.59,40.64,3898766
APA,20180423,41.11,41.53,40.45,41.53,4282945
APA,20180420,41.58,41.7,40.95,41.45,4948907
APA,20180419,43.01,43.34,41.99,42.03,4262383
APA,20180418,41.87,43.37,41.78,42.84,4113526
APA,20180417,40.9,41.57,40.56,41.35,3486359
APA,20180416,40.27,40.99,39.99,40.78,2997256
APA,20180413,39.68,41.05,39.68,40.62,4319103
APA,20180412,39.72,39.84,39.17,39.38,3108257
APA,20180411,38.99,39.95,38.79,39.64,3446958
APA,20180410,39.03,39.695,38.935,39.28,7380495
APA,20180409,38.61,39.305,38.32,38.45,3511943
APA,20180406,38.47,38.7125,37.8,38.34,4544911
APA,20180405,38.35,39.34,38.27,38.75,4662953
APA,20180404,37.42,38.23,37.35,38.19,6752986
APA,20180403,38.17,38.2,36.8,38.0,6429201
APA,20180402,38.18,38.36,37.22,37.9,5412027
APA,20180329,37.55,38.62,37.36,38.48,5887291
APA,20180328,37.65,38.03,37.09,37.35,5978453
APA,20180327,37.45,37.58,36.73,37.48,6168363
APA,20180326,37.68,37.68,36.15,37.28,3326562
APA,20180323,37.51,37.99,36.88,37.01,5423899
APA,20180322,37.65,38.01,37.1,37.28,4983028
APA,20180321,36.46,38.36,36.33,38.1,3975157
APA,20180320,35.88,36.435,35.53,36.27,4478786
APA,20180319,35.66,35.99,35.275,35.57,7027534
APA,20180316,35.43,36.305,35.21,36.14,6863717
APA,20180315,35.88,36.49,35.11,35.34,4535687
APA,20180314,35.6,36.13,35.5,35.65,4005962
APA,20180313,35.54,35.95,35.14,35.46,3160999
APA,20180312,35.41,35.88,35.22,35.41,2700144
APA,20180309,35.29,35.69,35.135,35.32,2957164
APA,20180308,34.75,35.09,34.54,34.96,3077577
APA,20180307,34.8,35.45,34.45,34.65,4215724
APA,20180306,35.58,35.68,35.02,35.36,4357403
APA,20180305,34.44,35.565,34.44,35.21,3202602
APA,20180302,33.92,34.84,33.6,34.78,3818586
APA,20180301,34.24,34.75,33.9,34.27,5291691
APA,20180228,35.0,35.26,34.04,34.15,7129128
APA,20180227,35.89,36.47,34.79,34.8,5002350
APA,20180226,36.39,36.71,35.65,35.98,4918470
APA,20180223,35.0,36.285,34.8,36.13,7485352
APA,20180222,38.25,38.4399,34.5,34.85,12382188
APA,20180221,38.02,38.19,37.05,37.2,6315029
APA,20180220,38.29,38.74,38.04,38.3,2768598
APA,20180216,37.76,38.74,37.42,38.11,3671658
APA,20180215,38.24,38.39,37.09,38.1,3497299
APA,20180214,37.0,38.4,36.88,38.2,4109993
APA,20180213,37.7,37.95,37.3,37.7,4020393
APA,20180212,37.7,38.45,36.68,38.11,5027060
APA,20180209,38.16,38.5,35.7,37.23,5233361
APA,20180208,39.68,40.074,37.72,37.73,4675881
APA,20180207,41.18,41.9722,39.33,39.54,4825994
APA,20180206,40.03,41.73,39.65,41.12,5036896
APA,20180205,42.02,42.93,40.71,40.93,3484321
APA,20180202,44.0,44.2,42.34,42.82,4676992
APA,20180201,45.02,45.355,44.37,44.69,3464342
APA,20180131,44.64,45.48,44.48,44.87,4005478
APA,20180130,45.8,46.0,44.22,44.57,5207837
APA,20180129,47.69,47.95,46.58,46.6499,2495082
APA,20180126,47.62,48.09,47.21,48.08,2621188
APA,20180125,48.65,48.97,47.42,47.45,3673911
APA,20180124,47.87,48.8,47.47,48.12,4783285
APA,20180123,47.99,48.32,46.82,47.77,3856513
APA,20180122,46.38,47.69,46.26,47.66,2836896
APA,20180119,46.47,46.83,45.69,46.05,2952906
APA,20180118,46.37,46.89,45.81,46.7,2428755
APA,20180117,46.36,46.94,45.52,46.53,2426592
APA,20180116,47.35,47.59,45.96,46.27,4011986
APA,20180112,46.17,47.35,46.01,47.16,3328623
APA,20180111,44.37,46.97,44.2,46.0,6115854
APA,20180110,44.71,44.9,43.9,43.99,3185211
APA,20180109,45.66,45.85,44.26,44.55,4693713
APA,20180108,46.39,47.0,45.23,45.92,3418161
APA,20180105,46.54,46.99,45.94,46.39,4088045
APA,20180104,45.53,46.87,44.78,46.84,3715520
APA,20180103,44.5,46.04,44.44,45.33,3524889
APA,20180102,42.65,44.46,42.54,44.3,3561193
APA,20171229,43.02,43.19,42.13,42.22,2874581
APA,20171228,42.83,43.0699,42.67,42.87,1884635
APA,20171227,43.3,43.35,42.62,42.89,1519546
APA,20171226,43.13,43.7,42.85,43.36,1761078
APA,20171222,43.4,43.56,42.591,42.91,2286859
APA,20171221,41.22,43.47,40.91,43.31,4635068
APA,20171220,40.66,41.36,40.05,41.26,2629990
APA,20171219,40.05,40.919,39.89,40.25,2097769
APA,20171218,39.6,40.15,39.2,39.92,3096289
APA,20171215,39.66,40.09,39.27,39.47,4121616
APA,20171214,39.62,40.23,39.35,39.42,2807940
APA,20171213,39.83,40.39,39.45,39.8,3096913
APA,20171212,40.49,40.79,39.32,39.72,3517654
APA,20171211,40.91,42.15,40.08,40.19,4802383
APA,20171208,41.128,41.4,40.59,40.7,3081994
APA,20171207,40.55,41.2354,40.43,40.63,1989512
APA,20171206,41.82,41.87,40.47,40.57,2389447
APA,20171205,43.04,43.24,42.03,42.15,1614146
APA,20171204,43.99,44.75,43.12,43.21,2474633
APA,20171201,42.28,44.7689,42.24,44.22,4867402
APA,20171130,41.01,42.09,41.0,41.82,2590543
APA,20171129,40.1,41.1,40.09,40.73,1319495
APA,20171128,39.9,40.34,39.52,40.27,1899287
APA,20171127,40.97,41.18,39.74,39.86,2701485
APA,20171124,41.77,41.93,41.11,41.14,925862
APA,20171122,41.93,42.38,41.53,41.54,1823341
APA,20171121,41.33,41.9,41.24,41.44,1775451
APA,20171120,40.97,41.55,40.701,41.07,2438651
APA,20171117,40.85,41.36,40.66,41.18,1871317
APA,20171116,41.11,41.24,40.2,40.49,2187821
APA,20171115,41.32,41.585,40.72,41.03,2547824
APA,20171114,43.05,43.19,41.85,41.88,2215728
APA,20171113,44.0,44.0,43.25,43.49,1716072
APA,20171110,45.21,45.3552,44.0301,44.13,2024430
APA,20171109,44.32,45.63,44.14,45.24,3013275
APA,20171108,45.11,45.29,44.11,44.51,3064493
APA,20171107,45.92,46.47,45.08,45.19,2935321
APA,20171106,43.12,45.75,43.01,45.74,4961767
APA,20171103,41.77,43.2,41.69,42.75,2862680
APA,20171102,41.64,43.48,41.38,41.68,3242495
APA,20171101,41.77,42.69,41.52,42.23,3121990
APA,20171031,40.8,41.53,40.5205,41.37,1824900
APA,20171030,40.82,41.5,40.49800000000001,40.81,2050500
APA,20171027,39.18,40.9737,39.11,40.74,3352713
APA,20171026,39.56,40.0,38.895,39.59,2909823
APA,20171025,39.88,39.99,38.97,39.51,3626804
APA,20171024,40.47,40.819,39.8001,40.14,4517991
APA,20171023,41.56,41.8598,40.28,40.3,4378385
APA,20171020,42.05,42.15,41.47,41.53,4101045
APA,20171019,42.1,42.95,42.02,42.15,3397621
APA,20171018,42.8,43.61,42.52,42.65,3822929
APA,20171017,42.57,43.16,42.19,42.76,3071513
APA,20171016,42.0,42.77,41.7,42.73,3845716
APA,20171013,42.04,42.07899999999999,41.1291,41.6,2707125
APA,20171012,41.51,41.74,40.36,41.41,5578972
APA,20171011,42.55,42.76,41.7,41.96,4507874
APA,20171010,45.04,45.26,42.41,42.47,9147237
APA,20171009,45.34,45.91,44.9,45.86,2048376
APA,20171006,45.25,45.73,44.67,45.17,2278954
APA,20171005,45.19,45.96,45.05,45.82,1781685
APA,20171004,45.46,45.681,44.75,45.14,3435523
