<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ASX,20180516,5.24,5.32,5.24,5.32,469119
ASX,20180515,5.23,5.28,5.22,5.25,753014
ASX,20180514,5.31,5.35,5.27,5.30,303460
ASX,20180511,5.34,5.38,5.30,5.34,519909
ASX,20180510,5.16,5.29,5.16,5.28,565216
ASX,20180509,5.11,5.14,5.07,5.14,512462
ASX,20180508,5.06,5.13,5.05,5.11,1420294
ASX,20180507,5.33,5.33,5.085,5.15,1562054
ASX,20180504,5.21,5.42,5.20,5.37,752354
ASX,20180503,4.75,5.05,4.75,4.98,514418
ASX,20180502,5.21,5.22,4.93,4.93,743274
ASX,20180501,5.47,5.84,5.35,5.52,214087
ASX,20180418,7.52,7.52,7.52,7.52,0
ASX,20180417,7.52,7.545,7.42,7.52,940362
ASX,20180416,7.56,7.68,7.56,7.63,928697
ASX,20180413,7.41,7.47,7.41,7.44,1031695
ASX,20180412,7.21,7.30,7.16,7.28,952295
ASX,20180411,7.18,7.22,7.16,7.17,624734
ASX,20180410,7.15,7.21,7.11,7.21,615675
ASX,20180409,7.18,7.22,7.10,7.10,653486
ASX,20180406,7.10,7.14,7.02,7.05,623652
ASX,20180405,7.18,7.185,7.10,7.11,484682
ASX,20180404,7.06,7.14,7.02,7.14,497234
ASX,20180403,7.17,7.1999,7.105,7.15,569821
ASX,20180402,7.24,7.24,7.12,7.13,638008
ASX,20180329,7.27,7.30,7.23,7.26,770474
ASX,20180328,7.31,7.403,7.28,7.30,1505254
ASX,20180327,7.28,7.4099,7.18,7.19,2318665
ASX,20180326,7.20,7.26,7.14,7.26,499389
ASX,20180323,7.23,7.23,7.11,7.12,718409
ASX,20180322,7.29,7.29,7.19,7.23,751084
ASX,20180321,7.37,7.42,7.36,7.38,765464
ASX,20180320,7.20,7.25,7.17,7.21,1086117
ASX,20180319,7.22,7.24,7.155,7.21,612266
ASX,20180316,7.28,7.29,7.19,7.22,701340
ASX,20180315,7.33,7.34,7.24,7.25,651818
ASX,20180314,7.33,7.35,7.30,7.35,660714
ASX,20180313,7.44,7.49,7.29,7.31,961923
ASX,20180312,7.50,7.52,7.46,7.47,1387248
ASX,20180309,7.37,7.51,7.37,7.48,1928403
ASX,20180308,7.27,7.34,7.27,7.34,638444
ASX,20180307,7.14,7.19,7.10,7.18,741024
ASX,20180306,7.14,7.20,7.12,7.15,734774
ASX,20180305,6.96,7.0672,6.9463,7.03,775237
ASX,20180302,6.92,7.06,6.88,7.06,862531
ASX,20180301,6.95,6.98,6.84,6.91,988763
ASX,20180228,6.87,6.88,6.80,6.82,675342
ASX,20180227,6.88,6.91,6.84,6.85,443389
ASX,20180226,6.90,6.93,6.85,6.91,556893
ASX,20180223,6.84,6.925,6.81,6.91,432931
ASX,20180222,6.85,6.85,6.78,6.80,541967
ASX,20180221,6.91,6.9499,6.875,6.89,474230
ASX,20180220,6.85,6.87,6.7838,6.86,659186
ASX,20180216,6.89,6.91,6.85,6.88,425465
ASX,20180215,6.88,6.91,6.80,6.89,316179
ASX,20180214,6.70,6.838,6.651,6.82,658787
ASX,20180213,6.74,6.76,6.67,6.72,313884
ASX,20180212,6.69,6.77,6.64,6.73,667909
ASX,20180209,6.57,6.69,6.50,6.64,1299021
ASX,20180208,6.76,6.76,6.54,6.55,1230416
ASX,20180207,6.85,6.85,6.73,6.73,1037464
ASX,20180206,6.76,6.99,6.71,6.98,1383445
ASX,20180205,7.06,7.125,6.92,6.93,1129315
ASX,20180202,7.15,7.245,7.09,7.12,1460422
ASX,20180201,7.05,7.18,7.00,7.06,867738
ASX,20180131,7.19,7.19,7.115,7.15,683070
ASX,20180130,7.17,7.19,7.13,7.18,471492
ASX,20180129,7.25,7.25,7.17,7.20,505130
ASX,20180126,7.22,7.25,7.18,7.24,737013
ASX,20180125,7.19,7.19,7.09,7.10,860217
ASX,20180124,7.30,7.335,7.21,7.24,1211644
ASX,20180123,7.29,7.29,7.21,7.25,1053025
ASX,20180122,7.27,7.33,7.25,7.32,1138772
ASX,20180119,7.19,7.23,7.18,7.22,1021671
ASX,20180118,7.06,7.21,7.06,7.14,940543
ASX,20180117,7.01,7.11,7.01,7.06,1562502
ASX,20180116,6.93,6.94,6.82,6.85,1153855
ASX,20180112,6.65,6.66,6.59,6.66,503715
ASX,20180111,6.59,6.66,6.59,6.65,791832
ASX,20180110,6.68,6.68,6.57,6.59,416898
ASX,20180109,6.73,6.73,6.65,6.67,1055678
ASX,20180108,6.70,6.70,6.65,6.66,704964
ASX,20180105,6.67,6.71,6.65,6.70,786476
ASX,20180104,6.68,6.71,6.66,6.69,839043
ASX,20180103,6.61,6.65,6.60,6.62,460700
ASX,20180102,6.52,6.62,6.52,6.62,544547
ASX,20171229,6.42,6.52,6.42,6.48,453155
ASX,20171228,6.36,6.39,6.35,6.38,391785
ASX,20171227,6.31,6.34,6.30,6.34,483692
