<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AWF,20180423,11.81,11.85,11.77,11.78,255063
AWF,20180420,11.86,11.8785,11.80,11.80,175567
AWF,20180419,11.91,11.91,11.83,11.85,175348
AWF,20180418,11.91,11.96,11.875,11.92,299698
AWF,20180417,11.88,11.93,11.8753,11.89,164712
AWF,20180416,11.85,11.90,11.8204,11.87,209141
AWF,20180413,11.86,11.87,11.82,11.83,158280
AWF,20180412,11.86,11.88,11.85,11.86,127952
AWF,20180411,11.85,11.88,11.83,11.83,119714
AWF,20180410,11.82,11.88,11.79,11.87,205306
AWF,20180409,11.80,11.87,11.74,11.77,517632
AWF,20180406,11.85,11.85,11.78,11.79,194149
AWF,20180405,11.89,11.89,11.84,11.86,180023
AWF,20180404,11.88,11.92,11.86,11.91,147057
AWF,20180403,11.93,11.93,11.87,11.90,143778
AWF,20180402,11.89,11.92,11.87,11.92,203507
AWF,20180329,11.87,11.91,11.8491,11.89,188235
AWF,20180328,11.88,11.88,11.82,11.85,186816
AWF,20180327,11.90,11.90,11.84,11.85,180695
AWF,20180326,11.85,11.89,11.83,11.89,204991
AWF,20180323,11.88,11.90,11.82,11.83,170519
AWF,20180322,11.89,11.89,11.87,11.89,111535
AWF,20180321,11.91,11.93,11.89,11.91,151593
AWF,20180320,11.90,11.93,11.90,11.92,95228
AWF,20180319,11.97,11.9799,11.90,11.91,197390
AWF,20180316,11.98,12.00,11.9512,12.00,127670
AWF,20180315,12.00,12.02,11.94,11.96,152421
AWF,20180314,11.99,12.04,11.9788,12.02,149129
AWF,20180313,12.02,12.05,11.95,11.96,196260
AWF,20180312,12.01,12.04,11.97,12.01,195305
AWF,20180309,11.95,12.0189,11.95,12.01,184114
AWF,20180308,11.94,11.98,11.92,11.93,147093
AWF,20180307,11.95,11.98,11.92,11.94,172370
AWF,20180306,11.95,11.99,11.9461,11.99,117331
AWF,20180305,11.91,11.97,11.91,11.94,241626
AWF,20180302,11.96,11.98,11.92,11.94,277528
AWF,20180301,12.00,12.0175,11.95,11.99,204078
AWF,20180228,12.10,12.11,12.04,12.04,165008
AWF,20180227,12.08,12.12,12.06,12.06,130472
AWF,20180226,12.11,12.14,12.09,12.09,183308
AWF,20180223,12.10,12.125,12.08,12.12,142831
AWF,20180222,12.13,12.14,12.06,12.09,158160
AWF,20180221,12.13,12.17,12.12,12.13,195876
AWF,20180220,12.07,12.12,12.05,12.12,295939
AWF,20180216,12.05,12.09,12.04,12.07,218918
AWF,20180215,12.05,12.08,12.02,12.06,145149
AWF,20180214,11.96,12.06,11.88,12.02,305568
AWF,20180213,11.98,12.01,11.96,11.99,123794
AWF,20180212,11.93,12.04,11.92,12.00,315487
AWF,20180209,12.03,12.07,11.85,11.90,545987
AWF,20180208,12.12,12.12,11.98,12.00,415980
AWF,20180207,12.01,12.22,12.01,12.06,462639
AWF,20180206,11.94,12.09,11.94,12.04,538726
AWF,20180205,12.36,12.36,11.98,12.04,539026
AWF,20180202,12.40,12.40,12.30,12.37,297290
AWF,20180201,12.39,12.44,12.38,12.42,138163
AWF,20180131,12.49,12.50,12.44,12.44,234614
AWF,20180130,12.51,12.51,12.41,12.44,397511
AWF,20180129,12.63,12.63,12.54,12.54,194919
AWF,20180126,12.65,12.67,12.6377,12.67,199873
AWF,20180125,12.64,12.67,12.5999,12.65,240718
AWF,20180124,12.62,12.65,12.59,12.60,334976
AWF,20180123,12.64,12.64,12.61,12.64,193485
AWF,20180122,12.58,12.64,12.575,12.60,270398
AWF,20180119,12.60,12.64,12.57,12.57,196780
AWF,20180118,12.62,12.75,12.58,12.58,244514
AWF,20180117,12.67,12.6872,12.63,12.63,146284
AWF,20180116,12.68,12.71,12.65,12.66,358454
AWF,20180112,12.70,12.75,12.66,12.66,178703
AWF,20180111,12.67,12.73,12.67,12.72,161730
AWF,20180110,12.70,12.7066,12.62,12.63,273487
AWF,20180109,12.73,12.77,12.70,12.70,220395
AWF,20180108,12.79,12.79,12.75,12.75,206192
AWF,20180105,12.79,12.80,12.76,12.77,197816
AWF,20180104,12.76,12.82,12.74,12.77,467527
AWF,20180103,12.75,12.81,12.75,12.81,322242
AWF,20180102,12.77,12.83,12.72,12.75,310678
AWF,20171229,12.79,12.84,12.76,12.76,204389
AWF,20171228,12.80,12.83,12.77,12.79,135367
AWF,20171227,12.80,12.85,12.7999,12.82,138846
AWF,20171226,12.73,12.84,12.73,12.79,208460
AWF,20171222,12.73,12.81,12.73,12.75,220328
AWF,20171221,12.75,12.78,12.71,12.75,336195
AWF,20171220,12.76,12.80,12.74,12.78,181707
AWF,20171219,12.75,12.79,12.73,12.75,201836
AWF,20171218,12.72,12.81,12.72,12.81,244483
AWF,20171215,12.69,12.74,12.69,12.72,339108
AWF,20171214,12.73,12.74,12.69,12.69,152347
AWF,20171213,12.73,12.7793,12.69,12.71,192367
AWF,20171212,12.73,12.74,12.69,12.71,105820
AWF,20171211,12.71,12.75,12.6801,12.75,154940
AWF,20171208,12.72,12.72,12.65,12.69,130647
AWF,20171207,12.74,12.74,12.6436,12.67,207476
AWF,20171206,12.80,12.84,12.76,12.81,290980
AWF,20171205,12.81,12.84,12.75,12.83,217150
AWF,20171204,12.87,12.87,12.78,12.82,538495
AWF,20171201,12.56,12.78,12.5565,12.76,895198
AWF,20171130,12.53,12.58,12.50,12.50,215090
AWF,20171129,12.55,12.56,12.48,12.50,129372
AWF,20171128,12.52,12.555,12.50,12.55,138872
AWF,20171127,12.60,12.60,12.51,12.52,156561
AWF,20171124,12.57,12.5999,12.5301,12.59,69500
AWF,20171122,12.56,12.59,12.50,12.55,124889
AWF,20171121,12.58,12.61,12.54,12.57,200266
AWF,20171120,12.56,12.61,12.55,12.58,146231
AWF,20171117,12.53,12.56,12.50,12.54,164354
AWF,20171116,12.52,12.55,12.51,12.53,194861
AWF,20171115,12.33,12.4699,12.27,12.43,430278
AWF,20171114,12.45,12.4553,12.32,12.36,330204
AWF,20171113,12.50,12.535,12.44,12.44,209698
AWF,20171110,12.53,12.61,12.49,12.51,426487
AWF,20171109,12.67,12.67,12.55,12.58,243766
AWF,20171108,12.84,12.84,12.64,12.68,258297
AWF,20171107,12.77,12.84,12.77,12.84,174939
AWF,20171106,12.84,12.85,12.76,12.77,226453
AWF,20171103,12.82,12.86,12.80,12.84,95581
AWF,20171102,12.95,12.969,12.77,12.82,393773
AWF,20171101,12.97,13.05,12.97,13.02,117491
AWF,20171031,12.98,13.0391,12.95,12.95,242314
AWF,20171030,12.98,13.027,12.97,12.98,103120
AWF,20171027,13.02,13.02,12.94,12.97,165406
AWF,20171026,12.97,13.03,12.97,12.99,129504
AWF,20171025,13.05,13.05,12.951,12.97,235407
AWF,20171024,13.05,13.10,13.04,13.08,142149
AWF,20171023,13.06,13.12,13.04,13.05,160847
AWF,20171020,13.04,13.09,13.01,13.08,216137
AWF,20171019,12.98,13.03,12.98,13.02,184962
