<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BA,20180510,343.99,348.57,342.41,344.07,2978126
BA,20180509,339.49,346.93,338.575,344.50,3316164
BA,20180508,339.77,341.939,336.61,338.37,2940111
BA,20180507,335.23,342.98,335.21,340.43,3219369
BA,20180504,328.04,335.89,328.04,334.43,2587931
BA,20180503,322.97,332.6348,319.125,330.69,4626086
BA,20180502,329.50,330.71,323.98,324.19,2472130
BA,20180501,332.50,333.91,324.18,329.54,3113393
BA,20180430,341.17,342.58,333.40,333.56,2681770
BA,20180427,341.25,342.92,337.77,340.88,2521898
BA,20180426,344.01,345.65,338.33,342.79,3954097
BA,20180425,338.12,344.91,330.5201,342.86,8528775
BA,20180424,343.17,347.67,323.28,329.06,5256853
BA,20180423,339.55,341.26,336.00,338.84,1829660
BA,20180420,340.73,341.3959,335.05,338.67,2317700
BA,20180419,340.19,342.41,337.50,340.64,2207109
BA,20180418,338.33,342.40,337.18,341.00,2246274
BA,20180417,334.73,339.74,333.65,336.72,2344661
BA,20180416,332.34,333.22,327.625,331.77,2805235
BA,20180413,338.99,339.67,326.60,329.32,3334492
BA,20180412,331.98,338.35,330.46,337.48,3401912
BA,20180411,331.60,337.57,326.31,327.36,3277430
BA,20180410,331.35,336.69,329.55,334.83,4005405
BA,20180409,332.25,334.88,322.05,322.48,3395369
BA,20180406,330.61,334.59,322.21,326.12,4293458
BA,20180405,330.59,338.9599,330.26,336.39,4159774
BA,20180404,312.30,327.81,311.88,327.41,5987960
BA,20180403,324.76,331.10,323.09,330.70,3095412
BA,20180402,325.20,329.9419,317.17,322.44,3489381
BA,20180329,323.38,330.48,322.00,327.84,2339759
BA,20180328,321.85,323.24,311.17,320.02,4059013
BA,20180327,331.51,334.88,319.00,321.12,4073003
BA,20180326,330.48,331.9399,323.59,328.97,4056313
BA,20180323,320.15,331.14,318.3216,321.00,5543384
BA,20180322,330.11,332.68,319.01,319.61,5208394
BA,20180321,337.07,341.91,335.17,337.10,2886778
BA,20180320,331.84,339.70,331.00,337.63,4853689
BA,20180319,327.45,333.33,326.78,331.76,4534167
BA,20180316,329.82,330.83,325.63,330.47,7645811
BA,20180315,332.30,332.92,322.91,329.98,6776668
BA,20180314,339.7917,340.524,322.30,330.26,10433962
BA,20180313,345.32,347.88,337.61,338.67,4195530
BA,20180312,355.20,355.23,343.26,344.19,4542844
BA,20180309,352.65,354.89,350.23,354.52,2509316
BA,20180308,349.51,352.50,343.95,348.73,3165473
BA,20180307,341.52,348.4093,339.50,347.04,3421998
BA,20180306,354.24,355.21,346.0219,348.92,3637975
BA,20180305,338.00,354.77,336.61,352.75,6368151
BA,20180302,341.82,346.09,335.30,344.67,7855753
BA,20180301,362.33,362.74,346.40,349.69,6885684
BA,20180228,366.80,371.60,362.21,362.21,4102920
BA,20180227,364.60,369.89,363.30,364.64,3651823
BA,20180226,359.50,364.05,358.2123,363.48,3013689
BA,20180223,358.18,358.77,353.0668,356.66,2420905
BA,20180222,354.65,358.07,352.64,355.92,2518975
BA,20180221,352.56,360.81,351.75,352.24,3471091
BA,20180220,352.00,357.79,351.40,353.29,2915821
BA,20180216,356.59,359.50,353.5101,355.04,4252814
BA,20180215,348.47,356.55,348.05,356.46,4294229
BA,20180214,341.34,347.43,341.17,344.85,3444571
BA,20180213,340.45,347.8799,340.29,343.16,3124402
BA,20180212,336.57,347.75,335.13,343.80,5028189
BA,20180209,333.55,337.81,319.25,333.09,6208722
BA,20180208,348.00,349.00,329.40,329.66,6392357
BA,20180207,340.52,353.59,339.87,348.12,6217418
BA,20180206,320.00,341.67,317.65,340.91,9364723
BA,20180205,342.67,350.00,317.39,328.88,8070888
BA,20180202,354.00,355.199,348.70,348.91,3888322
BA,20180201,352.95,361.45,352.04,356.94,4720916
BA,20180131,360.50,360.97,351.62,354.37,8070181
BA,20180130,339.17,339.98,334.16,337.77,3577629
BA,20180129,341.23,344.48,340.10,340.82,2323720
BA,20180126,344.33,345.98,341.25,343.17,3410035
BA,20180125,336.21,343.615,335.30,343.11,3596619
BA,20180124,336.20,338.99,334.14,334.69,3358794
BA,20180123,338.34,338.94,334.81,335.59,3384492
BA,20180122,335.29,341.3812,332.04,338.00,5637432
BA,20180119,341.67,344.00,335.75,337.73,5930133
BA,20180118,350.70,350.83,339.15,340.20,7081742
BA,20180117,337.73,352.23,336.41,351.01,8024586
BA,20180116,339.90,347.73,331.33,335.16,9627265
BA,20180112,330.38,336.88,330.38,336.21,5117737
BA,20180111,322.13,328.40,321.19,328.12,3631007
BA,20180110,317.49,322.15,315.50,320.26,3404059
BA,20180109,310.59,319.91,310.49,318.43,4340830
BA,20180108,308.66,310.86,305.75,310.15,3005651
BA,20180105,296.77,308.89,296.72,308.84,4936509
BA,20180104,297.94,298.42,295.47,296.67,3239498
BA,20180103,295.94,298.50,295.47,297.80,2320436
BA,20180102,295.75,296.99,295.396,296.84,2271168
BA,20171229,296.94,297.30,294.83,294.91,1406276
BA,20171228,295.81,296.99,294.74,296.35,1122641
BA,20171227,296.41,296.80,294.80,295.62,1045997
BA,20171226,295.54,297.44,294.65,295.36,1092627
BA,20171222,296.33,296.52,293.01,295.10,1837270
BA,20171221,298.05,298.3852,294.1301,295.03,3754719
BA,20171220,298.70,299.33,297.11,297.90,1951840
BA,20171219,296.50,297.58,294.1809,297.17,1681930
BA,20171218,296.00,297.14,294.52,296.14,2301861
BA,20171215,295.87,297.37,293.02,293.94,5364624
BA,20171214,293.35,296.82,292.60,293.88,2776547
BA,20171213,290.50,295.85,289.70,291.84,3679747
BA,20171212,288.16,292.80,287.72,289.94,4279777
BA,20171211,286.21,286.49,279.90,283.16,3024058
BA,20171208,285.01,287.32,283.56,285.90,3268463
BA,20171207,278.49,284.79,277.80,281.97,3021940
BA,20171206,274.87,279.14,274.0046,278.27,1920337
BA,20171205,279.01,279.44,274.86,275.54,2154919
BA,20171204,276.16,281.83,276.00,277.97,4371732
BA,20171201,277.51,278.73,270.60,271.38,3615660
BA,20171130,269.91,277.04,269.43,276.80,3963327
BA,20171129,269.48,269.6807,266.15,269.30,2178031
BA,20171128,267.00,268.01,265.23,267.99,1451065
BA,20171127,265.38,266.84,264.72,265.58,1362242
