<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BAM,20180510,40.00,41.20,39.90,40.61,846160
BAM,20180509,39.82,39.93,39.46,39.86,774803
BAM,20180508,39.76,39.87,39.32,39.63,914990
BAM,20180507,39.79,39.895,39.72,39.80,470672
BAM,20180504,39.28,39.90,39.17,39.80,499566
BAM,20180503,39.02,39.54,38.88,39.47,671371
BAM,20180502,39.17,39.40,39.04,39.08,562464
BAM,20180501,39.50,39.68,39.01,39.26,440170
BAM,20180430,39.63,39.96,39.60,39.64,606676
BAM,20180427,39.15,39.62,39.15,39.56,704026
BAM,20180426,38.51,39.24,38.35,39.20,925000
BAM,20180425,38.43,38.46,38.09,38.23,613254
BAM,20180424,38.70,38.84,38.265,38.47,1260480
BAM,20180423,38.65,38.84,38.43,38.50,714921
BAM,20180420,38.81,39.02,38.53,38.59,606015
BAM,20180419,39.25,39.32,38.70,38.80,912387
BAM,20180418,39.15,39.54,39.15,39.23,623509
BAM,20180417,39.40,39.40,39.0276,39.10,890525
BAM,20180416,39.31,39.45,39.06,39.17,692741
BAM,20180413,39.82,39.84,38.965,39.10,498866
BAM,20180412,39.41,39.935,39.38,39.60,887444
BAM,20180411,38.87,39.425,38.82,39.33,720388
BAM,20180410,39.27,39.46,39.03,39.06,589120
BAM,20180409,38.75,39.17,38.52,38.83,600157
BAM,20180406,38.93,39.24,38.52,38.55,725310
BAM,20180405,39.01,39.225,38.68,39.16,779715
BAM,20180404,38.51,39.01,38.25,38.90,1758570
BAM,20180403,38.80,39.2302,38.64,38.93,2826148
BAM,20180402,39.03,39.10,38.33,38.46,1803864
BAM,20180329,39.16,39.16,38.73,39.00,2017897
BAM,20180328,38.76,39.13,38.60,38.77,1407859
BAM,20180327,39.41,39.47,38.66,38.80,798306
BAM,20180326,39.24,39.41,38.88,39.40,722401
BAM,20180323,38.93,39.08,38.64,38.69,1127774
BAM,20180322,39.64,39.64,38.68,38.70,1097236
BAM,20180321,39.59,40.36,39.59,39.94,896715
BAM,20180320,39.59,39.67,39.21,39.52,1116652
BAM,20180319,39.95,39.96,39.135,39.47,1064904
BAM,20180316,40.14,40.27,39.90,40.08,1222578
BAM,20180315,39.75,40.495,39.735,40.14,1024020
BAM,20180314,39.78,40.17,39.50,39.82,651450
BAM,20180313,40.10,40.14,39.43,39.48,718387
BAM,20180312,40.30,40.30,39.88,39.96,639051
BAM,20180309,40.29,40.37,39.92,40.18,762691
BAM,20180308,39.82,40.17,39.76,40.09,1261062
BAM,20180307,39.41,39.73,39.235,39.66,613342
BAM,20180306,39.53,39.75,39.32,39.64,800790
BAM,20180305,38.54,39.25,38.52,39.25,701871
BAM,20180302,38.03,38.91,38.03,38.88,923588
BAM,20180301,38.74,39.06,38.22,38.47,2146899
BAM,20180228,39.60,39.68,38.72,38.72,1354372
BAM,20180227,40.20,40.33,39.45,39.50,980432
BAM,20180226,40.50,40.62,40.08,40.41,1174558
BAM,20180223,40.48,40.63,40.28,40.43,1416383
BAM,20180222,40.57,40.765,40.12,40.22,1451798
BAM,20180221,40.21,40.76,40.18,40.26,1476909
BAM,20180220,40.22,40.64,40.10,40.20,1605204
BAM,20180216,39.61,40.617,39.45,40.28,1436264
BAM,20180215,39.27,39.65,38.89,39.61,1543369
BAM,20180214,38.59,38.96,38.38,38.80,1172439
BAM,20180213,38.74,39.07,38.51,39.03,920836
BAM,20180212,38.72,39.03,38.55,38.82,1057406
BAM,20180209,38.26,38.79,37.815,38.61,2052620
BAM,20180208,39.31,39.40,38.01,38.01,2225851
BAM,20180207,39.46,39.73,39.15,39.16,1710654
BAM,20180206,38.10,39.61,37.22,39.60,2343664
BAM,20180205,39.71,39.89,38.69,38.75,2672257
BAM,20180202,41.41,41.41,40.0455,40.07,1682597
BAM,20180201,41.77,42.01,41.27,41.74,1651972
BAM,20180131,41.39,41.94,41.29,41.87,1329732
BAM,20180130,41.17,41.36,40.77,41.27,1256398
BAM,20180129,41.73,41.73,41.01,41.26,1594831
BAM,20180126,42.00,42.00,41.59,41.75,1517405
BAM,20180125,42.55,42.6148,41.79,41.84,1302861
BAM,20180124,42.53,42.55,42.21,42.44,1254834
BAM,20180123,42.34,42.495,41.87,42.30,1781231
BAM,20180122,42.68,43.005,42.14,42.38,1069187
BAM,20180119,43.07,43.17,42.65,42.75,859801
BAM,20180118,43.16,43.16,42.83,42.93,629867
BAM,20180117,42.89,43.17,42.66,43.10,726344
BAM,20180116,42.91,43.10,42.56,42.68,1180857
BAM,20180112,42.53,42.86,42.39,42.75,1176728
BAM,20180111,42.24,42.60,41.99,42.51,1257457
BAM,20180110,43.32,43.36,41.34,42.17,2144703
BAM,20180109,43.73,43.98,43.51,43.56,1077984
BAM,20180108,43.68,43.68,43.27,43.54,682020
BAM,20180105,43.99,44.06,43.47,43.65,649745
BAM,20180104,43.50,43.725,43.31,43.66,707891
BAM,20180103,43.10,43.48,43.06,43.23,806886
BAM,20180102,43.54,43.645,42.69,43.05,750604
BAM,20171229,43.75,43.80,43.45,43.54,542339
BAM,20171228,43.35,43.6375,43.13,43.61,404718
BAM,20171227,43.13,43.47,43.13,43.36,457912
BAM,20171226,42.90,42.99,42.84,42.99,277929
BAM,20171222,42.79,42.96,42.63,42.91,490529
BAM,20171221,43.32,43.58,42.85,42.90,1021564
BAM,20171220,43.57,43.61,43.1049,43.16,549310
BAM,20171219,43.75,43.86,43.30,43.41,838568
BAM,20171218,43.97,44.33,43.67,43.80,816928
BAM,20171215,43.84,44.17,43.61,43.67,804709
BAM,20171214,44.02,44.13,43.58,43.84,778941
BAM,20171213,43.81,44.19,43.81,44.01,591032
BAM,20171212,43.33,43.8851,43.25,43.82,632111
BAM,20171211,43.37,43.485,43.18,43.38,449742
BAM,20171208,43.03,43.48,42.91,43.35,757432
BAM,20171207,41.70,42.99,41.68,42.97,825065
BAM,20171206,42.35,42.38,41.88,42.01,914209
BAM,20171205,42.05,42.36,41.895,42.31,1454090
BAM,20171204,42.49,42.51,41.90,41.92,1040468
BAM,20171201,41.68,42.22,41.55,42.19,887081
BAM,20171130,41.56,41.84,41.30,41.50,1690156
BAM,20171129,41.62,41.71,41.22,41.37,1105658
BAM,20171128,41.72,42.04,41.69,41.71,550689
BAM,20171127,42.01,42.17,41.6175,41.76,548976
BAM,20171124,41.50,41.96,41.46,41.86,330550
BAM,20171122,41.40,41.72,41.23,41.45,567800
BAM,20171121,41.42,41.72,41.34,41.37,511844
BAM,20171120,41.46,41.62,41.29,41.34,724666
BAM,20171117,41.05,41.52,40.66,41.41,870975
BAM,20171116,41.19,41.42,41.18,41.24,497906
BAM,20171115,41.05,41.27,40.91,41.10,620067
BAM,20171114,41.89,41.95,40.90,41.36,784849
BAM,20171113,42.18,42.58,41.83,42.21,747833
BAM,20171110,41.68,42.13,41.64,42.02,558847
BAM,20171109,42.20,42.22,41.62,42.04,546300
BAM,20171108,41.91,42.345,41.91,42.30,660733
BAM,20171107,41.82,41.94,41.60,41.78,603093
BAM,20171106,41.54,41.99,41.54,41.95,308226
BAM,20171103,41.64,41.91,41.58,41.70,472418
BAM,20171102,41.58,41.83,41.53,41.61,537682
BAM,20171101,42.03,42.13,41.45,41.53,478581
BAM,20171031,42.01,42.22,41.94,41.94,621281
BAM,20171030,41.85,42.14,41.75,42.02,825473
BAM,20171027,41.55,41.858,41.325,41.81,711533
BAM,20171026,41.65,41.93,41.54,41.55,830066
BAM,20171025,42.35,42.46,41.31,41.61,870468
BAM,20171024,42.60,42.84,42.37,42.43,450569
BAM,20171023,42.91,43.015,42.46,42.53,446626
BAM,20171020,42.87,42.99,42.695,42.89,493920
BAM,20171019,42.83,43.07,42.71,42.88,412608
BAM,20171018,42.92,43.15,42.89,42.97,408242
BAM,20171017,42.60,42.98,42.58,42.82,402545
BAM,20171016,42.54,42.68,42.34,42.63,390604
BAM,20171013,42.48,42.64,42.306,42.53,777585
BAM,20171012,42.37,42.53,42.115,42.38,1244776
BAM,20171011,42.28,42.62,42.28,42.55,477596
BAM,20171010,42.22,42.43,42.18,42.28,473874
BAM,20171009,42.00,42.10,41.87,42.06,270479
BAM,20171006,42.15,42.22,41.88,41.99,698343
BAM,20171005,42.14,42.42,42.01,42.20,531369
BAM,20171004,41.84,42.29,41.74,42.18,634869
BAM,20171003,41.60,41.83,41.50,41.79,587114
BAM,20171002,41.34,41.72,41.34,41.58,529008
BAM,20170929,40.88,41.565,40.68,41.30,858661
BAM,20170928,40.80,40.90,40.59,40.71,564193
BAM,20170927,40.47,40.78,40.19,40.69,798719
BAM,20170926,40.45,40.57,39.96,40.19,531039
BAM,20170925,40.58,40.79,40.41,40.45,581355
BAM,20170922,40.72,40.93,40.60,40.64,438779
BAM,20170921,40.55,40.89,40.55,40.71,665475
BAM,20170920,40.21,40.67,40.18,40.64,760381
BAM,20170919,40.21,40.41,40.12,40.14,404035
BAM,20170918,39.53,40.42,39.50,40.12,1577268
BAM,20170915,39.21,39.65,39.07,39.44,563287
BAM,20170914,39.12,39.27,39.04,39.20,458615
BAM,20170913,39.70,39.86,39.21,39.22,1069055
BAM,20170912,39.60,39.91,39.47,39.66,879008
BAM,20170911,39.25,39.77,39.1883,39.61,731602
BAM,20170908,38.80,39.16,38.80,39.04,631860
BAM,20170907,39.13,39.185,38.68,38.82,659039
BAM,20170906,38.72,39.23,38.59,38.91,686926
BAM,20170905,39.27,39.30,38.61,38.66,961402
BAM,20170901,39.80,39.85,39.13,39.32,776316
BAM,20170831,39.35,39.635,39.14,39.55,740327
BAM,20170830,39.21,39.43,39.04,39.22,678894
BAM,20170829,38.77,39.405,38.62,39.29,477301
BAM,20170828,39.59,39.63,39.17,39.27,332009
BAM,20170825,39.44,39.655,39.36,39.52,231107
BAM,20170824,39.31,39.59,39.20,39.31,447103
BAM,20170823,39.10,39.49,38.94,39.28,365326
BAM,20170822,39.23,39.3222,39.11,39.23,272025
BAM,20170821,39.10,39.18,38.82,39.11,390139
BAM,20170818,38.85,39.28,38.61,39.13,693626
BAM,20170817,39.02,39.24,38.84,38.84,540124
BAM,20170816,38.96,39.255,38.96,39.11,686805
BAM,20170815,38.87,38.94,38.70,38.82,512325
BAM,20170814,38.42,38.94,38.25,38.84,677708
BAM,20170811,37.92,38.405,37.92,38.24,625423
BAM,20170810,38.92,39.15,38.32,38.40,968569
BAM,20170809,38.99,39.0262,37.98,38.99,1648338
BAM,20170808,38.55,38.775,38.37,38.72,744644
BAM,20170807,38.67,38.83,38.52,38.66,255770
BAM,20170804,38.61,38.84,38.50,38.68,595772
BAM,20170803,38.76,38.88,38.51,38.51,1531408
BAM,20170802,38.77,38.89,38.52,38.73,1102468
BAM,20170801,38.95,39.14,38.40,38.74,920282
BAM,20170731,38.82,39.035,38.61,38.89,477180
BAM,20170728,38.73,38.83,38.40,38.70,540455
BAM,20170727,39.23,39.34,38.23,38.54,708604
BAM,20170726,39.09,39.36,38.86,39.21,875731
BAM,20170725,39.49,39.81,38.98,39.05,496661
BAM,20170724,39.74,39.74,39.37,39.57,380574
BAM,20170721,39.86,39.90,39.49,39.67,571173
BAM,20170720,39.86,39.95,39.62,39.89,430043
BAM,20170719,39.30,39.77,39.25,39.71,426700
BAM,20170718,39.05,39.31,38.89,39.12,340905
BAM,20170717,39.45,39.45,38.98,39.02,432258
BAM,20170714,39.21,39.615,39.18,39.46,500471
BAM,20170713,39.37,39.37,39.045,39.10,440552
BAM,20170712,39.36,39.60,39.20,39.38,434522
BAM,20170711,38.92,39.01,38.55,38.96,616422
BAM,20170710,38.90,39.00,38.73,38.88,322051
BAM,20170707,38.99,39.43,38.51,38.89,773333
BAM,20170706,38.85,39.07,38.69,38.88,633284
BAM,20170705,39.10,39.15,38.34,39.02,707363
BAM,20170703,39.44,39.53,39.18,39.20,222237
BAM,20170630,39.72,39.72,38.93,39.21,1105499
BAM,20170629,40.04,40.07,39.08,39.60,1164175
BAM,20170628,39.84,40.09,39.39,40.09,1310126
BAM,20170627,39.17,39.57,39.04,39.47,1448686
BAM,20170626,38.86,39.35,38.86,39.14,793537
BAM,20170623,38.32,38.88,38.18,38.74,921066
BAM,20170622,38.15,38.585,38.15,38.55,700657
BAM,20170621,38.26,38.43,38.03,38.14,735097
BAM,20170620,38.36,38.54,38.11,38.15,543486
BAM,20170619,38.32,38.97,38.24,38.60,949546
BAM,20170616,38.09,38.35,37.75,38.29,670165
BAM,20170615,37.97,38.13,37.62,38.03,548672
BAM,20170614,38.39,38.42,37.995,38.30,656086
BAM,20170613,38.27,38.43,37.84,38.21,820347
BAM,20170612,38.23,38.41,37.75,38.04,1076619
BAM,20170609,38.17,38.41,37.91,38.16,974495
BAM,20170608,37.93,38.23,37.90,38.14,541640
BAM,20170607,38.25,38.51,37.81,37.94,595995
BAM,20170606,38.17,38.31,37.96,38.25,919431
BAM,20170605,38.05,38.32,37.62,38.21,555535
BAM,20170602,37.84,38.02,37.80,37.95,871652
BAM,20170601,37.80,37.95,37.59,37.85,605205
BAM,20170531,37.85,37.985,37.53,37.86,611888
BAM,20170530,37.90,38.34,37.87,37.87,425553
BAM,20170526,37.74,38.225,37.61,38.04,684830
BAM,20170525,38.20,38.33,37.44,37.75,740254
BAM,20170524,38.01,38.12,37.63,38.07,496591
BAM,20170523,37.97,38.27,37.82,38.02,1137886
BAM,20170522,37.76,38.01,37.675,38.00,502021
BAM,20170519,36.92,37.70,36.92,37.50,756176
BAM,20170518,36.78,37.18,36.32,36.78,1479718
BAM,20170517,38.04,38.07,37.23,37.31,1904950
BAM,20170516,38.77,38.99,38.41,38.41,990824
BAM,20170515,38.68,38.88,38.53,38.72,996358
BAM,20170512,38.19,38.65,38.07,38.32,1205083
BAM,20170511,37.27,38.11,36.67,38.10,1910736
BAM,20170510,37.43,37.45,37.20,37.34,1315048
BAM,20170509,37.79,37.79,37.23,37.28,2028448
BAM,20170508,37.80,37.99,37.50,37.70,1463221
BAM,20170505,37.41,37.89,37.32,37.74,607953
