<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BAX,20180510,69.97,70.64,69.76,70.60,1998692
BAX,20180509,69.56,69.73,68.56,69.32,2058500
BAX,20180508,70.15,70.25,69.02,69.45,2463884
BAX,20180507,70.52,70.93,70.185,70.33,1390987
BAX,20180504,69.38,70.675,69.17,70.38,1413350
BAX,20180503,69.89,70.06,68.97,69.76,2324900
BAX,20180502,69.90,70.88,69.62,70.43,2882443
BAX,20180501,69.48,70.43,69.27,70.15,2563002
BAX,20180430,70.18,70.80,69.49,69.50,3549348
BAX,20180427,70.04,70.58,69.37,70.21,2982439
BAX,20180426,68.42,70.15,68.42,69.99,4708423
BAX,20180425,65.90,66.58,65.20,66.52,2476176
BAX,20180424,67.25,67.86,65.81,66.15,3045932
BAX,20180423,67.31,67.50,66.81,67.18,2369577
BAX,20180420,67.06,67.40,66.755,67.05,2443549
BAX,20180419,67.10,67.48,66.705,66.98,1607462
BAX,20180418,66.85,67.68,65.41,67.22,3080960
BAX,20180417,66.68,66.94,66.01,66.86,1915801
BAX,20180416,66.36,66.81,66.10,66.29,1683060
BAX,20180413,66.09,66.21,65.36,65.71,1449789
BAX,20180412,65.34,66.025,65.26,65.77,2024891
BAX,20180411,65.50,65.73,64.77,64.94,3505138
BAX,20180410,65.31,66.75,65.31,66.20,3706271
BAX,20180409,64.49,65.65,64.17,64.79,2408906
BAX,20180406,64.98,65.26,63.16,63.89,2410387
BAX,20180405,64.82,65.81,64.68,65.52,3250350
BAX,20180404,63.26,64.59,62.671,64.41,2411979
BAX,20180403,63.70,64.20,63.13,64.02,2068983
BAX,20180402,64.92,65.38,62.7501,63.43,2562857
BAX,20180329,64.20,65.8914,63.94,65.04,3341556
BAX,20180328,65.02,65.25,63.84,63.85,3241281
BAX,20180327,65.75,66.14,64.53,64.87,3052212
BAX,20180326,65.01,65.60,64.27,65.49,1921402
BAX,20180323,65.55,66.03,64.18,64.29,2005088
BAX,20180322,65.92,66.81,65.51,65.55,3435014
BAX,20180321,66.93,67.10,66.20,66.46,3141211
BAX,20180320,66.91,67.32,66.63,66.91,1602952
BAX,20180319,67.80,67.98,66.25,66.76,2141970
BAX,20180316,67.80,68.12,67.67,67.89,3792065
BAX,20180315,67.47,67.87,67.29,67.59,2007975
BAX,20180314,68.39,68.43,67.09,67.28,2184079
BAX,20180313,68.70,68.98,68.00,68.09,2143053
BAX,20180312,68.96,69.15,68.44,68.50,1583130
BAX,20180309,68.34,68.9801,67.82,68.89,1928704
BAX,20180308,67.20,68.04,67.10,67.82,2587589
BAX,20180307,66.50,67.205,66.25,67.02,2498052
BAX,20180306,67.02,67.12,66.49,67.01,1712501
BAX,20180305,65.93,67.17,65.78,66.85,3080764
BAX,20180302,65.64,66.36,65.55,66.28,2349791
BAX,20180301,67.60,67.6958,65.73,66.31,2655297
BAX,20180228,68.83,69.33,67.73,67.79,2864684
BAX,20180227,69.15,69.36,68.69,68.69,1534547
BAX,20180226,68.58,69.24,68.18,69.14,2186277
BAX,20180223,67.43,68.42,67.21,68.36,1841503
BAX,20180222,67.44,68.30,67.11,67.43,3807325
BAX,20180221,67.09,68.34,66.8976,67.05,2254566
BAX,20180220,66.76,67.61,65.93,67.04,3322914
BAX,20180216,66.31,67.11,66.27,66.33,3284179
BAX,20180215,66.55,66.7575,65.78,66.44,1778832
BAX,20180214,64.34,66.11,64.2017,66.02,3004568
BAX,20180213,64.47,64.86,63.84,64.63,2650300
BAX,20180212,64.73,65.425,64.35,65.00,3615428
BAX,20180209,63.27,64.93,62.84,64.31,5109570
BAX,20180208,65.55,65.70,62.52,62.56,4319757
BAX,20180207,66.48,66.95,65.48,65.55,3573598
BAX,20180206,64.29,67.17,63.86,66.67,4636397
BAX,20180205,68.34,68.66,65.46,65.52,4068675
BAX,20180202,69.66,69.94,68.48,68.54,3185611
BAX,20180201,69.58,70.76,69.16,69.95,5472744
BAX,20180131,72.10,72.58,71.55,72.03,3634678
BAX,20180130,71.53,72.08,71.00,71.75,2389874
BAX,20180129,71.87,72.49,71.87,72.05,2147558
BAX,20180126,71.50,72.26,70.73,72.26,2590148
BAX,20180125,70.50,71.06,70.34,71.05,2032715
BAX,20180124,69.90,70.45,69.70,70.14,2001661
BAX,20180123,70.10,70.14,69.40,69.60,1995011
BAX,20180122,70.03,70.25,69.79,70.20,2856635
BAX,20180119,69.36,70.02,69.36,70.01,2986388
BAX,20180118,68.32,69.47,68.32,69.20,3166748
BAX,20180117,68.02,68.30,67.81,68.20,2699082
BAX,20180116,68.50,68.50,67.54,67.67,3376018
