<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BBX,20180423,10.00,10.06,9.87,10.00,295589
BBX,20180420,10.02,10.10,9.95,10.00,576225
BBX,20180419,10.01,10.16,9.94,10.01,581924
BBX,20180418,9.40,10.04,9.38,10.01,1124936
BBX,20180417,9.29,9.44,9.25,9.38,942021
BBX,20180416,9.26,9.31,9.24,9.29,293615
BBX,20180413,9.27,9.27,9.22,9.24,111169
BBX,20180412,9.25,9.255,9.22,9.25,154353
BBX,20180411,9.16,9.26,9.16,9.23,103555
BBX,20180410,9.24,9.24,9.16,9.19,246933
BBX,20180409,9.20,9.27,9.07,9.24,345185
BBX,20180406,9.27,9.34,9.16,9.20,254639
BBX,20180405,9.28,9.33,9.24,9.28,447401
BBX,20180404,9.16,9.29,9.14,9.25,441550
BBX,20180403,9.21,9.24,9.10,9.24,174068
BBX,20180402,9.24,9.245,9.15,9.17,151004
BBX,20180329,9.26,9.30,9.20,9.21,246144
BBX,20180328,9.21,9.25,9.15,9.21,155310
BBX,20180327,9.23,9.29,9.16,9.22,356988
BBX,20180326,9.24,9.29,9.16,9.23,147582
BBX,20180323,9.22,9.24,9.13,9.15,181085
BBX,20180322,9.12,9.30,9.12,9.20,184805
BBX,20180321,9.26,9.39,9.20,9.20,176749
BBX,20180320,9.20,9.28,9.121,9.25,220065
BBX,20180319,9.18,9.24,9.10,9.22,243308
BBX,20180316,9.20,9.30,9.1439,9.21,947487
BBX,20180315,9.28,9.29,9.21,9.21,203216
BBX,20180314,9.23,9.28,9.21,9.23,495969
BBX,20180313,9.18,9.19,9.10,9.18,123724
BBX,20180312,9.06,9.19,9.04,9.13,274584
BBX,20180309,9.05,9.09,8.97,9.00,373820
BBX,20180308,9.00,9.11,8.97,9.04,254007
BBX,20180307,8.79,9.00,8.67,8.96,269517
BBX,20180306,8.85,8.88,8.65,8.84,280683
BBX,20180305,8.73,8.87,8.70,8.80,214999
BBX,20180302,8.67,8.78,8.64,8.72,97483
BBX,20180301,8.62,8.76,8.57,8.70,322537
BBX,20180228,8.66,8.69,8.59,8.62,126389
BBX,20180227,8.75,8.82,8.64,8.65,133408
BBX,20180226,8.77,8.79,8.72,8.74,122965
BBX,20180223,8.74,8.80,8.69,8.74,99226
BBX,20180222,8.73,8.75,8.68,8.74,165470
BBX,20180221,8.85,8.85,8.7065,8.72,300595
BBX,20180220,8.78,8.78,8.59,8.62,89568
BBX,20180216,8.56,8.84,8.49,8.81,167369
BBX,20180215,8.56,8.65,8.46,8.60,170588
BBX,20180214,8.44,8.60,8.37,8.55,68388
BBX,20180213,8.40,8.52,8.29,8.49,69878
BBX,20180212,8.27,8.58,8.24,8.40,159289
BBX,20180209,8.42,8.53,7.93,8.23,231840
BBX,20180208,8.70,8.75,8.34,8.40,143397
BBX,20180207,8.60,8.81,8.5084,8.72,172853
BBX,20180206,8.20,8.735,8.08,8.59,293460
BBX,20180205,8.79,8.80,8.29,8.39,357826
BBX,20180202,9.06,9.06,8.81,8.87,157728
BBX,20180201,9.10,9.18,8.97,9.07,367450
BBX,20180131,9.10,9.24,9.04,9.11,177406
BBX,20180130,9.25,9.25,9.10,9.14,112168
BBX,20180129,9.19,9.28,9.17,9.28,281415
BBX,20180126,9.24,9.29,9.19,9.25,159106
BBX,20180125,9.17,9.20,9.10,9.20,223593
BBX,20180124,9.12,9.20,9.10,9.12,176727
BBX,20180123,9.10,9.12,8.99,9.10,374735
BBX,20180122,9.01,9.10,9.00,9.08,100971
BBX,20180119,9.03,9.11,9.01,9.07,221118
BBX,20180118,9.11,9.1493,9.00,9.01,137775
BBX,20180117,9.16,9.17,9.04,9.11,139440
BBX,20180116,9.25,9.25,8.89,9.10,260754
BBX,20180112,9.24,9.26,9.1114,9.18,625542
BBX,20180111,9.08,9.2239,8.995,9.21,359111
BBX,20180110,8.95,9.14,8.9242,9.02,315194
BBX,20180109,8.89,9.13,8.86,8.99,688821
BBX,20180108,8.31,8.89,8.29,8.82,372154
