<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BC,20180423,59.37,59.54,58.63,58.99,649193
BC,20180420,59.50,59.70,58.91,59.35,669392
BC,20180419,60.92,61.04,58.19,59.50,1185619
BC,20180418,61.64,62.415,61.20,61.27,1553410
BC,20180417,60.86,61.82,60.67,61.65,513696
BC,20180416,60.61,60.85,60.19,60.49,279114
BC,20180413,60.18,60.475,59.69,60.16,300439
BC,20180412,59.24,59.91,59.03,59.59,524684
BC,20180411,58.80,59.3402,58.53,59.13,353785
BC,20180410,59.08,59.58,58.73,59.22,276798
BC,20180409,58.90,59.14,58.24,58.34,458758
BC,20180406,58.99,59.62,58.06,58.51,294682
BC,20180405,58.95,59.71,58.79,59.50,340153
BC,20180404,57.36,58.74,56.78,58.61,563029
BC,20180403,57.40,58.36,57.29,57.98,527388
BC,20180402,59.23,59.26,56.41,57.25,888181
BC,20180329,58.54,59.93,58.54,59.39,463375
BC,20180328,58.35,58.96,57.80,58.39,407170
BC,20180327,59.38,59.38,58.34,58.49,698663
BC,20180326,59.71,60.17,58.38,59.13,663867
BC,20180323,60.01,60.05,58.73,58.82,532998
BC,20180322,60.64,61.27,59.73,59.78,423309
BC,20180321,61.08,61.84,60.75,61.24,602211
BC,20180320,61.35,61.85,60.76,61.28,448503
BC,20180319,61.41,61.43,60.50,61.36,436156
BC,20180316,60.66,61.82,60.57,61.61,655067
BC,20180315,60.99,61.27,60.50,60.56,333648
BC,20180314,61.61,61.76,60.62,60.77,426154
BC,20180313,62.06,62.529,61.095,61.20,1274723
BC,20180312,62.48,62.92,61.87,61.88,388810
BC,20180309,62.10,62.80,61.55,62.46,740797
BC,20180308,62.10,62.10,60.475,61.63,692673
BC,20180307,61.29,61.93,60.99,61.75,646485
BC,20180306,61.14,62.16,60.63,61.61,1005350
BC,20180305,61.60,62.67,61.00,61.18,891400
BC,20180302,60.43,61.32,59.09,61.18,1007224
BC,20180301,60.00,62.49,60.00,60.91,2630658
BC,20180228,57.61,57.99,56.985,57.20,421584
BC,20180227,58.87,59.11,57.23,57.24,423053
BC,20180226,58.84,59.205,58.00,58.88,429856
BC,20180223,58.39,59.07,58.00,59.02,410461
BC,20180222,58.70,59.10,57.97,57.97,389147
BC,20180221,57.79,59.49,57.71,58.68,575161
BC,20180220,58.62,58.91,57.54,57.72,521774
BC,20180216,58.77,59.22,58.53,59.04,526802
BC,20180215,59.72,60.00,58.40,59.03,466057
BC,20180214,58.07,59.745,57.67,59.38,1062457
BC,20180213,57.32,58.06,56.93,57.39,472653
BC,20180212,57.61,58.00,56.87,57.54,709754
BC,20180209,57.13,57.77,56.235,57.21,1281435
BC,20180208,58.33,58.43,56.4207,56.72,586787
BC,20180207,58.72,59.11,58.11,58.30,630927
BC,20180206,57.05,59.15,56.40,58.93,964181
BC,20180205,59.49,60.14,58.16,58.17,1060658
BC,20180202,59.21,60.59,58.00,59.82,1215665
BC,20180201,62.06,62.06,59.17,60.19,2458128
BC,20180131,63.32,63.93,62.63,62.78,1259032
BC,20180130,60.54,64.45,60.28,63.24,2644257
BC,20180129,60.00,60.87,59.63,59.87,589337
BC,20180126,60.38,60.38,59.4812,60.00,397374
BC,20180125,60.32,60.32,59.14,59.93,699534
BC,20180124,59.71,60.62,59.27,60.00,894602
BC,20180123,58.45,59.415,58.36,59.14,825687
BC,20180122,58.61,58.61,57.81,58.26,554752
BC,20180119,57.79,58.50,57.465,58.41,538694
BC,20180118,58.10,58.19,57.13,57.83,657837
BC,20180117,57.84,58.36,57.59,58.17,545135
BC,20180116,57.92,58.27,56.688,57.00,460306
BC,20180112,57.14,57.73,57.00,57.63,457455
BC,20180111,55.77,57.31,55.64,57.07,582230
BC,20180110,55.91,56.29,55.415,55.49,530905
BC,20180109,56.98,57.05,55.49,56.20,911239
BC,20180108,56.71,57.09,56.21,56.95,536828
BC,20180105,56.19,56.88,55.44,56.76,738560
BC,20180104,56.53,56.805,55.61,55.77,781847
BC,20180103,56.11,56.86,55.83,56.25,831695
BC,20180102,55.45,56.08,55.35,55.99,918430
BC,20171229,55.62,55.96,55.15,55.22,432650
BC,20171228,55.47,55.75,55.32,55.58,362811
BC,20171227,55.48,55.75,55.02,55.21,416262
BC,20171226,55.55,55.92,55.35,55.53,393440
BC,20171222,56.12,56.12,55.36,55.74,473060
BC,20171221,55.30,56.36,55.12,55.99,736026
BC,20171220,55.29,55.425,54.86,55.03,481818
BC,20171219,55.50,55.53,54.49,55.00,715188
BC,20171218,55.24,56.08,55.06,55.10,957638
BC,20171215,54.96,55.48,54.82,55.00,1228898
BC,20171214,55.54,55.855,54.61,54.94,757072
BC,20171213,55.34,55.96,55.14,55.59,632773
BC,20171212,55.84,55.87,54.63,54.97,868842
BC,20171211,55.73,56.01,55.47,55.81,598130
BC,20171208,56.24,56.35,55.425,55.72,1154391
BC,20171207,55.33,56.73,55.30,56.08,1386132
BC,20171206,56.31,58.96,55.34,55.51,2261376
BC,20171205,54.41,56.36,53.82,55.98,1441155
BC,20171204,55.26,55.61,54.51,54.65,884183
BC,20171201,55.21,55.3549,53.38,54.70,914644
BC,20171130,55.73,56.02,54.84,55.35,673158
BC,20171129,54.86,56.35,54.53,55.59,736026
BC,20171128,52.98,54.95,52.98,54.77,1587716
BC,20171127,52.76,53.24,52.76,52.85,913139
BC,20171124,52.71,52.71,52.17,52.55,422795
BC,20171122,52.66,53.12,52.05,52.59,759503
BC,20171121,51.82,52.54,51.26,52.50,1089051
BC,20171120,51.53,51.96,51.24,51.66,1060319
BC,20171117,50.31,52.05,50.25,51.40,1738565
BC,20171116,49.56,51.35,49.56,50.32,1374607
