<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BCE,20180423,41.98,42.04,41.57,41.76,1391546
BCE,20180420,41.73,42.34,41.59,41.91,1431016
BCE,20180419,42.76,42.76,41.85,41.90,1726427
BCE,20180418,42.86,43.03,42.65,42.71,667735
BCE,20180417,43.29,43.37,42.83,42.89,841473
BCE,20180416,42.83,43.31,42.70,43.11,1189832
BCE,20180413,43.14,43.32,42.705,42.75,996334
BCE,20180412,43.27,43.55,43.12,43.16,899325
BCE,20180411,43.16,43.48,42.98,43.35,992962
BCE,20180410,43.38,43.50,43.15,43.18,763738
BCE,20180409,42.70,43.22,42.55,42.98,1588691
BCE,20180406,43.26,43.52,42.64,42.73,1251675
BCE,20180405,42.84,43.415,42.76,43.12,2099689
BCE,20180404,42.27,43.03,42.005,42.91,973020
BCE,20180403,42.69,42.93,42.47,42.49,957709
BCE,20180402,43.10,43.10,42.41,42.59,591892
BCE,20180329,42.92,43.09,42.74,43.04,733680
BCE,20180328,42.61,43.09,42.48,42.75,678813
BCE,20180327,42.36,42.775,42.245,42.53,854030
BCE,20180326,42.48,42.56,42.14,42.22,949621
BCE,20180323,42.90,43.09,42.34,42.36,732038
BCE,20180322,42.96,43.04,42.62,42.71,764057
BCE,20180321,43.07,43.31,42.90,43.10,692352
BCE,20180320,43.05,43.24,42.75,42.90,506716
BCE,20180319,43.16,43.20,42.96,43.10,702631
BCE,20180316,43.18,43.51,43.10,43.11,1147222
BCE,20180315,43.45,43.51,43.13,43.15,752278
BCE,20180314,43.79,43.97,43.33,43.47,1001413
BCE,20180313,44.51,44.71,44.19,44.23,969442
BCE,20180312,44.49,44.74,44.32,44.52,791810
BCE,20180309,44.27,44.43,43.99,44.42,696469
BCE,20180308,43.93,44.27,43.90,44.19,1117950
BCE,20180307,43.80,44.11,43.5666,43.90,1113725
BCE,20180306,43.80,43.94,43.605,43.94,616087
BCE,20180305,43.21,43.68,43.02,43.51,1354880
BCE,20180302,43.28,43.85,43.21,43.52,1024220
BCE,20180301,43.63,43.63,43.22,43.47,1168421
BCE,20180228,44.61,44.68,43.63,43.63,908134
BCE,20180227,44.54,44.935,44.50,44.63,848523
BCE,20180226,44.50,44.76,44.40,44.75,598424
BCE,20180223,44.22,44.48,44.01,44.46,1126687
BCE,20180222,44.25,44.37,43.87,43.97,565061
BCE,20180221,44.18,44.54,44.09,44.21,664585
BCE,20180220,44.37,44.46,44.105,44.14,726396
BCE,20180216,44.46,44.70,44.38,44.49,720171
BCE,20180215,44.48,44.56,44.00,44.51,1022537
BCE,20180214,44.33,44.72,44.05,44.49,684967
BCE,20180213,44.78,44.79,44.4201,44.48,802396
BCE,20180212,44.61,45.08,44.47,44.93,887821
BCE,20180209,44.63,44.89,44.01,44.39,1051832
BCE,20180208,45.67,46.12,44.45,44.45,1530668
BCE,20180207,44.61,45.33,44.46,45.02,2474709
BCE,20180206,44.40,44.845,43.38,44.63,1469006
BCE,20180205,45.12,45.39,44.71,44.73,1467508
BCE,20180202,46.11,46.19,45.35,45.36,901825
BCE,20180201,46.59,46.97,46.31,46.55,993730
BCE,20180131,46.57,46.83,46.51,46.75,847728
BCE,20180130,46.59,46.69,46.38,46.38,737885
BCE,20180129,46.93,47.11,46.52,46.58,824018
BCE,20180126,46.96,47.16,46.91,47.10,687356
BCE,20180125,46.46,46.90,46.43,46.82,710293
BCE,20180124,46.72,46.74,46.18,46.41,686897
BCE,20180123,46.53,46.68,46.245,46.45,708815
BCE,20180122,46.69,46.73,46.40,46.64,567913
BCE,20180119,46.57,46.83,46.43,46.45,528457
BCE,20180118,46.50,46.58,46.29,46.51,673304
BCE,20180117,46.62,46.6819,46.12,46.49,597717
BCE,20180116,46.81,46.84,46.46,46.46,659739
BCE,20180112,46.57,46.57,46.32,46.45,652025
BCE,20180111,46.55,46.89,46.35,46.68,895069
BCE,20180110,46.86,46.91,46.28,46.46,932406
BCE,20180109,47.44,47.44,46.85,46.91,820881
BCE,20180108,47.44,47.47,47.23,47.36,776320
BCE,20180105,47.95,47.97,47.52,47.57,825646
BCE,20180104,47.57,47.6348,47.41,47.58,615376
BCE,20180103,47.77,47.78,47.41,47.49,573304
BCE,20180102,48.04,48.27,47.76,47.80,542331
BCE,20171229,47.86,48.05,47.581,48.01,432289
BCE,20171228,47.65,47.80,47.34,47.79,597555
BCE,20171227,47.61,47.75,47.26,47.47,570077
BCE,20171226,47.50,47.81,47.48,47.61,251183
BCE,20171222,47.11,47.47,47.10,47.47,491294
BCE,20171221,47.25,47.57,47.18,47.34,623507
BCE,20171220,47.78,47.78,46.82,47.11,1011650
BCE,20171219,47.54,47.73,47.38,47.63,692740
BCE,20171218,47.64,47.78,47.44,47.54,801969
BCE,20171215,48.34,48.34,47.4138,47.64,1044288
BCE,20171214,48.32,48.47,48.05,48.34,740261
BCE,20171213,48.76,49.06,48.67,48.91,618037
BCE,20171212,48.71,48.86,48.56,48.60,775601
BCE,20171211,48.40,48.75,48.25,48.65,607705
BCE,20171208,48.25,48.50,48.21,48.38,552049
BCE,20171207,48.24,48.45,48.19,48.21,598111
BCE,20171206,48.54,48.71,48.28,48.36,518728
BCE,20171205,48.65,48.80,48.49,48.49,527612
BCE,20171204,48.63,48.63,48.26,48.42,542677
BCE,20171201,48.50,48.62,48.24,48.40,597147
BCE,20171130,47.94,48.25,47.74,47.81,913963
BCE,20171129,48.39,48.40,47.95,47.99,649175
BCE,20171128,48.73,48.78,48.39,48.39,493920
BCE,20171127,48.80,48.865,48.60,48.82,492375
BCE,20171124,48.40,48.64,48.37,48.53,283019
BCE,20171122,48.34,48.57,48.28,48.48,483112
BCE,20171121,48.24,48.50,48.19,48.24,559401
BCE,20171120,48.39,48.50,48.22,48.25,553399
BCE,20171117,48.18,48.40,48.03,48.37,551981
BCE,20171116,48.24,48.5932,48.18,48.20,568519
BCE,20171115,48.20,48.29,47.98,48.21,536256
BCE,20171114,48.10,48.46,48.04,48.35,532111
BCE,20171113,48.01,48.40,48.01,48.10,492390
BCE,20171110,47.91,48.32,47.85,48.22,512354
BCE,20171109,47.51,48.05,47.32,47.97,588085
BCE,20171108,47.89,47.90,47.50,47.67,680088
BCE,20171107,47.45,47.74,47.2837,47.74,862160
BCE,20171106,47.04,47.77,47.04,47.73,568479
BCE,20171103,47.62,47.64,47.37,47.45,730254
BCE,20171102,46.58,47.58,46.45,47.14,1296928
BCE,20171101,46.16,46.44,46.02,46.25,633125
BCE,20171031,46.24,46.5566,46.15,46.16,616726
BCE,20171030,46.38,46.56,46.28,46.47,523041
BCE,20171027,46.18,46.50,46.13,46.43,478813
BCE,20171026,46.33,46.60,46.20,46.22,467052
BCE,20171025,46.58,46.68,46.16,46.34,741127
BCE,20171024,46.92,47.01,46.57,46.61,647517
BCE,20171023,46.91,47.03,46.80,46.86,448786
BCE,20171020,47.11,47.20,46.77,46.82,565694
BCE,20171019,47.35,47.57,47.23,47.35,526505
BCE,20171018,47.52,47.55,47.21,47.38,556184
BCE,20171017,47.10,47.49,46.95,47.42,666500
BCE,20171016,47.14,47.20,46.91,47.04,600420
BCE,20171013,47.11,47.42,47.09,47.35,587960
BCE,20171012,47.14,47.26,46.98,47.07,587437
BCE,20171011,47.04,47.29,46.94,47.23,797681
BCE,20171010,46.97,47.12,46.83,47.00,620015
BCE,20171009,46.83,46.83,46.52,46.59,321406
BCE,20171006,46.7432,46.77,46.49,46.72,540644
BCE,20171005,46.86,47.06,46.63,46.71,545902
BCE,20171004,47.09,47.19,46.91,47.05,503081
BCE,20171003,46.84,47.04,46.62,46.93,539686
BCE,20171002,46.86,47.17,46.79,46.82,493257
BCE,20170929,46.92,46.9731,46.67,46.83,558310
BCE,20170928,46.46,47.20,46.40,46.92,734943
BCE,20170927,46.91,47.05,46.39,46.53,835634
BCE,20170926,47.08,47.08,46.59,46.92,786224
BCE,20170925,47.48,47.55,46.97,46.98,1001374
