<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BDN,20180516,15.78,15.89,15.54,15.57,1494209
BDN,20180515,16.00,16.10,15.69,15.75,1730164
BDN,20180514,16.46,16.50,16.085,16.15,1932752
BDN,20180511,16.79,16.8099,16.415,16.42,1851402
BDN,20180510,16.69,16.77,16.60,16.75,880007
BDN,20180509,16.45,16.62,16.43,16.59,860376
BDN,20180508,16.55,16.57,16.44,16.46,1171938
BDN,20180507,16.32,16.62,16.32,16.53,1368314
BDN,20180504,16.10,16.28,16.10,16.24,899099
BDN,20180503,16.09,16.23,16.05,16.14,787170
BDN,20180502,16.12,16.20,15.88,16.14,864817
BDN,20180501,16.11,16.28,16.07,16.21,945066
BDN,20180430,16.26,16.31,16.09,16.11,1380888
BDN,20180427,15.96,16.24,15.85,16.18,1011813
BDN,20180426,15.81,16.06,15.72,15.94,1009303
BDN,20180425,15.66,15.84,15.57,15.77,1210328
BDN,20180424,15.42,15.76,15.39,15.65,3027590
BDN,20180423,15.47,15.51,15.255,15.37,1261957
BDN,20180420,16.19,16.25,15.32,15.52,2037147
BDN,20180419,15.44,15.49,15.22,15.41,2727180
BDN,20180418,15.58,15.63,15.46,15.48,1340809
BDN,20180417,15.58,15.725,15.47,15.58,1787671
BDN,20180416,15.49,15.56,15.36,15.48,2697382
BDN,20180413,15.41,15.51,15.27,15.495,1099093
BDN,20180412,15.51,15.51,15.26,15.35,799956
BDN,20180411,15.38,15.64,15.35,15.51,1501658
BDN,20180410,15.42,15.47,15.30,15.41,971034
BDN,20180409,15.39,15.49,15.27,15.34,1033719
BDN,20180406,15.48,15.62,15.225,15.34,1106992
BDN,20180405,15.62,15.67,15.375,15.53,917731
BDN,20180404,15.33,15.66,15.33,15.60,1545149
BDN,20180403,15.29,15.585,15.25,15.50,1755211
BDN,20180402,15.87,15.89,15.32,15.43,1855262
BDN,20180329,15.85,15.965,15.79,15.88,1212661
BDN,20180328,15.53,15.865,15.51,15.80,1035196
BDN,20180327,15.43,15.675,15.285,15.43,1241534
BDN,20180326,15.45,15.48,15.205,15.45,1087523
BDN,20180323,15.66,15.685,15.26,15.32,1912883
BDN,20180322,15.80,15.94,15.67,15.68,1759867
BDN,20180321,16.07,16.09,15.72,15.83,1591751
BDN,20180320,16.07,16.18,15.995,16.06,1070900
BDN,20180319,16.14,16.14,15.91,16.07,1095925
BDN,20180316,16.09,16.17,15.96,16.14,2748967
BDN,20180315,16.09,16.11,15.94,16.07,1008285
BDN,20180314,16.06,16.13,15.94,16.06,769709
BDN,20180313,16.19,16.26,15.98,16.04,1748603
BDN,20180312,16.35,16.35,16.18,16.28,833090
BDN,20180309,16.24,16.39,16.10,16.37,883016
BDN,20180308,16.32,16.32,16.07,16.21,1235885
BDN,20180307,15.95,16.265,15.88,16.26,1537329
BDN,20180306,15.90,16.09,15.75,16.02,833440
BDN,20180305,15.61,15.98,15.60,15.90,1315740
BDN,20180302,15.67,15.705,15.45,15.69,942357
BDN,20180301,15.62,15.89,15.56,15.72,1398798
BDN,20180228,15.91,15.96,15.62,15.66,2079207
BDN,20180227,16.26,16.28,15.67,15.81,1604983
BDN,20180226,16.50,16.50,16.17,16.22,1342141
BDN,20180223,16.32,16.46,16.23,16.46,1060679
BDN,20180222,16.20,16.445,16.15,16.28,986659
BDN,20180221,16.40,16.485,16.11,16.12,1509855
BDN,20180220,16.46,16.58,16.41,16.41,1439016
BDN,20180216,16.24,16.56,16.24,16.52,1744439
BDN,20180215,16.10,16.325,16.04,16.27,1861050
BDN,20180214,16.01,16.09,15.86,16.02,1002180
BDN,20180213,16.12,16.21,15.85,16.15,790025
BDN,20180212,16.18,16.24,15.50,16.14,1675373
BDN,20180209,15.90,16.23,15.76,16.16,2251899
BDN,20180208,16.41,16.45,15.80,15.80,2152569
BDN,20180207,16.51,16.75,16.40,16.41,1591953
BDN,20180206,16.42,16.80,16.12,16.49,2186043
BDN,20180205,17.42,17.585,16.68,16.68,1701034
BDN,20180202,17.50,17.64,17.36,17.52,1059677
BDN,20180201,17.95,17.99,17.63,17.64,2897698
BDN,20180131,17.57,17.95,17.525,17.94,2424375
BDN,20180130,17.54,17.57,17.40,17.49,1720170
BDN,20180129,17.81,17.81,17.51,17.60,1314205
BDN,20180126,18.10,18.10,17.65,17.88,1468367
BDN,20180125,17.97,18.05,17.78,17.90,1452873
BDN,20180124,17.90,18.035,17.78,17.99,2371257
BDN,20180123,17.67,17.94,17.63,17.93,1746567
BDN,20180122,17.47,17.66,17.37,17.63,1059596
BDN,20180119,17.27,17.40,17.21,17.39,966562
BDN,20180118,17.42,17.44,17.195,17.25,1135590
BDN,20180117,17.24,17.47,17.16,17.42,1353020
BDN,20180116,17.26,17.44,17.12,17.14,2925704
BDN,20180112,17.30,17.41,17.20,17.20,1003976
BDN,20180111,17.45,17.52,17.31,17.33,665078
BDN,20180110,17.39,17.455,17.33,17.40,1310057
BDN,20180109,17.56,17.59,17.38,17.49,1121262
BDN,20180108,17.56,17.63,17.445,17.51,818564
BDN,20180105,17.73,17.82,17.63,17.79,734449
BDN,20180104,18.09,18.14,17.645,17.69,1359888
BDN,20180103,18.17,18.22,18.035,18.13,1420280
BDN,20180102,18.19,18.29,18.01,18.15,1086547
BDN,20171229,18.20,18.28,18.155,18.19,1384147
BDN,20171228,18.18,18.27,18.135,18.22,1310221
BDN,20171227,18.28,18.28,18.16,18.18,633731
BDN,20171226,18.18,18.30,18.11,18.21,606628
BDN,20171222,18.06,18.17,17.97,18.15,703996
BDN,20171221,18.11,18.20,18.02,18.05,2457819
