<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BLH,20180516,14.8252,14.8346,14.81,14.81,10914
BLH,20180515,14.81,14.82,14.81,14.82,3146
BLH,20180514,14.7631,14.7631,14.7631,14.7631,1960
BLH,20180511,14.7902,14.81,14.7901,14.81,3880
BLH,20180510,14.81,14.81,14.775,14.7976,16739
BLH,20180509,14.77,14.7999,14.77,14.7999,8575
BLH,20180508,14.79,14.80,14.71,14.80,12281
BLH,20180507,14.80,14.81,14.765,14.805,17887
BLH,20180503,14.78,14.78,14.7464,14.76,5007
BLH,20180502,14.719,14.765,14.719,14.765,400
BLH,20180501,14.719,14.77,14.71,14.77,8692
BLH,20180430,14.77,14.77,14.77,14.77,100
BLH,20180426,14.75,14.80,14.75,14.75,5585
BLH,20180425,14.71,14.71,14.71,14.71,100
BLH,20180424,14.75,14.7501,14.75,14.7501,23135
BLH,20180419,14.77,14.77,14.77,14.77,300
BLH,20180418,14.721,14.78,14.721,14.78,1041
BLH,20180417,14.75,14.77,14.74,14.76,8226
BLH,20180416,14.701,14.701,14.701,14.701,1600
BLH,20180413,14.77,14.77,14.74,14.74,9970
BLH,20180412,14.79,14.79,14.79,14.79,1498
BLH,20180409,14.75,14.75,14.7007,14.75,15797
BLH,20180406,14.7386,14.7386,14.7386,14.7386,136
BLH,20180405,14.70,14.7899,14.67,14.70,13208
BLH,20180404,14.75,14.75,14.75,14.75,101
BLH,20180403,14.7201,14.7201,14.7201,14.7201,609
BLH,20180329,14.731,14.76,14.72,14.75,5840
BLH,20180327,14.75,14.75,14.75,14.75,0
BLH,20180326,14.80,14.80,14.72,14.75,6300
BLH,20180323,14.77,14.80,14.77,14.80,3680
BLH,20180322,14.71,14.75,14.71,14.74,6077
BLH,20180321,14.7201,14.75,14.7201,14.75,4490
BLH,20180320,14.7328,14.7328,14.7328,14.7328,800
BLH,20180319,14.74,14.77,14.74,14.77,6499
BLH,20180316,14.74,14.74,14.74,14.74,200
BLH,20180315,14.77,14.77,14.745,14.77,6495
BLH,20180314,14.73,14.77,14.73,14.75,6808
BLH,20180313,14.741,14.77,14.67,14.77,15988
BLH,20180312,14.77,14.82,14.77,14.80,10888
BLH,20180309,14.78,14.78,14.78,14.78,0
BLH,20180308,14.7789,14.78,14.7789,14.78,1000
BLH,20180307,14.77,14.77,14.77,14.77,0
BLH,20180306,14.78,14.78,14.71,14.77,400
BLH,20180302,14.7106,14.7106,14.7106,14.7106,1000
BLH,20180301,14.77,14.77,14.77,14.77,0
BLH,20180228,14.725,14.77,14.725,14.77,9815
BLH,20180227,14.75,14.75,14.735,14.735,3476
BLH,20180226,14.74,14.75,14.7001,14.75,3863
BLH,20180223,14.7594,14.7594,14.7594,14.7594,1160
BLH,20180222,14.73,14.75,14.7006,14.75,8400
BLH,20180221,14.73,14.73,14.70,14.70,770
BLH,20180220,14.74,14.7455,14.73,14.73,4217
BLH,20180216,14.7133,14.76,14.7133,14.73,10072
BLH,20180215,14.73,14.7452,14.73,14.7452,2985
BLH,20180214,14.75,14.7501,14.75,14.75,7286
BLH,20180213,14.73,14.7566,14.73,14.75,60060
BLH,20180212,14.75,14.753,14.735,14.75,27844
BLH,20180209,14.73,14.74,14.71,14.74,4575
BLH,20180208,14.70,14.745,14.70,14.74,3650
BLH,20180207,14.73,14.75,14.73,14.74,14112
BLH,20180206,14.725,14.74,14.725,14.74,32623
BLH,20180205,14.73,14.7331,14.73,14.73,15514
BLH,20180202,14.72,14.73,14.72,14.73,502
BLH,20180201,14.71,14.7353,14.71,14.73,58086
BLH,20180131,14.715,14.73,14.71,14.73,19510
BLH,20180130,14.7201,14.7269,14.72,14.72,25000
BLH,20180129,14.73,14.74,14.73,14.74,38554
BLH,20180126,14.72,14.72,14.70,14.72,145812
BLH,20180125,14.71,14.7225,14.67,14.72,30790
BLH,20180124,14.72,14.72,14.72,14.72,22321
BLH,20180123,14.71,14.72,14.689,14.72,9600
BLH,20180122,14.73,14.73,14.70,14.715,16895
BLH,20180119,14.73,14.74,14.73,14.736,2600
BLH,20180118,14.7032,14.7032,14.7032,14.7032,500
BLH,20180117,14.72,14.72,14.72,14.72,3320
BLH,20180116,14.72,14.72,14.72,14.72,3655
BLH,20180112,14.7201,14.7485,14.72,14.72,6033
BLH,20180111,14.72,14.74,14.72,14.7399,3924
BLH,20180110,14.72,14.72,14.705,14.72,5250
BLH,20180109,14.71,14.73,14.71,14.7199,11974
BLH,20180108,14.71,14.7217,14.71,14.7217,7472
BLH,20180105,14.70,14.70,14.69,14.69,13499
BLH,20180104,14.71,14.727,14.6755,14.727,6409
BLH,20180103,14.695,14.695,14.695,14.695,2793
BLH,20180102,14.70,14.7066,14.70,14.7066,4800
BLH,20171229,14.67,14.75,14.66,14.70,29417
BLH,20171227,14.71,14.7227,14.66,14.706,33400
BLH,20171226,14.735,14.75,14.735,14.75,2020
BLH,20171222,14.68,14.7198,14.68,14.70,8660
BLH,20171221,14.75,14.75,14.75,14.75,2000
BLH,20171220,14.7604,14.7604,14.7555,14.7555,2000
BLH,20171219,14.72,14.7294,14.6845,14.6994,34571
BLH,20171218,14.76,14.761,14.75,14.7548,6400
BLH,20171215,14.75,14.762,14.75,14.75,7520
BLH,20171214,14.75,14.77,14.75,14.7653,2600
BLH,20171213,14.779,14.779,14.779,14.779,400
BLH,20171212,14.75,14.789,14.75,14.7785,14776
BLH,20171211,14.74,14.765,14.74,14.75,7647
BLH,20171208,14.799,14.799,14.76,14.76,3000
BLH,20171207,14.754,14.762,14.75,14.75,11466
BLH,20171206,14.7701,14.79,14.75,14.77,8833
BLH,20171205,14.81,14.81,14.76,14.78,7217
BLH,20171204,14.83,14.83,14.765,14.81,21455
BLH,20171201,14.8599,14.8599,14.815,14.82,10800
BLH,20171130,14.88,14.88,14.86,14.86,1700
BLH,20171129,14.86,14.86,14.85,14.85,2007
BLH,20171128,14.94,14.94,14.8601,14.8726,5056
BLH,20171127,14.8686,14.9199,14.86,14.86,9249
BLH,20171122,14.916,14.916,14.8601,14.8601,8250
BLH,20171121,14.909,14.91,14.88,14.88,3664
BLH,20171120,14.90,14.90,14.8999,14.90,1500
BLH,20171117,14.885,14.90,14.885,14.90,800
BLH,20171116,14.88,14.90,14.88,14.88,1695
BLH,20171115,14.91,14.9229,14.90,14.90,6570
BLH,20171114,14.8899,14.9099,14.8899,14.9099,2605
BLH,20171113,14.92,14.92,14.92,14.92,1677
BLH,20171110,14.85,14.8999,14.83,14.8999,9375
BLH,20171109,14.92,14.92,14.85,14.8825,13275
BLH,20171107,14.87,14.9099,14.87,14.88,3400
BLH,20171106,14.87,14.9191,14.87,14.87,6040
BLH,20171103,14.8816,14.8816,14.86,14.86,700
BLH,20171102,14.91,14.91,14.89,14.91,3800
BLH,20171101,14.9199,14.9199,14.9199,14.9199,1000
BLH,20171031,14.9001,14.9001,14.90,14.90,600
BLH,20171030,14.8906,14.923,14.87,14.92,14799
BLH,20171027,14.93,14.95,14.9186,14.9411,3676
BLH,20171025,14.8978,14.94,14.8901,14.94,1717
BLH,20171024,14.9201,14.9201,14.9201,14.9201,880
BLH,20171023,14.94,14.95,14.89,14.95,5000
