<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BNS,20180423,60.21,60.41,60.10,60.32,365443
BNS,20180420,60.06,60.52,60.06,60.28,402488
BNS,20180419,60.93,60.99,60.13,60.31,435717
BNS,20180418,60.91,61.36,60.70,60.87,404136
BNS,20180417,61.20,61.20,60.73,60.86,396633
BNS,20180416,60.91,61.04,60.55,60.83,386986
BNS,20180413,61.44,61.44,60.54,60.66,414581
BNS,20180412,61.33,61.45,60.92,61.05,375798
BNS,20180411,61.27,61.75,61.1899,61.31,392193
BNS,20180410,61.65,61.91,61.44,61.56,470826
BNS,20180409,60.61,61.27,60.41,60.92,523973
BNS,20180406,60.56,60.9557,60.00,60.35,632803
BNS,20180405,60.58,61.06,60.39,60.99,760435
BNS,20180404,59.76,60.35,59.52,60.19,731229
BNS,20180403,60.60,60.80,60.055,60.52,634275
BNS,20180402,60.98,60.98,59.59,60.24,818558
BNS,20180329,61.12,61.80,60.79,61.69,909598
BNS,20180328,60.81,61.33,60.40,60.72,834198
BNS,20180327,61.67,61.73,60.64,60.91,657097
BNS,20180326,61.91,62.02,61.14,61.59,708659
BNS,20180323,62.67,63.05,61.40,61.57,862524
BNS,20180322,62.80,62.89,62.05,62.33,800489
BNS,20180321,63.05,63.53,62.93,63.25,740114
BNS,20180320,63.03,63.12,62.62,62.63,744962
BNS,20180319,62.95,63.1252,62.35,63.01,576124
BNS,20180316,62.85,63.21,62.78,62.85,763983
BNS,20180315,63.20,63.21,62.77,62.89,657699
BNS,20180314,63.15,63.29,62.64,63.24,653774
BNS,20180313,63.06,63.24,62.645,62.67,628912
BNS,20180312,62.98,63.50,62.7975,62.91,357419
BNS,20180309,62.49,63.11,62.03,63.02,620782
BNS,20180308,61.78,62.09,61.64,62.05,502377
BNS,20180307,61.11,61.68,60.965,61.59,489028
BNS,20180306,61.34,61.71,61.21,61.55,468281
BNS,20180305,60.40,61.22,60.20,60.86,828809
BNS,20180302,61.08,61.55,60.86,61.21,871813
BNS,20180301,62.01,62.14,61.16,61.81,899303
