<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BRKB,20180423,200.22,200.84,198.52,199.42,1916621
BRKB,20180420,200.94,201.00,198.92,200.13,2830298
BRKB,20180419,199.99,201.48,199.1999,200.38,2132201
BRKB,20180418,200.24,200.94,199.40,199.51,2279809
BRKB,20180417,199.85,200.66,198.90,199.27,2378050
BRKB,20180416,198.65,199.95,197.55,198.22,3140251
BRKB,20180413,199.60,199.85,196.00,197.00,2522019
BRKB,20180412,196.50,199.60,196.29,198.13,2907563
BRKB,20180411,196.60,197.04,194.92,195.22,2622239
BRKB,20180410,198.16,199.70,197.05,197.80,2629071
BRKB,20180409,196.73,198.63,194.95,195.33,3146944
BRKB,20180406,199.70,199.85,193.74,195.49,4383833
BRKB,20180405,201.17,202.77,200.27,200.85,3454067
BRKB,20180404,194.02,200.53,194.00,200.11,3309608
BRKB,20180403,196.00,198.24,193.91,197.96,3402941
BRKB,20180402,199.01,199.61,192.02,195.00,4997518
BRKB,20180329,198.08,201.01,197.33,199.34,2807278
BRKB,20180328,196.17,198.72,193.78,196.69,3107688
BRKB,20180327,200.48,201.44,194.44,196.15,3863991
BRKB,20180326,196.90,199.57,195.0801,199.32,3597828
BRKB,20180323,198.00,198.29,191.87,192.46,5604806
BRKB,20180322,203.18,203.19,196.99,197.63,5422827
BRKB,20180321,205.38,207.27,204.00,204.83,2386229
BRKB,20180320,204.25,205.60,203.80,204.75,2213429
BRKB,20180319,206.87,207.06,202.64,203.99,3359148
BRKB,20180316,208.56,208.97,206.46,206.96,4706719
BRKB,20180315,208.29,209.32,207.61,207.82,2756687
BRKB,20180314,210.40,210.40,206.23,206.99,2905611
BRKB,20180313,212.69,213.04,208.80,209.13,3749184
BRKB,20180312,213.20,213.36,211.24,211.82,3623918
BRKB,20180309,206.95,213.24,206.25,212.80,3540792
BRKB,20180308,204.32,205.49,203.03,205.29,2360060
BRKB,20180307,202.35,204.83,201.75,204.49,2332424
BRKB,20180306,204.86,204.86,202.37,204.55,2489603
BRKB,20180305,199.60,204.1256,199.12,203.24,3250144
BRKB,20180302,199.98,201.974,198.98,201.34,4127973
BRKB,20180301,206.82,208.5699,200.28,201.37,4608210
BRKB,20180228,211.00,211.535,200.47,207.20,4393768
BRKB,20180227,212.00,213.13,209.65,209.66,4528765
BRKB,20180226,207.71,211.14,205.36,210.62,6233268
