<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BSX,20180706,29.71,30.16,29.545,29.97,6876509
BSX,20180705,29.71,30.16,29.545,29.97,6876509
BSX,20180703,29.71,30.16,29.545,29.97,6876509
BSX,20180702,29.71,30.16,29.545,29.97,6876509
BSX,20180629,29.71,30.16,29.545,29.97,6876509
BSX,20180628,29.71,30.16,29.545,29.97,6876509
BSX,20180627,29.71,30.16,29.545,29.97,6876509
BSX,20180626,29.71,30.16,29.545,29.97,6876509
BSX,20180625,29.71,30.16,29.545,29.97,6876509
BSX,20180622,29.71,30.16,29.545,29.97,6876509
BSX,20180621,29.71,30.16,29.545,29.97,6876509
BSX,20180620,29.71,30.16,29.545,29.97,6876509
BSX,20180619,29.71,30.16,29.545,29.97,6876509
BSX,20180618,29.71,30.16,29.545,29.97,6876509
BSX,20180615,29.71,30.16,29.545,29.97,6876509
BSX,20180614,29.71,30.16,29.545,29.97,6876509
BSX,20180613,29.71,30.16,29.545,29.97,6876509
BSX,20180612,29.71,30.16,29.545,29.97,6876509
BSX,20180611,29.71,30.16,29.545,29.97,6876509
BSX,20180608,29.71,30.16,29.545,29.97,6876509
BSX,20180607,29.71,30.16,29.545,29.97,6876509
BSX,20180606,29.71,30.16,29.545,29.97,6876509
BSX,20180605,29.71,30.16,29.545,29.97,6876509
BSX,20180604,29.71,30.16,29.545,29.97,6876509
BSX,20180601,29.71,30.16,29.545,29.97,6876509
BSX,20180531,29.71,30.16,29.545,29.97,6876509
BSX,20180530,29.71,30.16,29.545,29.97,6876509
BSX,20180529,29.71,30.16,29.545,29.97,6876509
BSX,20180525,29.71,30.16,29.545,29.97,6876509
BSX,20180524,29.71,30.16,29.545,29.97,6876509
BSX,20180523,29.71,30.16,29.545,29.97,6876509
BSX,20180522,29.71,30.16,29.545,29.97,6876509
BSX,20180521,29.71,30.16,29.545,29.97,6876509
BSX,20180518,29.71,30.16,29.545,29.97,6876509
BSX,20180517,29.71,30.16,29.545,29.97,6876509
BSX,20180516,29.71,30.16,29.545,29.97,6876509
BSX,20180515,29.7,29.77,29.415,29.62,4915438
BSX,20180514,29.73,30.35,29.73,29.86,8264490
BSX,20180511,30.13,30.405,29.82,29.97,5738393
BSX,20180510,29.95,30.29,29.795,30.28,3631428
BSX,20180509,29.93,29.995,29.64,29.83,3469915
BSX,20180508,29.78,29.91,29.55,29.83,4031446
BSX,20180507,29.58,30.155,29.57,29.94,4660168
BSX,20180504,29.3,29.725,29.175,29.55,4627367
BSX,20180503,29.09,29.6,28.87,29.43,7295060
BSX,20180502,29.31,29.585,29.13,29.27,6370236
BSX,20180501,28.74,29.48,28.71,29.48,9122800
BSX,20180430,29.24,29.4,28.72,28.72,15975860
BSX,20180427,29.45,29.48,29.215,29.23,4083586
BSX,20180426,29.57,29.68,29.2,29.45,6488143
BSX,20180425,28.35,29.45,27.91,29.42,13987682
BSX,20180424,28.86,29.0,28.09,28.5,7341742
BSX,20180423,29.04,29.04,28.62,28.82,4765037
BSX,20180420,28.93,29.15,28.82,28.84,8365340
BSX,20180419,28.94,29.13,28.79,28.89,5104075
BSX,20180418,28.91,29.18,28.79,28.94,4876750
BSX,20180417,29.0,29.08,28.53,28.86,8137207
BSX,20180416,28.52,28.96,28.5,28.83,8132668
BSX,20180413,28.49,28.71,28.19,28.3,6459468
BSX,20180412,28.52,28.74,28.19,28.23,10274528
BSX,20180411,27.62,27.96,27.61,27.93,4089715
BSX,20180410,27.89,28.17,27.74,27.9,5138034
BSX,20180409,27.59,27.96,27.39,27.51,4514994
BSX,20180406,27.77,27.97,27.07,27.35,5364814
