<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BVN,20180503,15.61,15.71,15.445,15.54,689246
BVN,20180502,16.15,16.20,15.10,15.42,1683175
BVN,20180501,15.85,16.09,15.771,16.08,621772
BVN,20180430,15.85,16.02,15.85,15.95,577221
BVN,20180427,15.89,16.07,15.70,16.00,526599
BVN,20180426,16.16,16.20,16.02,16.09,664100
BVN,20180425,16.08,16.26,16.06,16.17,636967
BVN,20180424,16.45,16.53,16.285,16.30,609649
BVN,20180423,16.52,16.52,16.21,16.40,367093
BVN,20180420,16.60,16.6999,16.38,16.56,788702
BVN,20180419,16.55,16.75,16.14,16.71,1009559
BVN,20180418,16.55,16.77,16.29,16.48,1669906
BVN,20180417,16.36,16.57,16.22,16.39,646200
BVN,20180416,16.47,16.61,16.385,16.40,582807
BVN,20180413,16.65,16.69,16.31,16.37,675070
BVN,20180412,16.46,16.80,16.37,16.52,2229139
BVN,20180411,16.21,16.60,16.10,16.47,2416036
BVN,20180410,16.03,16.21,15.96,16.04,1379220
BVN,20180409,15.91,16.00,15.76,15.93,485524
BVN,20180406,15.95,16.10,15.87,15.94,636023
BVN,20180405,15.84,16.05,15.81,15.88,998071
BVN,20180404,15.80,16.01,15.60,15.97,1139473
BVN,20180403,15.48,15.71,15.38,15.60,1191255
BVN,20180402,15.37,15.72,15.288,15.55,783150
BVN,20180329,14.88,15.27,14.87,15.23,711129
BVN,20180328,14.55,14.85,14.47,14.81,654511
BVN,20180327,14.64,14.81,14.31,14.65,1550306
BVN,20180326,14.98,14.98,14.69,14.87,530216
BVN,20180323,15.03,15.11,14.74,14.84,810979
BVN,20180322,14.85,15.05,14.68,14.70,494885
BVN,20180321,14.65,15.10,14.58,14.94,1451003
BVN,20180320,14.28,14.70,14.26,14.47,1337791
BVN,20180319,14.41,14.58,14.285,14.40,975528
BVN,20180316,14.65,14.81,14.33,14.37,4026747
BVN,20180315,14.99,15.02,14.53,14.62,1491460
BVN,20180314,15.12,15.20,14.90,15.08,1205143
BVN,20180313,15.57,15.57,14.96,15.08,869281
BVN,20180312,15.28,15.62,15.10,15.52,964807
BVN,20180309,15.22,15.575,15.13,15.33,311350
BVN,20180308,15.18,15.33,14.89,15.24,387634
BVN,20180307,15.69,15.80,15.11,15.16,811906
BVN,20180306,16.02,16.53,15.63,15.72,2417165
BVN,20180305,15.99,16.02,15.69,15.82,684891
BVN,20180302,16.00,16.05,15.71,15.97,927441
BVN,20180301,15.46,15.93,15.24,15.87,1372218
BVN,20180228,15.64,15.76,15.50,15.565,825416
BVN,20180227,15.94,16.02,15.43,15.67,788094
BVN,20180226,15.92,16.14,15.77,16.09,1146766
BVN,20180223,15.69,15.78,15.52,15.71,613307
BVN,20180222,15.49,15.845,15.46,15.72,725154
BVN,20180221,15.56,15.92,15.36,15.45,1022561
BVN,20180220,15.30,15.70,15.16,15.45,590736
BVN,20180216,16.03,16.16,15.56,15.71,923523
BVN,20180215,16.13,16.13,15.76,16.07,753809
BVN,20180214,15.02,16.185,15.01,16.09,1609976
BVN,20180213,15.19,15.22,14.98,15.07,701759
BVN,20180212,14.47,15.19,14.47,15.07,1529111
BVN,20180209,14.58,14.68,14.13,14.43,2169485
BVN,20180208,14.72,14.8875,14.56,14.62,1119380
BVN,20180207,14.87,15.12,14.67,14.73,1127471
BVN,20180206,15.11,15.19,14.805,14.925,1136956
BVN,20180205,15.21,15.43,15.09,15.20,1759630
BVN,20180202,15.50,15.63,15.17,15.20,1263446
BVN,20180201,15.30,15.81,15.28,15.75,1049607
BVN,20180131,15.48,15.59,15.05,15.43,1376797
BVN,20180130,15.80,15.85,15.24,15.30,2002576
BVN,20180129,16.00,16.26,15.70,15.71,1339842
BVN,20180126,15.80,16.24,15.71,16.22,2169671
BVN,20180125,15.89,16.02,15.57,15.85,1710383
BVN,20180124,15.32,15.86,15.29,15.79,1920470
BVN,20180123,15.05,15.275,14.87,15.18,1232045
BVN,20180122,15.07,15.31,14.88,15.21,1034209
BVN,20180119,14.99,15.105,14.88,15.02,1380871
BVN,20180118,14.75,15.20,14.70,14.77,1728853
BVN,20180117,14.82,15.04,14.66,14.73,1004594
BVN,20180116,14.65,14.92,14.45,14.86,1355658
BVN,20180112,14.37,14.69,14.25,14.67,1048473
BVN,20180111,14.16,14.27,14.10,14.22,572875
BVN,20180110,14.37,14.38,14.13,14.19,642890
BVN,20180109,14.28,14.32,14.10,14.19,612624
BVN,20180108,14.83,14.84,14.28,14.35,1236722
BVN,20180105,14.95,15.15,14.81,14.84,993437
BVN,20180104,14.66,15.12,14.56,15.02,1735514
BVN,20180103,14.53,14.89,14.35,14.62,1468606
BVN,20180102,14.16,14.54,13.99,14.52,1592922
BVN,20171229,14.15,14.17,14.00,14.08,816211
BVN,20171228,14.06,14.19,13.99,14.05,741909
BVN,20171227,13.97,14.05,13.71,13.99,627019
BVN,20171226,13.80,14.10,13.68,13.99,829264
BVN,20171222,13.81,13.98,13.655,13.70,607195
BVN,20171221,13.53,13.75,13.51,13.72,562171
BVN,20171220,13.28,13.66,13.24,13.60,1103316
BVN,20171219,13.20,13.28,12.98,13.23,1118344
BVN,20171218,12.89,13.24,12.71,13.21,1219043
BVN,20171215,13.01,13.13,12.75,12.78,1915425
BVN,20171214,13.19,13.21,12.85,12.90,1501723
BVN,20171213,13.00,13.38,12.93,13.18,1902130
BVN,20171212,12.85,13.29,12.85,13.00,2130134
BVN,20171211,13.11,13.16,12.69,12.81,2474814
BVN,20171208,13.13,13.34,13.10,13.16,809668
BVN,20171207,12.90,13.23,12.83,13.11,1056574
BVN,20171206,13.26,13.31,13.04,13.18,1231872
BVN,20171205,13.48,13.55,13.31,13.38,1030644
BVN,20171204,13.85,13.94,13.605,13.67,826854
BVN,20171201,13.97,14.32,13.80,13.96,711959
BVN,20171130,13.97,14.09,13.65,13.99,1763409
BVN,20171129,13.90,14.215,13.88,14.07,931717
BVN,20171128,14.21,14.24,13.93,14.07,502797
BVN,20171127,14.30,14.345,14.17,14.26,488299
BVN,20171124,14.29,14.38,14.19,14.32,456571
BVN,20171122,14.37,14.37,14.25,14.30,1013169
BVN,20171121,13.99,14.41,13.99,14.30,972323
BVN,20171120,13.74,14.12,13.70,13.86,1085053
BVN,20171117,13.51,13.79,13.34,13.77,1384054
BVN,20171116,13.60,13.69,13.34,13.42,880748
BVN,20171115,13.85,13.88,13.58,13.60,1193863
BVN,20171114,13.71,14.17,13.71,13.86,797131
BVN,20171113,13.85,13.89,13.65,13.81,663762
BVN,20171110,14.16,14.17,13.78,13.84,736205
BVN,20171109,14.22,14.305,14.05,14.12,1127454
BVN,20171108,14.49,14.49,14.22,14.22,839527
BVN,20171107,14.55,14.58,14.20,14.36,699090
BVN,20171106,14.42,14.59,14.21,14.56,1345437
BVN,20171103,14.54,14.57,14.3501,14.39,813473
BVN,20171102,14.25,14.596,14.11,14.54,1543451
BVN,20171101,13.85,14.39,13.80,14.25,2009119
BVN,20171031,13.66,13.82,13.47,13.79,986446
