<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BWG,20180423,12.71,12.74,12.56,12.58,34032
BWG,20180420,12.75,12.81,12.64,12.71,285911
BWG,20180419,12.82,12.8222,12.74,12.79,90789
BWG,20180418,12.81,12.889,12.80,12.87,48848
BWG,20180417,12.87,12.87,12.82,12.85,31578
BWG,20180416,12.82,12.86,12.82,12.82,29367
BWG,20180413,12.81,12.85,12.81,12.85,22100
BWG,20180412,12.79,12.91,12.79,12.82,36549
BWG,20180411,12.72,12.91,12.72,12.82,34124
BWG,20180410,12.92,12.94,12.81,12.84,42412
BWG,20180409,12.92,12.95,12.88,12.89,25666
BWG,20180406,12.89,12.9038,12.86,12.9038,37060
BWG,20180405,12.90,12.94,12.86,12.89,24265
BWG,20180404,12.75,12.9199,12.75,12.85,52182
BWG,20180403,13.03,13.03,12.93,12.97,55940
BWG,20180402,13.01,13.01,12.8604,12.95,42611
BWG,20180329,12.85,12.94,12.82,12.89,29822
BWG,20180328,12.81,12.83,12.7407,12.83,16148
BWG,20180327,12.79,12.80,12.75,12.77,31398
BWG,20180326,12.67,12.76,12.67,12.74,72509
BWG,20180323,12.83,12.83,12.68,12.69,28872
BWG,20180322,12.63,12.73,12.58,12.73,32551
BWG,20180321,12.72,12.80,12.72,12.74,32414
BWG,20180320,12.76,12.78,12.734,12.76,33101
BWG,20180319,12.80,12.8499,12.76,12.78,43833
BWG,20180316,12.83,12.8387,12.80,12.803,27624
BWG,20180315,12.90,12.90,12.8201,12.83,23517
BWG,20180314,12.88,12.941,12.83,12.92,115903
BWG,20180313,12.83,12.91,12.80,12.80,44594
BWG,20180312,12.95,12.95,12.83,12.83,45936
BWG,20180309,13.03,13.03,12.91,12.93,30941
BWG,20180308,12.91,12.93,12.88,12.90,31123
BWG,20180307,12.87,12.9699,12.856,12.92,37307
BWG,20180306,12.79,12.88,12.79,12.83,31913
BWG,20180305,12.68,12.795,12.68,12.75,28057
BWG,20180302,12.79,12.80,12.74,12.74,81982
BWG,20180301,12.88,12.93,12.78,12.81,59739
BWG,20180228,12.81,12.89,12.80,12.85,266058
BWG,20180227,12.90,12.96,12.82,12.82,64845
BWG,20180226,12.86,12.9401,12.86,12.94,32764
BWG,20180223,12.90,12.92,12.84,12.86,133400
BWG,20180222,12.79,12.84,12.763,12.82,28215
BWG,20180221,12.72,12.8199,12.72,12.74,86282
BWG,20180220,12.80,12.87,12.69,12.76,269083
BWG,20180216,12.80,12.86,12.80,12.80,62514
BWG,20180215,12.835,12.85,12.78,12.82,56357
BWG,20180214,12.79,12.829,12.75,12.81,51494
BWG,20180213,12.82,12.96,12.77,12.83,268312
BWG,20180212,12.88,12.88,12.75,12.83,39762
BWG,20180209,12.78,12.8699,12.72,12.79,60771
BWG,20180208,12.93,12.93,12.75,12.78,212524
BWG,20180207,12.83,13.0099,12.83,12.92,61535
BWG,20180206,12.59,13.06,12.59,12.8611,89163
BWG,20180205,12.84,12.96,12.7691,12.78,66329
BWG,20180202,13.17,13.18,12.95,12.96,54342
BWG,20180201,13.22,13.2544,13.05,13.21,58670
BWG,20180131,13.22,13.26,13.10,13.18,70125
BWG,20180130,13.10,13.19,13.05,13.1607,42660
BWG,20180129,13.36,13.36,13.11,13.1298,74393
BWG,20180126,13.41,13.417,13.34,13.38,22830
BWG,20180125,13.30,13.44,13.29,13.40,98396
BWG,20180124,13.28,13.30,13.214,13.30,71731
BWG,20180123,13.29,13.29,13.17,13.24,53101
BWG,20180122,13.31,13.322,13.23,13.26,32448
BWG,20180119,13.37,13.379,13.26,13.28,65922
BWG,20180118,13.31,13.37,13.23,13.37,106236
BWG,20180117,13.47,13.47,13.35,13.38,59869
BWG,20180116,13.56,13.56,13.40,13.43,75397
BWG,20180112,13.29,13.43,13.19,13.40,144146
BWG,20180111,13.24,13.29,13.185,13.27,63318
BWG,20180110,13.06,13.22,13.05,13.17,120142
BWG,20180109,13.18,13.2099,13.0474,13.17,174974
BWG,20180108,13.17,13.19,13.04,13.11,229598
BWG,20180105,13.06,13.15,13.05,13.13,115124
BWG,20180104,13.00,13.07,12.99,13.05,57733
BWG,20180103,12.81,12.95,12.81,12.95,50134
BWG,20180102,12.86,12.8803,12.83,12.84,44798
BWG,20171229,12.77,12.89,12.7462,12.77,72655
BWG,20171228,12.70,12.76,12.68,12.76,59319
BWG,20171227,12.64,12.75,12.64,12.67,75526
BWG,20171226,12.66,12.7021,12.63,12.67,90560
BWG,20171222,12.75,12.77,12.635,12.65,77359
BWG,20171221,12.76,12.79,12.68,12.72,60476
BWG,20171220,12.89,12.89,12.70,12.81,49508
BWG,20171219,12.94,12.94,12.83,12.83,43097
BWG,20171218,12.95,13.02,12.94,12.94,66743
BWG,20171215,12.94,13.01,12.8503,13.01,41158
BWG,20171214,12.91,12.939,12.87,12.89,56261
BWG,20171213,12.85,12.91,12.81,12.91,89745
BWG,20171212,12.87,12.87,12.76,12.86,86933
BWG,20171211,12.88,12.88,12.79,12.84,54388
BWG,20171208,13.01,13.01,12.77,12.86,104182
BWG,20171207,12.96,12.97,12.89,12.89,51622
BWG,20171206,12.89,12.94,12.86,12.94,37655
BWG,20171205,12.84,12.92,12.80,12.92,45388
BWG,20171204,12.85,12.86,12.76,12.81,53986
BWG,20171201,12.76,12.87,12.7054,12.85,57487
BWG,20171130,12.77,12.829,12.73,12.77,77282
BWG,20171129,12.92,12.96,12.77,12.79,42585
BWG,20171128,12.92,12.98,12.87,12.945,65837
BWG,20171127,12.97,12.9702,12.90,12.95,40039
BWG,20171124,12.88,12.93,12.81,12.93,17385
BWG,20171122,12.82,12.85,12.79,12.83,59006
BWG,20171121,12.82,12.9045,12.81,12.87,77650
BWG,20171120,12.82,12.88,12.78,12.82,49714
BWG,20171117,12.70,12.80,12.70,12.78,46164
BWG,20171116,12.60,12.83,12.60,12.83,39932
BWG,20171115,12.56,12.56,12.46,12.54,83411
BWG,20171114,12.57,12.67,12.53,12.56,119737
BWG,20171113,12.91,12.92,12.55,12.64,189047
BWG,20171110,13.01,13.01,12.92,13.00,53401
BWG,20171109,13.10,13.10,12.9534,12.99,37777
BWG,20171108,12.96,13.12,12.9209,13.12,37758
BWG,20171107,12.99,13.0436,12.94,12.95,68328
BWG,20171106,13.04,13.04,12.94,12.99,79077
BWG,20171103,13.13,13.14,12.98,13.04,41734
BWG,20171102,13.03,13.09,13.02,13.09,41220
BWG,20171101,13.08,13.09,13.016,13.05,74221
BWG,20171031,12.99,13.01,12.934,13.00,87320
BWG,20171030,12.95,12.98,12.92,12.93,39489
BWG,20171027,12.85,12.92,12.85,12.92,62014
BWG,20171026,12.95,12.95,12.74,12.82,144728
BWG,20171025,13.11,13.11,12.84,12.93,137785
BWG,20171024,13.11,13.16,13.03,13.08,135961
BWG,20171023,13.17,13.17,13.06,13.12,98170
BWG,20171020,13.24,13.24,13.14,13.16,85376
BWG,20171019,13.16,13.22,13.137,13.17,81978
BWG,20171018,13.23,13.30,13.21,13.25,201267
BWG,20171017,13.22,13.25,13.151,13.23,85354
BWG,20171016,13.27,13.32,13.25,13.26,90475
BWG,20171013,13.29,13.32,13.27,13.29,89472
BWG,20171012,13.32,13.32,13.21,13.28,80590
BWG,20171011,13.29,13.32,13.25,13.29,72737
BWG,20171010,13.27,13.28,13.22,13.2798,146510
BWG,20171009,13.36,13.36,13.22,13.24,88786
BWG,20171006,13.48,13.48,13.29,13.33,97679
BWG,20171005,13.48,13.48,13.37,13.41,115432
BWG,20171004,13.41,13.447,13.40,13.42,128147
BWG,20171003,13.45,13.48,13.40,13.48,69065
BWG,20171002,13.45,13.4911,13.38,13.44,173503
BWG,20170929,13.40,13.44,13.36,13.44,44081
BWG,20170928,13.48,13.5228,13.34,13.34,56822
BWG,20170927,13.61,13.61,13.43,13.46,51441
BWG,20170926,13.58,13.5897,13.55,13.55,40455
BWG,20170925,13.59,13.6101,13.5399,13.56,53909
BWG,20170922,13.55,13.60,13.55,13.59,37013
BWG,20170921,13.60,13.60,13.51,13.53,36634
BWG,20170920,13.72,13.74,13.58,13.63,104799
BWG,20170919,13.66,13.66,13.5702,13.61,52138
BWG,20170918,13.62,13.64,13.605,13.64,31539
BWG,20170915,13.63,13.64,13.59,13.6121,60926
BWG,20170914,13.59,13.62,13.5566,13.62,22023
BWG,20170913,13.72,13.72,13.62,13.63,67109
BWG,20170912,13.68,13.72,13.62,13.72,70963
BWG,20170911,13.67,13.72,13.63,13.66,147992
BWG,20170908,13.64,13.673,13.59,13.65,113013
BWG,20170907,13.63,13.67,13.61,13.63,166469
BWG,20170906,13.60,13.62,13.54,13.61,38723
BWG,20170905,13.57,13.605,13.54,13.55,64556
BWG,20170901,13.58,13.59,13.535,13.59,56699
BWG,20170831,13.51,13.57,13.4801,13.57,32168
BWG,20170830,13.42,13.52,13.41,13.48,83940
BWG,20170829,13.49,13.51,13.40,13.42,79777
BWG,20170828,13.52,13.53,13.45,13.49,62309
BWG,20170825,13.46,13.64,13.42,13.52,42949
BWG,20170824,13.42,13.47,13.40,13.41,111780
BWG,20170823,13.40,13.42,13.3453,13.42,45084
BWG,20170822,13.44,13.49,13.43,13.48,61118
BWG,20170821,13.38,13.45,13.3799,13.40,32850
BWG,20170818,13.35,13.42,13.34,13.39,80062
BWG,20170817,13.36,13.47,13.36,13.39,38700
BWG,20170816,13.39,13.43,13.37,13.40,137725
BWG,20170815,13.46,13.46,13.35,13.41,43683
BWG,20170814,13.39,13.4495,13.39,13.44,28201
BWG,20170811,13.23,13.37,13.15,13.32,50377
BWG,20170810,13.39,13.39,13.17,13.26,149263
BWG,20170809,13.39,13.4705,13.31,13.39,84206
BWG,20170808,13.66,13.66,13.53,13.54,25081
BWG,20170807,13.70,13.70,13.62,13.67,31877
BWG,20170804,13.70,13.70,13.605,13.69,44860
BWG,20170803,13.68,13.72,13.645,13.71,115656
BWG,20170802,13.68,13.68,13.57,13.61,66894
BWG,20170801,13.65,13.74,13.56,13.60,72131
BWG,20170731,13.60,13.66,13.56,13.61,39872
BWG,20170728,13.55,13.59,13.49,13.52,29965
BWG,20170727,13.57,13.619,13.51,13.60,27060
BWG,20170726,13.56,13.5798,13.45,13.52,46124
BWG,20170725,13.67,13.67,13.53,13.54,35676
BWG,20170724,13.73,13.73,13.61,13.67,31744
BWG,20170721,13.63,13.71,13.604,13.71,60636
BWG,20170720,13.71,13.71,13.59,13.60,49058
BWG,20170719,13.55,13.67,13.54,13.61,53770
BWG,20170718,13.60,13.63,13.5759,13.61,61429
BWG,20170717,13.54,13.58,13.48,13.58,33276
BWG,20170714,13.54,13.57,13.43,13.55,59421
BWG,20170713,13.43,13.47,13.38,13.45,44517
BWG,20170712,13.32,13.39,13.31,13.38,49204
BWG,20170711,13.29,13.32,13.22,13.26,43364
BWG,20170710,13.11,13.29,13.11,13.21,89329
BWG,20170707,13.02,13.10,12.97,13.10,104026
BWG,20170706,13.09,13.09,12.93,12.97,99035
BWG,20170705,13.20,13.20,13.006,13.06,57371
BWG,20170703,13.29,13.31,13.22,13.26,26381
BWG,20170630,13.21,13.275,13.18,13.23,45423
BWG,20170629,13.42,13.44,13.21,13.21,79668
BWG,20170628,13.45,13.52,13.45,13.47,43421
BWG,20170627,13.55,13.58,13.45,13.48,55781
BWG,20170626,13.52,13.60,13.52,13.58,69256
BWG,20170623,13.54,13.54,13.43,13.51,37027
BWG,20170622,13.46,13.52,13.42,13.52,51036
BWG,20170621,13.45,13.50,13.37,13.39,106083
BWG,20170620,13.53,13.555,13.4814,13.49,42039
BWG,20170619,13.56,13.60,13.52,13.60,27233
BWG,20170616,13.52,13.57,13.48,13.51,29876
BWG,20170615,13.48,13.54,13.43,13.48,68956
BWG,20170614,13.45,13.57,13.42,13.45,58828
BWG,20170613,13.46,13.47,13.37,13.47,21422
BWG,20170612,13.42,13.44,13.3444,13.44,30362
BWG,20170609,13.37,13.41,13.32,13.39,36726
BWG,20170608,13.44,13.4547,13.35,13.35,50721
BWG,20170607,13.47,13.50,13.37,13.43,41804
BWG,20170606,13.40,13.54,13.3902,13.46,140354
BWG,20170605,13.34,13.42,13.3168,13.38,72034
BWG,20170602,13.24,13.339,13.24,13.32,38660
BWG,20170601,13.19,13.26,13.18,13.24,121981
BWG,20170531,13.10,13.21,13.10,13.16,47727
BWG,20170530,13.09,13.13,13.0102,13.13,40840
BWG,20170526,12.97,13.09,12.96,13.09,88380
BWG,20170525,12.98,13.05,12.96,12.97,29864
BWG,20170524,12.92,12.98,12.92,12.96,42589
BWG,20170523,12.84,12.98,12.84,12.91,48958
BWG,20170522,12.80,12.8744,12.80,12.85,57779
BWG,20170519,12.85,12.869,12.74,12.74,72043
BWG,20170518,12.93,12.9755,12.84,12.88,120090
