<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BX,20180503,31.65,32.45,30.84,31.06,6983616
BX,20180502,31.07,31.22,30.86,30.94,2159366
BX,20180501,31.00,31.28,30.65,31.10,5616753
BX,20180430,30.85,31.13,30.84,30.95,3215781
BX,20180427,31.18,31.24,30.67,30.83,3887746
BX,20180426,31.41,31.70,30.92,31.51,5445990
BX,20180425,32.06,32.20,31.44,31.66,3869328
BX,20180424,32.54,32.83,31.95,32.18,5169346
BX,20180423,32.32,32.73,32.27,32.35,2809011
BX,20180420,32.22,32.48,31.91,32.23,3329801
BX,20180419,32.10,32.80,31.94,32.12,5828540
BX,20180418,31.59,32.045,31.565,31.78,5676254
BX,20180417,31.26,32.14,31.17,31.48,4784756
BX,20180416,30.85,31.15,30.81,31.05,1961163
BX,20180413,31.39,31.45,30.68,30.72,2970531
BX,20180412,31.02,31.33,30.76,31.13,2418129
BX,20180411,30.811,31.42,30.70,30.98,2847257
BX,20180410,31.00,31.28,30.9137,31.06,6906710
BX,20180409,31.19,31.23,30.66,30.71,5653055
BX,20180406,31.00,31.05,30.13,31.01,8991722
BX,20180405,31.36,31.515,30.82,31.30,3603471
BX,20180404,30.73,31.42,30.36,31.30,4590148
BX,20180403,31.61,31.70,30.89,31.12,4307511
BX,20180402,31.79,31.98,30.83,31.47,6029364
BX,20180329,31.64,32.185,31.30,31.95,3219707
BX,20180328,31.80,32.08,31.25,31.52,3274581
BX,20180327,32.39,32.41,31.48,31.77,4458750
BX,20180326,32.55,32.60,31.86,32.25,4887929
BX,20180323,32.45,32.53,31.62,31.88,7588939
BX,20180322,33.00,33.09,32.30,32.49,4044403
BX,20180321,33.31,33.59,33.195,33.27,2177018
BX,20180320,33.54,33.66,33.19,33.39,1734429
BX,20180319,33.81,33.83,32.83,33.38,3654277
BX,20180316,33.75,34.0445,33.60,33.79,1845282
BX,20180315,33.94,34.15,33.46,33.68,2923891
BX,20180314,34.35,34.38,33.85,33.98,2487506
BX,20180313,34.59,34.69,34.00,34.26,2678755
BX,20180312,34.16,34.65,34.06,34.43,4400250
BX,20180309,33.67,34.10,33.65,34.06,3986380
BX,20180308,33.31,33.425,32.95,33.41,2375011
BX,20180307,33.28,33.55,33.04,33.21,3187042
BX,20180306,33.66,33.71,33.10,33.61,2817374
BX,20180305,33.05,33.57,33.00,33.43,2704038
BX,20180302,33.22,33.48,32.14,33.35,5982976
BX,20180301,34.00,34.34,33.01,33.57,4220836
BX,20180228,34.27,34.47,33.92,34.00,4282158
BX,20180227,34.44,34.63,34.10,34.20,4099612
BX,20180226,34.34,34.52,34.00,34.45,3591182
BX,20180223,34.20,34.31,33.92,34.27,1926782
BX,20180222,34.07,34.13,33.71,34.02,2852557
BX,20180221,34.26,34.62,33.98,34.04,4224967
BX,20180220,34.41,34.61,33.91,34.17,4438810
BX,20180216,34.60,34.87,34.34,34.51,3276605
BX,20180215,33.91,34.86,33.81,34.65,6249357
BX,20180214,33.28,33.80,33.04,33.78,4698240
BX,20180213,33.25,33.5801,32.81,33.55,4505408
BX,20180212,33.25,33.63,32.72,33.28,4239487
BX,20180209,33.17,33.48,31.69,32.95,10468578
BX,20180208,35.03,35.18,33.64,33.90,7480380
BX,20180207,34.64,35.25,34.51,34.95,4880935
BX,20180206,33.60,34.755,32.42,34.65,9527260
BX,20180205,34.84,35.30,33.26,34.24,8539015
BX,20180202,36.02,36.03,34.68,35.29,7298422
BX,20180201,37.05,37.52,36.10,36.35,8596346
BX,20180131,36.20,36.82,35.95,36.55,4663648
BX,20180130,35.86,36.18,35.491,36.13,4290369
BX,20180129,36.67,36.8399,35.84,36.56,4561014
BX,20180126,36.45,37.00,36.17,36.78,4106726
BX,20180125,36.20,36.49,35.70,36.35,4760484
BX,20180124,36.25,36.33,35.6799,36.08,4541087
BX,20180123,35.00,36.02,34.945,35.83,4761935
BX,20180122,34.64,35.18,34.47,35.00,3707164
BX,20180119,34.96,35.08,34.43,34.70,4786264
BX,20180118,34.85,35.08,34.6779,34.91,3086823
BX,20180117,35.07,35.26,34.65,34.96,4898141
BX,20180116,35.78,36.31,34.37,35.02,9067106
BX,20180112,35.43,35.58,34.95,35.39,9835073
BX,20180111,34.32,34.83,34.26,34.53,5655427
BX,20180110,33.77,34.55,33.50,34.18,10395656
BX,20180109,33.46,33.90,33.46,33.74,5220964
BX,20180108,33.00,33.34,32.96,33.28,3059813
BX,20180105,33.44,33.55,32.91,33.01,3396898
BX,20180104,33.23,33.50,33.15,33.26,3671825
BX,20180103,32.70,33.30,32.70,33.00,4984753
BX,20180102,32.38,33.06,32.31,32.52,4983405
BX,20171229,32.39,32.44,32.01,32.02,2256970
BX,20171228,32.50,32.60,31.9535,32.27,4365789
BX,20171227,32.31,32.59,32.16,32.51,2434555
BX,20171226,32.77,32.91,32.155,32.33,2568978
BX,20171222,32.96,33.23,32.69,32.76,2540654
BX,20171221,32.00,33.27,31.97,32.90,8063655
BX,20171220,31.85,32.03,31.75,31.99,3504746
BX,20171219,31.85,32.07,31.57,31.70,2796547
BX,20171218,31.55,31.92,31.381,31.80,4855731
BX,20171215,31.61,31.91,31.3742,31.41,2871621
BX,20171214,31.90,32.0365,31.58,31.72,2350059
BX,20171213,32.00,32.04,31.70,31.99,3003573
BX,20171212,32.08,32.26,31.98,32.05,1816733
BX,20171211,32.28,32.36,31.83,32.17,2143554
BX,20171208,32.09,32.23,31.71,32.19,2587180
BX,20171207,31.71,32.25,31.56,31.93,2259191
BX,20171206,31.92,32.18,31.535,31.76,2552090
BX,20171205,32.15,32.62,31.90,32.14,3107578
BX,20171204,31.75,32.50,31.72,32.11,5388976
BX,20171201,31.64,31.79,30.85,31.58,3766295
BX,20171130,31.42,31.88,31.30,31.73,3468616
BX,20171129,31.43,31.84,31.26,31.53,3887540
BX,20171128,31.34,31.69,31.1376,31.4915,2375087
BX,20171127,31.57,31.65,31.18,31.31,3016651
BX,20171124,31.90,31.965,31.53,31.67,1007699
BX,20171122,31.88,31.98,31.535,31.85,2472673
BX,20171121,31.93,32.24,31.805,31.88,2408684
BX,20171120,31.81,31.99,31.69,31.83,2448307
BX,20171117,31.57,31.95,31.4902,31.78,2231528
BX,20171116,31.10,31.80,31.05,31.57,3888855
BX,20171115,30.77,31.14,29.57,30.92,7899816
BX,20171114,31.61,31.65,30.88,31.20,4266770
BX,20171113,32.00,32.12,31.6547,31.76,2920001
BX,20171110,32.36,32.5699,31.92,32.13,3499970
BX,20171109,32.48,32.81,32.26,32.43,2588854
BX,20171108,32.94,33.03,32.4768,32.65,2342623
BX,20171107,33.01,33.34,32.92,33.04,2246943
BX,20171106,32.97,33.27,32.81,33.03,3081660
BX,20171103,32.39,33.05,32.23,32.89,3445416
BX,20171102,32.80,32.83,31.50,32.51,6418459
BX,20171101,33.41,33.50,32.72,32.89,4500523
BX,20171031,33.02,33.43,32.80,33.29,4162220
BX,20171030,33.45,33.50,32.82,33.05,4373614
BX,20171027,33.37,33.59,32.51,33.50,4585088
BX,20171026,34.17,34.36,33.71,33.77,3830689
BX,20171025,34.75,34.75,33.45,34.17,4984498
BX,20171024,34.95,35.07,34.24,34.59,4712286
BX,20171023,34.61,35.00,34.60,34.75,4295581
BX,20171020,34.25,34.79,34.20,34.45,4160367
BX,20171019,33.89,34.518,33.78,34.01,7491520
BX,20171018,33.25,33.65,33.25,33.49,3314522
BX,20171017,33.25,33.3301,33.08,33.22,1847579
BX,20171016,33.08,33.32,33.00,33.26,3028090
BX,20171013,33.01,33.0288,32.75,32.93,1976741
BX,20171012,33.24,33.44,32.96,33.00,1817562
BX,20171011,33.07,33.30,32.93,33.19,1656094
BX,20171010,33.53,33.55,32.93,33.08,2529292
BX,20171009,33.50,33.56,33.10,33.26,1771477
BX,20171006,33.50,33.73,33.15,33.44,2461857
BX,20171005,33.66,33.83,33.41,33.62,2860118
BX,20171004,33.27,33.70,33.25,33.56,2814870
BX,20171003,33.01,33.48,32.81,33.23,3866541
BX,20171002,33.39,33.48,32.45,33.00,4950810
BX,20170929,33.32,33.57,33.29,33.37,2354152
BX,20170928,33.11,33.52,33.00,33.33,2401102
BX,20170927,33.01,33.26,32.69,32.92,2712667
BX,20170926,33.23,33.30,32.75,32.83,1928719
BX,20170925,33.03,33.39,32.86,33.13,2265497
BX,20170922,32.65,33.25,32.60,33.17,3301922
BX,20170921,32.65,32.945,32.57,32.71,2435931
BX,20170920,32.51,32.75,32.39,32.62,1814971
BX,20170919,32.38,32.625,32.16,32.41,1838264
BX,20170918,32.40,32.65,32.17,32.33,2342073
BX,20170915,32.10,32.33,31.97,32.29,2204192
BX,20170914,32.00,32.24,31.89,32.09,1554128
BX,20170913,32.15,32.18,31.75,32.03,2182162
BX,20170912,32.31,32.34,31.945,32.20,1669530
BX,20170911,31.84,32.30,31.83,32.13,1884626
BX,20170908,31.51,31.7314,31.41,31.61,1297325
BX,20170907,32.01,32.10,31.40,31.62,2707076
BX,20170906,32.10,32.26,31.71,32.01,2174497
BX,20170905,32.37,32.56,31.54,32.04,4469077
BX,20170901,32.84,33.09,32.71,32.71,3035275
BX,20170831,32.74,32.84,32.39,32.73,2729405
BX,20170830,32.00,32.68,31.9071,32.53,2752326
BX,20170829,31.64,31.95,31.56,31.94,1928930
BX,20170828,31.67,32.17,31.61,31.95,2094676
BX,20170825,31.62,31.90,31.57,31.57,1656721
BX,20170824,31.80,31.95,31.60,31.62,1662122
BX,20170823,31.74,31.87,31.56,31.80,1640209
BX,20170822,31.52,31.95,31.48,31.76,2004537
BX,20170821,31.49,31.64,31.03,31.36,2786383
BX,20170818,31.51,31.79,31.141,31.52,3017504
BX,20170817,32.07,32.12,31.50,31.60,2829353
BX,20170816,32.36,32.4675,32.10,32.17,1396839
BX,20170815,32.59,32.597,32.26,32.26,2083251
BX,20170814,32.24,32.77,32.2276,32.43,3154274
BX,20170811,32.03,32.13,31.60,31.96,4435595
BX,20170810,33.27,33.32,31.82,32.30,7059184
BX,20170809,33.79,33.79,33.30,33.40,4026073
BX,20170808,33.90,34.32,33.755,33.79,3512674
BX,20170807,33.97,34.07,33.73,33.85,1669021
BX,20170804,33.33,34.02,33.29,33.78,3934173
BX,20170803,33.11,33.43,33.06,33.18,2303362
BX,20170802,33.59,33.619,32.89,33.21,6879923
BX,20170801,33.59,33.92,33.36,33.50,2263103
BX,20170731,33.50,33.535,33.1799,33.45,2087100
BX,20170728,33.70,33.73,33.31,33.53,2137795
BX,20170727,34.10,34.205,33.191,33.77,4167457
BX,20170726,34.70,34.95,34.465,34.49,4040914
BX,20170725,34.56,34.80,34.426,34.55,3424287
BX,20170724,34.50,34.71,34.31,34.35,2806818
BX,20170721,34.48,34.69,34.09,34.42,2777167
BX,20170720,34.67,34.97,34.01,34.28,7545096
BX,20170719,34.83,35.09,34.56,34.78,4206992
BX,20170718,34.55,34.60,34.35,34.51,2181721
BX,20170717,34.50,34.81,34.44,34.55,3067586
BX,20170714,33.75,34.55,33.69,34.44,3286897
BX,20170713,33.81,34.095,33.60,33.87,2365860
BX,20170712,33.82,34.10,33.64,33.67,3252298
BX,20170711,33.34,33.66,33.145,33.54,2393951
BX,20170710,33.01,33.46,32.99,33.30,2162657
BX,20170707,32.97,33.08,32.606,32.99,2843216
BX,20170706,32.84,32.9967,32.70,32.88,2632783
BX,20170705,33.19,33.28,32.88,33.03,3334651
BX,20170703,33.55,33.55,33.02,33.14,3752309
BX,20170630,33.35,33.4446,32.88,33.35,4329641
BX,20170629,33.54,33.63,32.82,33.27,3775461
BX,20170628,33.10,33.63,33.06,33.34,2985317
BX,20170627,33.10,33.37,32.85,32.95,2764085
BX,20170626,33.33,33.34,32.5217,33.15,2781215
BX,20170623,33.10,33.33,32.97,33.14,2184491
BX,20170622,33.15,33.3345,33.00,33.06,3999490
BX,20170621,32.82,33.2368,32.76,32.96,3030660
BX,20170620,33.07,33.16,32.643,32.94,3254652
BX,20170619,32.95,33.41,32.91,33.07,3888499
BX,20170616,32.68,32.7601,32.43,32.66,2408930
BX,20170615,32.52,32.63,32.13,32.54,2734077
BX,20170614,33.08,33.08,32.68,32.77,2061129
BX,20170613,32.85,33.105,32.81,32.93,3511810
BX,20170612,33.30,33.40,32.40,32.63,6494730
BX,20170609,33.32,33.80,33.03,33.36,3901823
BX,20170608,33.29,33.62,33.03,33.29,4421006
BX,20170607,33.16,33.54,33.05,33.29,3564765
BX,20170606,33.25,33.3401,33.01,33.11,4537766
BX,20170605,33.70,33.79,33.22,33.32,5663126
BX,20170602,33.49,33.93,33.48,33.69,4756391
BX,20170601,32.99,33.79,32.93,33.45,5946432
BX,20170531,32.98,33.08,32.36,32.88,3679052
BX,20170530,32.77,33.09,32.71,32.86,4937388
BX,20170526,32.47,32.65,32.371,32.58,4167065
BX,20170525,32.63,32.7599,32.45,32.47,3487561
BX,20170524,32.72,32.80,32.42,32.53,4101030
BX,20170523,32.23,33.01,32.19,32.47,9943739
BX,20170522,31.45,32.33,31.35,31.88,18466045
BX,20170519,29.34,30.049,29.32,29.87,3161929
BX,20170518,29.17,29.41,29.03,29.28,2950778
BX,20170517,29.91,30.00,29.0634,29.32,5355520
BX,20170516,30.23,30.24,29.879,30.21,2359842
BX,20170515,30.00,30.27,29.97,30.11,3452123
BX,20170512,29.98,30.02,29.79,29.91,2965853
BX,20170511,30.12,30.18,29.68,30.00,2878350
BX,20170510,30.02,30.20,29.92,30.02,2583200
BX,20170509,30.27,30.35,29.95,29.99,5513960
BX,20170508,30.36,30.62,30.00,30.12,5169171
BX,20170505,30.22,30.37,30.00,30.28,3347320
BX,20170504,30.81,30.88,30.18,30.26,5222935
BX,20170503,30.75,30.88,30.71,30.79,3047492
BX,20170502,30.98,31.08,30.74,30.75,4326515
BX,20170501,30.98,31.20,30.83,30.84,4436403
BX,20170428,31.03,31.03,30.75,30.84,5265387
BX,20170427,30.45,31.03,30.15,30.97,6525294
BX,20170426,31.08,31.44,30.97,31.27,6094929
BX,20170425,30.63,31.17,30.59,30.89,6543992
BX,20170424,31.10,31.17,30.14,30.43,9400406
BX,20170421,30.59,30.64,30.16,30.28,9839377
BX,20170420,30.97,31.05,30.06,30.22,11714416
BX,20170419,29.73,30.35,29.70,30.06,4902299
BX,20170418,29.17,29.84,29.05,29.60,3842314
BX,20170417,28.87,29.27,28.86,29.25,2742232
BX,20170413,29.25,29.5093,28.85,28.86,3362081
BX,20170412,29.20,29.31,29.00,29.26,2064006
BX,20170411,29.33,29.49,29.17,29.24,2697564
BX,20170410,29.40,29.585,29.27,29.435,2566331
BX,20170407,29.55,29.9241,29.30,29.39,3654854
BX,20170406,29.45,30.12,29.40,29.76,2598693
BX,20170405,29.88,29.99,29.44,29.47,3078346
BX,20170404,29.40,29.6884,29.30,29.64,1782659
BX,20170403,29.70,29.7799,29.18,29.54,3913794
BX,20170331,29.73,29.7958,29.61,29.70,2766062
BX,20170330,29.50,29.78,29.45,29.69,3658814
BX,20170329,29.68,29.68,29.12,29.31,5983342
BX,20170328,29.57,29.85,29.50,29.62,2767497
BX,20170327,29.45,29.60,29.19,29.59,3941714
BX,20170324,29.89,30.06,29.51,29.68,2408509
BX,20170323,29.90,30.22,29.67,29.89,2961873
BX,20170322,29.87,30.18,29.50,29.98,4306549
BX,20170321,30.74,30.74,29.82,30.01,5547574
BX,20170320,30.66,30.74,30.46,30.53,2714086
BX,20170317,30.65,30.83,30.59,30.59,3084466
BX,20170316,30.88,30.91,30.359,30.60,4133883
BX,20170315,30.49,30.75,30.36,30.51,5192280
BX,20170314,30.32,30.4201,30.00,30.24,3658602
BX,20170313,30.07,30.58,29.83,30.35,11817341
