<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BZH,20180706,14.52,14.83,14.15,14.82,757439
BZH,20180705,14.52,14.83,14.15,14.82,757439
BZH,20180703,14.52,14.83,14.15,14.82,757439
BZH,20180702,14.52,14.83,14.15,14.82,757439
BZH,20180629,14.52,14.83,14.15,14.82,757439
BZH,20180628,14.52,14.83,14.15,14.82,757439
BZH,20180627,14.52,14.83,14.15,14.82,757439
BZH,20180626,14.52,14.83,14.15,14.82,757439
BZH,20180625,14.52,14.83,14.15,14.82,757439
BZH,20180622,14.52,14.83,14.15,14.82,757439
BZH,20180621,14.52,14.83,14.15,14.82,757439
BZH,20180620,14.52,14.83,14.15,14.82,757439
BZH,20180619,14.52,14.83,14.15,14.82,757439
BZH,20180618,14.52,14.83,14.15,14.82,757439
BZH,20180615,14.52,14.83,14.15,14.82,757439
BZH,20180614,14.52,14.83,14.15,14.82,757439
BZH,20180613,14.52,14.83,14.15,14.82,757439
BZH,20180612,14.52,14.83,14.15,14.82,757439
BZH,20180611,14.52,14.83,14.15,14.82,757439
BZH,20180608,14.52,14.83,14.15,14.82,757439
BZH,20180607,14.52,14.83,14.15,14.82,757439
BZH,20180606,14.52,14.83,14.15,14.82,757439
BZH,20180605,14.52,14.83,14.15,14.82,757439
BZH,20180604,14.52,14.83,14.15,14.82,757439
BZH,20180601,14.52,14.83,14.15,14.82,757439
BZH,20180531,14.52,14.83,14.15,14.82,757439
BZH,20180530,14.52,14.83,14.15,14.82,757439
BZH,20180529,14.52,14.83,14.15,14.82,757439
BZH,20180525,14.52,14.83,14.15,14.82,757439
BZH,20180524,14.52,14.83,14.15,14.82,757439
BZH,20180523,14.52,14.83,14.15,14.82,757439
BZH,20180522,14.52,14.83,14.15,14.82,757439
BZH,20180521,14.52,14.83,14.15,14.82,757439
BZH,20180518,14.52,14.83,14.15,14.82,757439
BZH,20180517,14.52,14.83,14.15,14.82,757439
BZH,20180516,14.52,14.83,14.15,14.82,757439
BZH,20180515,15.05,15.08,14.27,14.38,616245
BZH,20180514,15.59,15.65,15.15,15.29,299119
BZH,20180511,15.66,15.94,15.51,15.59,427430
BZH,20180510,15.48,15.91,15.46,15.66,967308
BZH,20180509,15.84,15.9111,15.23,15.47,506650
BZH,20180508,16.44,16.72,15.74,15.87,534623
BZH,20180507,16.27,16.55,16.03,16.53,815231
BZH,20180504,16.02,16.1574,15.67,15.9,506907
BZH,20180503,16.04,17.23,15.77,16.11,1314148
BZH,20180502,15.25,15.64,14.87,15.44,1138957
BZH,20180501,14.58,15.26,14.53,15.25,455440
BZH,20180430,15.23,15.34,14.62,14.68,354186
BZH,20180427,15.27,15.45,15.05,15.24,243901
BZH,20180426,15.02,15.42,14.58,15.27,388845
BZH,20180425,14.75,15.13,14.34,14.91,412669
BZH,20180424,14.95,15.28,14.68,14.77,414711
BZH,20180423,15.32,15.34,14.59,14.74,581508
BZH,20180420,15.48,15.76,15.27,15.34,278365
BZH,20180419,16.4,16.4,15.13,15.49,753474
BZH,20180418,16.54,16.77,16.46,16.52,235205
BZH,20180417,16.31,16.5,16.11,16.38,190802
BZH,20180416,16.02,16.34,15.84,16.19,184016
BZH,20180413,16.0,16.07,15.701,15.89,180000
BZH,20180412,16.08,16.13,15.6,15.92,420805
BZH,20180411,16.27,16.5499,16.01,16.04,266252
BZH,20180410,16.45,16.67,16.15,16.47,335225
BZH,20180409,16.64,16.7,16.1,16.1,304314
BZH,20180406,17.1,17.46,16.28,16.51,473851
BZH,20180405,16.38,17.31,16.25,17.28,691810
BZH,20180404,15.53,16.33,15.06,16.26,638440
BZH,20180403,15.25,15.65,14.9,15.59,470873
BZH,20180402,15.92,15.96,14.86,15.15,532521
BZH,20180329,15.9,16.08,15.73,15.95,381671
BZH,20180328,15.83,16.21,15.67,15.8,300939
BZH,20180327,16.25,16.28,15.67,15.77,282889
BZH,20180326,16.38,16.46,15.75,16.18,360041
BZH,20180323,16.46,16.715,15.99,16.0,286822
BZH,20180322,16.53,16.85,16.25,16.27,337014
BZH,20180321,16.21,16.9,16.21,16.76,471035
BZH,20180320,16.26,16.4999,16.13,16.16,339457
BZH,20180319,16.23,16.29,15.96,16.2,311830
BZH,20180316,16.07,16.4,15.9,16.35,489987
BZH,20180315,16.49,16.49,15.95,16.03,334928
BZH,20180314,16.96,17.015,16.37,16.4,443560
BZH,20180313,16.9,17.2,16.73,16.86,550457
BZH,20180312,16.59,16.88,16.59,16.76,568713
BZH,20180309,16.53,16.55,16.21,16.5,504008
BZH,20180308,16.53,16.56,16.21,16.38,301783
BZH,20180307,16.45,16.7955,16.39,16.47,416082
BZH,20180306,16.31,16.61,16.08,16.6,345394
BZH,20180305,15.88,16.45,15.88,16.26,333104
BZH,20180302,15.87,16.04,15.67,16.0,435119
BZH,20180301,15.75,16.14,15.65,16.06,520966
