<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CCI,20180706,103.08,103.44,102.51,102.99,1486633
CCI,20180705,103.08,103.44,102.51,102.99,1486633
CCI,20180703,103.08,103.44,102.51,102.99,1486633
CCI,20180702,103.08,103.44,102.51,102.99,1486633
CCI,20180629,103.08,103.44,102.51,102.99,1486633
CCI,20180628,103.08,103.44,102.51,102.99,1486633
CCI,20180627,103.08,103.44,102.51,102.99,1486633
CCI,20180626,103.08,103.44,102.51,102.99,1486633
CCI,20180625,103.08,103.44,102.51,102.99,1486633
CCI,20180622,103.08,103.44,102.51,102.99,1486633
CCI,20180621,103.08,103.44,102.51,102.99,1486633
CCI,20180620,103.08,103.44,102.51,102.99,1486633
CCI,20180619,103.08,103.44,102.51,102.99,1486633
CCI,20180618,103.08,103.44,102.51,102.99,1486633
CCI,20180615,103.08,103.44,102.51,102.99,1486633
CCI,20180614,103.08,103.44,102.51,102.99,1486633
CCI,20180613,103.08,103.44,102.51,102.99,1486633
CCI,20180612,103.08,103.44,102.51,102.99,1486633
CCI,20180611,103.08,103.44,102.51,102.99,1486633
CCI,20180608,103.08,103.44,102.51,102.99,1486633
CCI,20180607,103.08,103.44,102.51,102.99,1486633
CCI,20180606,103.08,103.44,102.51,102.99,1486633
CCI,20180605,103.08,103.44,102.51,102.99,1486633
CCI,20180604,103.08,103.44,102.51,102.99,1486633
CCI,20180601,103.08,103.44,102.51,102.99,1486633
CCI,20180531,103.08,103.44,102.51,102.99,1486633
CCI,20180530,103.08,103.44,102.51,102.99,1486633
CCI,20180529,103.08,103.44,102.51,102.99,1486633
CCI,20180525,103.08,103.44,102.51,102.99,1486633
CCI,20180524,103.08,103.44,102.51,102.99,1486633
CCI,20180523,103.08,103.44,102.51,102.99,1486633
CCI,20180522,103.08,103.44,102.51,102.99,1486633
CCI,20180521,103.08,103.44,102.51,102.99,1486633
CCI,20180518,103.08,103.44,102.51,102.99,1486633
CCI,20180517,103.08,103.44,102.51,102.99,1486633
CCI,20180516,103.08,103.44,102.51,102.99,1486633
CCI,20180515,102.79,103.33,101.71,103.28,2672586
CCI,20180514,103.68,103.99,102.54,103.29,998031
CCI,20180511,105.0,105.66,103.23,103.61,1233711
CCI,20180510,104.0,105.98,103.89,104.92,1858251
CCI,20180509,103.0,103.84,102.19,103.79,2038756
CCI,20180508,102.12,102.79,101.56,102.74,2365201
CCI,20180507,103.24,103.94,101.9,102.56,1290353
CCI,20180504,101.51,103.995,101.51,103.31,1520276
CCI,20180503,100.87,102.1,100.26,101.57,1823395
CCI,20180502,100.44,102.07,100.43,100.82,3118695
CCI,20180501,101.25,101.71,99.77,100.86,3187655
CCI,20180430,99.99,103.78,98.85,100.87,5832224
