<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CNX,20180423,15.58,15.78,15.45,15.65,1542124
CNX,20180420,16.07,16.10,15.55,15.64,2631441
CNX,20180419,16.32,16.44,16.08,16.12,2930155
CNX,20180418,15.92,16.515,15.88,16.22,2341895
CNX,20180417,15.82,15.93,15.685,15.79,1546365
CNX,20180416,15.79,15.94,15.4861,15.81,2085990
CNX,20180413,15.74,15.87,15.53,15.74,2034161
CNX,20180412,15.72,15.79,15.525,15.67,1780541
CNX,20180411,15.64,15.965,15.51,15.71,2217298
CNX,20180410,15.42,15.81,15.245,15.62,2892547
CNX,20180409,14.96,15.32,14.96,15.11,2915610
CNX,20180406,15.43,15.58,14.72,14.95,3531366
CNX,20180405,15.11,15.805,15.11,15.60,2899118
CNX,20180404,14.63,15.055,14.56,15.03,1496039
CNX,20180403,14.56,14.98,14.44,14.90,2179648
CNX,20180402,15.28,15.42,14.34,14.50,3213593
CNX,20180329,15.39,15.56,15.32,15.42,2805410
CNX,20180328,15.47,15.575,15.125,15.22,3071811
CNX,20180327,15.76,15.91,15.40,15.47,2766436
CNX,20180326,15.62,15.72,15.295,15.70,2358736
CNX,20180323,15.36,15.95,15.35,15.41,2728905
CNX,20180322,15.44,15.67,15.26,15.27,2741802
CNX,20180321,15.62,15.90,15.49,15.60,3825639
CNX,20180320,15.53,15.705,15.44,15.56,3354137
CNX,20180319,15.28,15.65,14.995,15.40,4613078
CNX,20180316,15.29,15.80,15.16,15.50,5528522
CNX,20180315,15.56,15.81,15.06,15.27,4923239
CNX,20180314,16.35,16.59,15.52,15.54,6317990
CNX,20180313,16.97,17.135,16.17,16.25,8903524
CNX,20180312,17.52,17.63,17.06,17.12,4384601
CNX,20180309,18.00,18.085,17.32,17.55,3466031
CNX,20180308,17.44,17.92,17.44,17.89,3366155
CNX,20180307,17.24,17.73,17.15,17.49,3300569
CNX,20180306,17.55,17.77,17.20,17.31,5939031
CNX,20180305,16.60,17.6762,16.581,17.45,4386154
CNX,20180302,16.34,16.76,16.04,16.72,3279359
CNX,20180301,16.22,16.575,16.18,16.43,4060007
CNX,20180228,16.14,16.8251,16.04,16.06,7871769
CNX,20180227,15.19,16.055,15.07,15.92,12046505
CNX,20180226,15.05,15.155,14.88,14.98,3086728
CNX,20180223,14.69,15.01,14.66,14.97,3018646
CNX,20180222,14.38,14.90,14.32,14.54,3061020
CNX,20180221,14.40,14.70,14.24,14.25,4274946
CNX,20180220,14.76,14.90,14.32,14.46,3265639
CNX,20180216,14.65,15.15,14.60,14.76,3491004
CNX,20180215,14.45,14.94,14.41,14.79,4216582
CNX,20180214,13.34,14.66,13.27,14.56,4844083
CNX,20180213,13.01,13.49,12.93,13.34,3888178
CNX,20180212,12.71,13.10,12.69,13.03,4289976
CNX,20180209,11.79,12.745,11.77,12.58,7995088
CNX,20180208,11.85,12.195,11.69,11.70,5551723
CNX,20180207,12.72,12.83,11.83,11.83,3943094
CNX,20180206,12.44,12.88,12.05,12.80,5813003
CNX,20180205,12.85,13.50,12.52,12.68,4548512
CNX,20180202,13.42,13.59,12.92,12.97,5128616
CNX,20180201,13.97,14.22,13.57,13.61,2984893
CNX,20180131,13.68,14.08,13.56,14.01,5656736
CNX,20180130,14.70,14.78,13.40,13.68,7149634
CNX,20180129,14.37,14.46,13.82,13.84,3290297
CNX,20180126,14.72,14.87,14.38,14.45,1835290
CNX,20180125,14.80,14.80,14.48,14.71,3836428
CNX,20180124,14.68,14.86,14.52,14.67,2051846
CNX,20180123,14.66,15.10,14.61,14.65,3426216
CNX,20180122,14.40,14.57,14.199,14.51,3381784
CNX,20180119,14.60,14.66,14.25,14.29,2722683
CNX,20180118,14.77,14.90,14.53,14.64,2851528
CNX,20180117,14.75,15.06,14.60,14.88,2018723
CNX,20180116,15.07,15.16,14.63,14.64,1884355
CNX,20180112,14.90,15.285,14.75,15.19,1977634
CNX,20180111,14.89,15.26,14.79,15.04,1753013
CNX,20180110,14.91,15.205,14.71,14.71,1554847
CNX,20180109,14.62,15.12,14.52,14.99,3098171
CNX,20180108,14.84,14.84,14.54,14.58,2426362
CNX,20180105,14.89,15.01,14.68,14.79,1677505
CNX,20180104,15.24,15.25,14.6407,15.01,2659334
CNX,20180103,15.19,15.35,15.06,15.24,1735468
CNX,20180102,14.77,15.14,14.69,15.07,2162521
CNX,20171229,15.11,15.139,14.62,14.63,1817405
CNX,20171228,14.51,15.08,14.51,14.97,5938189
CNX,20171227,14.80,14.82,14.48,14.49,2451384
CNX,20171226,14.66,14.90,14.535,14.82,1589436
CNX,20171222,14.42,14.74,14.40,14.61,1953500
CNX,20171221,14.39,14.64,14.19,14.41,2365768
CNX,20171220,14.41,14.47,13.97,14.40,1529848
CNX,20171219,14.54,14.565,14.27,14.28,2521347
CNX,20171218,13.87,14.24,13.77,14.19,2801040
CNX,20171215,14.34,14.42,13.78,13.81,3855685
CNX,20171214,14.29,14.51,14.25,14.31,1969525
CNX,20171213,14.57,14.60,14.36,14.38,1508103
CNX,20171212,14.63,14.75,14.45,14.60,1982604
CNX,20171211,14.44,14.80,14.37,14.63,3464192
CNX,20171208,14.89,15.04,14.39,14.39,3000687
CNX,20171207,14.51,14.755,14.40,14.54,2823608
CNX,20171206,14.66,14.67,14.25,14.58,6852407
CNX,20171205,14.84,15.00,14.64,14.65,3509295
CNX,20171204,14.98,15.51,14.93,15.135,4128247
CNX,20171201,14.15,14.94,14.08,14.91,4812762
CNX,20171130,13.61,14.35,13.60,13.97,4356977
CNX,20171129,13.84,13.92,13.37,13.50,4913765
CNX,20171128,16.00,16.26,15.90,16.16,2311430
CNX,20171127,16.30,16.41,15.80,16.00,6538402
CNX,20171124,16.43,16.52,16.215,16.25,1634540
CNX,20171122,16.32,16.51,16.30,16.43,1914777
CNX,20171121,16.13,16.46,16.045,16.27,2453703
CNX,20171120,16.50,16.71,15.99,16.04,2842749
CNX,20171117,16.12,16.82,16.12,16.80,2436639
CNX,20171116,16.02,16.34,15.89,16.03,2302977
CNX,20171115,15.31,15.98,15.08,15.94,3740211
