<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTB,20180503,24.25,24.35,23.70,24.30,747989
CTB,20180502,24.15,24.55,23.95,24.20,1097888
CTB,20180501,24.20,24.30,23.475,24.05,1783455
CTB,20180430,23.50,24.65,22.575,24.45,4318279
CTB,20180427,27.00,27.9649,26.725,26.85,993232
CTB,20180426,27.45,27.575,26.95,27.10,888877
CTB,20180425,28.10,28.175,27.225,27.40,652346
CTB,20180424,28.00,28.15,27.55,28.025,932129
CTB,20180423,28.00,28.35,27.75,27.85,648152
CTB,20180420,27.75,27.95,27.50,27.80,507092
CTB,20180419,28.40,28.475,27.4686,27.80,468565
CTB,20180418,29.85,29.85,28.25,28.45,692298
CTB,20180417,30.80,30.85,29.70,29.80,650752
CTB,20180416,30.30,31.00,30.05,30.70,432861
CTB,20180413,30.40,30.55,29.95,30.05,493988
CTB,20180412,30.35,30.725,30.05,30.30,376119
CTB,20180411,29.70,30.35,29.70,30.25,326416
CTB,20180410,29.75,30.20,29.55,30.05,504677
CTB,20180409,29.20,29.55,28.875,29.30,295589
CTB,20180406,29.95,30.10,28.80,29.05,489817
CTB,20180405,29.65,30.40,29.50,30.15,444913
CTB,20180404,28.20,29.70,28.10,29.50,392195
CTB,20180403,28.50,28.85,28.325,28.60,587233
CTB,20180402,29.15,29.35,28.25,28.40,480325
CTB,20180329,29.50,29.85,29.10,29.35,800425
CTB,20180328,28.95,29.70,28.85,29.35,475861
CTB,20180327,29.05,29.40,28.95,29.00,722610
CTB,20180326,28.80,29.125,28.20,29.05,598895
CTB,20180323,29.85,30.05,28.35,28.35,664681
CTB,20180322,29.95,30.50,29.55,29.85,703001
CTB,20180321,30.00,30.65,29.855,30.25,367952
CTB,20180320,29.90,30.125,29.80,29.85,507112
CTB,20180319,30.35,30.50,29.575,29.90,523178
CTB,20180316,30.20,30.65,30.05,30.35,926349
CTB,20180315,30.25,30.50,29.70,30.05,616852
CTB,20180314,30.80,31.05,30.175,30.20,663318
CTB,20180313,31.50,31.95,30.70,30.75,844048
CTB,20180312,32.10,32.35,31.80,32.25,506894
CTB,20180309,32.55,32.60,32.00,32.00,434265
CTB,20180308,32.95,33.20,32.10,32.30,478575
CTB,20180307,32.40,32.90,32.35,32.80,412368
CTB,20180306,32.10,32.725,31.975,32.70,435921
CTB,20180305,32.20,32.50,31.90,32.05,626958
CTB,20180302,30.55,32.55,30.55,32.45,970226
CTB,20180301,31.30,31.575,30.675,30.85,707446
CTB,20180228,32.70,32.90,31.20,31.35,899185
CTB,20180227,33.25,33.60,32.65,32.70,673880
CTB,20180226,32.95,33.225,32.40,33.15,523436
CTB,20180223,33.00,33.20,32.70,32.85,524441
CTB,20180222,32.70,33.50,32.65,32.95,749177
CTB,20180221,33.15,34.40,32.675,32.70,936699
CTB,20180220,33.95,34.00,32.05,33.45,1808253
CTB,20180216,36.05,36.40,35.15,35.60,778604
CTB,20180215,35.975,36.45,35.90,36.45,393884
CTB,20180214,35.35,36.05,35.20,35.85,485902
CTB,20180213,36.35,36.50,35.55,35.65,537685
CTB,20180212,36.25,36.85,35.95,36.55,439597
CTB,20180209,37.15,37.50,35.20,36.00,726291
CTB,20180208,38.25,38.55,36.70,36.75,718805
CTB,20180207,37.05,38.55,37.05,38.25,499527
CTB,20180206,36.25,37.425,35.95,37.05,745147
CTB,20180205,38.80,39.10,37.00,37.00,660352
CTB,20180202,38.90,39.45,38.75,39.05,473657
CTB,20180201,39.10,39.30,38.60,39.05,555923
CTB,20180131,39.95,39.95,39.00,39.10,443777
CTB,20180130,39.30,39.90,38.65,39.20,393873
CTB,20180129,39.20,39.65,39.10,39.40,381595
CTB,20180126,38.80,39.45,38.475,39.25,301358
CTB,20180125,39.20,39.40,38.35,38.70,856914
CTB,20180124,39.95,40.10,39.15,39.20,488412
CTB,20180123,40.00,40.35,39.65,39.70,334060
CTB,20180122,40.30,40.30,39.45,40.15,534756
CTB,20180119,39.80,40.375,39.573,40.35,598247
CTB,20180118,40.10,40.55,39.45,39.80,1770914
CTB,20180117,40.35,40.775,39.55,39.95,1406700
CTB,20180116,40.00,40.40,39.85,40.20,1119943
CTB,20180112,39.75,40.00,39.55,39.85,467879
CTB,20180111,39.80,40.25,39.20,39.70,1136086
CTB,20180110,39.75,40.30,39.375,39.80,1019483
CTB,20180109,38.30,39.20,38.25,38.75,812790
CTB,20180108,37.20,38.30,37.15,38.10,778716
CTB,20180105,36.70,37.35,36.40,37.25,559595
CTB,20180104,35.55,36.55,35.35,36.50,408017
CTB,20180103,35.55,36.05,35.15,35.35,594718
CTB,20180102,35.55,35.65,34.96,35.45,432427
CTB,20171229,35.90,36.00,35.35,35.35,266357
CTB,20171228,35.80,35.95,35.50,35.80,114996
CTB,20171227,35.55,35.95,35.45,35.75,267050
CTB,20171226,35.75,36.20,35.40,35.55,180099
CTB,20171222,36.05,36.05,35.30,35.70,289799
CTB,20171221,36.15,36.55,35.925,36.10,355350
CTB,20171220,35.80,36.125,35.45,36.00,341337
CTB,20171219,35.75,36.05,35.45,35.65,495598
CTB,20171218,34.90,36.20,34.90,35.55,661163
CTB,20171215,34.35,35.05,34.175,34.50,980018
CTB,20171214,34.85,34.90,34.05,34.15,639006
CTB,20171213,34.55,35.25,34.40,34.90,458168
CTB,20171212,34.85,35.075,34.45,34.55,459235
CTB,20171211,35.25,35.275,34.60,34.65,520513
CTB,20171208,35.50,35.80,34.90,35.15,778619
CTB,20171207,35.80,35.95,35.40,35.45,571590
CTB,20171206,36.25,36.50,35.70,35.80,319673
CTB,20171205,36.45,36.65,35.85,36.20,317825
CTB,20171204,36.85,37.425,36.40,36.50,708270
CTB,20171201,36.75,36.75,35.70,36.35,403600
CTB,20171130,36.75,37.10,36.55,36.75,534611
CTB,20171129,35.95,36.875,35.75,36.55,492371
CTB,20171128,34.85,36.00,34.40,35.85,399404
CTB,20171127,34.35,34.85,34.20,34.50,297164
CTB,20171124,34.40,34.50,34.15,34.35,98736
CTB,20171122,34.20,34.70,34.10,34.30,222528
CTB,20171121,34.25,34.35,33.65,34.20,597549
CTB,20171120,33.90,34.30,33.65,34.15,551206
