<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTV,20180423,22.32,22.46,22.32,22.42,9972
CTV,20180420,22.25,22.42,22.24,22.40,13346
CTV,20180419,22.21,22.2724,22.16,22.27,15600
CTV,20180418,22.25,22.30,22.21,22.28,20302
CTV,20180417,22.27,22.4783,22.21,22.23,25056
CTV,20180416,22.45,22.50,22.35,22.35,16383
CTV,20180413,22.28,22.44,22.2501,22.43,14753
CTV,20180412,22.52,22.52,22.3403,22.37,8944
CTV,20180411,22.37,22.52,22.36,22.50,21883
CTV,20180410,22.24,22.53,22.24,22.48,25142
CTV,20180409,22.32,22.4755,22.21,22.31,14366
CTV,20180406,22.15,22.33,22.15,22.33,10792
CTV,20180405,22.27,22.33,22.14,22.28,15258
CTV,20180404,22.23,22.2692,22.0848,22.26,10053
CTV,20180403,22.27,22.27,22.10,22.23,22149
CTV,20180402,22.26,22.3715,22.17,22.28,22151
CTV,20180329,22.17,22.379,22.17,22.35,27682
CTV,20180328,22.50,22.51,22.12,22.20,45246
CTV,20180327,22.63,22.93,22.63,22.93,22387
CTV,20180326,22.71,22.73,22.55,22.65,30502
CTV,20180323,22.54,22.67,22.42,22.57,20091
CTV,20180322,22.60,22.7791,22.60,22.65,18593
CTV,20180321,22.94,22.94,22.655,22.68,22200
CTV,20180320,23.10,23.11,22.87,22.9062,16987
CTV,20180319,23.15,23.18,23.03,23.05,44950
CTV,20180316,23.08,23.19,23.05,23.19,21233
CTV,20180315,23.28,23.28,23.08,23.08,28610
CTV,20180314,23.17,23.35,23.13,23.13,48646
CTV,20180313,23.23,23.30,23.03,23.26,57828
CTV,20180312,23.24,23.24,23.06,23.225,18294
CTV,20180309,23.07,23.24,23.07,23.2299,22995
CTV,20180308,22.97,23.07,22.92,23.07,22940
CTV,20180307,23.08,23.09,22.85,22.85,33088
CTV,20180306,23.00,23.0927,22.98,22.98,29313
CTV,20180305,22.97,23.036,22.95,23.0001,15935
CTV,20180302,22.95,22.9592,22.82,22.93,18050
CTV,20180301,22.88,23.05,22.85,22.88,30512
CTV,20180228,22.76,22.88,22.70,22.88,31938
CTV,20180227,22.98,23.07,22.82,22.84,22682
CTV,20180226,22.95,23.11,22.95,22.96,37088
CTV,20180223,22.69,22.89,22.69,22.89,32940
CTV,20180222,22.43,22.64,22.43,22.58,43560
CTV,20180221,22.32,22.73,22.32,22.50,34643
CTV,20180220,22.50,22.58,22.40,22.43,23355
CTV,20180216,22.11,22.57,22.11,22.53,49917
CTV,20180215,21.5171,22.16,21.50,22.16,65544
CTV,20180214,21.21,21.38,21.20,21.22,40281
CTV,20180213,21.44,21.55,21.31,21.33,42076
CTV,20180212,21.28,21.59,21.28,21.53,26445
CTV,20180209,21.41,21.41,20.95,21.34,81037
CTV,20180208,21.30,21.3998,21.245,21.28,68048
CTV,20180207,21.30,21.475,21.28,21.34,75800
CTV,20180206,21.18,21.5099,20.85,21.35,83272
CTV,20180205,21.46,21.76,21.303,21.35,44193
CTV,20180202,21.30,21.79,21.30,21.61,73308
CTV,20180201,21.47,21.99,21.346,21.59,65596
CTV,20180131,21.12,21.47,21.0584,21.47,96435
CTV,20180130,20.65,21.529,20.64,20.96,82908
CTV,20180129,21.82,22.11,21.20,21.32,85818
CTV,20180126,22.30,22.51,22.155,22.17,40153
CTV,20180125,22.70,22.7154,22.31,22.35,61438
CTV,20180124,22.73,22.98,22.66,22.68,35486
CTV,20180123,22.93,23.07,22.85,22.9742,74906
CTV,20180122,23.10,23.225,22.95,23.09,54064
CTV,20180119,23.15,23.25,22.9488,23.10,29832
CTV,20180118,23.50,23.5101,23.20,23.29,68561
CTV,20180117,23.50,23.5899,23.4829,23.54,37535
CTV,20180116,23.80,23.81,23.64,23.69,31259
CTV,20180112,23.80,23.92,23.61,23.72,81726
CTV,20180111,23.58,23.79,23.58,23.72,72165
CTV,20180110,23.32,23.65,23.32,23.61,75537
CTV,20180109,23.58,23.67,23.45,23.60,80107
CTV,20180108,23.22,23.59,23.15,23.57,83826
CTV,20180105,22.85,23.17,22.85,23.16,36515
CTV,20180104,22.48,22.82,22.48,22.77,49354
CTV,20180103,22.55,22.8846,22.30,22.42,114595
CTV,20180102,23.59,23.7718,22.21,22.44,61558
CTV,20171229,23.83,23.9113,23.54,23.54,73108
CTV,20171228,23.84,23.9464,23.75,23.94,51622
CTV,20171227,24.57,24.5899,24.18,24.20,49131
CTV,20171226,24.38,24.50,24.302,24.49,57007
CTV,20171222,24.37,24.40,24.181,24.38,27412
CTV,20171221,24.52,24.69,24.3904,24.44,30871
CTV,20171220,24.62,24.71,24.44,24.58,41258
CTV,20171219,24.54,24.71,24.54,24.71,50761
CTV,20171218,24.45,24.6448,24.45,24.59,40501
CTV,20171215,24.55,24.58,24.38,24.58,44233
CTV,20171214,24.45,24.53,24.2916,24.53,39418
CTV,20171213,24.39,24.48,24.32,24.48,47854
CTV,20171212,24.36,24.45,24.263,24.45,36454
CTV,20171211,24.20,24.43,24.20,24.43,46758
CTV,20171208,24.15,24.28,24.15,24.19,21696
CTV,20171207,24.03,24.189,24.0001,24.13,26375
CTV,20171206,24.23,24.3448,23.95,24.09,60137
CTV,20171205,24.33,24.39,24.258,24.39,31751
CTV,20171204,24.41,24.5552,24.18,24.33,46932
CTV,20171201,24.41,24.45,24.22,24.39,39514
CTV,20171130,24.50,24.67,24.30,24.51,51570
CTV,20171129,24.20,24.5718,24.20,24.50,59785
CTV,20171128,24.45,24.4752,24.2028,24.26,66570
CTV,20171127,24.43,24.61,24.39,24.45,75015
CTV,20171124,24.28,24.45,24.26,24.36,25566
CTV,20171122,24.14,24.40,23.82,24.22,137832
CTV,20171121,24.64,24.68,24.07,24.10,130353
CTV,20171120,24.53,24.81,24.53,24.68,247930
CTV,20171117,24.32,24.55,24.32,24.46,90699
CTV,20171116,24.19,24.49,24.19,24.35,112925
CTV,20171115,24.00,24.36,23.86,24.12,67285
CTV,20171114,24.12,24.23,23.92,23.97,153512
CTV,20171113,23.85,24.10,23.72,24.07,121553
CTV,20171110,23.65,23.85,23.43,23.76,107620
CTV,20171109,23.67,23.88,22.56,23.56,211452
CTV,20171108,24.50,24.65,23.7601,23.89,152603
CTV,20171107,24.71,25.01,24.62,24.62,142727
CTV,20171106,25.06,25.085,24.5911,24.83,132805
CTV,20171103,25.09,25.1204,24.75,25.01,150707
CTV,20171102,25.65,25.66,24.011,24.80,156635
CTV,20171101,25.72,25.74,25.60,25.6557,27139
CTV,20171031,25.68,25.77,25.65,25.71,27166
CTV,20171030,25.87,25.87,25.70,25.74,25852
CTV,20171027,25.92,25.99,25.82,25.88,18187
CTV,20171026,25.94,26.03,25.86,26.03,12477
CTV,20171025,25.85,25.92,25.85,25.91,8431
CTV,20171024,26.01,26.01,25.92,25.98,12491
CTV,20171023,25.87,25.97,25.80,25.97,20960
CTV,20171020,25.93,26.0004,25.8745,25.97,12010
CTV,20171019,25.91,26.00,25.91,25.95,9057
CTV,20171018,26.03,26.0699,25.91,25.93,24471
CTV,20171017,26.05,26.1372,26.01,26.07,29789
CTV,20171016,26.06,26.144,26.04,26.05,11611
CTV,20171013,26.13,26.16,26.065,26.075,14935
CTV,20171012,26.07,26.16,26.07,26.16,11774
CTV,20171011,26.02,26.16,26.02,26.11,26969
CTV,20171010,26.08,26.1525,26.05,26.11,11326
CTV,20171009,26.00,26.1256,25.9333,26.10,18870
CTV,20171006,26.11,26.1325,26.053,26.06,22203
CTV,20171005,26.04,26.1394,26.04,26.129,8159
CTV,20171004,26.02,26.14,26.02,26.04,6847
CTV,20171003,26.11,26.1576,26.0707,26.0707,10494
CTV,20171002,26.03,26.13,25.994,26.13,19315
CTV,20170929,25.90,25.99,25.87,25.99,24440
CTV,20170928,25.96,25.99,25.74,25.9589,25245
CTV,20170927,26.23,26.37,26.23,26.31,24663
CTV,20170926,26.26,26.31,26.22,26.23,15339
CTV,20170925,26.28,26.32,26.22,26.22,21066
CTV,20170922,26.32,26.334,26.22,26.31,11725
CTV,20170921,26.22,26.33,26.22,26.269,8327
CTV,20170920,26.22,26.3611,26.22,26.2283,17422
CTV,20170919,26.1953,26.30,26.17,26.29,29378
CTV,20170918,26.17,26.27,26.17,26.26,6840
CTV,20170915,26.20,26.28,26.17,26.17,8464
CTV,20170914,26.25,26.277,26.20,26.20,15114
CTV,20170913,26.16,26.26,26.16,26.21,17157
CTV,20170912,26.22,26.27,26.18,26.21,22853
CTV,20170911,26.15,26.31,26.15,26.28,10466
CTV,20170908,26.11,26.19,26.03,26.15,13182
CTV,20170907,26.02,26.18,26.02,26.14,20599
CTV,20170906,26.10,26.116,26.01,26.0228,15058
