<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CUZ,20180503,9.05,9.19,9.03,9.12,4914522
CUZ,20180502,8.93,9.12,8.83,9.07,5593100
CUZ,20180501,8.88,8.98,8.83,8.95,2920425
CUZ,20180430,8.90,8.93,8.865,8.89,3382987
CUZ,20180427,8.59,8.91,8.57,8.88,2693642
CUZ,20180426,8.53,8.705,8.45,8.62,2010376
CUZ,20180425,8.55,8.56,8.42,8.47,3340607
CUZ,20180424,8.48,8.545,8.475,8.53,3423816
CUZ,20180423,8.42,8.495,8.36,8.49,3669498
CUZ,20180420,8.50,8.53,8.40,8.40,3454105
CUZ,20180419,8.63,8.64,8.46,8.50,2754624
CUZ,20180418,8.75,8.795,8.635,8.65,3330881
CUZ,20180417,8.59,8.76,8.56,8.72,4426712
CUZ,20180416,8.49,8.59,8.45,8.57,2932673
CUZ,20180413,8.45,8.47,8.39,8.45,1755114
CUZ,20180412,8.58,8.58,8.42,8.44,2257758
CUZ,20180411,8.50,8.63,8.49,8.57,2663682
CUZ,20180410,8.54,8.575,8.47,8.54,4429097
CUZ,20180409,8.53,8.56,8.48,8.48,2837367
CUZ,20180406,8.58,8.66,8.48,8.50,2739264
CUZ,20180405,8.60,8.63,8.50,8.62,2562361
CUZ,20180404,8.54,8.66,8.49,8.58,3212962
CUZ,20180403,8.42,8.66,8.385,8.62,6376074
CUZ,20180402,8.62,8.64,8.36,8.39,5091142
CUZ,20180329,8.72,8.76,8.64,8.67,2455500
CUZ,20180328,8.54,8.72,8.53,8.70,3136871
CUZ,20180327,8.52,8.64,8.445,8.49,2768874
CUZ,20180326,8.40,8.53,8.32,8.53,3896788
CUZ,20180323,8.51,8.57,8.30,8.31,2476379
CUZ,20180322,8.60,8.735,8.52,8.52,2292369
CUZ,20180321,8.72,8.74,8.595,8.64,2294734
CUZ,20180320,8.72,8.75,8.65,8.71,4385554
CUZ,20180319,8.75,8.76,8.59,8.70,2172045
CUZ,20180316,8.63,8.795,8.59,8.78,8112916
CUZ,20180315,8.61,8.62,8.54,8.62,1713832
CUZ,20180314,8.57,8.62,8.54,8.58,2291349
CUZ,20180313,8.72,8.75,8.55,8.56,3451367
CUZ,20180312,8.64,8.68,8.60,8.68,1896955
CUZ,20180309,8.60,8.63,8.54,8.62,2096678
CUZ,20180308,8.62,8.63,8.535,8.57,1859014
CUZ,20180307,8.41,8.585,8.41,8.57,3065255
CUZ,20180306,8.52,8.58,8.42,8.52,3878835
CUZ,20180305,8.36,8.54,8.36,8.49,3679224
CUZ,20180302,8.30,8.41,8.24,8.39,3276434
CUZ,20180301,8.30,8.425,8.28,8.32,4454197
CUZ,20180228,8.42,8.465,8.33,8.34,3370354
CUZ,20180227,8.59,8.61,8.36,8.37,2729200
CUZ,20180226,8.63,8.64,8.535,8.59,1716172
CUZ,20180223,8.50,8.59,8.45,8.59,2050544
CUZ,20180222,8.40,8.52,8.39,8.45,2365928
CUZ,20180221,8.53,8.55,8.36,8.36,3420651
CUZ,20180220,8.67,8.75,8.52,8.52,2811074
CUZ,20180216,8.57,8.695,8.57,8.66,2599515
CUZ,20180215,8.48,8.57,8.45,8.56,2665281
CUZ,20180214,8.38,8.455,8.35,8.43,6838133
CUZ,20180213,8.43,8.50,8.34,8.45,5794101
CUZ,20180212,8.55,8.56,8.23,8.46,5186558
CUZ,20180209,8.36,8.58,8.27,8.53,5454770
CUZ,20180208,8.64,8.67,8.32,8.34,2823960
CUZ,20180207,8.42,8.63,8.405,8.50,2595954
CUZ,20180206,8.40,8.52,8.27,8.48,5852933
CUZ,20180205,8.81,8.86,8.51,8.51,3799019
CUZ,20180202,8.79,8.845,8.72,8.83,2436632
CUZ,20180201,9.00,9.045,8.84,8.845,2447545
CUZ,20180131,8.97,9.08,8.95,9.00,3126062
CUZ,20180130,8.91,8.985,8.89,8.92,3909189
CUZ,20180129,9.06,9.06,8.935,8.95,2124339
CUZ,20180126,9.16,9.16,9.03,9.06,1627647
CUZ,20180125,9.18,9.215,9.07,9.13,1980178
CUZ,20180124,9.24,9.25,9.115,9.17,2216662
CUZ,20180123,9.13,9.23,9.09,9.23,2678898
CUZ,20180122,9.05,9.13,9.00,9.12,2443899
CUZ,20180119,8.91,9.04,8.9097,9.04,1777898
CUZ,20180118,9.07,9.10,8.92,8.92,2808120
CUZ,20180117,9.11,9.12,9.02,9.10,2635689
CUZ,20180116,9.02,9.17,9.01,9.07,4011768
CUZ,20180112,9.09,9.09,8.99,9.00,1225702
CUZ,20180111,9.04,9.10,9.04,9.08,1867002
CUZ,20180110,9.11,9.13,8.97,9.01,3410542
CUZ,20180109,9.11,9.16,9.10,9.11,3119391
CUZ,20180108,9.09,9.14,9.08,9.12,1488084
CUZ,20180105,9.06,9.15,9.03,9.13,2503574
CUZ,20180104,9.30,9.30,9.05,9.06,4681375
CUZ,20180103,9.30,9.39,9.27,9.31,6994453
CUZ,20180102,9.27,9.33,9.24,9.31,2882137
CUZ,20171229,9.31,9.36,9.25,9.25,2667690
CUZ,20171228,9.28,9.41,9.27,9.39,3499819
CUZ,20171227,9.29,9.335,9.24,9.28,1676254
CUZ,20171226,9.17,9.26,9.15,9.26,763091
CUZ,20171222,9.14,9.225,9.11,9.18,1019763
CUZ,20171221,9.24,9.24,9.15,9.16,1333239
CUZ,20171220,9.35,9.405,9.185,9.19,2279661
CUZ,20171219,9.58,9.59,9.30,9.31,2226394
CUZ,20171218,9.49,9.63,9.49,9.58,3837233
CUZ,20171215,9.41,9.53,9.39,9.49,3194671
CUZ,20171214,9.40,9.44,9.35,9.39,2383000
CUZ,20171213,9.42,9.51,9.41,9.44,2958897
CUZ,20171212,9.44,9.51,9.405,9.45,3995751
CUZ,20171211,9.40,9.45,9.37,9.42,3154461
CUZ,20171208,9.30,9.38,9.23,9.34,2744731
CUZ,20171207,9.18,9.28,9.175,9.27,3309886
CUZ,20171206,9.19,9.21,9.125,9.18,3329142
CUZ,20171205,9.29,9.34,9.15,9.16,5845460
CUZ,20171204,9.32,9.32,9.18,9.30,6948006
CUZ,20171201,8.97,9.09,8.87,9.09,4448876
CUZ,20171130,9.01,9.02,8.89,8.98,3095234
CUZ,20171129,8.99,9.04,8.95,8.98,4482842
CUZ,20171128,9.02,9.06,8.9721,8.98,5254130
CUZ,20171127,9.07,9.11,9.02,9.03,4171661
CUZ,20171124,9.18,9.18,9.07,9.07,845106
CUZ,20171122,9.29,9.31,9.12,9.15,3660968
CUZ,20171121,9.11,9.29,9.05,9.28,13538406
CUZ,20171120,8.97,9.105,8.92,9.07,4292952
CUZ,20171117,8.98,9.01,8.93,8.97,5322342
CUZ,20171116,9.02,9.06,8.99,9.02,2966072
CUZ,20171115,9.18,9.21,9.01,9.02,2377618
CUZ,20171114,9.16,9.25,9.14,9.22,1322768
CUZ,20171113,9.15,9.22,9.085,9.20,2301382
CUZ,20171110,9.06,9.18,9.06,9.15,1843016
CUZ,20171109,9.07,9.17,9.03,9.10,2212718
CUZ,20171108,8.99,9.12,8.965,9.10,1443809
CUZ,20171107,9.08,9.17,9.03,9.04,1755906
CUZ,20171106,9.04,9.09,9.01,9.06,1347375
CUZ,20171103,8.99,9.03,8.96,9.01,1247888
CUZ,20171102,9.00,9.07,8.96,9.02,2319543
CUZ,20171101,9.11,9.12,8.96,9.02,2017289
CUZ,20171031,9.05,9.08,8.95,9.02,2258846
CUZ,20171030,9.17,9.18,9.01,9.05,4629138
CUZ,20171027,9.07,9.21,9.07,9.19,2278981
CUZ,20171026,9.14,9.20,8.96,9.10,4313105
CUZ,20171025,9.20,9.23,9.08,9.17,1602596
CUZ,20171024,9.25,9.28,9.20,9.22,1494137
CUZ,20171023,9.21,9.27,9.16,9.25,1444795
CUZ,20171020,9.27,9.27,9.15,9.19,2546136
CUZ,20171019,9.34,9.35,9.20,9.25,3067603
CUZ,20171018,9.37,9.41,9.29,9.35,3730005
CUZ,20171017,9.47,9.49,9.37,9.38,4964193
CUZ,20171016,9.45,9.4779,9.37,9.47,1135688
CUZ,20171013,9.43,9.455,9.35,9.43,1576452
CUZ,20171012,9.46,9.50,9.33,9.40,2929530
CUZ,20171011,9.54,9.58,9.42,9.46,4443973
CUZ,20171010,9.53,9.59,9.45,9.52,2301500
CUZ,20171009,9.50,9.53,9.45,9.52,2203537
CUZ,20171006,9.47,9.48,9.40,9.46,5619019
CUZ,20171005,9.54,9.57,9.47,9.495,1759755
CUZ,20171004,9.54,9.57,9.45,9.51,1398583
CUZ,20171003,9.41,9.55,9.38,9.52,2547887
CUZ,20171002,9.38,9.43,9.30,9.37,3183913
CUZ,20170929,9.38,9.42,9.31,9.34,1214438
CUZ,20170928,9.40,9.43,9.30,9.43,1815957
CUZ,20170927,9.41,9.43,9.29,9.39,2224645
CUZ,20170926,9.35,9.43,9.30,9.40,1830289
CUZ,20170925,9.28,9.36,9.25,9.33,2598679
CUZ,20170922,9.30,9.36,9.20,9.22,1488900
CUZ,20170921,9.33,9.395,9.245,9.28,1982502
CUZ,20170920,9.38,9.41,9.28,9.32,2366275
CUZ,20170919,9.32,9.38,9.26,9.37,2185751
CUZ,20170918,9.22,9.32,9.22,9.31,1768552
CUZ,20170915,9.28,9.28,9.15,9.2599,1927780
CUZ,20170914,9.18,9.26,9.10,9.24,1642972
CUZ,20170913,9.24,9.28,9.13,9.19,2518531
CUZ,20170912,9.29,9.36,9.23,9.25,2456914
CUZ,20170911,9.22,9.36,9.22,9.27,1966255
CUZ,20170908,9.18,9.25,9.15,9.17,1691333
CUZ,20170907,9.22,9.25,9.13,9.19,2643530
CUZ,20170906,9.29,9.36,9.18,9.19,2696311
CUZ,20170905,9.39,9.445,9.27,9.27,2597814
CUZ,20170901,9.35,9.43,9.335,9.35,1781115
CUZ,20170831,9.23,9.36,9.225,9.35,2129060
CUZ,20170830,9.08,9.21,9.04,9.19,1504752
CUZ,20170829,9.17,9.22,9.11,9.11,1579785
CUZ,20170828,9.24,9.24,9.14,9.17,2393088
CUZ,20170825,9.19,9.27,9.13,9.23,2645222
CUZ,20170824,9.31,9.31,9.12,9.16,5861180
CUZ,20170823,9.15,9.31,9.15,9.29,2962523
CUZ,20170822,9.23,9.23,9.16,9.19,2131320
CUZ,20170821,9.12,9.26,9.09,9.21,2103642
CUZ,20170818,9.10,9.19,9.07,9.13,2059169
CUZ,20170817,9.20,9.285,9.18,9.18,2360870
CUZ,20170816,9.19,9.31,9.18,9.20,1993602
CUZ,20170815,9.21,9.21,9.11,9.19,1486932
CUZ,20170814,9.10,9.22,9.085,9.22,2350672
CUZ,20170811,9.12,9.17,9.055,9.08,2846021
CUZ,20170810,9.16,9.22,9.125,9.15,2581816
CUZ,20170809,9.17,9.20,9.17,9.17,3720681
CUZ,20170808,9.18,9.22,9.14,9.17,1806394
CUZ,20170807,9.21,9.23,9.16,9.18,2325801
CUZ,20170804,9.20,9.25,9.165,9.21,2444758
CUZ,20170803,9.18,9.235,9.15,9.19,2552536
CUZ,20170802,9.36,9.36,9.18,9.19,2826574
CUZ,20170801,9.41,9.44,9.26,9.38,8344790
CUZ,20170731,9.02,9.21,8.97,9.19,5060159
CUZ,20170728,9.00,9.13,8.87,9.00,3486139
CUZ,20170727,8.86,8.945,8.78,8.87,1805456
CUZ,20170726,8.83,8.88,8.81,8.86,1881400
CUZ,20170725,8.87,8.88,8.78,8.86,3003494
CUZ,20170724,8.92,8.98,8.84,8.84,2232911
CUZ,20170721,9.03,9.09,8.90,8.92,1578301
CUZ,20170720,9.05,9.07,8.95,8.97,1553829
CUZ,20170719,8.94,9.07,8.9079,9.05,2433713
CUZ,20170718,8.90,8.95,8.87,8.92,2140101
