<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CVX,20180503,124.59,126.12,123.83,126.01,5356261
CVX,20180502,124.20,126.47,124.09,125.47,4126153
CVX,20180501,124.03,124.92,123.08,124.76,5117204
CVX,20180430,127.02,127.90,125.05,125.14,5206417
CVX,20180427,125.50,127.05,124.68,126.62,7682742
CVX,20180426,122.67,124.30,122.30,124.22,5337089
CVX,20180425,122.34,122.90,121.12,122.72,4571002
CVX,20180424,124.36,125.04,121.75,122.54,6474747
CVX,20180423,122.00,123.61,121.80,123.58,4684813
CVX,20180420,123.38,123.46,121.46,122.31,5946155
CVX,20180419,123.97,125.00,123.21,123.71,5738252
CVX,20180418,122.46,124.89,122.40,123.82,6952125
CVX,20180417,120.94,122.00,120.56,121.46,4139179
CVX,20180416,120.60,121.7099,119.77,120.70,3871427
CVX,20180413,119.52,120.789,119.22,119.92,4506057
CVX,20180412,119.71,120.669,118.65,119.23,5496091
CVX,20180411,118.69,119.38,117.75,119.25,5412334
CVX,20180410,117.60,119.83,117.60,118.85,6769993
CVX,20180409,115.30,117.17,114.88,115.98,6067083
CVX,20180406,116.38,117.01,113.39,114.76,6242844
CVX,20180405,114.88,117.89,114.70,117.29,5580175
CVX,20180404,113.05,114.79,112.43,114.48,4760806
CVX,20180403,112.52,114.98,112.09,114.83,5585632
CVX,20180402,113.89,114.39,110.54,112.24,5359287
CVX,20180329,112.29,114.43,112.28,114.04,5792889
CVX,20180328,114.93,115.26,112.06,112.10,5726009
CVX,20180327,115.75,116.86,113.98,114.66,4480418
CVX,20180326,114.24,115.585,113.25,115.35,5428009
CVX,20180323,114.37,115.77,112.70,112.98,5285816
CVX,20180322,115.55,115.74,113.48,113.70,5467889
CVX,20180321,114.98,118.11,114.80,117.04,5104661
CVX,20180320,114.55,115.70,114.435,114.50,3898330
CVX,20180319,115.07,115.23,113.22,113.89,4141299
CVX,20180316,115.40,116.19,114.561,115.40,10960991
CVX,20180315,115.36,116.2101,114.75,115.58,3884885
CVX,20180314,116.98,117.45,114.86,115.13,4088882
CVX,20180313,117.23,118.18,116.00,116.46,5465013
CVX,20180312,117.50,118.35,116.56,116.79,5917894
CVX,20180309,114.31,117.3901,114.24,117.22,7654240
CVX,20180308,114.60,114.745,112.60,113.35,4799266
CVX,20180307,112.95,115.08,112.63,113.84,5451557
CVX,20180306,113.85,115.52,113.02,113.65,6686059
CVX,20180305,111.40,113.33,111.02,113.15,6951140
CVX,20180302,111.50,112.18,109.83,111.64,5310219
CVX,20180301,111.53,113.9001,110.97,112.04,5383120
CVX,20180228,115.02,115.4613,111.88,111.92,5860144
CVX,20180227,114.87,116.05,113.61,113.61,5143837
CVX,20180226,113.18,114.66,112.85,114.60,6146656
CVX,20180223,110.46,112.74,110.25,112.59,5339004
CVX,20180222,109.55,111.44,108.90,109.89,6508224
CVX,20180221,111.14,112.06,109.06,109.06,5308837
CVX,20180220,112.28,112.76,110.58,110.98,5103961
CVX,20180216,112.35,112.94,111.21,112.14,5010763
CVX,20180215,112.23,112.55,110.84,112.53,4424143
CVX,20180214,112.50,114.05,111.40,113.65,5449598
CVX,20180213,113.34,113.605,111.8586,113.29,5866476
CVX,20180212,114.80,115.85,112.91,113.98,7052290
CVX,20180209,113.34,114.62,109.50,113.50,9619056
CVX,20180208,115.17,115.89,112.21,112.30,8133766
CVX,20180207,117.40,119.27,115.23,115.29,10131157
CVX,20180206,111.20,117.63,110.76,117.18,15690139
CVX,20180205,116.99,118.30,108.02,112.62,12730724
CVX,20180202,123.95,123.95,117.64,118.58,11419727
CVX,20180201,125.60,125.63,124.06,125.57,6818749
CVX,20180131,125.42,125.815,124.05,125.35,7856760
CVX,20180130,127.61,128.01,125.19,125.23,6719407
CVX,20180129,130.06,131.58,128.32,128.48,5386436
CVX,20180126,130.71,131.75,130.37,130.95,3128062
CVX,20180125,131.76,131.87,130.34,130.65,3939873
CVX,20180124,131.38,132.6678,131.07,131.39,5083348
CVX,20180123,132.38,132.56,130.73,131.02,4788483
CVX,20180122,131.30,132.56,131.28,132.56,4249473
CVX,20180119,131.83,132.00,130.21,131.30,5294251
CVX,20180118,132.35,132.50,131.03,131.59,4482438
CVX,20180117,132.19,132.80,130.96,132.36,4821781
CVX,20180116,133.67,133.88,131.60,132.01,5165431
CVX,20180112,132.19,133.85,132.11,133.60,5720667
CVX,20180111,128.92,133.32,128.76,132.57,9882513
CVX,20180110,128.31,128.76,127.7999,128.66,4252851
CVX,20180109,128.43,128.935,127.79,127.84,3871384
CVX,20180108,127.86,128.63,127.63,128.53,3686010
CVX,20180105,127.97,128.10,127.10,127.90,3565016
CVX,20180104,127.95,128.35,127.22,128.11,3949069
