<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DAL,20180423,55.77,55.80,54.17,54.61,4801798
DAL,20180420,55.23,55.82,55.16,55.40,6102878
DAL,20180419,55.04,55.23,54.56,55.07,4729542
DAL,20180418,55.01,56.02,54.72,55.21,6867659
DAL,20180417,55.00,55.2001,54.03,54.55,6661688
DAL,20180416,53.27,54.825,53.265,54.30,7819112
DAL,20180413,53.62,54.44,52.501,52.92,8291538
DAL,20180412,52.60,53.64,51.95,52.98,11443630
DAL,20180411,52.00,52.54,51.36,51.47,6734399
DAL,20180410,53.35,53.38,51.425,52.36,11160146
DAL,20180409,53.36,53.70,52.48,52.56,5135484
DAL,20180406,53.85,54.30,52.51,53.05,5287473
DAL,20180405,54.31,54.475,53.70,54.21,3971682
DAL,20180404,52.79,53.9799,52.60,53.86,5592652
DAL,20180403,52.49,53.765,52.2697,53.72,6018409
DAL,20180402,54.59,54.63,50.95,51.95,9400324
DAL,20180329,54.02,55.22,53.745,54.81,5223054
DAL,20180328,54.47,54.8699,53.72,53.93,6536998
DAL,20180327,55.31,55.475,53.96,54.26,5421521
DAL,20180326,54.57,55.275,54.07,55.06,5179193
DAL,20180323,54.78,55.21,53.84,53.90,6689627
DAL,20180322,55.50,56.00,54.63,54.67,5869136
DAL,20180321,55.49,56.36,54.75,55.95,8570029
DAL,20180320,56.16,56.72,55.95,56.50,3932564
DAL,20180319,56.54,56.73,55.53,55.96,4827251
DAL,20180316,56.46,57.3068,56.43,56.69,5720238
DAL,20180315,56.47,56.55,55.81,56.34,3749994
DAL,20180314,56.62,57.26,56.01,56.15,6106495
DAL,20180313,56.36,57.01,55.46,56.59,7940554
DAL,20180312,56.25,56.48,55.57,56.16,5719445
DAL,20180309,54.94,56.09,54.58,56.09,6013197
DAL,20180308,53.96,55.01,53.8601,54.64,5575169
DAL,20180307,53.36,53.67,53.13,53.53,3760467
DAL,20180306,53.92,54.1124,53.48,53.84,4076740
DAL,20180305,52.91,54.085,52.58,53.79,4976951
DAL,20180302,52.78,53.425,51.81,53.26,6141056
DAL,20180301,53.87,54.96,53.01,53.35,7036943
DAL,20180228,53.87,54.50,53.36,53.90,5442306
DAL,20180227,54.59,55.01,53.53,53.62,5280654
DAL,20180226,54.61,54.80,53.7501,54.69,6300382
DAL,20180223,52.80,53.48,52.625,53.46,3814422
DAL,20180222,53.26,53.445,52.45,52.55,4420613
DAL,20180221,52.67,54.39,52.58,53.16,5975690
DAL,20180220,52.53,53.21,52.30,52.47,4860383
DAL,20180216,52.87,53.52,52.77,52.85,5117304
DAL,20180215,52.585,53.16,51.98,52.95,4273315
DAL,20180214,51.89,52.58,51.75,52.20,6302342
DAL,20180213,51.86,52.29,51.36,52.17,6656632
DAL,20180212,51.22,52.485,50.72,52.05,9632258
DAL,20180209,51.95,52.00,48.52,50.46,18098218
