<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DECK,20180423,89.52,91.24,89.245,89.80,497445
DECK,20180420,90.55,91.96,88.87,89.00,532008
DECK,20180419,93.87,93.97,91.58,92.23,496590
DECK,20180418,94.82,95.82,93.85,93.99,350579
DECK,20180417,95.73,96.07,93.97,94.67,299415
DECK,20180416,95.15,95.94,94.58,94.95,422831
DECK,20180413,96.49,96.695,94.33,94.96,345265
DECK,20180412,95.57,96.54,95.27,96.02,366501
DECK,20180411,94.25,96.00,93.35,95.44,368777
DECK,20180410,93.38,95.33,92.225,95.06,441214
DECK,20180409,92.28,93.53,92.04,92.40,587405
DECK,20180406,93.16,95.04,91.07,91.92,519030
DECK,20180405,92.34,93.80,91.45,93.67,1429596
DECK,20180404,88.16,91.87,88.11,91.70,619954
DECK,20180403,86.74,89.82,86.74,89.05,604811
DECK,20180402,89.83,89.86,85.81,86.58,534006
DECK,20180329,90.72,92.23,89.82,90.03,570148
DECK,20180328,91.31,92.88,89.83,90.23,453835
DECK,20180327,91.13,92.63,90.45,91.29,442977
DECK,20180326,90.53,91.255,89.45,90.98,940659
DECK,20180323,90.99,91.22,89.20,89.21,495272
DECK,20180322,91.00,92.38,90.44,90.48,432105
DECK,20180321,92.25,92.56,91.29,91.70,453382
DECK,20180320,91.98,92.38,91.0175,92.20,681003
DECK,20180319,91.84,92.73,90.321,92.01,526133
DECK,20180316,91.14,94.36,91.14,92.47,1080390
DECK,20180315,90.80,91.39,90.00,90.93,806136
DECK,20180314,91.34,92.11,89.93,90.46,517079
DECK,20180313,90.41,92.74,90.01,90.87,1162905
DECK,20180312,95.50,95.7003,87.61,90.28,1990557
DECK,20180309,95.96,97.88,95.90,97.50,730416
DECK,20180308,98.30,98.30,95.05,95.33,433679
DECK,20180307,97.30,98.92,96.54,97.79,847010
DECK,20180306,94.99,98.73,93.72,98.29,782610
DECK,20180305,95.75,96.79,94.26,94.69,716582
DECK,20180302,93.71,96.10,92.69,95.88,407447
DECK,20180301,94.45,95.06,91.735,94.68,864237
DECK,20180228,95.83,96.66,94.44,94.58,434480
DECK,20180227,96.52,98.38,94.815,95.53,499340
DECK,20180226,96.00,96.73,95.05,96.11,522329
DECK,20180223,96.11,96.455,95.23,96.00,598467
DECK,20180222,96.32,96.71,95.27,95.56,642516
DECK,20180221,95.40,97.83,95.40,96.02,909147
DECK,20180220,94.00,95.48,92.08,94.98,931246
DECK,20180216,95.00,95.97,94.37,94.59,480270
DECK,20180215,95.87,96.13,93.355,96.00,466840
DECK,20180214,93.42,96.15,93.14,95.50,641080
DECK,20180213,93.85,95.15,93.245,94.32,647996
DECK,20180212,93.45,94.78,93.00,94.03,838089
DECK,20180209,91.59,94.02,90.09,93.26,1024892
DECK,20180208,95.35,95.67,90.54,90.68,1392920
DECK,20180207,95.12,97.82,94.87,95.69,828978
DECK,20180206,92.67,95.48,91.86,95.00,1491468
DECK,20180205,93.51,96.7686,92.90,94.90,1464460
DECK,20180202,94.55,98.62,89.90,93.63,2462446
DECK,20180201,84.95,88.265,84.30,87.26,795726
DECK,20180131,87.19,87.88,84.77,85.71,683669
DECK,20180130,88.14,88.77,86.22,87.23,457986
DECK,20180129,88.93,89.77,88.29,88.38,341639
DECK,20180126,88.59,89.27,87.59,88.44,323104
DECK,20180125,87.15,88.25,86.22,87.90,445573
DECK,20180124,88.41,88.62,86.41,86.58,418227
DECK,20180123,86.30,88.43,85.83,88.07,851872
DECK,20180122,85.25,86.54,85.00,86.31,856315
DECK,20180119,83.42,85.74,83.3811,85.39,1124733
DECK,20180118,83.15,84.11,82.96,83.53,394644
DECK,20180117,83.80,84.19,83.00,83.45,407618
DECK,20180116,83.27,83.91,81.74,82.25,361843
DECK,20180112,81.88,83.10,81.43,82.95,241692
DECK,20180111,80.68,81.82,80.10,81.70,173399
DECK,20180110,79.70,80.96,79.60,80.59,336507
DECK,20180109,80.83,81.47,79.90,80.00,473304
DECK,20180108,79.72,81.84,78.94,80.97,475315
DECK,20180105,79.13,79.287,78.08,78.96,324092
DECK,20180104,79.35,79.36,77.95,78.96,373361
DECK,20180103,80.00,80.44,78.85,79.35,421926
DECK,20180102,79.13,80.69,77.9223,80.25,381200
DECK,20171229,80.37,80.96,80.09,80.25,252545
DECK,20171228,80.07,80.95,79.92,80.06,120553
DECK,20171227,79.89,80.59,79.46,79.88,211618
DECK,20171226,79.43,80.44,79.20,79.80,255268
DECK,20171222,78.67,79.485,78.36,79.26,246107
DECK,20171221,79.63,79.63,78.73,79.21,221814
DECK,20171220,79.71,79.71,78.29,79.02,322594
DECK,20171219,78.34,80.75,77.97,79.28,727364
DECK,20171218,76.73,77.4999,76.34,77.12,288517
DECK,20171215,74.40,76.52,74.40,75.98,557259
DECK,20171214,78.40,78.765,73.93,74.15,903280
DECK,20171213,76.92,78.7053,76.92,78.35,563253
DECK,20171212,77.37,78.06,76.86,77.13,642474
DECK,20171211,77.64,77.70,75.83,77.04,342444
DECK,20171208,76.73,78.38,76.32,77.72,376893
DECK,20171207,76.08,77.17,75.50,76.28,403409
DECK,20171206,74.71,76.15,74.26,75.79,429354
DECK,20171205,77.35,77.43,74.29,74.38,428141
DECK,20171204,76.21,77.76,75.59,77.00,650254
DECK,20171201,74.47,74.73,72.67,74.69,539883
DECK,20171130,75.04,75.61,73.90,74.73,698853
DECK,20171129,72.94,75.30,72.94,75.01,845070
DECK,20171128,72.42,72.83,71.52,72.73,495485
DECK,20171127,74.39,74.98,72.34,72.42,562285
DECK,20171124,74.41,74.53,73.34,73.93,202761
DECK,20171122,73.14,75.41,73.045,74.31,628983
DECK,20171121,72.27,73.61,71.65,73.09,626829
DECK,20171120,71.62,72.89,71.62,72.56,688185
DECK,20171117,70.61,71.84,70.42,71.32,661688
DECK,20171116,68.66,71.00,68.66,70.07,385530
