<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DTE,20180423,102.88,103.74,102.79,103.33,515624
DTE,20180420,103.69,103.74,102.28,102.73,831371
DTE,20180419,103.81,104.165,103.05,103.74,493960
DTE,20180418,104.56,105.20,103.94,103.97,372100
DTE,20180417,103.65,104.74,103.29,104.49,401786
DTE,20180416,102.66,103.71,102.26,103.61,734812
DTE,20180413,102.22,102.84,102.17,102.44,485915
DTE,20180412,103.51,103.66,101.82,102.10,372435
DTE,20180411,103.46,104.04,102.91,103.34,303035
DTE,20180410,104.51,104.63,103.37,103.55,442894
DTE,20180409,104.06,105.02,103.63,104.33,362440
DTE,20180406,104.67,105.00,103.725,104.03,515795
DTE,20180405,103.98,105.01,102.56,104.63,691608
DTE,20180404,104.23,104.325,102.87,103.89,727675
DTE,20180403,103.65,104.61,103.25,104.40,735290
DTE,20180402,104.68,105.49,103.16,103.71,546360
DTE,20180329,104.02,105.1869,104.02,104.40,284828
DTE,20180328,104.09,104.70,103.425,104.00,649086
DTE,20180327,102.19,104.92,101.95,103.81,494434
DTE,20180326,101.41,102.44,101.34,102.12,376486
DTE,20180323,102.71,103.57,100.98,101.09,535177
DTE,20180322,102.43,104.73,102.43,102.55,1235290
DTE,20180321,102.50,103.73,102.07,102.53,893594
DTE,20180320,102.29,102.81,101.24,102.15,1246076
DTE,20180319,102.11,102.91,101.55,102.19,1234713
DTE,20180316,101.15,102.53,100.95,102.27,2949096
DTE,20180315,102.00,102.47,101.17,101.72,1298112
DTE,20180314,101.06,101.93,100.88,101.77,714997
DTE,20180313,101.31,101.51,100.33,100.93,1017405
DTE,20180312,100.36,101.76,100.28,100.91,1249905
DTE,20180309,100.37,100.59,99.59,100.53,1176081
DTE,20180308,100.16,100.81,99.86,100.40,657648
DTE,20180307,100.88,101.455,99.52,99.92,853396
DTE,20180306,102.43,102.50,100.68,101.20,485838
DTE,20180305,100.67,102.72,100.22,102.57,597002
DTE,20180302,100.71,101.91,99.82,100.79,631815
DTE,20180301,100.85,102.06,100.06,100.71,607476
DTE,20180228,102.20,102.36,100.72,100.76,1148273
DTE,20180227,104.02,104.69,102.01,102.03,857023
DTE,20180226,104.95,105.065,103.58,103.76,666095
DTE,20180223,101.94,104.70,101.87,104.70,755588
DTE,20180222,102.32,102.93,101.49,101.86,804222
DTE,20180221,103.20,104.12,101.88,101.90,737906
DTE,20180220,105.05,105.70,102.89,103.20,900970
DTE,20180216,102.73,105.56,102.53,105.22,1456437
DTE,20180215,102.03,103.23,101.51,103.15,652557
DTE,20180214,101.58,101.99,100.62,101.23,788870
DTE,20180213,101.06,102.395,100.40,102.21,716990
DTE,20180212,101.23,101.56,100.06,101.25,982661
DTE,20180209,98.77,101.86,98.65,101.08,945283
DTE,20180208,99.04,100.4399,98.48,98.50,965567
DTE,20180207,99.29,100.55,99.04,99.27,734740
DTE,20180206,100.84,100.87,97.66,99.39,1890928
DTE,20180205,103.02,104.10,101.72,102.04,1290313
DTE,20180202,103.71,104.11,102.93,103.28,1515574
DTE,20180201,105.76,106.35,103.65,104.22,1933843
DTE,20180131,104.33,105.75,103.85,105.63,806918
DTE,20180130,104.07,104.86,103.81,104.21,802038
DTE,20180129,104.99,105.06,104.04,104.39,1341666
DTE,20180126,106.03,106.24,104.51,105.50,838257
DTE,20180125,104.31,106.00,104.2201,105.96,711107
DTE,20180124,104.58,105.02,104.00,104.43,1218879
DTE,20180123,103.42,105.00,103.37,104.67,918653
DTE,20180122,103.58,104.17,103.14,103.36,857770
DTE,20180119,103.37,103.89,102.84,103.15,844271
DTE,20180118,104.32,104.32,102.86,103.46,666671
DTE,20180117,104.45,104.52,103.52,104.11,910317
DTE,20180116,104.15,104.66,102.97,104.13,1587218
DTE,20180112,104.92,104.92,103.22,103.909,889045
DTE,20180111,104.71,105.11,103.68,103.93,741618
DTE,20180110,105.39,105.56,103.84,104.64,1372259
DTE,20180109,106.55,106.97,105.52,105.68,633608
DTE,20180108,106.36,107.04,106.15,106.98,508186
DTE,20180105,106.71,106.88,105.59,106.20,993720
DTE,20180104,107.61,108.495,106.22,106.31,605905
DTE,20180103,108.27,109.10,107.34,108.10,883270
DTE,20180102,109.68,110.49,108.35,108.47,694902
DTE,20171229,109.76,110.10,109.18,109.58,390621
DTE,20171228,108.95,109.68,108.79,109.61,644395
DTE,20171227,108.33,108.75,108.14,108.74,332080
DTE,20171226,108.51,109.26,108.08,108.13,497280
DTE,20171222,108.66,108.89,108.15,108.72,549248
DTE,20171221,108.00,108.62,107.58,108.25,568742
DTE,20171220,108.95,109.64,108.20,108.25,552954
DTE,20171219,111.24,111.31,108.95,109.01,603062
DTE,20171218,113.32,113.69,110.81,111.15,593204
DTE,20171215,113.24,114.00,112.70,113.23,988179
DTE,20171214,113.82,114.17,112.76,113.62,572197
DTE,20171213,114.14,114.483,113.64,113.82,506804
DTE,20171212,116.00,116.29,113.93,114.01,870328
DTE,20171211,115.28,116.0596,114.80,115.99,532107
DTE,20171208,114.82,115.55,114.52,115.52,507465
DTE,20171207,114.95,115.09,114.46,115.07,605376
DTE,20171206,114.68,115.15,114.12,115.00,812668
DTE,20171205,115.44,115.595,113.24,114.33,582100
DTE,20171204,115.52,116.74,114.94,115.57,797084
DTE,20171201,116.00,116.40,114.62,115.21,523342
DTE,20171130,114.68,115.85,114.16,115.57,476753
DTE,20171129,114.11,115.44,113.75,114.57,579287
