<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EE,20180423,49.15,49.50,49.05,49.35,125573
EE,20180420,49.45,49.50,49.00,49.05,88229
EE,20180419,49.75,49.75,49.20,49.50,165102
EE,20180418,50.25,50.40,49.70,49.75,158551
EE,20180417,49.90,50.40,49.60,50.25,221890
EE,20180416,48.95,49.85,48.90,49.85,104695
EE,20180413,48.65,49.175,48.65,48.90,93008
EE,20180412,49.55,49.60,48.50,48.55,117420
EE,20180411,49.55,49.75,49.15,49.55,104872
EE,20180410,50.15,50.15,49.50,49.60,136621
EE,20180409,50.35,50.50,49.90,50.05,179478
EE,20180406,50.60,50.75,50.05,50.35,139548
EE,20180405,50.25,50.65,49.60,50.60,106894
EE,20180404,50.10,50.30,49.65,50.20,165576
EE,20180403,50.05,50.30,49.65,50.20,200067
EE,20180402,51.00,51.30,49.65,50.00,237615
EE,20180329,50.65,51.25,50.60,51.00,239048
EE,20180328,50.30,50.90,50.05,50.60,273185
EE,20180327,49.75,50.65,48.955,50.15,247056
EE,20180326,48.95,49.85,48.80,49.75,208745
EE,20180323,49.90,50.30,48.85,48.85,220250
EE,20180322,49.40,50.70,49.35,49.75,261454
EE,20180321,49.45,49.90,49.20,49.40,115341
EE,20180320,49.45,49.75,49.05,49.35,150182
EE,20180319,49.60,49.60,49.10,49.45,147766
EE,20180316,48.75,49.60,48.75,49.60,407817
EE,20180315,48.65,49.00,48.30,48.70,224709
EE,20180314,48.55,49.275,48.55,48.90,207617
EE,20180313,48.90,49.25,48.25,48.35,427025
EE,20180312,48.50,49.10,48.50,48.65,242029
EE,20180309,48.80,48.90,48.35,48.50,216083
EE,20180308,48.90,48.95,48.475,48.75,217092
EE,20180307,48.55,48.80,48.10,48.75,193221
EE,20180306,49.45,49.45,48.35,48.55,301115
EE,20180305,48.40,49.60,48.25,49.40,225339
EE,20180302,48.60,48.95,48.05,48.60,150634
EE,20180301,48.55,49.30,48.15,48.60,199357
EE,20180228,49.30,49.65,48.55,48.60,230614
EE,20180227,50.45,51.35,49.05,49.05,163992
EE,20180226,50.65,50.75,50.35,50.50,220284
EE,20180223,49.80,50.70,49.80,50.55,398742
EE,20180222,49.85,50.15,49.65,49.80,177886
EE,20180221,50.20,51.15,49.85,49.90,175913
EE,20180220,51.10,51.40,50.15,50.25,160452
EE,20180216,50.90,51.45,50.70,51.30,205713
EE,20180215,50.30,50.95,50.15,50.85,406993
EE,20180214,50.50,50.75,49.85,50.00,410811
EE,20180213,50.60,51.15,50.00,50.80,271214
EE,20180212,50.75,50.95,49.70,50.70,299245
EE,20180209,49.55,51.10,49.55,50.75,429354
EE,20180208,49.65,50.05,48.955,49.50,329114
EE,20180207,49.55,50.25,49.35,49.70,139392
EE,20180206,49.85,49.85,48.15,49.50,248839
EE,20180205,50.90,51.45,50.20,50.25,275079
EE,20180202,51.25,51.55,51.05,51.05,126849
EE,20180201,52.05,52.30,51.10,51.45,181595
EE,20180131,51.65,52.375,51.40,52.20,190288
EE,20180130,51.20,52.00,51.15,51.60,169519
EE,20180129,51.50,51.50,50.95,51.15,116197
EE,20180126,52.25,52.25,51.15,51.60,115629
EE,20180125,51.50,52.15,51.30,52.05,138763
EE,20180124,51.85,51.85,51.30,51.35,134890
EE,20180123,51.65,52.125,51.475,51.75,168409
EE,20180122,51.85,52.30,51.50,51.65,192261
EE,20180119,51.15,52.15,51.10,51.65,199877
EE,20180118,51.90,51.90,51.05,51.30,173984
EE,20180117,51.15,52.05,51.05,51.90,229243
EE,20180116,51.20,51.55,50.70,51.00,239536
EE,20180112,51.30,51.75,50.70,51.05,177047
EE,20180111,51.75,52.00,51.20,51.45,294217
EE,20180110,53.10,53.35,51.65,51.75,307008
EE,20180109,54.90,54.90,53.225,53.30,210624
EE,20180108,54.30,55.10,53.95,55.00,220880
EE,20180105,54.15,54.25,53.65,54.25,142980
EE,20180104,54.05,54.70,53.75,54.00,142362
EE,20180103,54.70,54.95,53.85,54.05,150910
EE,20180102,55.35,55.75,54.40,54.70,176536
EE,20171229,55.45,55.60,55.30,55.35,120266
EE,20171228,55.20,55.45,55.05,55.30,136013
EE,20171227,54.65,55.35,54.65,55.05,89791
EE,20171226,55.05,55.50,54.60,54.60,74869
EE,20171222,55.15,55.425,54.95,55.15,90766
EE,20171221,55.65,55.75,54.75,55.00,177803
EE,20171220,56.35,56.74,55.40,55.80,153546
EE,20171219,58.20,58.50,56.35,56.45,161363
EE,20171218,59.15,59.45,58.075,58.20,127974
EE,20171215,58.00,59.40,58.00,59.05,210313
EE,20171214,58.45,58.70,57.975,58.05,146726
EE,20171213,58.25,59.10,58.05,58.75,132024
EE,20171212,58.75,58.90,58.10,58.10,224643
EE,20171211,58.90,59.00,58.60,58.80,192947
EE,20171208,58.85,59.30,58.60,58.90,163237
EE,20171207,59.30,59.60,58.55,58.80,185207
EE,20171206,59.15,59.55,58.70,59.20,134533
EE,20171205,60.20,60.20,58.85,58.95,154209
EE,20171204,60.55,61.10,59.85,60.05,211100
EE,20171201,61.10,61.15,59.30,60.25,173300
EE,20171130,60.80,61.10,60.35,60.90,199797
EE,20171129,60.55,60.80,60.275,60.55,239250
EE,20171128,59.95,60.70,59.65,60.60,173347
EE,20171127,59.65,60.05,59.45,59.70,142117
EE,20171124,59.55,59.70,59.35,59.65,65358
EE,20171122,59.65,60.15,59.15,59.55,190803
EE,20171121,60.05,60.70,59.85,60.45,216104
EE,20171120,60.20,60.45,59.85,59.90,128211
EE,20171117,60.35,60.65,59.60,60.20,152262
EE,20171116,59.80,60.70,59.50,60.65,194292
EE,20171115,59.65,60.20,59.65,59.85,252608
EE,20171114,58.25,59.85,58.15,59.60,210399
EE,20171113,57.75,58.20,57.50,58.00,169178
EE,20171110,57.80,58.125,57.55,57.75,85951
EE,20171109,58.45,58.65,57.80,58.00,150385
EE,20171108,57.75,58.60,57.375,58.60,274178
EE,20171107,57.45,58.30,57.45,57.95,208656
EE,20171106,57.85,57.95,57.25,57.45,143411
EE,20171103,57.75,58.40,57.45,57.60,162097
EE,20171102,56.55,58.15,56.55,57.85,368625
EE,20171101,55.60,57.20,55.45,56.20,298167
EE,20171031,57.95,58.15,57.45,57.50,288131
EE,20171030,58.45,58.45,57.45,58.00,233267
EE,20171027,57.85,58.70,57.50,58.40,226519
EE,20171026,57.85,58.55,57.85,58.00,244072
EE,20171025,57.40,57.875,56.7475,57.80,275087
EE,20171024,57.65,58.15,56.95,57.45,436679
EE,20171023,57.50,57.55,57.15,57.35,135328
EE,20171020,57.45,57.65,56.975,57.25,131750
EE,20171019,57.25,58.05,57.05,57.40,161311
EE,20171018,56.95,57.25,56.85,57.20,182923
EE,20171017,56.85,57.25,56.65,57.15,324401
EE,20171016,56.60,57.25,56.00,57.00,320199
EE,20171013,58.45,58.70,57.90,58.10,171897
EE,20171012,57.85,58.60,57.85,58.20,165147
EE,20171011,57.50,58.375,57.50,57.85,168561
EE,20171010,57.20,57.75,57.20,57.65,192335
EE,20171009,56.85,57.30,56.85,57.05,138015
EE,20171006,56.45,57.00,56.25,56.85,155173
EE,20171005,56.75,57.00,56.275,56.75,198191
EE,20171004,56.15,56.75,55.75,56.70,238447
EE,20171003,56.10,56.25,55.30,56.15,227613
EE,20171002,55.45,56.05,55.35,56.05,213678
EE,20170929,55.60,55.60,55.05,55.25,169956
EE,20170928,55.20,55.60,54.85,55.60,152957
EE,20170927,54.95,55.45,54.575,55.30,212620
EE,20170926,55.30,55.75,55.05,55.20,193070
EE,20170925,54.65,55.525,54.60,55.30,134924
EE,20170922,55.05,55.10,54.60,54.65,198622
EE,20170921,54.35,55.00,54.30,54.90,198280
EE,20170920,54.85,55.15,54.30,54.40,177466
EE,20170919,54.90,54.95,54.65,54.85,124131
EE,20170918,55.20,55.40,54.70,54.80,146795
EE,20170915,55.35,55.45,54.95,55.10,208148
EE,20170914,54.75,55.20,54.35,55.15,157025
EE,20170913,55.30,55.40,54.85,55.00,121473
EE,20170912,56.35,56.35,54.95,55.30,146721
EE,20170911,55.90,56.575,55.90,56.35,120013
EE,20170908,55.40,55.95,55.10,55.95,85245
EE,20170907,55.20,55.55,54.95,55.50,143859
EE,20170906,55.80,55.80,55.05,55.05,122398
EE,20170905,55.65,55.65,55.225,55.65,115225
EE,20170901,55.70,55.85,55.175,55.40,103915
EE,20170831,55.25,55.55,54.95,55.55,136045
EE,20170830,55.15,55.35,54.85,55.05,72245
EE,20170829,55.45,55.45,55.10,55.25,101574
EE,20170828,55.50,55.65,55.00,55.30,88637
EE,20170825,55.15,55.60,55.05,55.35,82327
EE,20170824,54.90,55.25,54.675,55.05,103559
EE,20170823,54.80,55.00,54.45,54.85,106401
EE,20170822,54.20,54.90,54.10,54.90,94838
EE,20170821,53.95,54.35,53.65,54.15,94851
EE,20170818,53.00,54.05,53.00,53.95,129095
EE,20170817,54.20,54.25,53.25,53.25,171682
EE,20170816,54.05,54.20,53.90,54.20,86566
EE,20170815,53.60,54.10,53.50,53.90,144159
EE,20170814,53.65,54.15,53.60,53.90,105455
EE,20170811,53.30,53.55,52.825,53.45,176510
EE,20170810,53.45,53.775,53.35,53.60,127894
EE,20170809,53.50,53.50,53.45,53.50,148373
EE,20170808,53.45,54.025,53.30,53.85,111559
EE,20170807,53.35,53.75,53.20,53.50,159940
EE,20170804,53.35,53.65,53.15,53.35,175916
EE,20170803,53.05,53.725,52.95,53.55,149933
EE,20170802,53.60,53.70,52.25,52.90,182400
EE,20170801,52.00,52.70,52.00,52.55,121378
EE,20170731,51.60,52.15,51.55,51.90,126372
EE,20170728,51.75,52.10,51.45,51.65,140889
EE,20170727,51.80,52.15,51.75,51.95,114054
EE,20170726,51.70,52.10,51.70,51.95,119999
EE,20170725,52.20,52.20,51.80,51.85,93549
EE,20170724,52.95,53.10,52.10,52.20,90460
EE,20170721,53.25,53.35,52.65,53.00,166220
EE,20170720,51.85,53.20,51.80,52.95,195057
EE,20170719,51.45,52.00,51.30,51.85,140761
EE,20170718,51.10,51.35,50.85,51.30,79412
EE,20170717,51.05,51.25,50.90,51.05,74072
EE,20170714,51.05,51.30,50.90,51.05,103079
EE,20170713,50.95,51.05,50.45,50.75,106017
EE,20170712,51.00,51.075,50.60,50.90,114558
EE,20170711,50.65,50.65,50.25,50.50,141501
EE,20170710,51.15,51.30,50.50,50.55,134179
EE,20170707,50.70,51.05,50.55,51.05,117624
EE,20170706,50.30,50.60,50.30,50.60,166599
EE,20170705,51.35,51.40,50.30,50.60,246425
EE,20170703,51.70,51.90,51.30,51.35,95787
EE,20170630,51.75,52.05,51.45,51.70,153262
EE,20170629,51.70,51.815,51.15,51.65,144660
EE,20170628,52.40,52.40,51.85,51.90,226417
EE,20170627,52.70,53.20,52.038,52.20,142977
EE,20170626,52.90,53.05,52.55,52.95,86119
EE,20170623,52.45,52.90,52.40,52.65,189682
EE,20170622,52.65,52.75,52.30,52.35,155192
EE,20170621,53.25,53.30,52.375,52.65,153846
EE,20170620,53.30,53.50,53.10,53.25,84841
EE,20170619,53.70,53.70,53.05,53.25,207702
EE,20170616,53.05,53.90,52.70,53.60,245112
EE,20170615,53.05,53.65,53.05,53.40,187908
EE,20170614,53.65,54.15,52.85,53.25,275616
EE,20170613,54.00,54.00,53.45,53.65,220281
EE,20170612,54.45,54.85,53.80,54.05,123123
EE,20170609,54.30,54.65,54.075,54.50,133128
EE,20170608,54.35,54.60,53.75,54.45,163849
EE,20170607,54.30,54.45,54.05,54.35,156605
EE,20170606,54.50,54.55,54.00,54.20,170795
EE,20170605,55.25,55.45,54.15,54.40,156113
EE,20170602,54.95,55.45,54.45,55.15,202160
EE,20170601,53.90,54.65,53.50,54.60,134578
EE,20170531,53.60,54.10,53.45,54.00,177521
EE,20170530,53.35,53.55,53.10,53.50,93657
