<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EEP,20180423,10.45,10.65,10.38,10.56,1109436
EEP,20180420,10.50,10.579,10.37,10.45,711561
EEP,20180419,10.60,10.73,10.37,10.52,1159300
EEP,20180418,10.78,10.95,10.605,10.63,1020005
EEP,20180417,10.59,10.78,10.51,10.68,2104777
EEP,20180416,10.19,10.58,10.16,10.53,1724395
EEP,20180413,10.11,10.23,10.03,10.22,1356391
EEP,20180412,10.15,10.24,9.92,10.10,1247325
EEP,20180411,10.00,10.30,10.00,10.15,1195526
EEP,20180410,9.85,10.08,9.78,10.05,1071978
EEP,20180409,9.93,9.93,9.5822,9.71,1789835
EEP,20180406,9.90,9.98,9.69,9.81,883723
EEP,20180405,9.72,10.071,9.64,9.99,1203531
EEP,20180404,9.42,9.74,9.33,9.71,867653
EEP,20180403,9.62,9.6607,9.289,9.59,1814908
EEP,20180402,9.64,9.77,9.45,9.57,1376999
EEP,20180329,9.43,9.69,9.42,9.64,1372608
EEP,20180328,9.28,9.50,9.22,9.36,1397029
EEP,20180327,9.52,9.66,9.05,9.35,3263744
EEP,20180326,9.48,9.53,9.17,9.52,1999104
EEP,20180323,9.83,9.88,9.38,9.45,2241752
EEP,20180322,9.63,9.95,9.6101,9.79,2346312
EEP,20180321,9.36,9.83,9.34,9.74,4266479
EEP,20180320,9.67,9.75,9.19,9.38,5908440
EEP,20180319,9.99,9.99,9.38,9.65,5046428
EEP,20180316,10.83,10.88,9.78,9.99,10072086
EEP,20180315,13.11,13.17,10.33,10.83,13919677
EEP,20180314,13.23,13.25,13.04,13.10,865930
EEP,20180313,13.09,13.23,13.09,13.22,792958
EEP,20180312,12.80,13.18,12.80,13.12,1021818
EEP,20180309,12.65,12.89,12.5901,12.83,946719
EEP,20180308,12.58,12.68,12.45,12.59,1037276
EEP,20180307,12.50,12.75,12.49,12.53,1283124
EEP,20180306,12.75,12.75,12.59,12.60,706342
EEP,20180305,12.37,12.81,12.361,12.61,2044688
EEP,20180302,12.27,12.49,12.16,12.40,1074610
EEP,20180301,12.50,12.57,12.27,12.35,971379
EEP,20180228,12.99,13.08,12.51,12.51,1355656
EEP,20180227,13.04,13.175,12.90,12.91,1442061
EEP,20180226,13.00,13.145,12.83,13.04,902300
EEP,20180223,12.85,12.9933,12.81,12.94,907911
EEP,20180222,12.97,13.13,12.77,12.81,887079
EEP,20180221,13.11,13.17,12.92,12.92,1173710
EEP,20180220,13.11,13.29,13.012,13.12,1709722
EEP,20180216,13.50,13.5127,13.08,13.10,1361921
EEP,20180215,13.4881,13.53,13.225,13.33,1305907
EEP,20180214,13.45,13.57,13.31,13.38,889052
EEP,20180213,13.45,13.70,13.40,13.54,1602640
EEP,20180212,13.57,13.80,13.405,13.48,1499061
EEP,20180209,13.58,13.6113,12.80,13.39,1755357
EEP,20180208,13.88,13.995,13.43,13.43,1587500
EEP,20180207,14.00,14.2399,13.74,13.85,1084028
EEP,20180206,13.25,14.21,13.16,14.00,1531518
EEP,20180205,13.84,14.11,13.67,13.75,1494065
EEP,20180202,14.38,14.47,13.92,13.98,1332254
EEP,20180201,14.42,14.67,14.42,14.48,1192558
EEP,20180131,14.64,14.75,14.41,14.46,855271
EEP,20180130,14.85,14.90,14.3501,14.56,1359156
EEP,20180129,15.16,15.26,15.00,15.00,1023719
EEP,20180126,15.36,15.39,15.14,15.25,927745
EEP,20180125,15.25,15.48,15.19,15.22,1238163
EEP,20180124,15.23,15.27,15.03,15.14,1132665
EEP,20180123,15.43,15.50,15.105,15.20,1163431
EEP,20180122,14.84,15.40,14.84,15.35,1698701
EEP,20180119,14.80,14.89,14.65,14.83,1054389
EEP,20180118,15.07,15.12,14.7809,14.83,1497956
EEP,20180117,15.14,15.14,14.84,15.03,1005695
EEP,20180116,15.31,15.56,15.03,15.03,1413648
EEP,20180112,15.14,15.31,14.87,15.21,1788445
EEP,20180111,14.58,15.10,14.51,15.09,1565985
EEP,20180110,14.84,14.84,14.60,14.71,1733059
EEP,20180109,14.83,14.88,14.60,14.82,1045589
EEP,20180108,14.92,14.98,14.71,14.83,1510585
EEP,20180105,15.05,15.11,14.73,14.93,999624
EEP,20180104,14.82,15.23,14.66,15.09,1405796
EEP,20180103,14.35,14.9198,14.30,14.73,2247535
EEP,20180102,13.92,14.5299,13.84,14.25,1399554
EEP,20171229,13.81,14.092,13.74,13.81,1627051
EEP,20171228,13.86,14.18,13.79,13.81,1724592
EEP,20171227,14.00,14.24,13.80,13.83,1190588
EEP,20171226,13.80,14.01,13.721,13.98,1322581
EEP,20171222,13.80,14.01,13.70,13.81,1158654
EEP,20171221,13.90,14.17,13.85,13.87,996611
EEP,20171220,14.18,14.2198,13.81,14.00,1234688
EEP,20171219,14.65,14.68,14.135,14.17,2106722
EEP,20171218,14.49,15.07,14.43,14.66,2433847
EEP,20171215,14.68,14.68,14.40,14.46,3170065
