<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EVN,20180423,11.58,11.60,11.54,11.54,95038
EVN,20180420,11.56,11.58,11.53,11.58,53596
EVN,20180419,11.56,11.57,11.51,11.57,95902
EVN,20180418,11.60,11.60,11.52,11.56,116183
EVN,20180417,11.60,11.6093,11.56,11.56,50289
EVN,20180416,11.64,11.64,11.58,11.62,57645
EVN,20180413,11.65,11.65,11.60,11.64,100054
EVN,20180412,11.72,11.72,11.59,11.63,112227
EVN,20180411,11.80,11.809,11.69,11.69,86963
EVN,20180410,11.82,11.85,11.815,11.85,71073
EVN,20180409,11.85,11.87,11.80,11.81,48440
EVN,20180406,11.81,11.89,11.78,11.85,116880
EVN,20180405,11.58,11.76,11.58,11.75,185717
EVN,20180404,11.60,11.63,11.55,11.62,51682
EVN,20180403,11.65,11.68,11.56,11.56,60572
EVN,20180402,11.77,11.77,11.65,11.67,73668
EVN,20180329,11.60,11.7211,11.59,11.71,127901
EVN,20180328,11.57,11.61,11.54,11.57,99847
EVN,20180327,11.48,11.52,11.4599,11.52,56934
EVN,20180326,11.50,11.50,11.3845,11.45,96141
EVN,20180323,11.47,11.49,11.45,11.45,56950
EVN,20180322,11.54,11.5699,11.47,11.47,95049
EVN,20180321,11.49,11.55,11.48,11.55,41194
EVN,20180320,11.51,11.55,11.4614,11.54,89781
EVN,20180319,11.55,11.56,11.48,11.49,69395
EVN,20180316,11.53,11.59,11.53,11.54,68804
EVN,20180315,11.62,11.62,11.53,11.55,75299
EVN,20180314,11.67,11.67,11.53,11.59,106426
EVN,20180313,11.59,11.62,11.57,11.62,54234
EVN,20180312,11.54,11.59,11.53,11.58,44513
EVN,20180309,11.56,11.59,11.50,11.52,83138
EVN,20180308,11.66,11.67,11.595,11.61,54897
EVN,20180307,11.64,11.66,11.6267,11.66,30259
EVN,20180306,11.65,11.65,11.6083,11.65,26364
EVN,20180305,11.68,11.69,11.61,11.61,56704
EVN,20180302,11.65,11.68,11.6401,11.66,34656
EVN,20180301,11.66,11.70,11.6599,11.66,16020
EVN,20180228,11.72,11.72,11.65,11.66,25436
EVN,20180227,11.71,11.73,11.67,11.72,47748
EVN,20180226,11.70,11.72,11.6701,11.68,29043
EVN,20180223,11.67,11.70,11.64,11.70,53352
EVN,20180222,11.70,11.70,11.63,11.65,55643
EVN,20180221,11.70,11.73,11.69,11.70,79238
EVN,20180220,11.72,11.746,11.69,11.71,37785
EVN,20180216,11.74,11.74,11.69,11.71,31581
EVN,20180215,11.7008,11.7279,11.68,11.70,41505
EVN,20180214,11.70,11.72,11.685,11.69,39033
EVN,20180213,11.66,11.77,11.66,11.76,27096
EVN,20180212,11.73,11.73,11.62,11.67,85905
EVN,20180209,11.73,11.73,11.635,11.72,62188
EVN,20180208,11.75,11.78,11.71,11.78,73632
EVN,20180207,11.68,11.80,11.68,11.78,48405
EVN,20180206,11.54,11.71,11.49,11.65,160379
EVN,20180205,11.61,11.64,11.53,11.56,225989
EVN,20180202,11.61,11.66,11.57,11.60,115449
EVN,20180201,11.68,11.75,11.65,11.67,52019
EVN,20180131,11.77,11.80,11.70,11.70,94323
EVN,20180130,11.78,11.8531,11.74,11.74,141144
EVN,20180129,12.02,12.03,11.85,11.85,135489
EVN,20180126,12.11,12.11,12.03,12.06,116075
EVN,20180125,12.10,12.12,12.08,12.09,55682
EVN,20180124,12.16,12.19,12.10,12.11,78498
EVN,20180123,12.18,12.21,12.153,12.16,31577
EVN,20180122,12.20,12.23,12.125,12.14,102803
EVN,20180119,12.20,12.24,12.175,12.20,151263
EVN,20180118,12.21,12.24,12.21,12.21,58941
EVN,20180117,12.27,12.28,12.23,12.24,51027
EVN,20180116,12.27,12.30,12.23,12.24,104176
EVN,20180112,12.27,12.28,12.23,12.24,101521
EVN,20180111,12.33,12.33,12.26,12.29,93190
EVN,20180110,12.38,12.40,12.34,12.36,87412
EVN,20180109,12.44,12.44,12.39,12.41,62862
EVN,20180108,12.47,12.49,12.42,12.44,56852
EVN,20180105,12.49,12.49,12.42,12.43,56802
EVN,20180104,12.43,12.50,12.43,12.46,83526
EVN,20180103,12.36,12.48,12.36,12.47,96602
EVN,20180102,12.43,12.43,12.38,12.41,43688
EVN,20171229,12.35,12.41,12.35,12.40,128645
EVN,20171228,12.34,12.39,12.33,12.38,118482
EVN,20171227,12.28,12.37,12.27,12.37,106798
EVN,20171226,12.30,12.36,12.22,12.27,186142
EVN,20171222,12.30,12.31,12.26,12.31,71713
EVN,20171221,12.23,12.29,12.23,12.29,161627
EVN,20171220,12.26,12.30,12.22,12.24,159429
EVN,20171219,12.33,12.33,12.26,12.29,146910
EVN,20171218,12.38,12.38,12.29,12.35,143468
EVN,20171215,12.41,12.41,12.34,12.38,102434
EVN,20171214,12.43,12.43,12.351,12.40,91733
