<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FGP,20180423,3.45,3.70,3.42,3.66,397598
FGP,20180420,3.33,3.45,3.29,3.45,223825
FGP,20180419,3.18,3.33,3.12,3.31,300664
FGP,20180418,3.20,3.28,3.15,3.15,109761
FGP,20180417,3.27,3.33,3.16,3.18,188507
FGP,20180416,3.17,3.36,3.153,3.25,105706
FGP,20180413,3.16,3.219,3.12,3.18,94802
FGP,20180412,3.15,3.20,3.13,3.16,122089
FGP,20180411,3.21,3.25,3.06,3.17,98012
FGP,20180410,3.10,3.24,3.0371,3.20,149321
FGP,20180409,3.25,3.2728,3.04,3.05,184178
FGP,20180406,3.39,3.40,3.1632,3.23,152692
FGP,20180405,3.27,3.45,3.2569,3.39,201031
FGP,20180404,3.21,3.30,3.21,3.25,145043
FGP,20180403,3.16,3.25,3.11,3.24,109574
FGP,20180402,3.12,3.19,3.11,3.15,238882
FGP,20180329,2.94,3.15,2.87,3.12,611703
FGP,20180328,3.02,3.10,2.89,3.00,429761
FGP,20180327,3.06,3.08,3.00,3.03,229900
FGP,20180326,3.16,3.19,3.05,3.08,198954
FGP,20180323,3.14,3.20,3.09,3.11,199889
FGP,20180322,3.00,3.1555,3.00,3.09,206680
FGP,20180321,3.01,3.1098,3.00,3.00,254410
FGP,20180320,3.12,3.17,3.05,3.05,277749
FGP,20180319,3.20,3.21,2.92,3.14,1162788
FGP,20180316,3.43,3.49,3.21,3.21,1110884
FGP,20180315,3.46,3.4886,3.30,3.40,697918
FGP,20180314,3.60,3.71,3.42,3.45,357681
FGP,20180313,3.60,3.65,3.30,3.55,826074
FGP,20180312,3.76,3.77,3.58,3.60,542836
FGP,20180309,3.96,3.96,3.74,3.76,473074
FGP,20180308,3.75,4.00,3.75,3.92,299827
FGP,20180307,3.87,3.95,3.86,3.86,138320
FGP,20180306,3.97,4.00,3.86,3.87,280544
FGP,20180305,3.91,4.00,3.91,3.94,107973
FGP,20180302,4.00,4.00,3.88,3.90,176039
FGP,20180301,3.90,4.01,3.87,3.94,170825
FGP,20180228,3.95,3.98,3.87,3.88,277504
FGP,20180227,3.90,3.95,3.90,3.91,121996
FGP,20180226,3.99,3.9937,3.90,3.91,213005
FGP,20180223,4.05,4.06,3.92,3.96,246594
FGP,20180222,3.98,4.05,3.97,4.02,149455
FGP,20180221,4.04,4.09,3.95,3.98,325977
FGP,20180220,4.05,4.09,4.03,4.05,105249
FGP,20180216,4.08,4.13,4.05,4.05,127113
FGP,20180215,4.10,4.12,4.05,4.08,152239
FGP,20180214,4.10,4.14,4.06,4.09,126953
FGP,20180213,4.11,4.13,4.06,4.13,115988
FGP,20180212,4.05,4.12,4.05,4.11,109727
FGP,20180209,4.08,4.1018,4.00,4.04,199624
FGP,20180208,4.12,4.1407,4.0701,4.09,192874
FGP,20180207,4.06,4.14,4.0591,4.11,189390
FGP,20180206,4.01,4.09,4.00,4.06,251176
FGP,20180205,4.05,4.15,4.02,4.05,246872
FGP,20180202,4.08,4.14,4.03,4.08,333520
FGP,20180201,4.09,4.1699,4.06,4.06,201653
FGP,20180131,4.13,4.14,4.091,4.10,139213
FGP,20180130,4.08,4.19,4.02,4.06,345113
FGP,20180129,4.04,4.09,4.01,4.06,212443
FGP,20180126,4.06,4.11,4.01,4.04,266343
FGP,20180125,4.11,4.17,4.06,4.08,126032
FGP,20180124,4.10,4.194,4.07,4.07,195685
FGP,20180123,4.17,4.25,4.101,4.14,195834
FGP,20180122,4.03,4.20,4.02,4.13,244603
FGP,20180119,4.05,4.13,4.01,4.04,255060
FGP,20180118,4.31,4.33,4.07,4.08,281176
FGP,20180117,4.14,4.33,4.14,4.25,443051
FGP,20180116,4.06,4.149,4.05,4.13,344786
FGP,20180112,4.12,4.1507,3.99,4.06,533827
FGP,20180111,4.15,4.18,4.05,4.14,715420
FGP,20180110,4.32,4.36,4.16,4.19,485106
FGP,20180109,4.31,4.38,4.18,4.32,577336
FGP,20180108,4.60,4.60,4.40,4.41,313140
FGP,20180105,4.57,4.61,4.41,4.59,519498
FGP,20180104,4.66,4.69,4.41,4.57,579866
FGP,20180103,4.66,4.66,4.48,4.61,488097
FGP,20180102,4.40,4.6699,4.34,4.60,884708
FGP,20171229,4.14,4.30,4.12,4.28,859406
FGP,20171228,4.05,4.1623,4.00,4.12,580244
FGP,20171227,4.06,4.17,4.05,4.11,434128
FGP,20171226,3.93,4.2318,3.90,4.07,784883
FGP,20171222,3.87,3.93,3.81,3.93,425372
FGP,20171221,3.97,3.98,3.8678,3.90,568908
FGP,20171220,3.87,3.99,3.80,3.95,683444
FGP,20171219,4.00,4.04,3.89,3.89,703464
FGP,20171218,4.14,4.15,4.00,4.02,1040153
FGP,20171215,4.26,4.30,4.10,4.10,707213
FGP,20171214,4.21,4.27,4.13,4.22,503942
FGP,20171213,4.24,4.37,4.21,4.21,460846
FGP,20171212,4.28,4.32,4.20,4.26,599880
FGP,20171211,4.32,4.42,4.16,4.27,531959
FGP,20171208,4.54,4.5401,4.34,4.36,349625
FGP,20171207,4.27,4.55,4.10,4.46,604273
FGP,20171206,4.59,4.66,4.38,4.46,465509
FGP,20171205,4.65,4.68,4.57,4.61,282620
FGP,20171204,4.57,4.63,4.55,4.58,269245
FGP,20171201,4.52,4.6098,4.50,4.57,191274
FGP,20171130,4.49,4.6336,4.489,4.52,223941
FGP,20171129,4.70,4.70,4.48,4.51,393400
FGP,20171128,4.54,4.69,4.53,4.69,249967
FGP,20171127,4.50,4.5475,4.50,4.52,126528
FGP,20171124,4.52,4.5601,4.48,4.48,106563
FGP,20171122,4.55,4.60,4.46,4.58,265008
FGP,20171121,4.61,4.61,4.47,4.52,267823
FGP,20171120,4.65,4.68,4.58,4.61,244817
FGP,20171117,4.72,4.74,4.64,4.65,179172
