<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FLR,20180423,58.67,61.64,58.65,61.48,1739796
FLR,20180420,59.21,59.31,58.222,58.58,1428836
FLR,20180419,59.39,59.80,59.02,59.15,557078
FLR,20180418,58.72,59.66,58.62,59.39,1005586
FLR,20180417,58.20,58.775,58.01,58.67,811283
FLR,20180416,58.34,58.35,57.835,57.96,946260
FLR,20180413,58.76,58.88,57.66,57.93,790204
FLR,20180412,59.20,59.80,58.47,58.62,1634814
FLR,20180411,57.97,59.12,57.97,58.77,588102
FLR,20180410,57.80,58.85,57.53,58.56,630168
FLR,20180409,57.08,57.83,56.79,56.90,494541
FLR,20180406,57.90,58.26,55.91,56.72,785575
FLR,20180405,58.35,58.95,58.18,58.54,628053
FLR,20180404,55.97,58.11,55.90,58.03,690886
FLR,20180403,56.29,57.30,55.98,57.26,594477
FLR,20180402,56.97,57.06,55.19,56.00,565036
FLR,20180329,55.97,57.58,55.97,57.21,585245
FLR,20180328,55.90,56.4199,55.56,55.85,568792
FLR,20180327,56.55,57.02,55.39,55.76,784303
FLR,20180326,55.71,56.44,54.96,56.32,744085
FLR,20180323,56.12,56.40,54.70,54.85,904361
FLR,20180322,57.61,57.87,55.87,55.90,1089128
FLR,20180321,57.30,59.18,57.06,58.30,938399
FLR,20180320,57.22,57.63,57.14,57.18,457789
FLR,20180319,57.55,57.55,56.43,56.84,815693
FLR,20180316,57.41,58.21,57.11,57.64,1092804
FLR,20180315,57.54,57.87,56.95,57.31,727842
FLR,20180314,58.13,58.24,57.31,57.50,550013
FLR,20180313,58.48,58.8161,57.70,57.83,488653
FLR,20180312,58.50,58.88,58.18,58.28,848025
FLR,20180309,57.51,58.68,57.36,58.52,804436
FLR,20180308,57.79,57.9071,56.34,57.17,1046982
FLR,20180307,57.00,57.72,56.49,57.66,1084125
FLR,20180306,57.29,57.74,56.97,57.57,978084
FLR,20180305,56.24,57.45,56.20,57.06,855596
FLR,20180302,55.24,56.78,54.94,56.59,989283
FLR,20180301,56.83,57.21,55.26,55.78,1291874
FLR,20180228,57.71,58.10,56.90,56.90,1101611
FLR,20180227,58.70,59.34,57.80,57.80,1066732
FLR,20180226,58.24,58.69,57.66,58.58,790418
FLR,20180223,58.52,58.57,56.8407,58.15,949976
FLR,20180222,57.89,59.57,57.70,58.11,1442454
FLR,20180221,59.70,59.99,57.37,57.43,2720763
FLR,20180220,57.48,58.599,57.17,58.04,1650000
FLR,20180216,57.68,58.44,57.18,57.63,1147785
FLR,20180215,58.14,58.29,57.01,57.85,703223
FLR,20180214,55.39,57.48,55.22,57.37,887997
FLR,20180213,55.90,56.36,55.33,55.82,1468018
FLR,20180212,55.35,56.80,55.10,56.31,1323301
FLR,20180209,56.10,56.455,53.22,55.00,1426562
FLR,20180208,56.99,57.028,55.30,55.31,1526137
FLR,20180207,56.88,57.86,56.88,57.07,961592
FLR,20180206,55.90,57.489,55.30,57.16,2003626
FLR,20180205,58.29,58.95,56.02,56.23,1830683
FLR,20180202,59.93,60.03,58.61,58.79,1734826
FLR,20180201,60.43,61.03,60.1566,60.44,829760
FLR,20180131,60.94,61.40,60.27,60.69,774691
FLR,20180130,61.18,61.27,60.07,60.37,1018318
FLR,20180129,61.36,62.05,61.36,61.61,800273
FLR,20180126,61.27,61.55,60.96,61.51,665231
FLR,20180125,61.70,61.745,60.61,61.22,1300904
FLR,20180124,61.72,62.09,60.97,61.30,2270163
FLR,20180123,61.22,61.88,60.90,61.47,1609431
FLR,20180122,60.38,61.565,60.141,61.29,1846857
FLR,20180119,60.11,60.61,58.83,60.44,1415037
FLR,20180118,59.34,60.50,59.01,60.055,2005486
FLR,20180117,58.36,58.43,57.72,58.13,1314657
FLR,20180116,57.38,58.26,57.17,58.03,1609128
FLR,20180112,56.39,57.29,56.1677,57.08,1351817
FLR,20180111,54.19,56.19,54.14,56.15,1501782
FLR,20180110,53.75,54.07,53.50,54.06,1039559
FLR,20180109,53.76,53.93,53.365,53.81,826279
FLR,20180108,53.33,53.82,52.87,53.78,740423
FLR,20180105,53.34,53.52,52.93,53.52,704359
FLR,20180104,53.32,53.50,52.75,53.26,652610
FLR,20180103,53.13,53.29,52.7056,53.10,1009130
FLR,20180102,51.80,52.43,51.78,52.35,738087
FLR,20171229,51.73,52.03,51.39,51.68,780547
FLR,20171228,51.69,51.79,51.30,51.76,372475
FLR,20171227,51.48,51.50,51.19,51.44,535205
FLR,20171226,51.10,51.47,50.97,51.45,398956
FLR,20171222,51.28,51.30,50.52,51.07,393055
FLR,20171221,50.96,51.4025,50.55,51.26,918325
FLR,20171220,50.82,51.18,50.421,50.90,728854
FLR,20171219,50.84,51.44,50.60,50.62,937690
FLR,20171218,50.89,50.93,50.32,50.84,715260
FLR,20171215,50.05,50.92,50.05,50.44,1187171
FLR,20171214,50.10,50.16,49.75,49.79,925615
FLR,20171213,50.29,50.48,49.89,50.00,800834
FLR,20171212,50.24,50.73,50.17,50.43,858843
FLR,20171211,50.39,50.39,49.82,50.13,1066542
FLR,20171208,49.92,50.40,49.50,50.38,857641
FLR,20171207,48.98,49.645,48.98,49.54,727906
FLR,20171206,48.79,49.52,48.77,49.15,885258
FLR,20171205,49.34,49.37,48.75,48.86,1121462
FLR,20171204,48.91,50.38,48.82,49.40,1550063
FLR,20171201,48.46,48.93,47.52,48.67,973817
FLR,20171130,48.23,48.75,48.04,48.42,825820
FLR,20171129,47.70,48.75,47.68,48.20,1120615
FLR,20171128,46.96,47.685,46.82,47.64,1727253
FLR,20171127,46.79,47.13,46.50,46.93,862638
FLR,20171124,47.41,47.435,46.80,46.89,505208
FLR,20171122,47.78,47.81,47.10,47.28,1507153
FLR,20171121,46.99,47.84,46.90,47.56,1140598
FLR,20171120,46.60,47.23,46.48,46.78,1065862
FLR,20171117,46.45,46.815,46.38,46.69,1017096
FLR,20171116,45.40,46.53,45.3439,46.42,3108477
FLR,20171115,45.54,45.62,45.00,45.27,997868
FLR,20171114,46.43,46.43,45.47,45.66,1105240
