<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FOE,20180423,24.15,24.38,23.91,24.18,168164
FOE,20180420,24.10,24.31,23.99,24.15,266510
FOE,20180419,24.45,24.45,24.10,24.28,190962
FOE,20180418,24.48,24.72,24.38,24.45,228126
FOE,20180417,24.44,24.69,24.30,24.40,238609
FOE,20180416,24.00,24.33,23.83,24.31,241636
FOE,20180413,24.01,24.01,23.63,23.74,247956
FOE,20180412,24.02,24.12,23.83,23.84,205934
FOE,20180411,23.86,24.22,23.69,23.99,238591
FOE,20180410,23.74,24.17,23.56,23.98,220109
FOE,20180409,23.68,23.74,23.32,23.32,182719
FOE,20180406,23.61,23.92,23.34,23.51,500264
FOE,20180405,23.36,23.875,23.36,23.82,238604
FOE,20180404,22.61,23.33,22.321,23.27,211893
FOE,20180403,22.54,23.05,22.37,22.97,381591
FOE,20180402,23.22,23.2796,22.22,22.52,282473
FOE,20180329,23.29,23.355,22.97,23.22,416740
FOE,20180328,23.52,23.57,22.94,23.15,400470
FOE,20180327,23.96,23.96,23.29,23.41,383961
FOE,20180326,23.63,23.96,23.29,23.87,574948
FOE,20180323,23.29,23.41,23.06,23.25,876669
FOE,20180322,23.18,23.63,23.16,23.25,562646
FOE,20180321,22.98,23.58,22.85,23.38,408861
FOE,20180320,23.14,23.215,22.90,22.95,267440
FOE,20180319,23.54,23.59,22.98,23.15,242348
FOE,20180316,23.52,23.85,23.27,23.70,570479
FOE,20180315,23.79,23.87,23.48,23.53,266600
FOE,20180314,24.15,24.34,23.74,23.81,324507
FOE,20180313,24.38,24.56,23.90,24.01,444072
FOE,20180312,24.61,24.7899,24.13,24.24,283207
FOE,20180309,24.20,24.75,24.18,24.66,246839
FOE,20180308,24.39,24.45,23.95,24.02,166637
FOE,20180307,23.94,24.44,23.93,24.28,245127
FOE,20180306,23.79,24.42,23.50,24.19,543297
FOE,20180305,23.25,23.93,22.92,23.79,423391
FOE,20180302,22.71,23.53,22.54,23.46,377304
FOE,20180301,22.47,23.23,22.03,22.84,659152
FOE,20180228,22.21,22.21,21.36,21.39,542933
FOE,20180227,22.40,22.55,22.08,22.08,270467
FOE,20180226,22.65,22.65,22.14,22.47,224084
FOE,20180223,22.36,22.555,22.20,22.55,221624
FOE,20180222,22.06,22.48,21.97,22.19,320696
FOE,20180221,21.94,22.32,21.935,22.01,199921
FOE,20180220,21.58,22.10,21.58,21.91,388375
FOE,20180216,21.60,21.93,21.60,21.70,145046
FOE,20180215,21.49,21.77,21.27,21.70,280494
FOE,20180214,20.72,21.35,20.72,21.26,288576
FOE,20180213,21.19,21.34,20.81,20.96,412350
FOE,20180212,21.03,21.5233,20.75,21.35,330899
FOE,20180209,21.21,21.30,20.07,20.92,410071
FOE,20180208,21.67,21.67,20.84,20.85,518535
FOE,20180207,21.55,21.95,21.55,21.61,250870
FOE,20180206,20.93,21.91,20.88,21.66,536170
FOE,20180205,22.36,22.71,21.28,21.52,430966
FOE,20180202,23.11,23.11,22.59,22.59,317339
FOE,20180201,23.38,23.62,23.22,23.36,262692
FOE,20180131,23.91,24.05,23.39,23.52,299899
FOE,20180130,23.76,23.81,23.46,23.72,452251
FOE,20180129,24.51,24.51,23.90,24.00,289609
FOE,20180126,24.57,24.57,24.16,24.49,263558
FOE,20180125,24.45,24.88,24.37,24.51,356131
FOE,20180124,23.97,24.28,23.90,24.17,382876
FOE,20180123,23.84,23.94,23.45,23.88,260382
