<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FR,20180423,29.33,29.565,29.20,29.29,589361
FR,20180420,29.53,29.77,29.245,29.25,751732
FR,20180419,29.72,29.73,29.1401,29.50,536321
FR,20180418,29.81,29.95,29.71,29.77,550028
FR,20180417,29.39,30.06,29.32,29.77,685785
FR,20180416,28.95,29.27,28.88,29.22,473569
FR,20180413,28.67,28.94,28.54,28.91,266312
FR,20180412,29.16,29.16,28.53,28.58,423885
FR,20180411,28.85,29.19,28.79,29.07,428748
FR,20180410,29.11,29.17,28.90,28.92,535415
FR,20180409,29.03,29.22,28.90,28.92,298333
FR,20180406,29.23,29.505,28.84,28.98,491624
FR,20180405,29.38,29.38,28.86,29.21,384723
FR,20180404,29.16,29.39,28.89,29.31,665947
FR,20180403,28.84,29.46,28.66,29.35,777461
FR,20180402,29.23,29.3501,28.55,28.83,874675
FR,20180329,29.34,29.40,29.06,29.22,582215
FR,20180328,28.97,29.29,28.96,29.25,586638
FR,20180327,28.78,29.48,28.58,29.01,655170
FR,20180326,28.73,28.855,28.27,28.65,518853
FR,20180323,29.01,29.13,28.40,28.42,566663
FR,20180322,29.37,29.67,28.98,28.98,667392
FR,20180321,29.65,29.74,29.23,29.49,686789
FR,20180320,29.72,29.95,29.54,29.70,528775
FR,20180319,29.83,29.87,29.50,29.65,934022
FR,20180316,29.59,29.95,29.39,29.95,2106766
FR,20180315,29.66,29.80,29.34,29.50,698339
FR,20180314,29.50,29.71,29.48,29.62,473014
FR,20180313,29.74,29.86,29.42,29.47,636832
FR,20180312,29.56,29.67,29.17,29.57,1106257
FR,20180309,29.34,29.60,29.01,29.59,420385
FR,20180308,29.20,29.30,29.03,29.26,322736
FR,20180307,29.04,29.23,28.77,29.09,779897
FR,20180306,28.74,29.18,28.51,29.14,863156
FR,20180305,27.95,29.08,27.93,28.78,1173967
FR,20180302,28.07,28.16,27.68,28.15,653648
FR,20180301,27.95,28.50,27.79,28.20,772445
FR,20180228,28.12,28.585,28.00,28.01,831615
FR,20180227,28.77,28.84,27.99,28.01,690467
FR,20180226,28.94,29.01,28.71,28.81,745711
FR,20180223,28.62,28.87,28.47,28.87,638376
FR,20180222,28.64,28.81,28.04,28.41,564911
FR,20180221,28.44,28.82,28.14,28.17,1017370
FR,20180220,28.79,29.04,28.44,28.44,678176
FR,20180216,28.75,29.10,28.75,28.96,856307
FR,20180215,28.65,28.86,28.425,28.78,917439
FR,20180214,28.28,28.59,28.14,28.50,1112858
FR,20180213,28.57,28.79,28.27,28.65,1003421
FR,20180212,28.60,28.73,27.63,28.61,1214913
FR,20180209,27.86,28.73,27.61,28.54,1380292
FR,20180208,28.66,28.78,27.75,27.77,999493
FR,20180207,28.60,29.10,28.49,28.67,1044453
FR,20180206,28.70,29.06,28.19,28.68,1328808
FR,20180205,30.20,30.50,29.04,29.10,852077
FR,20180202,30.36,30.54,30.09,30.32,566815
FR,20180201,30.86,31.19,30.4601,30.54,944430
FR,20180131,30.39,30.88,30.36,30.85,802619
FR,20180130,30.62,30.67,30.22,30.32,545770
FR,20180129,30.93,30.93,30.60,30.78,578671
FR,20180126,31.20,31.37,30.87,31.02,464928
FR,20180125,31.02,31.13,30.90,31.13,849413
FR,20180124,31.07,31.10,30.85,31.00,831521
FR,20180123,30.81,31.15,30.745,31.11,925078
FR,20180122,30.13,30.76,30.06,30.73,812608
FR,20180119,30.00,30.19,29.94,30.18,730226
FR,20180118,30.22,30.22,29.76,29.99,945343
FR,20180117,30.10,30.315,29.95,30.27,506201
FR,20180116,29.98,30.42,29.97,30.05,672966
FR,20180112,29.84,29.91,29.61,29.81,458483
FR,20180111,30.01,30.19,29.70,29.84,528986
FR,20180110,30.37,30.37,29.885,30.01,438353
FR,20180109,30.62,30.85,30.47,30.53,756865
FR,20180108,30.55,30.61,30.34,30.51,403115
FR,20180105,30.53,30.67,30.45,30.55,600301
FR,20180104,31.10,31.11,30.43,30.43,590168
FR,20180103,31.15,31.31,30.82,31.08,736643
FR,20180102,31.51,31.56,31.15,31.17,725907
FR,20171229,31.50,31.58,31.33,31.48,461749
FR,20171228,31.26,31.495,31.09,31.46,511392
FR,20171227,31.45,31.60,31.33,31.41,505432
FR,20171226,31.06,31.39,30.96,31.32,766956
FR,20171222,31.09,31.22,30.89,31.12,784821
