<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GATX,20180423,68.45,69.41,68.45,68.81,155779
GATX,20180420,68.67,69.48,68.41,68.65,268963
GATX,20180419,71.77,71.99,67.72,68.71,348849
GATX,20180418,68.94,70.12,68.51,69.67,289916
GATX,20180417,69.94,69.94,68.15,68.35,181969
GATX,20180416,68.43,70.08,68.0301,69.64,273844
GATX,20180413,68.66,68.725,67.55,67.99,192293
GATX,20180412,68.14,68.975,67.725,68.25,205544
GATX,20180411,67.20,67.94,67.1575,67.77,147996
GATX,20180410,67.22,68.49,66.82,67.70,315315
GATX,20180409,67.58,67.59,65.82,66.21,231903
GATX,20180406,68.63,69.19,65.98,66.95,342106
GATX,20180405,68.68,69.71,68.20,69.06,222700
GATX,20180404,67.00,68.66,66.5303,68.44,208814
GATX,20180403,67.68,68.62,67.24,68.13,245057
GATX,20180402,68.15,68.815,66.47,66.97,279433
GATX,20180329,68.19,69.25,68.19,68.49,318182
GATX,20180328,67.98,68.91,67.38,67.87,287470
GATX,20180327,70.87,70.87,67.585,67.94,309678
GATX,20180326,68.98,70.74,68.4575,70.57,390070
GATX,20180323,68.37,69.11,67.81,67.86,178917
GATX,20180322,69.24,70.17,68.01,68.24,246414
GATX,20180321,69.24,70.78,69.24,69.91,124801
GATX,20180320,69.32,70.21,69.00,69.33,207263
GATX,20180319,69.76,70.45,67.8517,69.26,277084
GATX,20180316,69.19,70.94,69.09,70.11,449209
GATX,20180315,69.14,69.51,68.50,69.12,231915
GATX,20180314,69.26,69.48,68.485,69.02,132860
GATX,20180313,70.20,70.89,68.69,68.80,192921
GATX,20180312,71.17,71.49,69.77,69.91,194162
GATX,20180309,69.32,71.40,68.91,71.32,158681
GATX,20180308,69.38,69.74,68.10,68.66,205775
GATX,20180307,68.41,69.42,68.395,69.06,354339
GATX,20180306,69.18,69.31,68.40,68.98,124204
GATX,20180305,67.91,69.08,67.64,68.82,199909
GATX,20180302,67.33,68.29,66.50,68.06,336594
GATX,20180301,68.92,69.68,67.72,68.19,323802
GATX,20180228,71.34,71.56,68.94,68.94,243715
GATX,20180227,72.09,73.25,71.07,71.07,183637
GATX,20180226,72.39,72.5775,71.35,72.17,196674
GATX,20180223,72.24,72.76,71.65,72.37,118677
GATX,20180222,72.14,72.62,70.70,71.92,252033
GATX,20180221,70.45,72.85,70.12,71.78,379343
GATX,20180220,70.27,70.72,69.84,70.18,237797
GATX,20180216,69.70,71.34,69.5844,70.75,286411
GATX,20180215,69.51,70.30,68.87,69.80,435960
GATX,20180214,66.55,69.47,66.55,69.29,324064
GATX,20180213,66.26,67.41,65.85,67.30,186939
GATX,20180212,66.08,67.18,65.68,66.58,300064
GATX,20180209,65.85,66.73,64.00,65.81,343952
GATX,20180208,66.71,66.71,65.16,65.19,444530
GATX,20180207,66.20,67.06,66.20,66.49,524718
GATX,20180206,65.28,67.59,65.25,66.56,428515
GATX,20180205,67.81,69.28,66.69,66.85,420771
GATX,20180202,69.76,70.3499,68.42,68.65,317976
GATX,20180201,70.85,71.39,69.95,70.44,328680
GATX,20180131,72.03,72.69,70.40,71.14,397122
GATX,20180130,71.00,72.11,70.68,71.60,351910
GATX,20180129,71.71,72.96,71.5628,72.04,390696
GATX,20180126,70.65,72.07,70.15,72.01,337585
GATX,20180125,70.17,70.34,69.13,70.28,268882
GATX,20180124,69.68,70.52,69.35,69.82,338572
GATX,20180123,69.35,69.98,68.93,69.51,331168
GATX,20180122,68.35,70.58,68.35,69.66,477639
GATX,20180119,66.02,68.33,66.00,68.26,426148
GATX,20180118,62.01,66.77,61.00,65.72,624361
GATX,20180117,65.87,66.41,64.89,65.21,449654
GATX,20180116,66.87,67.2998,65.29,65.71,378161
GATX,20180112,65.36,66.89,64.90,66.48,337256
GATX,20180111,63.35,65.57,63.18,65.06,370905
GATX,20180110,63.93,64.08,62.79,63.06,207746
GATX,20180109,63.73,64.88,63.66,64.36,468763
GATX,20180108,63.01,63.92,62.4901,63.59,167439
GATX,20180105,63.57,63.95,62.35,63.12,163942
GATX,20180104,62.49,64.10,62.49,63.54,240420
GATX,20180103,64.22,64.31,62.38,62.71,180825
GATX,20180102,62.48,64.13,62.185,64.02,283483
GATX,20171229,62.68,63.02,62.11,62.16,149703
GATX,20171228,62.35,62.64,61.65,62.62,76538
GATX,20171227,62.19,62.58,61.68,62.21,152711
GATX,20171226,61.51,62.45,61.51,62.11,102586
GATX,20171222,61.25,61.65,60.82,61.34,119593
GATX,20171221,61.07,61.33,60.43,61.00,150700
GATX,20171220,61.32,61.77,60.86,60.92,150875
GATX,20171219,60.91,61.26,59.76,60.71,245612
GATX,20171218,60.83,61.85,60.63,60.82,195914
GATX,20171215,59.79,61.32,59.72,60.36,537270
GATX,20171214,61.18,61.74,58.98,59.33,335681
GATX,20171213,61.35,62.31,61.30,61.53,171819
GATX,20171212,61.33,61.65,60.70,61.37,188654
GATX,20171211,62.21,62.54,61.00,61.26,186943
GATX,20171208,62.40,62.77,61.54,62.03,141855
