<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GE,20180423,14.75,14.78,14.39,14.52,65127832
GE,20180420,14.94,15.05,14.34,14.54,168872523
GE,20180419,13.67,14.06,13.63,13.99,79903586
GE,20180418,13.88,13.92,13.62,13.66,38491242
GE,20180417,13.38,13.87,13.36,13.79,63447659
GE,20180416,13.50,13.58,13.23,13.33,54433095
GE,20180413,13.41,13.68,13.36,13.49,67107915
GE,20180412,13.03,13.245,12.97,13.18,60045311
GE,20180411,12.91,13.0799,12.85,12.97,46616592
GE,20180410,13.01,13.14,12.95,13.05,55344976
GE,20180409,13.10,13.16,12.82,12.83,62112172
GE,20180406,13.32,13.47,12.93,13.06,57543905
GE,20180405,13.29,13.56,13.165,13.43,50009808
GE,20180404,12.82,13.30,12.79,13.28,53319294
GE,20180403,13.12,13.14,12.80,13.13,56305546
GE,20180402,13.45,13.54,12.96,13.12,68487973
GE,20180329,13.58,13.66,13.35,13.48,66046720
GE,20180328,13.52,13.95,13.085,13.68,133810938
GE,20180327,12.92,13.72,12.82,13.44,149254422
GE,20180326,13.23,13.2395,12.73,12.89,98075595
GE,20180323,13.40,13.4499,13.02,13.07,80238049
GE,20180322,13.75,13.79,13.32,13.35,67523446
GE,20180321,13.66,13.96,13.57,13.88,62211261
GE,20180320,14.10,14.11,13.62,13.64,80154133
GE,20180319,14.26,14.28,14.00,14.07,58572218
GE,20180316,14.34,14.42,14.175,14.31,89242737
GE,20180315,14.31,14.55,14.26,14.36,45307422
GE,20180314,14.46,14.59,14.235,14.27,53840244
GE,20180313,14.69,14.74,14.34,14.43,96359676
GE,20180312,15.02,15.33,14.96,15.10,67100101
GE,20180309,14.62,14.95,14.51,14.94,53566459
GE,20180308,14.50,14.64,14.41,14.52,42327355
GE,20180307,14.48,14.585,14.18,14.51,77185179
GE,20180306,14.60,14.67,14.51,14.64,54049138
GE,20180305,14.18,14.65,14.12,14.42,77788454
GE,20180302,13.99,14.24,13.97,14.12,71178128
GE,20180301,14.16,14.26,13.95,14.02,83078595
GE,20180228,14.60,14.615,14.09,14.11,79965149
GE,20180227,14.67,15.18,14.50,14.50,88757320
GE,20180226,14.39,14.675,13.95,14.65,138415270
GE,20180223,14.53,14.67,14.485,14.49,50576507
GE,20180222,14.53,15.07,14.49,14.62,73924179
GE,20180221,14.71,14.73,14.45,14.49,84486933
GE,20180220,14.92,14.97,14.62,14.74,55736246
GE,20180216,14.85,15.23,14.81,15.05,61190221
GE,20180215,14.93,15.14,14.77,14.85,49440593
