<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GLT,20180423,22.12,22.12,21.74,21.91,58720
GLT,20180420,22.13,22.21,21.88,22.10,92862
GLT,20180419,22.30,22.55,22.22,22.27,53621
GLT,20180418,22.31,22.45,22.21,22.37,107530
GLT,20180417,21.99,22.51,21.99,22.26,95213
GLT,20180416,21.48,21.95,21.39,21.89,119349
GLT,20180413,21.31,21.58,21.17,21.42,67486
GLT,20180412,21.19,21.47,21.14,21.28,54442
GLT,20180411,21.13,21.365,21.03,21.13,79273
GLT,20180410,21.10,21.44,20.97,21.34,153798
GLT,20180409,21.03,21.27,20.75,20.82,140947
GLT,20180406,20.96,21.18,20.68,20.80,61872
GLT,20180405,20.88,21.30,20.76,21.18,84396
GLT,20180404,20.40,20.88,20.0494,20.76,95215
GLT,20180403,20.22,20.74,20.12,20.71,113702
GLT,20180402,20.43,20.52,19.96,20.18,89836
GLT,20180329,20.41,20.83,20.41,20.53,179546
GLT,20180328,20.49,20.76,20.07,20.24,220985
GLT,20180327,20.85,20.85,20.32,20.44,96541
GLT,20180326,20.69,20.83,20.42,20.78,199753
GLT,20180323,21.35,21.60,20.41,20.41,137906
GLT,20180322,21.57,21.84,21.32,21.32,203597
GLT,20180321,21.67,22.03,21.65,21.76,66741
GLT,20180320,21.84,21.87,21.55,21.69,77012
GLT,20180319,21.89,21.89,21.46,21.73,93801
GLT,20180316,21.90,22.21,21.33,21.89,345390
GLT,20180315,22.08,22.19,21.77,21.90,84109
GLT,20180314,22.47,22.48,21.97,22.04,147542
GLT,20180313,22.52,22.78,22.25,22.37,115456
GLT,20180312,22.26,22.57,22.10,22.41,183411
GLT,20180309,21.29,22.20,21.05,22.18,807000
GLT,20180308,21.55,21.61,21.06,21.13,99695
GLT,20180307,20.88,21.59,20.88,21.48,87597
GLT,20180306,20.62,21.30,20.57,21.11,140442
GLT,20180305,20.52,20.94,20.45,20.58,98406
GLT,20180302,20.34,20.715,20.21,20.65,106696
GLT,20180301,20.34,20.84,20.26,20.50,153799
GLT,20180228,20.81,20.86,20.41,20.41,123658
GLT,20180227,20.93,21.225,20.72,20.72,87701
GLT,20180226,20.83,21.01,20.75,20.95,88211
GLT,20180223,20.89,21.28,20.635,20.80,80421
GLT,20180222,20.92,21.02,20.71,20.74,58881
GLT,20180221,20.56,21.15,20.56,20.79,103940
GLT,20180220,20.80,20.99,20.48,20.60,99091
GLT,20180216,20.57,20.95,20.57,20.86,90800
GLT,20180215,20.55,20.89,20.29,20.65,246970
GLT,20180214,19.84,20.61,19.84,20.55,320903
GLT,20180213,19.57,20.06,19.45,20.05,242973
GLT,20180212,20.26,20.26,19.62,19.70,195900
GLT,20180209,19.91,20.42,19.65,20.20,190025
GLT,20180208,20.08,20.235,19.70,19.70,141598
GLT,20180207,21.20,21.34,20.12,20.19,149499
GLT,20180206,21.29,22.41,21.10,21.30,321650
