<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GTN,20180423,11.85,12.00,11.65,11.70,428111
GTN,20180420,12.15,12.3499,11.70,11.85,1134827
GTN,20180419,11.80,12.40,11.75,12.20,1292371
GTN,20180418,11.80,11.90,11.70,11.80,479176
GTN,20180417,11.85,11.85,11.60,11.75,904704
GTN,20180416,11.50,11.90,11.40,11.80,1357238
GTN,20180413,11.40,11.55,11.25,11.40,1288772
GTN,20180412,11.40,11.55,11.25,11.40,1177327
GTN,20180411,11.75,11.85,11.35,11.40,1302140
GTN,20180410,12.10,12.15,11.80,11.85,707248
GTN,20180409,12.10,12.25,11.925,12.00,804632
GTN,20180406,12.05,12.175,11.65,12.00,3006754
GTN,20180405,12.30,12.375,12.00,12.05,987155
GTN,20180404,11.90,12.30,11.80,12.20,689394
GTN,20180403,12.25,12.30,11.80,12.05,1215592
GTN,20180402,12.65,12.90,12.10,12.15,1017536
GTN,20180329,12.80,12.95,12.60,12.70,955764
GTN,20180328,13.10,13.15,12.75,12.80,1676191
GTN,20180327,12.50,13.15,12.40,13.05,1585101
GTN,20180326,12.35,12.60,12.275,12.50,1199339
GTN,20180323,11.80,12.55,11.80,12.25,1882162
GTN,20180322,12.15,12.325,11.80,11.85,2495279
GTN,20180321,12.60,12.75,12.00,12.25,2923176
GTN,20180320,12.95,13.05,12.60,12.65,1645414
GTN,20180319,13.55,13.60,12.625,12.95,1230147
GTN,20180316,13.30,13.50,13.20,13.40,2437889
GTN,20180315,13.50,13.55,13.20,13.30,1014401
GTN,20180314,13.50,13.575,13.30,13.50,722584
GTN,20180313,13.85,13.85,13.35,13.50,776840
GTN,20180312,13.65,13.825,13.60,13.75,528856
GTN,20180309,13.50,13.80,13.425,13.65,604526
GTN,20180308,13.40,13.60,13.25,13.35,712098
GTN,20180307,13.60,13.70,13.325,13.40,895307
GTN,20180306,13.65,13.781,13.40,13.75,1165357
GTN,20180305,13.80,14.05,13.65,13.70,753243
GTN,20180302,13.30,14.10,13.15,13.90,1147324
GTN,20180301,13.55,13.90,13.40,13.45,1633748
GTN,20180228,14.75,14.75,13.50,13.80,2534701
GTN,20180227,14.80,15.10,14.25,14.75,1982227
GTN,20180226,14.80,15.475,14.80,15.35,1332566
GTN,20180223,14.65,14.85,14.55,14.80,755234
GTN,20180222,15.15,15.35,14.575,14.70,1111409
GTN,20180221,15.10,15.275,14.975,15.10,634029
GTN,20180220,14.90,15.30,14.85,15.00,1081671
GTN,20180216,15.40,15.50,14.95,15.00,843170
GTN,20180215,15.225,15.55,15.10,15.45,712294
GTN,20180214,15.30,15.55,15.20,15.25,470725
GTN,20180213,15.15,15.45,15.10,15.45,360667
GTN,20180212,15.05,15.35,14.75,15.15,615246
GTN,20180209,15.20,15.20,14.375,15.00,1064933
GTN,20180208,15.45,15.90,15.05,15.10,1025984
GTN,20180207,15.85,15.95,15.40,15.45,505296
GTN,20180206,15.35,16.10,15.30,15.80,906672
GTN,20180205,15.60,15.85,15.375,15.70,1008507
GTN,20180202,16.25,16.40,15.75,15.90,573882
GTN,20180201,16.30,16.70,16.00,16.35,925543
GTN,20180131,17.20,17.25,16.25,16.35,686891
GTN,20180130,17.10,17.225,16.85,17.00,467788
GTN,20180129,17.70,17.70,17.175,17.25,397540
GTN,20180126,17.65,17.80,17.30,17.80,641609
GTN,20180125,17.50,17.70,17.40,17.70,547218
GTN,20180124,17.45,17.60,17.10,17.50,585292
GTN,20180123,17.55,17.60,17.225,17.40,699969
GTN,20180122,17.55,17.725,17.35,17.55,577444
GTN,20180119,17.30,17.40,17.05,17.35,747738
GTN,20180118,17.15,17.40,17.05,17.35,453317
GTN,20180117,17.25,17.25,17.00,17.15,525856
GTN,20180116,16.90,17.40,16.90,17.05,766620
GTN,20180112,17.20,17.40,16.65,16.85,768773
GTN,20180111,16.75,17.40,16.65,17.25,1210540
GTN,20180110,15.95,16.625,15.90,16.60,993860
GTN,20180109,15.85,16.45,15.85,16.00,1138252
GTN,20180108,16.05,16.35,15.85,15.85,631623
GTN,20180105,16.34,16.35,15.90,16.10,795319
GTN,20180104,16.85,17.00,16.00,16.20,1204493
GTN,20180103,16.80,16.85,16.30,16.65,889781
GTN,20180102,16.95,17.15,16.60,16.70,956877
GTN,20171229,16.85,16.95,16.65,16.75,688177
GTN,20171228,17.00,17.10,16.80,16.85,403830
GTN,20171227,17.15,17.40,16.825,17.00,490320
GTN,20171226,17.10,17.50,17.05,17.15,513063
GTN,20171222,17.10,17.30,16.875,17.25,600884
GTN,20171221,17.30,17.50,16.725,17.20,1542129
GTN,20171220,17.00,17.425,16.70,17.35,1528894
GTN,20171219,16.80,16.975,16.60,16.80,1619148
GTN,20171218,16.30,17.05,16.25,16.80,2127974
