<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GWR,20180423,70.49,71.61,70.49,71.44,551572
GWR,20180420,72.09,72.685,70.47,70.68,543194
GWR,20180419,72.03,72.76,71.70,72.17,235123
GWR,20180418,72.09,72.84,71.94,72.18,433819
GWR,20180417,72.91,72.91,71.04,71.40,445127
GWR,20180416,71.50,72.99,71.24,72.59,311509
GWR,20180413,71.31,71.72,70.78,71.07,461367
GWR,20180412,69.64,71.29,69.35,70.63,505639
GWR,20180411,68.39,69.495,68.21,69.21,734748
GWR,20180410,69.30,69.82,67.61,68.78,395932
GWR,20180409,68.65,69.50,68.14,68.52,328238
GWR,20180406,69.34,70.07,67.73,68.43,415856
GWR,20180405,69.31,70.37,68.86,70.07,526116
GWR,20180404,68.15,69.37,67.62,69.26,967548
GWR,20180403,68.42,69.43,68.28,69.24,604002
GWR,20180402,70.14,71.33,67.66,67.92,576609
GWR,20180329,70.58,71.78,70.28,70.79,1093900
GWR,20180328,71.31,71.31,69.63,70.14,704366
GWR,20180327,72.75,72.75,70.83,71.09,344924
GWR,20180326,72.19,72.75,70.98,72.51,261329
GWR,20180323,72.19,72.85,71.10,71.17,212887
GWR,20180322,73.31,74.145,71.89,71.98,261540
GWR,20180321,73.22,75.02,73.22,74.18,258488
GWR,20180320,74.00,74.36,73.14,73.33,193790
GWR,20180319,73.43,73.88,72.72,73.77,336726
GWR,20180316,73.15,73.885,72.90,73.65,498194
GWR,20180315,72.99,74.15,72.48,72.85,214700
GWR,20180314,74.48,74.63,72.50,72.80,281547
GWR,20180313,74.44,75.58,73.86,73.99,399064
GWR,20180312,73.42,74.80,73.42,74.07,743346
GWR,20180309,72.72,73.82,72.10,73.30,734368
GWR,20180308,71.65,72.027,70.825,71.69,461239
GWR,20180307,70.18,71.92,70.05,71.32,665636
GWR,20180306,70.54,71.53,70.24,71.07,602294
GWR,20180305,69.37,70.32,69.06,70.11,551047
GWR,20180302,69.07,70.20,68.0701,69.96,331825
GWR,20180301,70.06,71.38,69.04,69.78,331445
GWR,20180228,71.34,71.34,69.51,69.53,348290
GWR,20180227,72.99,73.52,71.02,71.09,324874
GWR,20180226,72.19,73.43,72.05,72.92,395446
GWR,20180223,71.61,72.02,71.28,71.60,394073
GWR,20180222,71.28,72.23,70.96,71.29,323559
GWR,20180221,72.58,73.20,70.84,70.85,522779
GWR,20180220,72.81,73.30,71.95,72.45,462559
GWR,20180216,72.00,73.60,71.51,73.35,455104
GWR,20180215,72.17,72.23,70.86,72.03,339048
GWR,20180214,69.71,71.95,68.13,71.86,398858
GWR,20180213,69.66,70.45,68.95,70.41,473917
GWR,20180212,70.18,70.62,68.62,70.04,428358
GWR,20180209,69.64,70.21,67.61,69.59,727627
GWR,20180208,72.60,72.66,68.54,68.99,759097
GWR,20180207,73.64,74.99,73.06,73.39,343419
GWR,20180206,71.38,74.45,70.75,74.16,558834
GWR,20180205,75.65,76.84,72.74,72.87,603055
GWR,20180202,78.99,78.99,76.51,76.58,305417
GWR,20180201,79.42,80.22,79.16,79.68,150830
GWR,20180131,80.19,81.21,79.07,79.85,213492
GWR,20180130,79.44,80.31,79.14,79.80,289358
GWR,20180129,80.63,81.43,79.97,80.08,229023
GWR,20180126,80.71,80.89,80.11,80.80,218984
GWR,20180125,81.35,81.82,80.12,80.43,234909
GWR,20180124,81.76,82.67,80.52,81.39,179247
GWR,20180123,81.48,81.97,80.62,81.58,254586
GWR,20180122,81.39,82.24,80.415,81.58,180806
GWR,20180119,81.60,82.10,80.90,81.83,265311
GWR,20180118,81.68,82.03,81.12,81.57,259160
GWR,20180117,82.50,83.57,81.29,81.39,229762
GWR,20180116,83.50,83.7999,81.78,82.26,463803
GWR,20180112,83.78,84.24,82.90,83.13,281457
GWR,20180111,82.67,83.575,82.60,83.53,345535
GWR,20180110,83.20,84.24,82.24,82.38,164225
GWR,20180109,83.15,84.40,82.885,83.39,214958
GWR,20180108,81.71,82.79,81.44,82.61,242656
GWR,20180105,82.41,83.20,81.07,81.64,311118
GWR,20180104,80.70,82.305,80.70,81.87,436422
GWR,20180103,80.44,81.22,80.06,80.41,269275
GWR,20180102,79.03,80.565,78.75,80.39,265940
GWR,20171229,78.79,79.57,78.55,78.73,175960
GWR,20171228,79.38,79.38,78.18,78.72,153827
GWR,20171227,78.33,79.37,78.15,79.13,136557
GWR,20171226,78.25,78.93,78.07,78.34,63035
GWR,20171222,78.12,78.32,77.72,78.15,108273
GWR,20171221,78.75,78.89,77.465,78.04,211996
GWR,20171220,79.20,79.29,78.32,78.71,128350
GWR,20171219,78.56,79.08,77.82,78.56,193647
GWR,20171218,78.22,78.78,78.05,78.41,236292
GWR,20171215,76.67,77.995,76.67,77.43,334169
GWR,20171214,78.40,78.62,76.43,76.45,280583
GWR,20171213,77.36,78.74,77.24,78.31,238034
GWR,20171212,77.13,77.45,76.56,77.22,219084
GWR,20171211,78.60,78.82,76.77,76.98,253768
GWR,20171208,79.20,79.56,78.35,78.57,241382
GWR,20171207,77.16,78.76,76.64,78.48,288683
GWR,20171206,76.90,77.80,75.49,77.37,197468
GWR,20171205,79.40,79.40,77.17,77.27,330729
GWR,20171204,79.29,81.73,77.80,79.49,383625
GWR,20171201,78.76,79.00,76.52,78.30,447830
GWR,20171130,77.24,79.30,77.03,78.82,324757
GWR,20171129,75.12,77.15,74.94,76.93,388629
GWR,20171128,74.53,75.24,73.96,75.12,468672
GWR,20171127,73.98,74.425,73.44,74.34,247288
GWR,20171124,74.38,74.58,73.915,74.27,60974
GWR,20171122,73.72,74.36,73.14,73.98,211033
