<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HCP,20180423,21.89,22.05,21.795,21.92,1813421
HCP,20180420,22.36,22.4599,21.825,21.88,2695448
HCP,20180419,22.58,22.62,22.05,22.36,2300585
HCP,20180418,22.89,22.94,22.625,22.67,2182409
HCP,20180417,22.53,22.92,22.435,22.78,2178510
HCP,20180416,22.44,22.69,22.22,22.53,2644094
HCP,20180413,22.29,22.43,22.065,22.42,1624016
HCP,20180412,22.87,22.88,22.20,22.245,2865058
HCP,20180411,22.98,23.25,22.82,22.88,2430313
HCP,20180410,23.29,23.29,22.93,23.00,3595897
HCP,20180409,23.23,23.37,22.95,23.14,2311200
HCP,20180406,23.20,23.5101,23.1749,23.20,3384229
HCP,20180405,23.38,23.38,22.9499,23.16,2344958
HCP,20180404,22.83,23.48,22.76,23.37,3718833
HCP,20180403,23.17,23.18,22.42,22.95,5233342
HCP,20180402,23.26,23.45,23.02,23.18,4739661
HCP,20180329,23.32,23.47,23.05,23.23,4682363
HCP,20180328,22.96,23.625,22.96,23.39,5015977
HCP,20180327,22.35,23.13,22.00,22.79,4063393
HCP,20180326,22.39,22.44,22.03,22.31,2813144
HCP,20180323,22.67,22.81,22.21,22.29,3492140
HCP,20180322,22.49,23.14,22.45,22.61,4416281
HCP,20180321,22.69,22.79,22.28,22.52,3702800
HCP,20180320,23.04,23.21,22.50,22.68,4381257
HCP,20180319,23.19,23.225,22.94,23.07,3705681
HCP,20180316,22.94,23.26,22.83,23.19,5856163
HCP,20180315,22.87,23.0901,22.74,22.95,2376707
HCP,20180314,22.97,23.12,22.68,22.95,3223424
HCP,20180313,23.15,23.31,22.81,23.00,3680926
HCP,20180312,22.60,23.17,22.49,23.12,4520730
HCP,20180309,22.83,22.87,22.38,22.61,3062076
HCP,20180308,22.99,23.08,22.555,22.86,3102387
HCP,20180307,22.22,22.66,22.07,22.63,3292355
HCP,20180306,22.20,22.37,21.88,22.295,2066333
HCP,20180305,21.75,22.475,21.75,22.26,3853036
HCP,20180302,21.93,21.99,21.65,21.84,2906767
HCP,20180301,21.60,22.2899,21.48,21.93,3360588
HCP,20180228,21.85,22.03,21.62,21.64,4347592
HCP,20180227,22.46,22.64,21.73,21.75,3422940
HCP,20180226,22.36,22.48,22.12,22.44,2183895
HCP,20180223,22.01,22.35,21.91,22.35,2041514
HCP,20180222,21.87,22.365,21.805,21.88,2486224
HCP,20180221,22.40,22.49,21.78,21.80,4205948
HCP,20180220,22.55,22.92,22.44,22.45,3847865
HCP,20180216,22.34,22.85,22.34,22.68,7735598
HCP,20180215,21.80,22.2968,21.71,22.29,7166909
HCP,20180214,21.96,22.12,21.64,21.78,4970610
HCP,20180213,22.78,22.90,21.98,22.80,6421210
HCP,20180212,23.22,23.23,22.28,22.85,5848709
HCP,20180209,22.73,23.37,22.22,23.21,6529456
HCP,20180208,23.32,23.50,22.63,22.64,5183346
HCP,20180207,23.39,23.89,23.24,23.38,4978966
HCP,20180206,23.06,23.59,22.80,23.46,7050142
HCP,20180205,23.74,24.02,23.24,23.25,6805326
HCP,20180202,23.39,23.92,23.15,23.86,4356991
HCP,20180201,24.13,24.305,23.52,23.57,3132400
HCP,20180131,23.62,24.22,23.57,24.08,6254066
HCP,20180130,23.93,24.08,23.57,23.58,3579967
HCP,20180129,24.09,24.13,23.75,24.01,2519908
HCP,20180126,24.36,24.42,24.01,24.23,2379369
HCP,20180125,24.20,24.39,24.11,24.38,2823118
HCP,20180124,24.25,24.35,24.11,24.21,4115155
HCP,20180123,23.71,24.36,23.71,24.28,4848990
HCP,20180122,23.39,23.73,23.36,23.65,3500991
HCP,20180119,23.35,23.44,23.16,23.42,3341986
HCP,20180118,23.61,23.66,23.305,23.33,3655146
HCP,20180117,23.86,23.86,23.4935,23.72,3571754
HCP,20180116,23.75,24.08,23.70,23.72,3567766
HCP,20180112,24.12,24.15,23.61,23.64,4861731
HCP,20180111,24.42,24.61,24.10,24.17,5193228
HCP,20180110,24.45,24.45,24.19,24.36,3264088
HCP,20180109,25.04,25.065,24.48,24.50,3878240
HCP,20180108,25.06,25.18,24.91,25.02,2901323
HCP,20180105,25.21,25.23,24.75,25.01,3713763
HCP,20180104,25.90,25.95,25.22,25.26,3438277
HCP,20180103,25.98,26.12,25.79,25.90,2302581
HCP,20180102,26.08,26.155,25.79,25.91,3159166
HCP,20171229,26.00,26.25,25.97,26.08,2839896
