<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HES,20180423,57.55,58.68,56.97,58.54,2819658
HES,20180420,57.99,58.15,57.3701,57.81,3534672
HES,20180419,58.25,58.98,57.72,58.20,3056527
HES,20180418,57.00,58.63,56.90,57.92,5075856
HES,20180417,56.29,56.655,55.80,56.33,3173007
HES,20180416,56.50,56.72,55.58,56.24,3300326
HES,20180413,55.55,56.94,55.3819,56.32,4402614
HES,20180412,54.98,55.98,54.47,55.00,4273452
HES,20180411,53.60,55.54,53.50,54.93,4387471
HES,20180410,52.55,54.2275,52.38,53.69,4223306
HES,20180409,51.87,52.70,51.23,51.60,3181759
HES,20180406,52.01,52.74,49.86,51.09,3272774
HES,20180405,51.49,53.22,51.42,52.54,4166272
HES,20180404,49.38,51.13,49.06,51.01,2893125
HES,20180403,48.79,50.6748,48.33,50.45,3106714
HES,20180402,50.24,50.32,47.52,48.50,3112268
HES,20180329,49.09,51.005,49.07,50.62,2960135
HES,20180328,50.15,50.53,48.335,48.73,3478437
HES,20180327,50.54,50.95,49.43,49.87,2557697
HES,20180326,50.40,50.51,49.18,50.48,2242967
HES,20180323,50.73,50.99,49.385,49.46,3903861
HES,20180322,49.93,51.01,49.68,50.10,3105636
HES,20180321,48.88,51.195,48.83,50.69,3116187
HES,20180320,47.35,48.77,47.30,48.39,2130688
HES,20180319,48.73,48.95,46.6357,46.96,3043999
HES,20180316,48.39,49.56,47.79,48.98,4044084
HES,20180315,49.00,49.52,48.15,48.86,3203685
HES,20180314,48.57,49.21,48.28,48.57,2300848
HES,20180313,49.18,49.60,48.25,48.40,4364962
HES,20180312,48.25,49.40,48.17,48.65,2700929
HES,20180309,47.35,48.54,47.14,48.46,3745595
HES,20180308,47.21,47.33,46.01,46.70,4227885
HES,20180307,47.78,48.32,45.89,46.48,3393742
HES,20180306,48.71,49.22,48.1145,48.48,3862004
HES,20180305,46.48,48.715,46.33,48.44,4835536
HES,20180302,45.13,46.75,44.21,46.68,3472524
HES,20180301,45.36,46.56,45.27,45.70,4598090
HES,20180228,47.16,47.575,45.39,45.42,3670431
HES,20180227,47.51,48.66,46.455,46.47,3679196
HES,20180226,48.37,48.47,47.41,47.78,3257782
