<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HIG,20180423,52.14,52.24,51.75,51.96,1082151
HIG,20180420,52.27,52.33,51.72,52.04,995308
HIG,20180419,51.91,52.33,51.80,52.03,1057298
HIG,20180418,52.00,52.03,51.66,51.79,1254122
HIG,20180417,52.24,52.31,51.58,51.74,1211960
HIG,20180416,52.18,52.27,51.79,52.03,2237340
HIG,20180413,52.56,52.659,51.465,51.67,1535936
HIG,20180412,51.79,52.27,51.76,52.02,839985
HIG,20180411,51.32,51.73,51.09,51.53,1050757
HIG,20180410,51.91,52.32,51.60,51.90,1826768
HIG,20180409,51.28,52.13,51.12,51.20,1353808
HIG,20180406,51.54,52.15,50.71,51.12,2107459
HIG,20180405,52.04,52.49,51.6875,52.20,1825681
HIG,20180404,50.15,51.885,50.14,51.75,1675021
HIG,20180403,50.57,51.06,50.28,50.79,1424260
HIG,20180402,51.39,51.62,49.671,50.46,2013625
HIG,20180329,51.93,52.12,51.52,51.52,2047110
HIG,20180328,51.22,52.15,51.12,51.73,2499204
HIG,20180327,51.66,52.02,50.83,51.11,1666835
HIG,20180326,51.03,51.50,50.43,51.48,1982166
HIG,20180323,51.92,52.28,50.15,50.29,1881296
HIG,20180322,52.86,53.28,51.83,51.88,1647047
HIG,20180321,53.80,54.17,53.40,53.40,1394615
HIG,20180320,53.68,53.99,53.67,53.67,1430667
HIG,20180319,53.86,54.08,53.18,53.45,1564116
HIG,20180316,54.01,54.37,53.65,53.93,1471286
HIG,20180315,54.10,54.41,53.50,53.81,1592388
HIG,20180314,54.58,54.65,53.71,53.87,2383187
HIG,20180313,55.47,55.65,54.22,54.31,2051218
HIG,20180312,56.13,56.13,54.99,55.20,1610270
HIG,20180309,54.59,56.13,54.43,56.13,3350964
HIG,20180308,54.31,54.46,53.77,54.36,1489634
HIG,20180307,53.87,54.63,53.71,54.27,2404561
HIG,20180306,54.08,54.56,53.59,54.42,2904710
HIG,20180305,51.39,54.23,51.375,53.94,4771186
HIG,20180302,51.33,51.88,50.71,51.77,2100535
HIG,20180301,52.75,53.07,51.55,51.91,2373645
HIG,20180228,54.03,54.23,52.84,52.85,1437724
HIG,20180227,54.31,54.85,53.76,53.81,1947820
HIG,20180226,54.26,54.74,54.12,54.50,1417009
HIG,20180223,53.43,54.08,53.15,54.04,1350614
HIG,20180222,54.02,54.38,53.00,53.22,2042842
HIG,20180221,53.88,54.615,53.705,53.95,1871511
HIG,20180220,54.03,54.42,53.45,53.82,2610814
