<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPF,20180423,19.66,19.7284,19.65,19.65,31232
HPF,20180420,19.74,19.7599,19.63,19.64,45568
HPF,20180419,19.81,19.81,19.67,19.74,37710
HPF,20180418,19.73,19.82,19.71,19.78,32338
HPF,20180417,19.69,19.82,19.69,19.73,30640
HPF,20180416,19.71,19.75,19.67,19.67,20095
HPF,20180413,19.74,19.77,19.62,19.62,34106
HPF,20180412,19.90,19.90,19.73,19.75,49352
HPF,20180411,19.76,19.94,19.76,19.88,32113
HPF,20180410,20.07,20.10,19.98,19.98,60881
HPF,20180409,20.10,20.16,20.05,20.06,42745
HPF,20180406,19.98,20.1747,19.96,20.06,64800
HPF,20180405,19.84,20.00,19.84,19.96,33907
HPF,20180404,19.74,19.9201,19.74,19.91,29510
HPF,20180403,20.03,20.03,19.81,19.88,52718
HPF,20180402,19.98,20.022,19.91,19.96,51571
HPF,20180329,19.96,20.05,19.86,20.05,39419
HPF,20180328,19.71,19.86,19.71,19.84,25495
HPF,20180327,19.70,19.89,19.6802,19.74,44793
HPF,20180326,19.73,19.785,19.62,19.64,40984
HPF,20180323,19.82,19.86,19.70,19.70,31025
HPF,20180322,19.76,19.85,19.76,19.80,24475
HPF,20180321,19.95,19.96,19.78,19.82,73600
HPF,20180320,20.02,20.06,19.92,19.93,28985
HPF,20180319,20.17,20.17,20.03,20.06,31716
HPF,20180316,20.07,20.19,20.07,20.17,30909
HPF,20180315,20.12,20.1246,20.01,20.10,26771
HPF,20180314,20.03,20.13,19.97,20.05,48695
HPF,20180313,19.99,20.02,19.95,19.99,32604
HPF,20180312,20.16,20.16,19.96,19.97,48289
HPF,20180309,20.05,20.19,20.05,20.07,37645
HPF,20180308,20.21,20.24,20.20,20.20,37191
HPF,20180307,20.00,20.20,20.00,20.20,29901
HPF,20180306,20.10,20.11,20.05,20.07,38279
HPF,20180305,19.92,20.06,19.90,20.05,27755
HPF,20180302,19.89,19.9099,19.82,19.89,38991
HPF,20180301,19.91,20.007,19.8898,19.90,33248
HPF,20180228,20.00,20.06,19.90,19.90,40356
HPF,20180227,20.12,20.14,19.90,19.92,45190
HPF,20180226,19.96,20.14,19.96,20.0681,41748
HPF,20180223,19.81,19.99,19.81,19.90,45772
HPF,20180222,19.76,19.85,19.75,19.77,35049
HPF,20180221,19.73,19.8586,19.71,19.73,23087
HPF,20180220,19.69,19.77,19.66,19.72,35127
HPF,20180216,19.66,19.7897,19.63,19.72,46730
HPF,20180215,19.6092,19.6499,19.57,19.63,46650
HPF,20180214,19.59,19.63,19.54,19.56,46815
HPF,20180213,19.57,19.6699,19.54,19.65,54929
HPF,20180212,19.56,19.65,19.488,19.57,56006
HPF,20180209,19.77,19.7966,19.3899,19.51,90779
HPF,20180208,20.03,20.04,19.66,19.77,55637
HPF,20180207,19.67,20.09,19.67,20.05,82571
HPF,20180206,19.60,19.8719,19.46,19.76,115877
HPF,20180205,19.91,19.98,19.61,19.74,87987
HPF,20180202,19.95,20.02,19.86,19.99,47990
HPF,20180201,20.10,20.26,20.01,20.01,53931
HPF,20180131,20.33,20.33,20.093,20.15,76935
HPF,20180130,20.06,20.1499,19.90,20.11,98930
HPF,20180129,20.32,20.32,20.00,20.16,109352
HPF,20180126,20.67,20.67,20.31,20.38,127663
HPF,20180125,20.78,20.78,20.64,20.67,57423
HPF,20180124,20.74,20.81,20.67,20.7901,49882
HPF,20180123,20.60,20.77,20.57,20.77,83028
HPF,20180122,20.80,20.85,20.43,20.64,100534
HPF,20180119,20.95,20.95,20.80,20.82,54208
HPF,20180118,21.07,21.07,20.90,20.93,70717
HPF,20180117,21.17,21.27,21.09,21.09,43090
HPF,20180116,21.30,21.37,21.21,21.22,54377
HPF,20180112,21.31,21.37,21.26,21.28,37046
HPF,20180111,21.35,21.40,21.30,21.33,29506
HPF,20180110,21.45,21.47,21.3601,21.41,34304
HPF,20180109,21.39,21.50,21.39,21.47,24357
HPF,20180108,21.31,21.44,21.31,21.42,28959
HPF,20180105,21.37,21.3814,21.315,21.3501,37019
HPF,20180104,21.37,21.4153,21.29,21.38,44201
HPF,20180103,21.38,21.40,21.30,21.37,38064
HPF,20180102,21.49,21.56,21.32,21.38,59794
HPF,20171229,21.49,21.5299,21.4564,21.49,34748
HPF,20171228,21.41,21.46,21.3735,21.46,39169
HPF,20171227,21.43,21.48,21.39,21.41,43075
HPF,20171226,21.42,21.50,21.42,21.4732,15481
HPF,20171222,21.44,21.50,21.40,21.50,33101
HPF,20171221,21.45,21.48,21.38,21.39,31677
HPF,20171220,21.41,21.55,21.38,21.4638,48809
HPF,20171219,21.42,21.4654,21.33,21.46,69413
HPF,20171218,21.32,21.43,21.32,21.42,26304
HPF,20171215,21.23,21.40,21.23,21.39,43948
HPF,20171214,21.05,21.282,21.05,21.23,59602
HPF,20171213,21.19,21.20,21.03,21.09,42011
HPF,20171212,21.31,21.33,21.19,21.20,37244
HPF,20171211,21.31,21.43,21.31,21.34,27307
HPF,20171208,21.48,21.5299,21.32,21.32,33521
HPF,20171207,21.50,21.63,21.46,21.62,14082
HPF,20171206,21.59,21.59,21.52,21.56,16533
HPF,20171205,21.51,21.57,21.46,21.53,28238
HPF,20171204,21.33,21.45,21.28,21.45,31911
HPF,20171201,21.20,21.32,21.20,21.31,15457
HPF,20171130,21.26,21.2714,21.17,21.26,31719
HPF,20171129,21.21,21.2892,21.18,21.21,17082
HPF,20171128,21.25,21.289,21.1766,21.25,35215
HPF,20171127,21.28,21.28,21.16,21.18,43424
HPF,20171124,21.24,21.26,21.16,21.20,13338
HPF,20171122,21.18,21.3099,21.15,21.19,24294
HPF,20171121,21.34,21.34,21.19,21.21,48956
HPF,20171120,21.26,21.3794,21.24,21.2879,29281
HPF,20171117,21.18,21.29,21.17,21.2799,14215
HPF,20171116,21.17,21.30,21.1401,21.2499,23711
HPF,20171115,21.15,21.22,20.99,21.16,30514
HPF,20171114,21.21,21.313,21.16,21.16,52001
HPF,20171113,21.34,21.3698,21.2701,21.33,43559
HPF,20171110,21.48,21.49,21.36,21.36,27918
HPF,20171109,21.64,21.70,21.60,21.69,32268
HPF,20171108,21.65,21.6798,21.59,21.65,21480
HPF,20171107,21.65,21.70,21.59,21.69,32158
HPF,20171106,21.44,21.64,21.44,21.61,38215
HPF,20171103,21.65,21.659,21.41,21.42,33198
HPF,20171102,21.67,21.6817,21.646,21.65,12023
HPF,20171101,21.61,21.71,21.58,21.71,37962
HPF,20171031,21.57,21.66,21.48,21.65,26197
HPF,20171030,21.50,21.576,21.46,21.49,24179
HPF,20171027,21.49,21.59,21.47,21.541,51983
HPF,20171026,21.56,21.589,21.46,21.46,20438
HPF,20171025,21.67,21.67,21.45,21.56,47748
HPF,20171024,21.70,21.75,21.70,21.75,20586
HPF,20171023,21.67,21.79,21.67,21.73,25052
HPF,20171020,21.61,21.7395,21.61,21.72,35660
HPF,20171019,21.56,21.69,21.56,21.679,30474
HPF,20171018,21.74,21.7599,21.69,21.69,15217
HPF,20171017,21.76,21.8292,21.7223,21.73,25073
HPF,20171016,21.84,21.86,21.77,21.79,25788
HPF,20171013,21.85,21.875,21.79,21.81,21974
HPF,20171012,21.76,21.89,21.76,21.8772,19815
HPF,20171011,21.76,21.78,21.731,21.78,13946
HPF,20171010,21.82,21.8899,21.7627,21.88,20216
HPF,20171009,21.80,21.80,21.731,21.79,17001
HPF,20171006,21.79,21.79,21.6943,21.7758,42591
HPF,20171005,21.79,21.84,21.79,21.82,7285
HPF,20171004,21.90,21.91,21.78,21.79,27857
HPF,20171003,21.86,21.9041,21.7945,21.88,55943
HPF,20171002,21.84,21.935,21.8303,21.92,30472
HPF,20170929,21.80,21.91,21.75,21.91,46302
HPF,20170928,21.84,21.8543,21.72,21.80,31735
HPF,20170927,21.70,21.77,21.67,21.76,22894
HPF,20170926,21.61,21.77,21.61,21.75,20222
HPF,20170925,21.70,21.70,21.64,21.66,16198
HPF,20170922,21.61,21.72,21.60,21.681,10946
HPF,20170921,21.66,21.739,21.57,21.58,27728
