<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HZO,20180423,17.85,18.175,17.70,18.15,318646
HZO,20180420,18.05,18.40,17.70,17.75,280009
HZO,20180419,18.55,18.65,18.00,18.10,281832
HZO,20180418,18.90,19.05,18.45,18.70,221969
HZO,20180417,18.80,18.95,18.55,18.90,250795
HZO,20180416,18.70,19.00,18.50,18.55,192927
HZO,20180413,19.00,19.10,18.40,18.60,199192
HZO,20180412,18.60,19.00,18.55,18.80,192016
HZO,20180411,18.75,19.10,18.35,18.60,152488
HZO,20180410,18.45,19.10,18.25,19.00,256629
HZO,20180409,18.55,18.55,18.05,18.15,267995
HZO,20180406,18.90,19.125,18.35,18.50,128898
HZO,20180405,18.85,19.25,18.55,19.05,120729
HZO,20180404,17.90,18.70,17.80,18.65,389852
HZO,20180403,19.00,19.20,18.15,18.25,422253
HZO,20180402,19.35,19.40,18.75,18.95,183694
HZO,20180329,19.25,19.80,19.25,19.45,114763
HZO,20180328,18.95,19.50,18.70,19.05,275740
HZO,20180327,19.50,19.50,18.80,19.00,144793
HZO,20180326,19.55,19.55,18.70,19.50,194118
HZO,20180323,19.95,20.20,19.225,19.30,217711
HZO,20180322,20.05,20.15,19.675,19.85,177801
HZO,20180321,20.30,20.50,20.00,20.20,182605
HZO,20180320,20.65,20.65,20.15,20.30,188204
HZO,20180319,20.65,20.775,20.15,20.60,225698
HZO,20180316,19.95,20.80,19.95,20.70,480793
HZO,20180315,20.35,20.35,19.60,19.85,147306
HZO,20180314,20.40,20.45,20.10,20.25,131851
HZO,20180313,20.75,20.90,20.25,20.35,121732
HZO,20180312,21.15,21.35,20.55,20.60,177721
HZO,20180309,20.45,21.35,20.20,21.15,147472
HZO,20180308,21.00,21.10,20.10,20.25,219179
HZO,20180307,20.85,21.15,20.70,20.90,209899
HZO,20180306,20.85,21.15,20.65,21.00,105741
HZO,20180305,20.55,20.90,20.45,20.80,142555
HZO,20180302,20.20,20.675,19.80,20.55,222983
HZO,20180301,20.90,20.90,20.15,20.45,233220
HZO,20180228,21.25,21.40,20.90,20.90,211959
HZO,20180227,21.55,21.7058,21.00,21.20,297618
HZO,20180226,20.95,21.50,20.85,21.50,175828
HZO,20180223,21.20,21.25,20.45,20.90,292178
HZO,20180222,21.45,21.45,20.85,21.15,354382
HZO,20180221,21.25,21.65,21.05,21.45,174232
HZO,20180220,21.50,21.70,21.00,21.10,383139
HZO,20180216,22.00,22.15,21.35,21.50,349844
HZO,20180215,21.85,22.30,21.65,22.15,339958
HZO,20180214,21.30,21.66,21.25,21.60,204355
HZO,20180213,21.55,21.90,21.191,21.45,252246
HZO,20180212,21.25,21.90,20.75,21.75,399639
HZO,20180209,20.85,21.41,20.45,21.20,442900
HZO,20180208,21.20,21.30,20.45,20.75,583018
HZO,20180207,20.85,21.35,20.75,21.20,310409
HZO,20180206,19.70,21.00,19.50,20.90,493332
HZO,20180205,21.00,21.45,19.85,20.15,424891
HZO,20180202,21.95,22.35,21.05,21.10,481992
HZO,20180201,22.75,22.75,21.85,22.20,444764
HZO,20180131,23.00,23.30,22.55,22.95,366328
