<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ICB,20180423,18.6292,18.633,18.62,18.62,5815
ICB,20180420,18.70,18.70,18.6301,18.65,10677
ICB,20180419,18.68,18.71,18.67,18.71,1909
ICB,20180418,18.89,18.8936,18.76,18.81,32046
ICB,20180417,18.89,18.89,18.86,18.88,14319
ICB,20180416,18.89,18.89,18.88,18.88,8097
ICB,20180413,18.90,18.91,18.90,18.90,12810
ICB,20180412,18.89,18.92,18.89,18.91,13662
ICB,20180411,18.84,18.91,18.72,18.90,20793
ICB,20180410,18.88,18.8901,18.87,18.89,8270
ICB,20180409,18.85,18.86,18.84,18.86,4272
ICB,20180406,18.80,18.82,18.79,18.82,4721
ICB,20180405,18.78,18.80,18.78,18.79,18192
ICB,20180404,18.7601,18.84,18.7601,18.81,12997
ICB,20180403,18.81,18.8499,18.80,18.835,19990
ICB,20180402,18.76,18.85,18.72,18.80,9273
ICB,20180329,18.70,18.91,18.54,18.83,5136
ICB,20180328,18.71,18.7164,18.68,18.69,7829
ICB,20180327,18.6716,18.6716,18.62,18.64,8471
ICB,20180326,18.64,18.64,18.6066,18.63,39528
ICB,20180323,18.65,18.74,18.59,18.65,7357
ICB,20180322,18.52,18.69,18.52,18.68,5754
ICB,20180321,18.695,18.695,18.56,18.66,5198
ICB,20180320,18.75,18.75,18.68,18.68,12984
ICB,20180319,18.71,18.77,18.71,18.74,10075
ICB,20180316,18.71,18.78,18.57,18.76,10013
ICB,20180315,18.78,18.83,18.78,18.80,5604
ICB,20180314,18.74,18.84,18.74,18.80,6261
ICB,20180313,18.72,18.77,18.715,18.77,7553
ICB,20180312,18.52,18.72,18.52,18.71,12339
ICB,20180309,18.79,18.79,18.69,18.69,5244
ICB,20180308,18.79,18.856,18.76,18.76,9645
ICB,20180307,18.73,18.80,18.7292,18.80,10649
ICB,20180306,18.76,18.8325,18.71,18.72,10989
ICB,20180305,18.79,18.84,18.72,18.72,4172
ICB,20180302,18.79,18.82,18.7737,18.81,4305
ICB,20180301,18.80,18.83,18.63,18.82,28809
ICB,20180228,18.78,18.88,18.75,18.81,6098
ICB,20180227,18.79,18.838,18.74,18.76,10295
ICB,20180226,18.82,18.8871,18.79,18.88,8387
ICB,20180223,18.84,19.00,18.81,18.84,3162
ICB,20180222,18.79,18.82,18.79,18.82,3907
ICB,20180221,18.81,18.86,18.79,18.79,5633
ICB,20180220,18.77,18.80,18.75,18.78,6760
ICB,20180216,18.77,18.82,18.77,18.82,6224
ICB,20180215,18.76,18.8225,18.76,18.78,3742
ICB,20180214,18.83,18.8786,18.78,18.79,8941
ICB,20180213,18.87,18.90,18.85,18.86,7553
ICB,20180212,18.94,18.996,18.90,18.90,8691
ICB,20180209,18.965,18.97,18.89,18.97,14022
ICB,20180208,18.86,19.05,18.86,18.95,17289
ICB,20180207,18.95,19.45,18.95,19.02,7042
ICB,20180206,18.94,18.99,18.8931,18.99,7323
ICB,20180205,18.93,18.99,18.93,18.96,9968
ICB,20180202,19.06,19.06,18.97,18.97,4762
ICB,20180201,18.94,19.05,18.94,19.02,15139
ICB,20180131,19.11,19.11,19.00,19.02,16263
ICB,20180130,19.00,19.07,19.00,19.06,12123
ICB,20180129,19.79,19.79,19.0002,19.06,18915
ICB,20180126,19.00,19.14,18.93,19.12,15563
ICB,20180125,19.02,19.06,19.02,19.04,7732
ICB,20180124,19.3549,19.3549,19.03,19.03,18032
ICB,20180123,18.98,19.21,18.98,19.05,89164
ICB,20180122,18.142,18.16,18.07,18.13,13403
ICB,20180119,18.14,18.16,18.09,18.09,5581
ICB,20180118,18.21,18.23,18.18,18.18,8597
ICB,20180117,18.24,18.29,18.20,18.27,9338
ICB,20180116,18.20,18.28,18.1749,18.28,15000
ICB,20180112,18.07,18.25,18.07,18.15,32051
ICB,20180111,18.17,18.17,18.05,18.07,18859
ICB,20180110,18.21,18.21,18.1283,18.15,7040
ICB,20180109,18.21,18.25,18.21,18.21,9480
ICB,20180108,18.1831,18.22,18.1701,18.22,1954
ICB,20180105,18.26,18.30,18.26,18.265,2025
ICB,20180104,18.25,18.30,18.25,18.25,2269
ICB,20180103,18.37,18.4094,18.23,18.23,3729
ICB,20180102,18.33,18.35,18.2799,18.35,13610
ICB,20171229,18.27,18.35,18.248,18.35,14736
ICB,20171228,18.20,18.30,18.20,18.24,10358
ICB,20171227,18.1801,18.20,18.164,18.19,9412
ICB,20171226,18.05,18.17,18.04,18.1645,3390
ICB,20171222,18.04,18.15,18.04,18.14,1797
ICB,20171221,18.16,18.17,18.02,18.15,10177
ICB,20171220,18.17,18.1863,18.15,18.1863,2856
ICB,20171219,18.19,18.2005,18.17,18.20,9000
ICB,20171218,18.18,18.21,18.18,18.21,9600
ICB,20171215,18.16,18.19,18.1555,18.18,2165
ICB,20171214,18.13,18.21,18.09,18.17,14005
ICB,20171213,18.16,18.24,18.08,18.17,5853
ICB,20171212,18.11,18.1549,18.08,18.13,6454
ICB,20171211,18.13,18.2389,18.13,18.18,3727
ICB,20171208,18.19,18.29,18.11,18.11,11568
ICB,20171207,18.2094,18.216,18.2094,18.2146,730
ICB,20171205,18.20,18.2489,18.16,18.20,9101
ICB,20171204,18.19,18.29,18.19,18.278,8470
ICB,20171201,18.23,18.275,18.1493,18.15,5507
ICB,20171130,18.2209,18.2209,18.2209,18.2209,344
ICB,20171129,18.3315,18.35,18.33,18.33,5251
ICB,20171128,18.24,18.41,18.17,18.41,30162
ICB,20171127,18.31,18.312,18.15,18.25,2941
ICB,20171124,18.22,18.50,18.22,18.29,7449
ICB,20171122,18.09,18.23,18.09,18.22,1106
ICB,20171121,18.0701,18.1699,18.0701,18.08,5245
ICB,20171120,18.23,18.23,18.11,18.11,2561
ICB,20171117,18.23,18.239,18.15,18.239,4267
ICB,20171116,17.97,18.22,17.97,18.22,27122
ICB,20171115,17.93,18.09,17.93,18.00,12393
ICB,20171114,17.96,18.0094,17.96,17.97,3109
ICB,20171113,18.15,18.15,17.99,17.99,6692
ICB,20171110,18.28,18.28,18.14,18.14,6370
ICB,20171109,18.1711,18.21,18.16,18.17,5953
ICB,20171108,18.2148,18.219,18.18,18.19,3127
ICB,20171107,18.15,18.20,18.15,18.20,1321
ICB,20171106,18.24,18.24,18.17,18.17,2356
ICB,20171103,18.26,18.26,18.24,18.24,332
ICB,20171102,18.25,18.29,18.24,18.27,5732
ICB,20171101,18.27,18.27,18.251,18.251,312
ICB,20171031,18.24,18.27,18.2255,18.27,3029
ICB,20171030,18.13,18.18,18.13,18.18,8062
ICB,20171027,18.13,18.19,18.1101,18.14,15883
ICB,20171026,18.12,18.17,18.12,18.13,4123
ICB,20171025,18.2069,18.2069,18.13,18.13,8042
ICB,20171024,18.29,18.29,18.17,18.18,7597
ICB,20171023,18.21,18.21,18.2031,18.21,916
ICB,20171020,18.2114,18.2147,18.18,18.18,3195
ICB,20171019,18.20,18.23,18.18,18.19,3653
ICB,20171018,18.22,18.29,18.22,18.25,7456
ICB,20171017,18.18,18.27,18.18,18.25,5997
ICB,20171016,18.19,18.26,18.16,18.20,3200
ICB,20171013,18.21,18.27,18.21,18.22,5110
ICB,20171012,18.20,18.27,18.20,18.20,3396
ICB,20171011,18.23,18.27,18.18,18.18,11474
ICB,20171010,18.18,18.29,18.18,18.22,8592
ICB,20171009,18.10,18.30,18.10,18.29,241048
ICB,20171006,18.15,18.19,18.15,18.18,6831
ICB,20171005,18.16,18.26,18.16,18.20,9234
ICB,20171004,18.23,18.29,18.23,18.29,12754
ICB,20171003,18.21,18.266,18.21,18.2436,1117
ICB,20171002,18.21,18.30,18.21,18.30,11253
ICB,20170929,18.29,18.30,18.248,18.30,2707
ICB,20170928,18.20,18.29,18.19,18.29,6547
ICB,20170927,18.21,18.271,18.20,18.271,4974
ICB,20170926,18.2699,18.2798,18.2699,18.2798,2008
ICB,20170925,18.22,18.31,18.22,18.30,6703
ICB,20170922,18.18,18.27,18.18,18.27,4320
ICB,20170921,18.247,18.247,18.229,18.229,1250
ICB,20170920,18.27,18.29,18.2322,18.239,7593
ICB,20170919,18.221,18.29,18.221,18.28,1134
ICB,20170918,18.25,18.26,18.24,18.24,3581
ICB,20170915,18.2373,18.2418,18.22,18.24,3767
ICB,20170914,18.20,18.24,18.20,18.24,3153
ICB,20170913,18.20,18.25,18.20,18.22,6372
ICB,20170912,18.2701,18.271,18.26,18.27,4490
ICB,20170911,18.29,18.309,18.28,18.28,3600
ICB,20170908,18.30,18.32,18.2831,18.2831,1480
ICB,20170907,18.28,18.3494,18.28,18.28,1349
ICB,20170906,18.26,18.2918,18.258,18.2918,1509
ICB,20170905,18.30,18.30,18.27,18.29,5370
ICB,20170901,18.25,18.27,18.25,18.26,3261
ICB,20170831,18.22,18.28,18.22,18.26,9719
ICB,20170830,18.22,18.27,18.1901,18.27,2091
ICB,20170829,18.25,18.29,18.21,18.284,4662
ICB,20170828,18.13,18.26,18.13,18.26,4259
ICB,20170825,18.21,18.33,18.21,18.32,8095
ICB,20170824,18.151,18.28,18.151,18.25,1100
ICB,20170823,18.20,18.24,18.19,18.21,2740
ICB,20170822,18.21,18.249,18.116,18.22,2040
ICB,20170821,18.23,18.25,18.211,18.217,3000
ICB,20170818,18.21,18.21,18.1911,18.20,1785
ICB,20170817,18.181,18.22,18.181,18.20,4124
ICB,20170816,18.08,18.22,18.08,18.22,36019
ICB,20170815,18.08,18.21,18.08,18.16,35478
ICB,20170814,18.14,18.1934,18.06,18.10,22347
ICB,20170811,18.05,18.21,18.01,18.21,14485
ICB,20170810,18.16,18.1699,18.05,18.05,9337
ICB,20170809,18.264,18.264,18.16,18.16,3729
ICB,20170808,18.23,18.25,18.2194,18.22,2382
ICB,20170807,18.27,18.27,18.2169,18.255,1634
ICB,20170804,18.25,18.27,18.25,18.26,3569
ICB,20170803,18.25,18.29,18.24,18.28,6097
ICB,20170802,18.24,18.31,18.24,18.27,6663
ICB,20170801,18.237,18.35,18.237,18.28,4019
ICB,20170731,18.26,18.32,18.24,18.25,3260
ICB,20170728,18.27,18.29,18.19,18.26,6188
ICB,20170727,18.21,18.30,18.21,18.28,9950
ICB,20170726,18.26,18.26,18.17,18.23,5231
ICB,20170725,18.19,18.28,18.19,18.26,6295
ICB,20170724,18.23,18.26,18.20,18.26,5549
ICB,20170721,18.26,18.27,18.21,18.21,12491
ICB,20170720,18.21,18.24,18.21,18.24,3096
ICB,20170719,18.32,18.32,18.15,18.17,11424
ICB,20170718,18.24,18.36,18.22,18.36,16545
ICB,20170717,18.19,18.24,18.19,18.19,2788
ICB,20170714,18.16,18.18,18.16,18.18,2760
ICB,20170713,18.14,18.145,18.12,18.13,8019
ICB,20170712,18.15,18.18,18.10,18.1189,9523
ICB,20170711,18.14,18.1519,18.13,18.13,6066
ICB,20170710,18.10,18.13,18.10,18.1125,8202
ICB,20170707,18.09,18.17,18.09,18.09,4798
ICB,20170706,18.20,18.20,18.10,18.12,8369
ICB,20170705,18.21,18.21,18.15,18.20,7604
ICB,20170703,18.22,18.22,18.16,18.21,3734
ICB,20170630,18.18,18.26,18.16,18.22,8078
ICB,20170629,18.19,18.23,18.15,18.15,9713
ICB,20170628,18.26,18.2955,18.23,18.26,8495
ICB,20170627,18.24,18.2918,18.24,18.2577,11657
ICB,20170626,18.30,18.32,18.2992,18.3002,2402
ICB,20170623,18.27,18.309,18.27,18.27,5867
ICB,20170622,18.26,18.30,18.23,18.30,2581
ICB,20170621,18.24,18.24,18.20,18.21,3425
ICB,20170620,18.31,18.31,18.2109,18.28,5773
ICB,20170619,18.25,18.27,18.25,18.25,22704
ICB,20170616,18.15,18.27,18.15,18.27,6009
ICB,20170615,18.27,18.27,18.22,18.23,8292
ICB,20170614,18.24,18.28,18.24,18.26,2841
ICB,20170613,18.15,18.21,18.15,18.1992,794
ICB,20170612,18.18,18.20,18.18,18.19,534
ICB,20170609,18.17,18.22,18.17,18.19,5195
ICB,20170608,18.19,18.1966,18.1555,18.19,4813
ICB,20170607,18.13,18.26,18.13,18.16,6747
ICB,20170606,18.20,18.21,18.19,18.20,3706
ICB,20170605,18.2235,18.24,18.19,18.19,6055
ICB,20170602,18.16,18.22,18.16,18.2179,5989
ICB,20170601,18.12,18.1757,18.12,18.15,2730
ICB,20170531,18.15,18.2067,18.15,18.15,6206
ICB,20170530,18.20,18.2186,18.18,18.18,4711
ICB,20170526,18.15,18.21,18.13,18.20,5029
ICB,20170525,18.15,18.15,18.1198,18.15,3316
ICB,20170524,18.09,18.12,18.08,18.12,2486
ICB,20170523,18.09,18.09,18.055,18.08,3401
ICB,20170522,18.09,18.09,18.06,18.09,6562
ICB,20170519,18.03,18.09,18.03,18.09,6530
ICB,20170518,18.06,18.10,18.05,18.09,10040
ICB,20170517,18.11,18.15,18.03,18.05,10526
ICB,20170516,18.11,18.1278,18.09,18.09,5501
ICB,20170515,18.06,18.11,18.05,18.11,2151
ICB,20170512,18.08,18.131,18.08,18.1075,2607
ICB,20170511,18.05,18.08,18.03,18.04,5131
ICB,20170510,18.01,18.08,18.01,18.08,6565
ICB,20170509,18.00,18.00,17.985,17.99,2295
ICB,20170508,17.98,18.01,17.98,17.99,2025
ICB,20170505,18.01,18.052,17.98,17.98,4060
ICB,20170504,18.01,18.01,18.00,18.00,2777
ICB,20170503,18.04,18.07,18.03,18.03,2965
ICB,20170502,18.07,18.07,18.01,18.01,5480
ICB,20170501,18.06,18.0785,18.03,18.0412,4038
ICB,20170428,17.98,18.33,17.98,18.08,4318
ICB,20170427,17.97,17.98,17.90,17.96,6762
ICB,20170426,17.97,17.975,17.9402,17.96,5553
ICB,20170425,17.94,17.9722,17.88,17.9489,38607
ICB,20170424,18.05,18.05,17.92,17.93,32978
ICB,20170421,18.07,18.0858,18.04,18.04,8599
ICB,20170420,18.14,18.14,18.05,18.05,56414
ICB,20170419,18.05,18.18,18.05,18.17,24912
ICB,20170418,18.1338,18.15,18.10,18.10,6871
ICB,20170417,18.12,18.12,18.08,18.12,2496
ICB,20170413,18.1221,18.1271,18.06,18.1207,3265
ICB,20170412,18.0064,18.05,17.99,18.0288,8101
ICB,20170411,18.02,18.04,17.9873,18.04,4461
ICB,20170410,18.01,18.01,17.95,18.01,7287
ICB,20170407,17.98,18.00,17.98,18.00,9298
ICB,20170406,17.76,17.95,17.76,17.95,15824
ICB,20170405,17.89,17.911,17.87,17.91,10099
ICB,20170404,17.93,17.93,17.90,17.91,7269
ICB,20170403,17.87,17.95,17.84,17.95,10861
ICB,20170331,17.84,17.88,17.80,17.88,8185
ICB,20170330,17.84,17.84,17.73,17.82,18263
ICB,20170329,17.81,17.87,17.81,17.87,6121
ICB,20170328,17.80,17.84,17.80,17.81,2202
ICB,20170327,17.83,17.92,17.81,17.81,32827
ICB,20170324,17.85,17.88,17.793,17.85,29450
ICB,20170323,17.77,17.838,17.77,17.832,5059
ICB,20170322,17.76,17.76,17.73,17.76,1853
ICB,20170321,17.75,17.829,17.75,17.78,5137
ICB,20170320,17.70,17.782,17.70,17.77,13379
ICB,20170317,17.6102,17.71,17.6102,17.71,8028
ICB,20170316,17.61,17.625,17.56,17.61,5366
ICB,20170315,17.6051,17.6492,17.59,17.62,1570
ICB,20170314,17.58,17.68,17.54,17.59,10382
ICB,20170313,17.68,17.68,17.655,17.68,6278
ICB,20170310,17.79,17.79,17.681,17.70,4654
ICB,20170309,17.80,17.81,17.75,17.81,6649
ICB,20170308,17.92,17.92,17.71,17.80,14655
ICB,20170307,17.8886,17.92,17.88,17.91,4950
ICB,20170306,17.90,17.90,17.90,17.90,266
ICB,20170303,17.92,18.00,17.87,17.89,4331
ICB,20170302,17.92,17.92,17.88,17.91,8208
ICB,20170301,17.96,17.96,17.90,17.94,4406
ICB,20170228,18.00,18.02,18.00,18.00,4114
ICB,20170227,17.97,18.012,17.9663,18.01,11432
ICB,20170224,17.97,18.02,17.8801,18.02,7413
ICB,20170223,17.90,17.94,17.86,17.94,3936
ICB,20170222,17.8182,17.88,17.8182,17.88,1491
ICB,20170221,17.76,17.859,17.76,17.84,15971
ICB,20170217,17.78,17.84,17.73,17.81,4984
ICB,20170216,17.81,17.81,17.69,17.69,12329
ICB,20170215,17.75,17.795,17.74,17.75,3323
ICB,20170214,17.89,17.895,17.84,17.85,2434
ICB,20170213,17.8801,17.95,17.85,17.88,4711
ICB,20170210,17.88,17.98,17.88,17.95,12064
ICB,20170209,17.95,17.97,17.88,17.88,8220
ICB,20170208,17.89,18.01,17.84,17.95,29648
ICB,20170207,17.82,17.90,17.82,17.86,3969
ICB,20170206,17.89,17.89,17.83,17.8532,2570
ICB,20170203,17.88,17.93,17.803,17.84,3470
ICB,20170202,17.92,17.92,17.80,17.87,4080
ICB,20170201,17.80,17.87,17.80,17.85,61376
ICB,20170131,17.87,17.87,17.84,17.85,5745
ICB,20170130,17.89,17.89,17.825,17.87,61315
ICB,20170127,17.84,17.92,17.8101,17.89,9058
ICB,20170126,17.8645,17.8645,17.80,17.83,2011
ICB,20170125,17.93,17.93,17.70,17.85,21071
ICB,20170124,17.93,17.98,17.91,17.94,11335
ICB,20170123,17.90,17.96,17.8575,17.90,4546
ICB,20170120,17.87,17.87,17.65,17.81,11206
ICB,20170119,17.79,17.84,17.78,17.84,6385
ICB,20170118,17.88,17.95,17.75,17.82,2305
ICB,20170117,17.91,17.99,17.88,17.99,5151
ICB,20170113,17.79,17.888,17.77,17.80,6499
ICB,20170112,17.8018,17.95,17.80,17.84,5918
