<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IDA,20180423,89.48,90.52,89.23,90.51,207760
IDA,20180420,89.29,89.44,88.78,89.08,236606
IDA,20180419,88.69,89.37,88.34,89.36,172803
IDA,20180418,89.24,89.83,88.755,88.80,436254
IDA,20180417,88.00,88.96,87.32,88.84,168405
IDA,20180416,85.85,87.76,85.85,87.70,334988
IDA,20180413,85.16,85.92,85.15,85.74,322018
IDA,20180412,86.16,86.47,84.82,84.98,163218
IDA,20180411,86.12,86.78,85.65,86.31,164519
IDA,20180410,87.16,87.17,85.925,86.29,274946
IDA,20180409,87.23,87.86,86.82,87.10,155031
IDA,20180406,87.92,88.05,86.96,87.25,213486
IDA,20180405,86.94,87.78,85.84,87.64,149843
IDA,20180404,86.67,87.22,86.00,86.94,263850
IDA,20180403,86.35,87.45,85.66,86.94,247469
IDA,20180402,88.06,88.769,85.55,86.22,337498
IDA,20180329,87.90,88.60,87.73,88.27,190715
IDA,20180328,87.27,87.99,86.72,87.61,220571
IDA,20180327,85.66,87.70,84.93,87.01,207975
IDA,20180326,84.69,86.06,84.4486,85.68,170011
IDA,20180323,85.91,86.91,84.25,84.34,275369
IDA,20180322,85.79,87.95,85.79,85.88,310973
IDA,20180321,85.40,86.62,85.34,85.74,146083
IDA,20180320,85.95,86.81,85.05,85.85,207789
IDA,20180319,86.18,86.43,85.09,86.23,260356
IDA,20180316,84.02,86.22,83.97,86.10,2194652
IDA,20180315,83.17,84.34,82.98,84.03,367772
IDA,20180314,83.22,84.31,82.94,83.61,200823
IDA,20180313,83.34,83.865,82.44,82.98,347217
IDA,20180312,81.54,83.35,81.54,83.32,531288
IDA,20180309,81.48,82.06,80.285,81.95,253922
IDA,20180308,81.01,81.98,81.01,81.45,139679
IDA,20180307,81.78,81.88,81.00,81.36,193165
IDA,20180306,82.65,82.93,81.081,81.86,245010
IDA,20180305,81.63,83.00,81.36,82.78,212249
IDA,20180302,81.60,82.65,80.45,81.61,205181
IDA,20180301,81.42,82.71,80.87,81.48,188826
IDA,20180228,82.85,83.10,81.05,81.05,254571
IDA,20180227,84.17,84.65,82.43,82.45,171195
IDA,20180226,85.09,85.25,83.435,83.91,201503
IDA,20180223,83.13,84.98,82.68,84.98,225574
IDA,20180222,82.88,83.94,82.23,82.90,275557
IDA,20180221,83.63,84.68,82.49,82.61,302653
IDA,20180220,85.05,85.05,83.21,83.70,158430
IDA,20180216,84.53,85.53,83.93,85.27,147570
IDA,20180215,83.36,84.76,83.07,84.72,108215
IDA,20180214,82.84,83.595,82.30,82.80,154742
IDA,20180213,83.18,83.90,82.02,83.47,189157
IDA,20180212,83.40,83.80,82.03,83.33,175207
IDA,20180209,82.05,84.13,82.05,83.57,227409
IDA,20180208,82.12,83.28,81.40,82.03,252854
IDA,20180207,81.64,83.07,81.44,82.25,206888
IDA,20180206,81.31,82.34,79.59,81.75,405325
IDA,20180205,83.39,84.32,82.12,82.29,260218
IDA,20180202,83.56,84.45,83.25,83.39,188187
IDA,20180201,86.29,86.57,84.45,84.93,175250
IDA,20180131,85.41,86.31,84.45,86.28,207004
IDA,20180130,84.87,85.79,84.87,85.33,151993
IDA,20180129,85.75,85.75,84.51,84.89,155780
IDA,20180126,86.73,86.74,84.965,86.07,184666
IDA,20180125,85.05,86.65,84.985,86.65,192550
IDA,20180124,85.30,85.52,84.695,84.90,224512
IDA,20180123,84.08,85.58,83.7353,85.20,305443
IDA,20180122,83.86,84.53,83.10,83.94,342232
IDA,20180119,83.50,84.46,83.44,83.86,267504
IDA,20180118,84.21,84.52,83.05,83.71,177809
IDA,20180117,83.63,84.70,83.40,84.33,193877
IDA,20180116,83.04,84.58,82.62,83.25,378748
IDA,20180112,82.85,83.52,82.08,83.32,388680
IDA,20180111,83.84,84.35,82.84,83.29,389737
IDA,20180110,85.00,85.00,83.21,84.04,417944
IDA,20180109,87.28,88.31,85.36,85.42,363679
IDA,20180108,87.60,88.22,87.40,88.10,242011
IDA,20180105,88.32,88.67,87.23,87.69,310150
IDA,20180104,89.07,90.01,88.18,88.31,186961
IDA,20180103,89.72,90.19,88.795,88.98,135103
IDA,20180102,91.36,91.40,89.56,89.84,224604
IDA,20171229,91.58,92.43,91.24,91.36,109796
IDA,20171228,90.86,91.70,90.65,91.59,122321
IDA,20171227,90.23,91.00,89.85,90.72,126141
IDA,20171226,90.60,91.11,89.81,89.86,84827
IDA,20171222,90.42,91.10,90.41,90.66,96680
IDA,20171221,90.61,91.16,90.03,90.42,188048
IDA,20171220,92.56,92.9318,91.07,91.11,207845
IDA,20171219,94.58,94.905,92.52,92.65,135623
IDA,20171218,95.72,96.13,94.31,94.57,131431
IDA,20171215,94.55,96.29,94.55,95.51,286515
IDA,20171214,95.19,95.48,93.92,94.54,85806
IDA,20171213,95.52,95.894,94.83,95.22,118267
IDA,20171212,96.58,96.795,94.99,95.00,113358
IDA,20171211,97.15,97.26,95.95,96.75,134347
IDA,20171208,97.03,97.60,96.60,97.16,95726
IDA,20171207,96.96,97.36,95.96,97.23,151102
IDA,20171206,96.64,97.19,96.245,96.90,84142
IDA,20171205,98.10,98.10,95.95,96.28,147368
IDA,20171204,98.72,99.03,97.68,97.86,187262
IDA,20171201,98.95,100.04,97.48,98.23,124731
IDA,20171130,98.43,99.07,97.90,98.81,173539
IDA,20171129,97.27,98.58,97.03,97.94,109228
IDA,20171128,96.89,97.96,96.52,97.59,150250
IDA,20171127,96.63,97.31,96.185,96.60,180549
IDA,20171124,96.55,96.82,96.28,96.55,47705
IDA,20171122,97.78,97.78,96.20,96.36,175910
IDA,20171121,97.77,97.98,97.31,97.64,112532
IDA,20171120,97.21,97.66,96.73,97.60,140521
IDA,20171117,96.95,97.47,96.26,97.23,107307
IDA,20171116,96.99,97.515,96.59,97.43,111287
IDA,20171115,98.35,98.43,96.90,96.95,163322
IDA,20171114,96.05,98.04,96.05,97.87,113603
IDA,20171113,95.15,96.14,95.08,95.93,136094
IDA,20171110,94.64,95.57,94.47,95.17,173674
IDA,20171109,94.60,95.50,94.60,95.29,82885
IDA,20171108,94.25,95.25,94.19,95.10,126658
IDA,20171107,93.50,95.10,93.18,94.61,95059
IDA,20171106,92.83,94.00,92.50,93.37,125131
IDA,20171103,92.07,93.79,91.995,92.71,161047
IDA,20171102,92.00,93.13,91.54,92.60,167146
IDA,20171101,92.41,92.70,91.055,91.32,88979
IDA,20171031,91.96,92.415,91.49,92.03,132294
IDA,20171030,93.00,93.00,91.27,91.75,149747
IDA,20171027,91.58,93.22,91.37,93.18,120519
IDA,20171026,91.67,92.81,91.60,91.64,83108
IDA,20171025,90.91,91.53,90.10,91.33,110141
IDA,20171024,91.64,91.64,90.88,91.35,111370
IDA,20171023,91.66,91.77,91.14,91.60,97405
IDA,20171020,91.50,92.26,91.195,91.75,190690
IDA,20171019,91.03,91.475,90.65,91.38,159740
IDA,20171018,90.49,91.31,90.39,91.18,149368
IDA,20171017,89.84,91.03,89.84,90.59,151356
IDA,20171016,90.44,91.04,89.785,90.18,115350
IDA,20171013,90.95,91.605,90.27,90.34,165770
IDA,20171012,89.59,90.86,89.58,90.67,109667
IDA,20171011,89.16,90.48,89.16,89.54,144263
IDA,20171010,88.74,89.58,88.60,89.25,146671
IDA,20171009,88.63,89.02,88.18,88.38,92644
IDA,20171006,88.26,89.105,88.23,88.44,110194
IDA,20171005,89.25,89.25,88.44,88.69,131153
IDA,20171004,88.59,89.25,87.96,89.15,147064
IDA,20171003,88.81,88.81,87.55,88.42,117184
IDA,20171002,87.72,88.81,87.72,88.78,126475
IDA,20170929,88.58,88.69,87.85,87.93,157806
IDA,20170928,88.07,88.74,87.66,88.58,121007
IDA,20170927,88.06,88.55,87.61,88.35,212467
IDA,20170926,88.65,88.9575,88.34,88.41,133933
IDA,20170925,87.85,89.0558,87.77,88.67,166647
IDA,20170922,88.83,88.96,87.74,87.75,126664
IDA,20170921,88.62,89.39,88.48,88.52,114719
IDA,20170920,89.43,89.43,88.195,88.60,113301
IDA,20170919,89.41,89.41,88.87,89.11,92977
IDA,20170918,90.05,90.06,88.84,89.18,77550
IDA,20170915,90.13,90.335,89.48,90.06,328148
IDA,20170914,89.48,90.07,89.05,89.96,123112
IDA,20170913,90.05,90.05,89.09,89.50,140073
IDA,20170912,91.84,91.84,89.585,89.87,128325
IDA,20170911,91.42,91.98,91.34,91.88,113815
IDA,20170908,90.59,91.60,90.215,91.40,255577
IDA,20170907,89.81,90.89,89.64,90.83,116135
IDA,20170906,90.00,90.14,89.63,89.72,151663
IDA,20170905,89.70,89.93,89.17,89.83,140233
IDA,20170901,89.18,89.38,88.905,89.32,142600
IDA,20170831,88.75,88.9953,88.36,88.98,161877
IDA,20170830,88.73,89.24,88.44,88.50,91582
IDA,20170829,89.55,89.90,88.80,88.81,123936
IDA,20170828,89.82,89.94,89.19,89.46,242566
IDA,20170825,89.00,89.75,88.865,89.54,137300
IDA,20170824,88.38,89.00,88.03,88.85,116865
IDA,20170823,88.10,88.56,87.6356,88.36,74799
IDA,20170822,87.53,88.38,87.06,88.25,144924
IDA,20170821,87.19,87.57,86.441,87.24,179035
IDA,20170818,86.33,87.50,86.26,87.15,158122
IDA,20170817,87.64,87.90,86.82,86.83,133760
IDA,20170816,87.45,87.89,87.04,87.67,103282
IDA,20170815,87.32,87.89,86.69,87.42,69712
IDA,20170814,87.03,87.70,86.38,87.60,73069
IDA,20170811,86.85,87.14,86.23,86.78,128756
IDA,20170810,87.02,87.66,86.64,87.34,67375
IDA,20170809,87.16,87.16,86.98,87.16,96724
IDA,20170808,87.37,88.155,86.67,87.91,119162
IDA,20170807,86.51,87.57,86.51,87.45,111076
IDA,20170804,86.00,86.67,85.48,86.56,87836
IDA,20170803,85.44,87.02,85.31,86.67,178154
IDA,20170802,87.03,87.63,86.08,86.70,116166
IDA,20170801,86.46,87.24,86.24,87.02,81720
IDA,20170731,85.99,86.69,85.5181,86.36,118546
IDA,20170728,86.75,86.86,85.59,86.00,96394
IDA,20170727,86.37,87.22,86.37,86.94,132272
IDA,20170726,86.21,86.90,86.21,86.61,153678
IDA,20170725,86.46,87.23,86.34,86.65,212470
IDA,20170724,87.83,87.83,86.515,86.80,122260
IDA,20170721,87.25,87.90,86.35,87.84,177975
IDA,20170720,85.18,86.385,85.18,86.21,134507
IDA,20170719,84.53,84.96,84.30,84.87,111143
IDA,20170718,84.23,84.41,83.85,84.17,127415
IDA,20170717,84.16,84.34,83.60,84.18,89336
IDA,20170714,84.49,84.80,84.03,84.07,96036
IDA,20170713,84.77,84.77,83.88,84.00,125451
IDA,20170712,84.87,85.145,84.49,84.85,124753
IDA,20170711,84.20,84.37,83.455,84.08,148189
IDA,20170710,84.72,85.105,84.13,84.19,144606
IDA,20170707,84.16,84.98,84.16,84.64,170476
IDA,20170706,83.96,84.245,83.75,84.06,138865
IDA,20170705,84.97,85.16,83.925,84.23,130511
IDA,20170703,85.27,85.73,84.81,84.91,69475
IDA,20170630,85.64,86.03,85.20,85.35,148922
IDA,20170629,86.14,86.14,85.26,85.59,148433
IDA,20170628,87.01,87.31,86.32,86.66,170182
IDA,20170627,87.50,87.82,86.62,86.72,146142
IDA,20170626,87.91,88.29,87.54,87.79,104060
IDA,20170623,87.78,88.27,87.54,87.59,192533
IDA,20170622,88.45,88.63,87.70,87.88,156096
IDA,20170621,88.53,89.37,87.96,88.36,165729
IDA,20170620,88.99,89.31,88.51,88.61,115264
IDA,20170619,89.50,89.57,88.829,88.88,148778
IDA,20170616,89.63,90.19,89.04,89.53,515424
IDA,20170615,88.70,89.97,88.5837,89.97,97726
IDA,20170614,89.81,90.67,88.85,89.23,158358
IDA,20170613,88.95,89.28,88.40,89.27,128433
IDA,20170612,89.66,89.93,88.28,88.96,174145
IDA,20170609,88.99,89.47,88.19,89.40,160701
IDA,20170608,88.68,89.78,87.90,89.03,131524
IDA,20170607,88.69,89.43,88.415,89.17,94733
IDA,20170606,88.65,89.145,88.45,88.68,80522
IDA,20170605,89.30,89.41,88.65,88.78,113723
IDA,20170602,88.99,89.58,87.80,89.38,140891
IDA,20170601,87.32,88.28,86.95,88.28,175524
IDA,20170531,86.90,87.50,86.64,87.30,118978
IDA,20170530,86.53,86.84,85.9269,86.64,73232
IDA,20170526,86.44,86.54,85.8413,86.46,137045
IDA,20170525,85.52,86.41,85.52,86.31,95045
IDA,20170524,85.56,85.90,85.23,85.65,95997
IDA,20170523,84.64,85.72,84.495,85.25,97807
IDA,20170522,83.65,84.45,83.65,84.32,154871
IDA,20170519,83.21,83.83,82.55,83.64,173342
IDA,20170518,83.53,83.79,82.6801,83.32,152762
IDA,20170517,83.09,83.98,82.91,83.50,181887
IDA,20170516,83.70,83.99,83.15,83.23,113859
IDA,20170515,83.50,84.17,83.375,83.84,123073
IDA,20170512,83.46,84.00,83.26,83.55,119088
IDA,20170511,83.08,83.36,82.52,83.26,115799
IDA,20170510,83.11,83.60,82.71,83.21,127743
IDA,20170509,84.02,84.42,82.88,83.13,236324
IDA,20170508,84.72,85.4499,83.62,83.98,152586
IDA,20170505,84.47,84.91,84.03,84.50,175326
IDA,20170504,83.02,84.33,82.75,84.16,160486
IDA,20170503,83.01,83.22,82.54,83.01,139983
IDA,20170502,83.70,84.245,83.36,83.85,160506
IDA,20170501,84.71,84.899,83.425,83.79,119729
IDA,20170428,85.58,85.87,84.32,84.52,163803
IDA,20170427,85.80,86.46,85.595,85.77,83240
IDA,20170426,85.50,86.07,85.02,85.66,136127
IDA,20170425,85.03,85.9099,85.03,85.48,113101
IDA,20170424,84.99,85.73,84.64,85.51,157437
IDA,20170421,84.48,85.59,84.48,85.25,249516
IDA,20170420,84.79,84.88,83.86,84.53,150951
IDA,20170419,85.42,85.42,84.58,84.74,182714
IDA,20170418,85.52,85.70,85.06,85.36,151507
IDA,20170417,84.93,85.45,84.55,85.36,131874
IDA,20170413,84.81,85.105,84.05,84.71,270382
IDA,20170412,83.88,84.94,83.34,84.84,174702
IDA,20170411,83.00,84.04,82.78,83.96,178810
IDA,20170410,82.98,83.27,82.60,83.10,61237
IDA,20170407,83.42,83.80,82.79,82.82,96831
IDA,20170406,83.26,83.60,82.82,83.39,99369
IDA,20170405,83.25,83.62,82.63,83.48,174213
IDA,20170404,82.29,83.51,82.235,83.21,134767
IDA,20170403,82.66,82.92,82.08,82.58,162792
IDA,20170331,82.92,83.56,82.70,82.96,158741
IDA,20170330,83.31,83.31,82.30,82.95,254246
IDA,20170329,83.68,83.68,82.82,83.26,185967
IDA,20170328,82.89,83.60,82.73,83.51,132592
IDA,20170327,83.28,83.52,82.05,83.29,163947
IDA,20170324,82.80,83.66,82.75,83.04,111563
IDA,20170323,82.43,83.405,82.175,82.82,122122
IDA,20170322,82.34,82.90,81.90,82.53,202064
IDA,20170321,81.26,82.33,80.8301,81.93,114956
IDA,20170320,82.17,82.17,81.03,81.26,89200
IDA,20170317,81.41,82.72,81.08,82.31,343361
IDA,20170316,81.54,81.79,80.90,81.12,68630
IDA,20170315,80.35,82.28,80.34,81.76,175792
IDA,20170314,80.34,80.61,79.90,80.09,121228
IDA,20170313,80.10,80.54,80.08,80.43,159820
IDA,20170310,80.69,80.92,79.92,80.26,143759
IDA,20170309,80.33,81.035,80.15,80.20,238637
IDA,20170308,81.55,81.695,80.19,80.25,119167
IDA,20170307,82.19,82.41,81.88,82.03,120859
IDA,20170306,82.95,82.95,82.18,82.18,104208
IDA,20170303,82.86,83.04,82.00,82.96,179523
IDA,20170302,82.74,83.49,82.58,83.11,186575
IDA,20170301,82.58,83.953,82.29,83.13,185117
IDA,20170228,83.03,83.385,82.65,82.93,259411
IDA,20170227,82.44,82.98,81.69,82.94,162660
IDA,20170224,82.34,83.99,82.34,82.77,136795
IDA,20170223,80.97,82.21,80.52,82.21,187061
IDA,20170222,80.62,81.19,80.155,80.79,74713
IDA,20170221,80.00,80.884,79.83,80.86,84089
IDA,20170217,80.31,80.31,79.155,80.00,110775
IDA,20170216,79.00,79.80,78.96,79.80,88537
IDA,20170215,79.15,79.69,78.37,78.96,87907
IDA,20170214,79.26,79.63,78.87,79.55,101808
IDA,20170213,80.08,80.17,79.45,79.85,178232
IDA,20170210,79.40,80.10,79.22,80.02,85944
IDA,20170209,79.47,80.265,79.29,79.43,85901
IDA,20170208,78.95,80.34,78.95,79.67,104417
IDA,20170207,79.45,79.45,78.84,79.07,88635
IDA,20170206,79.72,79.7355,79.09,79.12,124004
IDA,20170203,79.50,79.85,79.17,79.38,108674
IDA,20170202,78.50,79.18,78.05,79.05,162255
IDA,20170201,79.49,80.07,78.19,78.49,136270
IDA,20170131,78.92,80.11,78.55,80.02,197582
IDA,20170130,79.36,79.56,78.49,79.04,202342
IDA,20170127,79.41,79.41,78.72,79.22,95266
IDA,20170126,78.98,79.46,78.68,79.02,77152
IDA,20170125,79.13,79.22,78.78,79.03,117096
IDA,20170124,79.14,79.57,78.59,79.33,129478
IDA,20170123,79.21,79.68,78.78,79.02,83338
IDA,20170120,78.52,79.31,78.52,78.96,86872
IDA,20170119,79.19,80.05,78.39,78.70,111811
IDA,20170118,78.97,79.955,78.97,79.41,94899
IDA,20170117,79.13,79.61,79.005,79.28,93817
IDA,20170113,78.74,79.46,78.43,78.97,85982
IDA,20170112,78.99,79.23,78.18,79.09,109930
IDA,20170111,78.26,79.24,78.26,79.09,94481
IDA,20170110,78.07,78.54,77.49,78.31,112713
IDA,20170109,80.03,80.22,77.97,77.98,174756
IDA,20170106,79.70,80.21,79.50,79.83,157731
IDA,20170105,80.71,80.79,79.54,80.06,168167
IDA,20170104,80.51,81.14,80.19,80.51,161934
IDA,20170103,80.50,80.50,79.20,80.06,96933
IDA,20161230,80.47,81.05,80.26,80.55,102632
IDA,20161229,80.14,80.82,79.92,80.78,116723
IDA,20161228,81.34,81.34,79.68,79.89,71745
IDA,20161227,80.61,81.50,80.31,81.15,63993
IDA,20161223,80.87,81.32,80.77,81.05,42145
IDA,20161222,80.59,81.23,80.27,80.91,86255
IDA,20161221,81.33,81.81,80.56,80.56,118704
IDA,20161220,80.75,81.42,80.58,81.28,126704
IDA,20161219,80.66,81.34,80.28,81.13,131131
IDA,20161216,80.06,81.045,79.96,80.27,399014
IDA,20161215,78.66,79.79,78.24,79.71,155575
IDA,20161214,81.30,81.81,78.71,78.80,155609
IDA,20161213,80.62,81.32,80.45,81.14,160439
IDA,20161212,79.43,80.56,79.20,80.31,186935
IDA,20161209,79.07,79.99,78.8501,79.92,153368
IDA,20161208,77.34,79.12,76.52,79.08,199796
IDA,20161207,76.94,78.095,76.94,77.97,188610
IDA,20161206,76.39,76.99,75.87,76.80,122619
IDA,20161205,76.65,76.91,75.76,76.63,161113
IDA,20161202,76.37,77.28,76.10,76.64,133155
IDA,20161201,75.47,76.17,75.03,75.80,174305
IDA,20161130,78.33,78.36,76.14,76.15,190337
IDA,20161129,78.67,79.43,78.43,79.03,132914
IDA,20161128,78.39,79.20,77.94,78.72,163991
IDA,20161125,76.85,77.99,76.85,77.99,70429
IDA,20161123,76.26,77.21,76.26,76.66,130442
IDA,20161122,76.11,77.57,75.665,77.42,137360
IDA,20161121,75.43,76.08,75.11,76.08,201548
IDA,20161118,75.12,75.70,74.78,75.41,170573
IDA,20161117,74.87,75.44,74.64,75.09,144293
IDA,20161116,75.40,76.18,74.27,74.95,165898
IDA,20161115,75.25,75.96,75.03,75.43,180609
IDA,20161114,76.14,76.74,74.81,75.09,268730
IDA,20161111,75.22,77.02,75.05,76.49,287919
IDA,20161110,75.70,76.64,72.93,75.29,236286
IDA,20161109,75.94,77.26,75.31,76.06,271551
IDA,20161108,77.72,78.52,77.387,77.85,118923
IDA,20161107,75.74,77.47,75.26,77.34,170079
IDA,20161104,75.93,76.62,75.32,75.37,147535
IDA,20161103,75.25,75.97,74.91,75.55,130506
IDA,20161102,76.22,76.55,75.355,76.00,126366
IDA,20161101,78.19,78.37,76.56,76.57,147177
IDA,20161031,76.97,78.86,76.69,78.39,280375
IDA,20161028,75.82,77.01,75.82,76.67,132965
IDA,20161027,75.97,76.91,75.40,75.83,199530
IDA,20161026,75.68,76.23,75.38,75.98,117875
