<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IEX,20180423,145.19,146.19,142.63,142.70,153543
IEX,20180420,145.70,146.75,143.43,144.64,249954
IEX,20180419,145.41,146.67,144.33,145.18,212606
IEX,20180418,145.41,145.78,144.275,145.63,169515
IEX,20180417,143.88,145.22,142.83,144.52,160908
IEX,20180416,142.52,142.77,141.55,142.49,172376
IEX,20180413,143.29,144.09,141.18,141.94,135694
IEX,20180412,141.51,142.855,140.71,142.20,159436
IEX,20180411,140.56,141.85,139.77,141.06,208092
IEX,20180410,141.22,142.62,140.72,141.39,336249
IEX,20180409,139.57,141.50,138.475,139.24,171756
IEX,20180406,141.82,142.45,137.31,138.77,210057
IEX,20180405,143.06,144.21,142.13,142.63,185626
IEX,20180404,139.29,142.80,138.395,142.66,206682
IEX,20180403,140.37,142.02,139.64,141.20,280821
IEX,20180402,142.51,143.27,138.265,139.40,252959
IEX,20180329,141.49,143.92,140.52,142.51,239741
IEX,20180328,141.46,142.27,139.395,140.52,233415
IEX,20180327,146.19,146.28,140.69,141.51,218996
IEX,20180326,144.50,145.59,143.10,145.30,297532
IEX,20180323,145.78,148.86,142.52,142.78,241020
IEX,20180322,148.55,148.81,144.65,144.71,146133
IEX,20180321,150.06,150.72,149.215,149.65,223979
IEX,20180320,147.53,150.66,147.53,150.37,318834
IEX,20180319,147.08,147.61,144.95,147.26,88579
IEX,20180316,147.38,148.26,146.60,147.72,361264
IEX,20180315,146.89,147.80,145.77,146.90,147462
IEX,20180314,146.78,147.86,145.01,146.89,179080
IEX,20180313,147.28,147.94,145.82,146.30,123522
IEX,20180312,147.92,147.92,145.555,146.70,144679
IEX,20180309,143.75,147.92,143.48,147.45,305879
IEX,20180308,142.46,143.28,141.12,142.83,193368
IEX,20180307,140.02,142.73,139.55,142.05,332282
IEX,20180306,139.35,141.39,138.61,141.03,254242
IEX,20180305,136.76,139.52,136.49,138.90,257638
IEX,20180302,134.80,137.58,134.19,137.45,241399
IEX,20180301,137.37,138.33,134.1473,135.94,176274
IEX,20180228,140.29,140.29,136.80,136.80,160462
IEX,20180227,141.98,142.68,139.35,139.54,212298
IEX,20180226,141.04,142.00,139.67,141.80,211686
IEX,20180223,138.75,140.29,138.36,140.24,171008
IEX,20180222,137.51,139.24,137.25,138.12,144052
IEX,20180221,136.58,140.00,136.58,137.11,245140
IEX,20180220,136.30,137.73,135.86,136.83,133846
IEX,20180216,136.83,138.65,136.57,137.35,168006
IEX,20180215,136.10,137.035,134.73,136.96,138262
IEX,20180214,132.59,135.11,131.2721,135.04,154206
IEX,20180213,132.30,133.69,130.67,133.00,221405
IEX,20180212,131.71,134.37,130.96,132.63,232801
IEX,20180209,134.50,134.775,127.40,130.90,358661
IEX,20180208,137.27,137.80,132.66,132.72,281684
IEX,20180207,135.57,138.16,135.01,136.67,204349
IEX,20180206,132.59,136.68,130.72,135.52,312675
IEX,20180205,140.45,142.30,135.11,135.37,252735
IEX,20180202,144.16,144.20,141.84,142.13,240922
IEX,20180201,143.20,145.20,141.86,144.55,218829
IEX,20180131,145.67,147.91,142.755,143.48,416393
IEX,20180130,148.32,148.32,141.00,144.45,517498
IEX,20180129,142.13,143.19,140.60,140.66,163636
IEX,20180126,141.05,143.17,140.26,142.43,222924
IEX,20180125,138.97,140.90,138.29,140.82,277996
IEX,20180124,138.30,139.145,137.63,138.20,159154
IEX,20180123,137.56,138.23,136.69,137.69,151704
IEX,20180122,138.13,139.115,136.09,137.71,149704
IEX,20180119,137.38,138.46,137.20,138.35,76262
IEX,20180118,136.96,137.87,136.58,136.70,155077
IEX,20180117,137.52,137.52,136.23,136.52,169861
IEX,20180116,137.77,138.565,136.18,136.83,184862
IEX,20180112,136.85,137.37,134.61,136.81,127116
IEX,20180111,134.85,136.78,134.725,136.74,140253
IEX,20180110,135.34,135.34,133.76,134.94,165168
IEX,20180109,135.19,137.41,135.19,135.76,166250
IEX,20180108,134.51,135.67,134.03,134.97,188448
IEX,20180105,135.36,135.3867,133.715,134.74,127656
IEX,20180104,133.55,135.245,133.55,135.00,293379
IEX,20180103,131.27,132.98,131.15,132.87,294704
IEX,20180102,132.69,132.82,130.80,131.68,306825
IEX,20171229,132.67,133.17,131.91,131.97,164452
IEX,20171228,132.82,132.82,131.625,132.50,162506
IEX,20171227,132.02,132.68,131.67,132.22,104275
IEX,20171226,131.64,132.405,130.82,132.02,94709
IEX,20171222,133.00,133.00,130.84,132.07,103643
IEX,20171221,132.77,133.47,132.11,132.97,241570
IEX,20171220,132.33,132.835,131.82,132.50,105155
IEX,20171219,132.31,132.32,131.08,132.13,86491
IEX,20171218,132.24,132.99,131.26,131.94,165350
IEX,20171215,129.84,132.30,129.84,131.18,215453
IEX,20171214,130.59,131.13,129.03,129.24,153963
IEX,20171213,131.06,131.86,130.27,130.42,123299
IEX,20171212,132.31,132.52,130.93,131.35,142134
IEX,20171211,132.70,133.41,132.06,132.31,123667
IEX,20171208,132.86,133.11,132.33,132.64,138474
IEX,20171207,132.20,133.6575,131.97,132.30,173218
IEX,20171206,132.56,133.23,131.71,131.99,224919
IEX,20171205,133.97,134.04,132.70,132.85,233633
IEX,20171204,135.24,135.535,133.29,133.59,194809
IEX,20171201,134.92,135.60,131.81,133.99,235374
IEX,20171130,132.50,135.70,132.13,135.64,154756
IEX,20171129,132.75,133.36,131.91,132.50,157680
IEX,20171128,131.22,132.77,130.695,132.60,188286
IEX,20171127,130.93,131.68,130.205,130.83,236519
IEX,20171124,130.56,130.795,129.97,130.69,51756
IEX,20171122,130.41,130.98,129.7402,130.31,96578
IEX,20171121,127.16,130.48,127.16,130.11,109285
IEX,20171120,128.72,129.355,127.76,129.05,118475
IEX,20171117,127.68,128.54,126.58,128.11,103102
IEX,20171116,127.05,128.31,126.98,128.11,124273
IEX,20171115,127.08,127.40,126.20,126.45,87488
IEX,20171114,127.39,127.915,126.9869,127.64,93418
IEX,20171113,127.36,128.57,127.25,127.96,185147
IEX,20171110,127.36,128.52,127.17,128.02,131664
IEX,20171109,126.99,127.40,126.08,127.29,120631
IEX,20171108,127.48,128.13,126.655,128.03,179724
IEX,20171107,127.78,128.06,127.01,127.48,139565
IEX,20171106,127.64,128.57,127.24,127.87,102910
IEX,20171103,128.48,128.74,127.59,127.81,249496
IEX,20171102,128.00,128.74,127.17,128.48,183091
IEX,20171101,129.40,129.40,127.50,128.03,194510
IEX,20171031,128.36,128.68,128.07,128.21,264603
IEX,20171030,128.53,128.53,127.08,127.96,203584
IEX,20171027,128.79,128.79,126.88,128.41,231290
IEX,20171026,127.44,129.36,126.48,129.21,378912
IEX,20171025,126.36,127.18,125.58,127.04,336109
IEX,20171024,125.31,127.06,125.29,126.88,189865
IEX,20171023,125.63,125.88,124.65,124.74,110981
IEX,20171020,125.24,125.80,124.74,125.77,213211
IEX,20171019,124.00,124.66,123.23,124.64,171745
IEX,20171018,125.04,125.45,124.46,124.53,327456
IEX,20171017,121.91,124.85,120.925,124.20,497148
IEX,20171016,125.25,125.46,124.48,125.06,256965
IEX,20171013,124.77,125.59,124.26,124.52,163159
IEX,20171012,123.24,124.92,123.23,124.53,242617
IEX,20171011,123.25,123.95,122.80,123.23,252679
IEX,20171010,123.86,123.86,122.77,123.06,179452
IEX,20171009,124.05,124.445,123.01,123.13,212653
IEX,20171006,123.47,123.90,122.64,123.83,138322
IEX,20171005,124.56,125.42,123.27,123.75,134628
IEX,20171004,123.47,124.71,123.20,124.36,178322
IEX,20171003,122.83,123.46,122.51,123.19,491060
IEX,20171002,121.92,122.82,121.48,122.76,539292
IEX,20170929,122.24,122.51,121.43,121.96,256511
IEX,20170928,122.84,122.84,121.74,122.31,217913
IEX,20170927,123.70,124.00,122.55,122.99,184705
IEX,20170926,123.84,124.535,123.00,123.11,157589
IEX,20170925,123.03,124.05,122.665,123.58,166255
IEX,20170922,123.22,123.52,122.92,123.12,496252
IEX,20170921,123.18,123.715,122.45,123.15,264595
IEX,20170920,123.61,124.11,122.9484,123.09,289838
IEX,20170919,123.57,123.94,123.06,123.35,159313
IEX,20170918,121.88,123.70,121.70,123.50,118483
IEX,20170915,120.50,121.65,120.50,121.59,138878
IEX,20170914,120.21,120.975,119.64,120.82,169888
IEX,20170913,121.55,121.70,120.02,120.21,180082
IEX,20170912,121.13,122.215,120.93,121.69,166382
IEX,20170911,121.26,121.78,120.10,120.70,136065
IEX,20170908,117.73,120.56,117.675,120.41,154801
IEX,20170907,117.42,118.15,116.105,118.10,130337
IEX,20170906,117.50,117.74,116.485,117.24,121188
IEX,20170905,117.44,118.07,116.40,117.24,147128
IEX,20170901,118.19,118.76,117.78,117.78,109669
IEX,20170831,116.43,117.74,115.98,117.58,155214
IEX,20170830,115.05,116.18,114.97,115.92,98625
IEX,20170829,114.40,115.42,114.40,115.20,87444
IEX,20170828,115.00,115.25,114.225,115.02,106469
IEX,20170825,114.30,114.68,113.985,114.50,94130
IEX,20170824,114.39,114.39,113.37,113.68,73409
IEX,20170823,114.06,114.67,113.85,113.87,78030
IEX,20170822,113.76,114.72,113.29,114.63,84600
IEX,20170821,112.92,113.49,112.63,113.41,136886
IEX,20170818,113.08,113.89,110.25,112.96,124121
IEX,20170817,115.98,116.30,113.58,113.59,156606
IEX,20170816,115.49,116.58,115.42,116.29,118919
IEX,20170815,114.84,115.32,114.61,115.18,110496
IEX,20170814,113.88,114.87,113.80,114.75,105608
IEX,20170811,112.77,113.67,112.77,113.12,141412
IEX,20170810,115.17,115.255,112.96,113.04,225084
IEX,20170809,115.76,116.855,115.63,115.76,136377
IEX,20170808,116.89,117.45,116.33,116.94,105496
IEX,20170807,116.17,117.25,116.15,117.08,161204
IEX,20170804,115.88,116.49,115.58,116.22,80372
IEX,20170803,115.51,115.71,114.94,115.71,130575
IEX,20170802,115.59,115.76,114.44,115.46,361500
IEX,20170801,116.77,117.20,115.21,115.59,477883
IEX,20170731,116.97,117.25,116.44,116.54,217690
IEX,20170728,115.23,116.88,113.35,116.61,268504
IEX,20170727,117.56,117.97,114.08,115.54,442127
IEX,20170726,113.30,118.08,113.30,117.04,501922
IEX,20170725,114.56,115.055,112.71,113.20,306142
IEX,20170724,113.91,114.03,113.42,113.88,200671
IEX,20170721,113.85,114.61,113.64,113.97,183874
IEX,20170720,113.98,114.98,113.2855,114.29,178571
IEX,20170719,113.46,114.42,113.25,114.41,129365
IEX,20170718,113.85,114.225,113.25,113.37,148331
