<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IO,20180423,30.15,30.35,27.70,29.45,280208
IO,20180420,29.60,30.70,29.251,30.15,237547
IO,20180419,29.25,29.75,29.05,29.60,188951
IO,20180418,28.10,29.65,27.85,29.15,239526
IO,20180417,27.85,28.25,27.75,27.80,214003
IO,20180416,27.60,28.30,26.70,27.95,122979
IO,20180413,27.85,27.8616,27.025,27.70,100374
IO,20180412,27.65,28.20,27.55,27.80,102645
IO,20180411,27.05,27.862,27.00,27.55,139833
IO,20180410,25.90,27.59,25.80,26.95,132582
IO,20180409,25.85,26.55,25.45,25.55,76860
IO,20180406,25.85,25.95,24.60,25.75,194606
IO,20180405,25.60,27.447,25.60,25.95,162021
IO,20180404,25.80,25.85,25.10,25.60,149659
IO,20180403,25.75,26.45,25.60,26.25,223264
IO,20180402,26.95,27.20,25.00,25.80,217844
IO,20180329,26.25,27.50,25.90,27.10,278506
IO,20180328,25.90,26.55,25.10,25.40,174420
IO,20180327,25.35,27.60,25.35,25.90,344136
IO,20180326,24.25,25.45,23.15,25.20,270206
IO,20180323,23.80,24.75,23.5705,24.20,164376
IO,20180322,23.95,24.4793,22.8501,23.65,224580
IO,20180321,23.75,25.35,23.05,24.15,252334
IO,20180320,22.60,24.05,22.60,23.75,174038
IO,20180319,24.75,24.75,22.20,22.60,252653
IO,20180316,23.90,25.30,23.75,24.90,365743
IO,20180315,24.55,24.90,23.90,24.00,188457
IO,20180314,24.95,25.85,24.40,24.55,158273
IO,20180313,25.25,25.85,24.80,24.95,151300
IO,20180312,26.60,26.95,24.85,25.00,233765
IO,20180309,27.40,27.95,26.55,26.70,195300
IO,20180308,27.95,28.00,27.10,27.35,151079
IO,20180307,27.45,28.40,27.10,28.10,251140
IO,20180306,27.20,27.975,27.00,27.55,148667
IO,20180305,27.85,28.35,27.00,27.20,165485
IO,20180302,28.15,28.40,27.30,28.05,172049
IO,20180301,28.15,29.20,27.95,28.45,200770
IO,20180228,27.60,30.05,27.50,28.10,243684
IO,20180227,28.00,28.45,27.25,27.60,166542
IO,20180226,27.50,28.50,27.30,27.95,232135
IO,20180223,27.15,28.00,26.90,27.50,213693
IO,20180222,27.70,28.60,26.9501,27.05,255077
IO,20180221,27.70,29.00,27.50,27.70,350952
IO,20180220,30.30,30.30,27.30,27.55,383310
IO,20180216,26.70,30.70,25.80,30.30,1281636
IO,20180215,31.80,31.80,30.20,30.55,251892
IO,20180214,30.35,32.45,30.35,31.55,332636
IO,20180213,29.90,31.45,29.20,30.85,340834
IO,20180212,27.50,31.20,27.50,30.90,646307
IO,20180209,23.95,28.55,23.50,27.55,747315
IO,20180208,21.90,23.85,16.85,23.05,391211
IO,20180207,20.50,21.3231,19.701,20.00,155750
IO,20180206,18.70,20.80,18.50,20.45,211441
IO,20180205,17.90,19.45,17.80,18.65,154643
IO,20180202,17.30,18.95,17.30,18.20,132681
IO,20180201,17.55,18.00,17.201,17.70,85137
IO,20180131,18.10,18.10,16.75,17.55,140388
IO,20180130,17.60,18.00,17.11,17.80,85915
IO,20180129,18.20,18.55,17.30,17.80,153299
IO,20180126,18.60,18.60,17.90,18.35,77368
IO,20180125,18.45,18.60,17.9001,18.45,114414
IO,20180124,18.60,18.85,18.30,18.40,110117
IO,20180123,18.45,18.925,18.30,18.70,157822
IO,20180122,18.00,18.40,17.70,18.35,316620
IO,20180119,19.00,19.00,17.65,18.00,240195
IO,20180118,18.75,19.35,18.40,18.95,160587
IO,20180117,19.15,20.00,18.50,18.65,479455
IO,20180116,21.35,21.60,16.15,19.05,591930
IO,20180112,24.00,24.20,21.05,21.35,198061
IO,20180111,22.20,24.05,22.20,24.05,189237
IO,20180110,21.70,22.20,21.35,22.10,95425
IO,20180109,22.35,22.35,21.70,21.75,78605
IO,20180108,23.00,23.05,21.65,22.30,139976
IO,20180105,20.00,23.25,19.65,23.00,266365
IO,20180104,20.10,20.25,19.85,20.00,77533
IO,20180103,19.75,20.10,19.5015,20.10,103729
IO,20180102,19.85,20.10,19.30,19.80,126725
IO,20171229,20.00,20.10,19.40,19.75,69346
IO,20171228,19.75,20.25,19.50,20.05,83202
IO,20171227,20.10,20.5366,19.25,19.65,101063
IO,20171226,19.40,20.40,19.3396,20.10,82058
IO,20171222,19.20,19.70,19.05,19.40,106880
IO,20171221,19.40,19.8999,18.20,19.05,223254
IO,20171220,17.35,20.35,17.30,19.35,543532
IO,20171219,15.40,17.45,14.80,17.35,594493
IO,20171218,13.65,14.40,13.401,14.05,390128
IO,20171215,13.60,13.7579,13.00,13.40,279309
IO,20171214,13.15,13.40,13.00,13.15,45788
IO,20171213,13.40,13.80,13.20,13.25,83332
IO,20171212,13.50,13.60,13.20,13.30,105240
IO,20171211,13.90,13.90,13.40,13.45,77740
IO,20171208,13.95,14.15,13.75,13.95,120685
IO,20171207,13.30,14.05,13.15,13.75,106313
IO,20171206,13.60,13.60,13.1272,13.30,32890
IO,20171205,13.50,13.80,13.40,13.60,45749
IO,20171204,14.20,14.20,13.30,13.55,84341
IO,20171201,13.05,14.35,13.05,13.90,103180
IO,20171130,12.75,13.50,12.75,13.15,73782
IO,20171129,12.80,13.00,12.4749,12.70,33861
IO,20171128,13.60,13.75,12.25,12.80,164112
IO,20171127,13.50,13.95,13.50,13.50,67481
IO,20171124,13.20,13.60,13.15,13.60,52287
IO,20171122,13.55,13.65,12.70,13.10,152204
IO,20171121,12.85,13.65,12.85,13.15,108032
IO,20171120,14.40,14.80,11.80,12.95,307227
IO,20171117,12.65,14.80,12.65,14.65,90743
IO,20171116,14.60,15.25,12.75,12.85,191029
IO,20171115,14.90,14.95,14.50,14.70,119938
IO,20171114,14.90,15.30,14.40,15.00,174116
IO,20171113,13.70,15.15,13.70,14.75,218485
IO,20171110,13.95,14.05,13.50,13.70,108134
IO,20171109,13.90,14.20,13.45,13.80,132825
IO,20171108,14.50,14.75,13.95,14.05,141970
IO,20171107,14.15,14.90,13.75,14.55,266995
IO,20171106,13.90,14.85,12.45,14.05,384475
IO,20171103,11.95,13.90,11.60,13.80,353689
IO,20171102,8.00,11.95,8.00,11.95,684843
IO,20171101,7.90,8.10,7.65,7.80,46908
IO,20171031,7.75,7.90,7.7475,7.80,39136
IO,20171030,7.75,8.10,7.65,7.70,19238
IO,20171027,7.85,8.10,7.55,7.75,21440
IO,20171026,7.75,8.15,7.60,7.70,42367
IO,20171025,8.45,8.45,7.65,7.70,53298
IO,20171024,8.25,8.40,8.10,8.275,19664
IO,20171023,8.50,8.55,8.1001,8.15,40164
IO,20171020,8.90,8.90,8.40,8.50,55325
IO,20171019,8.75,9.00,8.75,8.90,55294
IO,20171018,8.75,9.05,8.60,8.85,40459
IO,20171017,8.85,9.10,8.55,8.75,64912
IO,20171016,9.05,9.30,8.75,8.90,99286
IO,20171013,8.90,9.35,8.85,8.95,66279
IO,20171012,9.45,9.50,8.85,8.95,95055
IO,20171011,9.20,9.40,9.05,9.40,88738
IO,20171010,9.30,9.45,8.70,9.20,266559
IO,20171009,8.95,9.40,8.25,9.30,94434
IO,20171006,9.15,9.15,8.55,8.85,65817
IO,20171005,9.2457,9.35,9.05,9.10,38570
IO,20171004,9.50,9.50,9.20,9.25,40127
IO,20171003,9.25,9.40,9.25,9.30,35114
IO,20171002,9.35,9.35,9.10,9.30,32839
IO,20170929,8.95,9.60,8.95,9.51,50563
IO,20170928,9.40,9.60,9.3001,9.40,50210
IO,20170927,9.35,9.575,9.20,9.40,111300
IO,20170926,9.25,9.40,9.1501,9.35,84909
IO,20170925,9.15,9.40,8.70,9.25,174589
IO,20170922,9.55,9.65,9.25,9.35,37300
IO,20170921,9.65,9.85,9.40,9.50,51115
IO,20170920,9.85,9.85,9.60,9.65,36607
IO,20170919,9.75,9.85,9.55,9.75,66011
IO,20170918,9.45,9.70,9.3154,9.70,78762
IO,20170915,9.30,9.40,8.95,9.40,111691
IO,20170914,9.20,9.30,9.05,9.25,63353
IO,20170913,8.65,9.50,8.65,9.10,140186
IO,20170912,8.15,8.85,8.00,8.65,78388
IO,20170911,7.70,8.20,7.6162,8.15,55743
IO,20170908,8.25,8.25,7.70,7.75,57795
IO,20170907,8.25,8.30,7.90,8.20,48966
IO,20170906,8.30,8.35,7.9015,8.20,64406
IO,20170905,7.70,8.50,7.55,8.40,151362
IO,20170901,7.65,7.95,7.35,7.65,79962
IO,20170831,7.25,7.40,7.10,7.35,39404
IO,20170830,7.05,7.25,6.95,7.25,35140
IO,20170829,7.00,7.20,6.5535,7.10,98959
IO,20170828,7.20,7.30,6.60,7.05,95333
IO,20170825,6.05,7.20,6.05,7.00,147505
IO,20170824,6.15,6.20,6.00,6.10,37896
IO,20170823,5.60,6.2161,5.55,6.15,91217
IO,20170822,5.30,5.70,5.30,5.60,74943
IO,20170821,5.25,5.50,5.25,5.35,52458
IO,20170818,5.15,5.35,5.1417,5.30,14512
IO,20170817,5.25,5.40,5.0515,5.25,28141
IO,20170816,5.20,5.35,5.10,5.30,41722
IO,20170815,5.20,5.35,5.05,5.20,53305
IO,20170814,5.35,5.35,4.60,5.25,141954
IO,20170811,5.40,5.40,4.85,5.40,126700
IO,20170810,5.75,5.75,5.20,5.45,188980
IO,20170809,5.25,5.70,4.8501,5.70,175279
IO,20170808,4.30,5.35,4.2574,5.25,259869
IO,20170807,4.35,4.45,4.30,4.35,32398
IO,20170804,4.45,4.45,4.25,4.40,80483
IO,20170803,3.65,4.35,3.6001,4.30,152659
IO,20170802,3.40,3.55,3.40,3.55,15514
IO,20170801,3.55,3.65,3.40,3.475,22612
IO,20170731,3.65,3.65,3.4574,3.55,24050
IO,20170728,3.60,3.70,3.60,3.70,25081
IO,20170727,3.75,3.75,3.551,3.625,14860
IO,20170726,3.55,3.70,3.5499,3.70,23136
IO,20170725,3.4939,3.75,3.40,3.55,79253
IO,20170724,3.35,3.45,3.35,3.45,31487
IO,20170721,3.25,3.40,3.20,3.35,23151
IO,20170720,3.30,3.40,3.25,3.30,42072
IO,20170719,3.45,3.45,3.30,3.30,70341
IO,20170718,3.50,3.50,3.35,3.35,41831
IO,20170717,3.65,3.65,3.45,3.45,44828
IO,20170714,3.65,3.70,3.60,3.60,76880
IO,20170713,3.70,3.75,3.65,3.65,16033
IO,20170712,3.70,3.7408,3.65,3.65,50297
IO,20170711,3.70,3.80,3.65,3.65,62732
IO,20170710,3.95,4.049,3.60,3.75,93861
IO,20170707,4.10,4.1005,3.80,3.85,100082
IO,20170706,4.25,4.30,4.10,4.15,29864
IO,20170705,4.35,4.40,4.25,4.25,7610
IO,20170703,4.40,4.40,4.35,4.40,9353
IO,20170630,4.25,4.40,4.25,4.35,10446
IO,20170629,4.35,4.40,4.20,4.35,12309
IO,20170628,4.30,4.35,4.25,4.30,6257
IO,20170627,4.3137,4.40,4.25,4.30,6166
IO,20170626,4.30,4.40,4.25,4.25,65474
IO,20170623,4.30,4.40,4.25,4.25,19673
IO,20170622,4.30,4.35,4.25,4.25,19516
IO,20170621,4.25,4.35,4.20,4.20,14046
IO,20170620,4.25,4.40,4.20,4.30,48237
IO,20170619,4.25,4.40,4.20,4.25,83804
IO,20170616,4.33,4.40,4.20,4.30,14279
IO,20170615,4.35,4.35,4.25,4.25,42621
IO,20170614,4.45,4.45,4.30,4.40,12941
IO,20170613,4.3566,4.50,4.3566,4.45,4884
IO,20170612,4.40,4.50,4.35,4.45,23777
IO,20170609,4.35,4.50,4.25,4.40,37335
IO,20170608,4.20,4.40,4.20,4.35,30917
IO,20170607,4.36,4.40,4.25,4.25,7855
IO,20170606,4.3535,4.45,4.25,4.25,30155
IO,20170605,4.35,4.40,4.35,4.35,9965
IO,20170602,4.35,4.40,4.35,4.35,5744
IO,20170601,4.40,4.40,4.25,4.40,13738
IO,20170531,4.25,4.40,4.25,4.35,14719
IO,20170530,4.40,4.40,4.20,4.25,36119
IO,20170526,4.401,4.45,4.30,4.45,42909
IO,20170525,4.65,4.65,4.35,4.45,26096
IO,20170524,4.65,4.70,4.50,4.70,22226
IO,20170523,4.60,4.75,4.50,4.60,26709
IO,20170522,4.45,4.70,4.45,4.65,23122
IO,20170519,4.35,4.55,4.35,4.50,25348
IO,20170518,4.35,4.45,4.30,4.30,22611
IO,20170517,4.60,4.60,4.35,4.35,34508
IO,20170516,4.50,4.65,4.40,4.65,20695
IO,20170515,4.45,4.50,4.30,4.50,29880
IO,20170512,4.35,4.45,4.30,4.40,9424
IO,20170511,4.50,4.50,4.25,4.35,32807
IO,20170510,4.35,4.50,4.35,4.45,30905
IO,20170509,4.25,4.35,4.20,4.25,38538
IO,20170508,4.35,4.3565,4.20,4.25,19208
IO,20170505,4.25,4.40,4.1651,4.35,28670
IO,20170504,4.35,4.375,4.20,4.25,70794
IO,20170503,4.25,4.45,4.25,4.30,32571
IO,20170502,4.15,4.20,4.15,4.175,30399
IO,20170501,4.35,4.35,4.15,4.225,21650
IO,20170428,4.40,4.4999,4.25,4.30,18095
IO,20170427,4.55,4.60,4.25,4.35,30863
IO,20170426,4.30,4.55,4.30,4.55,61817
IO,20170425,4.15,4.30,4.15,4.30,32523
IO,20170424,4.25,4.30,4.10,4.15,68821
IO,20170421,4.15,4.25,4.15,4.20,39939
IO,20170420,4.20,4.2427,4.15,4.15,60555
IO,20170419,4.15,4.25,4.15,4.15,41879
IO,20170418,4.25,4.35,4.15,4.15,14961
IO,20170417,4.30,4.40,4.15,4.25,44818
IO,20170413,4.50,4.55,4.30,4.30,64588
IO,20170412,4.60,4.649,4.50,4.55,11311
IO,20170411,4.70,4.70,4.60,4.65,37970
IO,20170410,4.50,4.75,4.50,4.70,45864
IO,20170407,4.70,4.70,4.45,4.55,88168
IO,20170406,4.55,4.65,4.50,4.65,10819
IO,20170405,4.60,4.65,4.53,4.55,24349
IO,20170404,4.70,4.75,4.55,4.60,112622
IO,20170403,4.85,4.85,4.65,4.65,22826
IO,20170331,4.65,4.90,4.65,4.85,21719
IO,20170330,4.70,4.85,4.684,4.75,61985
IO,20170329,4.55,4.75,4.45,4.75,26472
IO,20170328,4.50,4.60,4.45,4.55,14506
IO,20170327,4.50,4.60,4.40,4.50,23894
IO,20170324,4.70,4.75,4.55,4.60,23812
IO,20170323,4.55,4.70,4.35,4.65,37656
IO,20170322,4.55,4.6503,4.30,4.50,71332
IO,20170321,4.85,4.8928,4.55,4.55,66056
IO,20170320,5.15,5.20,4.75,4.75,57978
IO,20170317,4.80,5.20,4.70,5.20,151046
IO,20170316,4.65,4.80,4.60,4.75,40728
IO,20170315,4.55,4.65,4.35,4.65,41662
IO,20170314,4.50,4.525,4.25,4.50,71107
IO,20170313,4.55,4.55,4.45,4.50,45054
IO,20170310,4.65,4.6796,4.45,4.50,60271
IO,20170309,4.60,4.75,4.40,4.65,141629
IO,20170308,4.65,4.70,4.45,4.60,163502
IO,20170307,4.75,4.75,4.60,4.65,70576
IO,20170306,4.80,4.80,4.625,4.70,65315
IO,20170303,4.90,4.97,4.75,4.80,60266
IO,20170302,4.90,4.90,4.7001,4.80,80815
IO,20170301,5.45,5.45,4.80,4.90,75962
IO,20170228,5.50,5.50,5.1501,5.35,174165
IO,20170227,4.95,5.45,4.75,5.40,249552
IO,20170224,4.70,4.975,4.60,4.90,185794
IO,20170223,4.70,4.75,4.50,4.70,98758
IO,20170222,4.75,4.80,4.65,4.65,99242
IO,20170221,4.70,4.85,4.70,4.75,41437
IO,20170217,4.90,4.90,4.55,4.75,190323
IO,20170216,4.55,4.90,4.45,4.85,103616
IO,20170215,4.55,4.75,4.50,4.50,131743
IO,20170214,5.00,5.05,4.50,4.60,256958
IO,20170213,5.40,5.40,4.95,5.00,144859
IO,20170210,5.45,5.55,5.3001,5.40,85899
IO,20170209,4.80,5.40,3.874,5.35,263496
IO,20170208,5.10,5.15,4.85,5.00,140302
IO,20170207,5.40,5.45,5.00,5.05,163413
IO,20170206,5.50,5.60,5.25,5.40,123661
IO,20170203,5.60,5.699,5.40,5.50,98558
IO,20170202,5.70,5.75,5.50,5.55,75617
IO,20170201,5.90,6.00,5.65,5.65,84150
IO,20170131,5.80,5.80,5.65,5.80,70608
IO,20170130,5.70,5.85,5.60,5.70,96604
IO,20170127,6.00,6.15,5.85,5.85,66097
IO,20170126,6.15,6.30,6.00,6.00,112599
IO,20170125,5.65,6.15,5.65,6.04,233544
IO,20170124,5.75,5.75,5.65,5.65,75684
IO,20170123,5.75,5.75,5.65,5.70,38846
IO,20170120,5.70,5.736,5.60,5.65,51292
IO,20170119,5.65,5.80,5.65,5.65,26248
IO,20170118,5.75,5.80,5.60,5.65,98659
IO,20170117,5.65,5.95,5.50,5.70,111054
IO,20170113,5.60,5.80,5.50,5.70,41594
IO,20170112,5.75,5.8477,5.50,5.60,77016
IO,20170111,5.75,5.85,5.3893,5.70,117696
IO,20170110,5.65,5.80,5.60,5.75,127603
IO,20170109,5.70,5.85,5.65,5.65,174818
IO,20170106,5.75,5.95,5.65,5.75,170502
IO,20170105,5.75,5.95,5.75,5.80,111716
IO,20170104,5.55,6.00,5.55,5.75,198017
IO,20170103,6.10,6.10,5.55,5.60,235939
IO,20161230,5.80,6.25,5.65,6.00,170661
IO,20161229,6.10,6.25,5.80,5.95,186195
IO,20161228,6.60,6.675,6.00,6.20,231465
IO,20161227,6.70,6.95,6.60,6.65,78697
IO,20161223,6.65,6.95,6.65,6.70,63476
IO,20161222,6.60,6.95,6.50,6.80,107210
IO,20161221,7.00,7.05,6.35,6.65,204252
IO,20161220,7.10,7.20,6.95,7.05,93640
IO,20161219,7.05,7.30,7.0001,7.15,82170
IO,20161216,7.30,7.35,7.05,7.05,102256
IO,20161215,7.25,7.50,7.20,7.30,71799
