<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IRM,20180423,33.42,33.61,33.22,33.44,1061512
IRM,20180420,33.86,33.88,33.21,33.34,884324
IRM,20180419,34.36,34.41,33.58,33.76,939590
IRM,20180418,34.30,34.77,34.26,34.52,997896
IRM,20180417,33.72,34.39,33.40,34.23,919344
IRM,20180416,33.49,33.99,33.32,33.61,1115715
IRM,20180413,33.35,33.38,32.95,33.35,647988
IRM,20180412,33.60,33.60,32.85,33.16,1178594
IRM,20180411,33.38,33.73,33.16,33.54,673396
IRM,20180410,33.58,33.71,33.41,33.46,838642
IRM,20180409,33.59,33.83,33.21,33.31,836478
IRM,20180406,33.77,34.3146,33.47,33.53,1574414
IRM,20180405,33.34,33.83,33.12,33.77,998874
IRM,20180404,32.54,33.47,32.5001,33.31,1006915
IRM,20180403,32.43,32.96,32.15,32.82,1086608
IRM,20180402,32.87,32.95,32.33,32.37,1615650
IRM,20180329,32.80,33.09,32.70,32.87,1443235
IRM,20180328,32.04,33.02,32.03,32.71,1433454
IRM,20180327,31.53,32.36,31.25,31.89,1813774
IRM,20180326,31.12,31.35,30.95,31.27,1109779
IRM,20180323,31.67,31.87,30.78,30.89,1561511
IRM,20180322,31.46,32.03,31.42,31.64,2077112
IRM,20180321,31.72,31.97,31.39,31.61,1290858
IRM,20180320,31.47,31.74,31.37,31.73,1156634
IRM,20180319,32.23,32.23,31.33,31.46,1757323
IRM,20180316,32.44,32.59,31.87,32.52,4177051
IRM,20180315,32.98,33.09,32.62,32.89,1454331
IRM,20180314,32.71,32.99,32.55,32.98,1775357
IRM,20180313,33.14,33.37,33.12,33.22,1490834
IRM,20180312,33.29,33.38,32.86,33.01,1911248
IRM,20180309,32.76,33.25,32.55,33.25,2333825
IRM,20180308,32.80,32.89,32.52,32.71,1353416
IRM,20180307,32.24,32.75,32.14,32.71,1740337
IRM,20180306,32.11,32.43,31.88,32.39,1211653
IRM,20180305,31.39,32.23,31.26,32.10,1504187
IRM,20180302,31.48,31.59,31.10,31.54,1669932
IRM,20180301,31.36,32.0863,31.15,31.63,1926145
IRM,20180228,31.21,31.56,30.95,31.44,1509377
IRM,20180227,32.03,32.26,31.02,31.05,2037375
IRM,20180226,32.08,32.30,31.81,31.95,1658713
IRM,20180223,31.78,32.04,31.76,31.95,1267228
IRM,20180222,31.70,32.03,31.34,31.58,1983184
IRM,20180221,31.89,32.35,31.45,31.46,2502492
IRM,20180220,32.75,33.15,31.89,32.12,3490672
IRM,20180216,34.87,35.25,33.13,33.22,2519894
IRM,20180215,33.54,33.74,33.06,33.72,2261823
IRM,20180214,33.25,33.35,32.73,33.20,1175086
IRM,20180213,33.25,33.79,32.94,33.55,1345680
IRM,20180212,33.22,33.48,32.70,33.30,2360219
IRM,20180209,32.33,33.39,31.91,33.11,1991795
IRM,20180208,33.20,33.28,32.06,32.07,1667659
IRM,20180207,32.95,33.93,32.71,33.18,2225011
IRM,20180206,32.21,33.79,32.05,33.12,2523113
IRM,20180205,33.53,34.27,32.73,32.73,1586102
IRM,20180202,34.36,34.45,33.42,33.66,1836664
IRM,20180201,34.94,35.11,34.54,34.62,1608021
IRM,20180131,34.01,35.04,34.01,35.02,2215652
IRM,20180130,34.10,34.31,33.57,33.93,2475414
IRM,20180129,35.76,35.77,34.01,34.08,3275064
IRM,20180126,35.99,35.99,35.33,35.76,1480576
IRM,20180125,35.77,35.97,35.70,35.82,884703
IRM,20180124,36.34,36.40,35.65,35.77,1494191
IRM,20180123,36.02,36.45,35.86,36.35,1212797
IRM,20180122,35.60,36.2399,35.59,35.82,1535970
IRM,20180119,35.37,35.85,35.31,35.50,1346846
IRM,20180118,36.20,36.22,35.27,35.31,2369129
