<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IT,20180423,118.23,118.32,117.05,117.87,416670
IT,20180420,118.83,119.24,117.25,117.72,377249
IT,20180419,117.90,119.105,117.84,118.88,385611
IT,20180418,117.87,119.09,117.46,118.14,291976
IT,20180417,117.19,118.10,116.72,117.82,248043
IT,20180416,115.87,117.21,115.38,116.69,361621
IT,20180413,116.87,117.665,114.40,115.06,424708
IT,20180412,116.74,117.38,116.05,116.64,486184
IT,20180411,116.29,117.61,116.07,116.32,330965
IT,20180410,117.47,118.13,116.83,117.31,363768
IT,20180409,116.74,118.31,116.18,116.27,461340
IT,20180406,118.09,118.91,115.28,116.29,484595
IT,20180405,118.40,119.35,117.51,118.76,316080
IT,20180404,115.46,118.29,115.29,117.97,524972
IT,20180403,116.43,117.49,115.91,116.79,534171
IT,20180402,117.65,118.08,115.04,116.06,462047
IT,20180329,117.16,118.74,116.12,117.63,459051
IT,20180328,117.71,117.71,115.40,116.81,582207
IT,20180327,119.57,120.19,116.87,117.61,468992
IT,20180326,118.91,119.70,117.25,119.55,593420
IT,20180323,119.38,120.90,117.51,117.69,809833
IT,20180322,121.74,122.20,119.26,119.42,596867
IT,20180321,124.12,124.42,122.77,122.85,432923
IT,20180320,123.70,125.21,122.96,124.17,662086
IT,20180319,123.36,123.58,122.42,123.40,479540
IT,20180316,123.71,124.71,123.03,124.02,573760
IT,20180315,123.28,123.70,122.00,123.15,414983
IT,20180314,124.55,124.65,122.25,123.21,608821
IT,20180313,124.52,124.70,123.63,124.33,530013
IT,20180312,123.24,124.41,122.80,124.08,450185
IT,20180309,121.14,122.88,120.72,122.81,414763
IT,20180308,123.45,123.61,120.185,120.55,466558
IT,20180307,119.80,123.41,119.725,122.96,787937
IT,20180306,119.60,121.17,118.6955,120.96,801917
IT,20180305,115.87,119.70,115.50,119.38,755235
IT,20180302,113.07,117.07,112.56,116.65,972297
IT,20180301,113.51,114.171,111.57,113.77,875302
IT,20180228,116.56,116.70,113.40,113.42,502874
IT,20180227,117.90,118.15,115.78,115.93,386153
IT,20180226,117.81,118.27,115.04,117.96,650344
IT,20180223,116.00,117.05,114.98,116.99,451611
IT,20180222,114.61,116.99,114.23,115.54,579134
IT,20180221,116.16,116.81,114.03,114.12,648251
IT,20180220,117.69,118.12,115.65,115.97,541556
IT,20180216,117.62,118.61,116.83,118.04,579020
IT,20180215,120.9277,121.14,117.70,117.93,1088049
IT,20180214,118.19,121.265,117.97,120.46,756105
IT,20180213,117.45,118.90,116.97,118.85,550424
IT,20180212,116.32,118.89,115.93,118.24,704107
IT,20180209,115.22,117.00,112.0508,115.49,1131671
IT,20180208,120.00,120.00,114.22,114.26,868215
IT,20180207,123.13,123.98,119.41,119.45,1254458
IT,20180206,119.73,124.92,116.88,124.02,2168315
IT,20180205,134.61,135.7099,131.17,131.171,581194
IT,20180202,138.21,139.06,135.19,135.19,393654
IT,20180201,138.71,138.91,137.08,138.83,423803
IT,20180131,139.82,140.89,138.33,138.74,361965
IT,20180130,139.32,140.00,138.74,139.04,221769
IT,20180129,141.57,141.82,139.65,139.67,365924
IT,20180126,140.38,142.16,139.72,142.14,275755
IT,20180125,140.87,140.87,139.80,140.12,195898
IT,20180124,139.73,141.73,139.17,140.19,485025
IT,20180123,138.56,139.50,137.95,139.21,305010
IT,20180122,137.40,138.50,136.88,138.49,283121
IT,20180119,134.80,138.26,134.10,137.35,612208
IT,20180118,132.23,134.02,131.79,134.00,582685
IT,20180117,130.73,133.06,130.03,132.13,397120
IT,20180116,130.65,131.91,129.705,130.04,282261
IT,20180112,129.57,130.50,128.88,130.13,181411
IT,20180111,128.49,129.67,128.27,129.61,162984
IT,20180110,128.43,128.93,127.68,128.16,203608
IT,20180109,130.51,130.55,128.86,128.95,246470
IT,20180108,129.63,130.39,128.98,130.31,353899
IT,20180105,127.42,129.36,127.42,129.34,348159
IT,20180104,125.28,128.83,125.28,127.30,573847
IT,20180103,124.73,126.08,124.73,125.19,376958
IT,20180102,123.24,125.00,123.08,124.85,436443
IT,20171229,124.22,124.4299,122.90,123.15,304235
IT,20171228,124.15,124.35,122.90,123.89,296236
IT,20171227,123.61,124.09,122.66,123.97,204572
IT,20171226,123.23,123.69,122.77,123.09,418567
IT,20171222,123.38,123.69,122.76,123.58,150305
IT,20171221,123.91,124.21,122.7718,123.02,241117
IT,20171220,123.85,124.44,122.63,123.66,270026
IT,20171219,124.51,124.675,123.39,123.45,246149
IT,20171218,123.11,124.915,123.11,124.43,355879
IT,20171215,120.54,123.09,120.265,122.50,327038
IT,20171214,121.14,121.76,120.01,120.05,209490
IT,20171213,120.56,121.78,120.38,121.33,242417
IT,20171212,119.72,121.005,119.075,120.65,261408
IT,20171211,120.45,121.14,119.76,120.01,288059
IT,20171208,120.56,121.29,119.48,120.71,428807
IT,20171207,119.55,120.3825,119.29,120.18,367100
IT,20171206,121.05,122.42,119.40,119.48,546555
IT,20171205,121.35,122.51,120.51,121.52,423085
IT,20171204,120.74,122.05,119.89,121.25,578278
IT,20171201,120.94,121.93,118.61,119.95,491605
IT,20171130,119.35,121.00,119.24,120.86,403044
IT,20171129,119.96,119.96,118.40,119.31,479647
IT,20171128,118.35,119.57,118.11,119.49,223680
IT,20171127,116.72,118.55,116.21,118.32,412480
IT,20171124,115.96,116.45,115.01,116.39,233078
IT,20171122,116.98,117.045,115.80,115.99,491822
IT,20171121,117.50,118.18,116.87,117.19,358090
IT,20171120,117.43,118.01,116.38,116.62,239267
IT,20171117,118.48,118.48,116.78,116.90,499412
IT,20171116,117.88,119.28,117.12,118.97,441142
IT,20171115,117.24,117.67,116.13,117.30,351710
IT,20171114,116.34,117.66,116.06,117.64,373511
IT,20171113,116.92,117.38,116.18,116.32,315783
IT,20171110,116.85,117.775,116.22,117.48,407873
IT,20171109,117.97,118.26,116.00,117.34,393317
IT,20171108,119.00,119.01,117.17,118.81,431895
IT,20171107,118.43,118.98,117.21,117.75,382356
IT,20171106,118.42,119.50,117.65,118.55,475048
IT,20171103,120.06,120.78,117.79,118.66,715629
IT,20171102,124.34,124.81,119.32,120.34,1386861
IT,20171101,125.75,126.22,124.45,125.60,590743
IT,20171031,124.58,125.39,124.38,125.31,529859
