<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ITGR,20180423,55.65,56.15,54.90,55.50,99301
ITGR,20180420,56.25,56.625,54.95,55.35,229934
ITGR,20180419,56.70,57.00,55.20,56.45,280341
ITGR,20180418,57.80,57.85,56.60,56.60,250306
ITGR,20180417,58.15,58.15,57.10,57.55,155936
ITGR,20180416,57.10,57.85,56.70,57.70,81650
ITGR,20180413,57.30,57.30,56.20,56.55,76762
ITGR,20180412,56.55,58.05,56.50,56.90,261955
ITGR,20180411,55.90,56.35,55.70,56.25,71139
ITGR,20180410,56.35,56.95,55.90,56.15,126345
ITGR,20180409,55.85,56.35,55.50,55.60,83144
ITGR,20180406,56.00,56.40,54.90,55.45,97771
ITGR,20180405,56.50,56.60,55.75,56.25,122496
ITGR,20180404,54.75,56.50,54.60,56.20,128050
ITGR,20180403,55.35,55.80,54.95,55.35,116914
ITGR,20180402,56.15,56.20,54.25,55.15,108052
ITGR,20180329,56.15,56.85,55.70,56.55,255848
ITGR,20180328,55.90,56.30,55.45,55.75,133877
ITGR,20180327,56.65,57.10,55.60,55.80,113635
ITGR,20180326,57.40,57.40,55.70,56.50,84830
ITGR,20180323,56.95,57.45,56.40,56.45,170281
ITGR,20180322,57.15,57.30,56.10,56.95,123643
ITGR,20180321,57.65,58.00,57.15,57.55,135295
ITGR,20180320,57.55,58.00,57.05,57.65,106457
ITGR,20180319,58.05,58.54,56.50,57.40,190690
ITGR,20180316,57.15,58.35,57.10,58.05,658947
ITGR,20180315,57.30,58.05,56.80,57.15,188521
ITGR,20180314,56.70,57.45,55.90,57.10,277265
ITGR,20180313,55.90,56.65,55.30,56.20,352307
ITGR,20180312,54.00,55.975,53.995,55.45,213111
ITGR,20180309,53.50,54.00,53.05,53.80,268610
ITGR,20180308,52.75,53.10,52.10,53.00,234734
ITGR,20180307,52.15,53.20,52.15,52.65,244148
ITGR,20180306,51.95,52.95,51.85,52.65,228553
ITGR,20180305,51.25,52.20,51.15,51.95,192423
ITGR,20180302,50.60,52.25,50.50,51.80,217728
ITGR,20180301,51.10,52.00,50.30,50.95,165585
ITGR,20180228,51.80,51.95,51.05,51.05,187167
ITGR,20180227,51.35,52.75,51.20,51.60,296784
ITGR,20180226,52.70,52.845,51.05,51.40,260379
ITGR,20180223,49.85,54.90,49.85,52.55,731774
ITGR,20180222,45.55,46.45,45.30,45.35,99979
ITGR,20180221,43.95,45.65,43.85,45.30,152555
ITGR,20180220,43.95,44.85,43.30,43.85,178669
ITGR,20180216,44.35,45.05,44.00,44.25,101353
ITGR,20180215,43.30,44.90,43.25,44.55,136600
ITGR,20180214,43.85,44.25,43.50,43.75,148128
ITGR,20180213,44.05,44.70,44.00,44.30,80194
ITGR,20180212,44.35,45.05,43.75,44.60,78383
ITGR,20180209,44.05,44.85,42.50,44.15,133335
ITGR,20180208,45.75,46.10,43.90,43.95,131160
ITGR,20180207,46.45,46.625,45.70,45.75,69945
ITGR,20180206,45.65,47.00,45.10,46.65,173931
ITGR,20180205,49.60,50.05,46.80,46.85,139778
ITGR,20180202,51.05,51.05,49.85,50.10,73627
ITGR,20180201,49.95,51.50,49.50,51.45,123428
ITGR,20180131,50.75,50.75,50.00,50.15,86136
ITGR,20180130,50.80,51.40,50.20,50.50,63777
ITGR,20180129,50.95,52.00,50.85,51.50,88802
ITGR,20180126,50.95,51.35,50.45,51.00,62986
ITGR,20180125,51.20,51.60,50.30,50.60,113379
ITGR,20180124,49.95,52.00,49.65,50.80,524216
ITGR,20180123,49.75,49.95,49.20,49.85,163524
ITGR,20180122,48.90,49.80,48.70,49.75,62639
ITGR,20180119,47.85,49.05,47.80,49.05,96086
ITGR,20180118,48.50,48.65,47.85,47.90,96245
ITGR,20180117,48.80,48.80,47.95,48.40,77174
ITGR,20180116,48.80,49.25,48.40,48.40,62579
ITGR,20180112,49.20,49.65,48.40,48.55,52065
ITGR,20180111,48.00,49.20,47.70,49.10,65148
ITGR,20180110,47.85,48.70,47.25,47.75,106676
ITGR,20180109,46.00,48.775,45.65,48.25,249051
ITGR,20180108,45.60,46.35,45.35,46.00,146275
ITGR,20180105,45.15,46.25,44.725,45.85,123112
ITGR,20180104,45.45,45.95,44.85,44.85,67302
ITGR,20180103,45.40,45.85,44.55,45.25,113319
ITGR,20180102,45.60,46.55,45.15,45.40,155221
ITGR,20171229,46.40,46.60,45.30,45.30,75439
ITGR,20171228,45.30,46.65,45.30,46.35,75381
ITGR,20171227,45.55,45.975,45.25,45.40,37333
ITGR,20171226,45.85,46.125,45.45,45.60,34255
ITGR,20171222,46.20,46.30,45.85,45.90,31950
ITGR,20171221,46.45,46.65,46.15,46.25,43513
ITGR,20171220,46.65,46.85,46.10,46.10,142227
ITGR,20171219,46.80,47.55,46.35,46.50,59563
ITGR,20171218,46.00,46.85,45.975,46.75,80225
ITGR,20171215,45.35,46.3475,45.35,45.85,156901
ITGR,20171214,45.80,46.20,45.05,45.15,124128
ITGR,20171213,45.60,46.85,45.60,45.80,101146
ITGR,20171212,46.05,46.60,45.65,45.75,94762
ITGR,20171211,45.85,47.15,45.70,45.85,165979
ITGR,20171208,44.85,46.00,44.75,45.60,180075
ITGR,20171207,44.70,45.30,44.10,44.65,132328
ITGR,20171206,44.10,45.35,42.75,44.45,276665
ITGR,20171205,46.45,46.85,46.10,46.40,109044
ITGR,20171204,48.15,48.15,46.25,46.35,139368
ITGR,20171201,48.35,48.35,46.10,47.70,124658
ITGR,20171130,48.75,48.75,48.05,48.45,107279
ITGR,20171129,49.05,49.20,47.10,48.30,127373
ITGR,20171128,49.30,49.50,48.40,49.00,173433
ITGR,20171127,49.60,49.80,48.90,49.10,128786
ITGR,20171124,49.15,49.75,48.30,49.60,44370
ITGR,20171122,48.75,49.80,48.75,49.10,103444
ITGR,20171121,47.70,48.70,47.40,48.50,128548
ITGR,20171120,47.65,47.80,46.80,47.45,69394
ITGR,20171117,47.75,47.99,46.90,47.40,90800
ITGR,20171116,46.85,48.45,46.85,48.20,137286
ITGR,20171115,46.95,46.95,46.20,46.55,81797
ITGR,20171114,47.00,47.65,46.50,47.25,144030
ITGR,20171113,45.35,47.30,45.05,47.10,191618
ITGR,20171110,46.45,46.85,45.75,45.85,79596
ITGR,20171109,45.90,46.75,45.30,46.60,140309
ITGR,20171108,45.65,46.55,45.10,46.40,94890
ITGR,20171107,46.40,46.60,45.05,46.10,159212
ITGR,20171106,46.25,47.00,46.25,46.45,78875
ITGR,20171103,46.30,46.80,46.10,46.45,110095
ITGR,20171102,47.85,47.85,46.25,46.65,177775
ITGR,20171101,49.00,49.10,46.80,47.60,147059
ITGR,20171031,47.80,48.65,47.50,48.60,200553
ITGR,20171030,48.85,48.85,46.80,47.50,208334
ITGR,20171027,50.10,50.70,47.65,49.35,298533
ITGR,20171026,50.75,51.50,50.10,50.20,213959
ITGR,20171025,51.10,51.45,49.95,50.70,165676
ITGR,20171024,51.05,51.60,50.60,51.00,155632
ITGR,20171023,52.95,52.95,51.00,51.10,205405
ITGR,20171020,54.65,55.20,54.00,54.30,193275
ITGR,20171019,53.95,54.15,53.41,54.00,53190
ITGR,20171018,54.30,54.75,54.20,54.35,64818
