<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
JEQ,20180423,9.11,9.11,9.02,9.03,21789
JEQ,20180420,9.15,9.17,9.1048,9.17,33488
JEQ,20180419,9.18,9.20,9.18,9.19,13592
JEQ,20180418,9.16,9.223,9.16,9.22,10824
JEQ,20180417,9.13,9.15,9.1032,9.12,12899
JEQ,20180416,9.09,9.12,9.04,9.12,13053
JEQ,20180413,9.14,9.14,9.09,9.09,160985
JEQ,20180412,9.10,9.13,9.10,9.13,8688
JEQ,20180411,9.12,9.1901,9.12,9.19,36158
JEQ,20180410,9.221,9.26,9.1884,9.20,70533
JEQ,20180409,9.20,9.30,9.20,9.27,22452
JEQ,20180406,9.18,9.18,9.11,9.13,18262
JEQ,20180405,9.25,9.27,9.23,9.24,18806
JEQ,20180404,9.14,9.25,9.12,9.25,13682
JEQ,20180403,9.10,9.161,9.07,9.1501,19220
JEQ,20180402,9.07,9.15,9.0608,9.13,33844
JEQ,20180329,9.15,9.17,9.12,9.16,3602
JEQ,20180328,8.99,9.13,8.99,9.09,8896
JEQ,20180327,9.05,9.09,9.00,9.00,12104
JEQ,20180326,8.92,8.92,8.85,8.91,44813
JEQ,20180323,8.91,8.9801,8.83,8.83,12267
JEQ,20180322,9.03,9.1389,9.01,9.03,36712
JEQ,20180321,8.95,9.09,8.95,9.09,33497
JEQ,20180320,9.074,9.074,9.02,9.03,6507
JEQ,20180319,9.09,9.09,9.0002,9.04,9518
JEQ,20180316,9.11,9.16,9.11,9.16,400
JEQ,20180315,9.1702,9.1867,9.1317,9.15,2369
JEQ,20180314,9.19,9.19,9.13,9.15,6558
JEQ,20180313,9.14,9.1401,9.0886,9.0911,15375
JEQ,20180312,9.11,9.11,9.09,9.09,22101
JEQ,20180309,8.96,9.04,8.96,9.01,6322
JEQ,20180308,9.02,9.03,8.9993,9.01,4438
JEQ,20180307,8.94,8.9876,8.94,8.96,7121
JEQ,20180306,9.05,9.08,8.93,9.00,52016
JEQ,20180305,8.9222,9.0293,8.8828,8.96,6500
JEQ,20180302,8.89,8.93,8.819,8.93,9282
JEQ,20180301,9.08,9.08,8.96,8.97,9842
JEQ,20180228,9.25,9.25,9.1968,9.20,3103
JEQ,20180227,9.25,9.2598,9.22,9.22,14000
JEQ,20180226,9.2801,9.2801,9.25,9.25,13885
JEQ,20180223,9.20,9.24,9.19,9.21,38570
JEQ,20180222,9.1384,9.15,9.1018,9.1118,4780
JEQ,20180221,9.24,9.24,9.16,9.16,4916
JEQ,20180220,9.2499,9.29,9.2063,9.28,15182
JEQ,20180216,9.17,9.274,9.17,9.27,9597
JEQ,20180215,9.15,9.15,9.04,9.09,21263
JEQ,20180214,8.93,9.00,8.8811,9.00,9671
JEQ,20180213,9.02,9.0286,8.94,9.01,8625
JEQ,20180212,8.94,9.08,8.94,9.07,10118
JEQ,20180209,8.97,9.0165,8.61,8.8622,46657
JEQ,20180208,9.06,9.10,8.8901,8.93,15939
JEQ,20180207,9.18,9.18,9.11,9.11,5673
JEQ,20180206,8.80,9.2899,8.55,9.20,58318
JEQ,20180205,9.24,9.27,9.06,9.10,48809
JEQ,20180202,9.48,9.48,9.44,9.4401,12488
JEQ,20180201,9.48,9.55,9.48,9.5336,5626
JEQ,20180131,9.53,9.53,9.46,9.46,16329
JEQ,20180130,9.63,9.63,9.55,9.57,30750
JEQ,20180129,9.70,9.75,9.70,9.75,3855
JEQ,20180126,9.74,9.79,9.73,9.75,17114
JEQ,20180125,9.74,9.89,9.7155,9.72,24606
JEQ,20180124,9.76,9.81,9.74,9.80,30769
JEQ,20180123,9.74,9.7497,9.71,9.74,12695
JEQ,20180122,9.68,9.70,9.6514,9.67,5103
JEQ,20180119,9.61,9.69,9.61,9.69,16200
JEQ,20180118,9.52,9.60,9.5116,9.60,21210
JEQ,20180117,9.57,9.61,9.5595,9.59,14218
JEQ,20180116,9.44,9.5686,9.44,9.48,6896
JEQ,20180112,9.4165,9.4867,9.4165,9.48,22667
JEQ,20180111,9.42,9.47,9.41,9.46,8208
JEQ,20180110,9.52,9.52,9.37,9.41,39060
JEQ,20180109,9.44,9.51,9.44,9.44,35768
JEQ,20180108,9.48,9.51,9.411,9.50,32146
JEQ,20180105,9.36,9.38,9.30,9.36,16015
JEQ,20180104,9.21,9.39,9.21,9.35,28434
JEQ,20180103,9.0896,9.13,9.08,9.13,19589
JEQ,20180102,9.00,9.04,9.00,9.04,27603
JEQ,20171229,8.9911,9.04,8.99,9.0175,5415
JEQ,20171228,9.11,9.11,8.9699,8.97,26314
JEQ,20171227,9.46,9.5309,9.46,9.47,31248
JEQ,20171226,9.48,9.50,9.33,9.45,33639
JEQ,20171222,9.54,9.54,9.47,9.50,17814
JEQ,20171221,9.54,9.54,9.49,9.50,9671
JEQ,20171220,9.52,9.58,9.485,9.54,10912
JEQ,20171219,9.47,9.51,9.44,9.51,6063
JEQ,20171218,9.46,9.51,9.46,9.50,405
JEQ,20171215,9.34,9.39,9.34,9.39,12255
JEQ,20171214,9.36,9.3796,9.3401,9.3466,10288
JEQ,20171213,9.39,9.4107,9.37,9.39,4200
JEQ,20171212,9.4001,9.41,9.10,9.35,32173
JEQ,20171211,9.37,9.4025,9.3179,9.4025,5097
JEQ,20171208,9.35,9.39,9.35,9.37,3252
JEQ,20171207,9.272,9.33,9.27,9.29,7600
JEQ,20171206,9.28,9.28,9.18,9.18,11005
JEQ,20171205,9.35,9.35,9.2801,9.2801,10087
JEQ,20171204,9.41,9.41,9.27,9.27,5544
JEQ,20171201,9.46,9.51,9.36,9.38,27481
JEQ,20171130,9.45,9.53,9.45,9.49,73107
JEQ,20171129,9.45,9.465,9.41,9.43,26399
JEQ,20171128,9.37,9.42,9.3551,9.4138,22217
JEQ,20171127,9.36,9.37,9.3501,9.37,25019
