<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
JHX,20180423,18.19,18.20,18.09,18.18,13699
JHX,20180420,18.28,18.32,18.20,18.25,2526
JHX,20180419,18.62,18.66,18.46,18.58,2620
JHX,20180418,18.36,18.40,18.34,18.34,2183
JHX,20180417,18.25,18.40,18.25,18.38,7867
JHX,20180416,18.15,18.20,18.15,18.20,4119
JHX,20180413,18.09,18.09,17.89,17.99,3958
JHX,20180412,17.76,17.8999,17.76,17.80,3286
JHX,20180411,17.645,17.78,17.61,17.67,12360
JHX,20180410,17.52,17.61,17.40,17.61,19168
JHX,20180409,17.46,17.51,17.29,17.29,4492
JHX,20180406,17.41,17.41,17.16,17.20,7851
JHX,20180405,17.44,17.59,17.44,17.4901,7838
JHX,20180404,17.18,17.50,17.18,17.43,3882
JHX,20180403,17.46,17.5188,17.3707,17.49,6733
JHX,20180402,17.75,17.75,17.48,17.54,4971
JHX,20180329,17.53,17.94,17.53,17.83,13221
JHX,20180328,17.55,17.60,17.43,17.43,17690
JHX,20180327,17.73,17.8584,17.53,17.53,4152
JHX,20180326,17.51,17.64,17.2501,17.64,3971
JHX,20180323,17.57,17.62,17.2331,17.28,5411
JHX,20180322,17.37,17.39,17.20,17.21,5462
JHX,20180321,17.47,17.77,17.47,17.71,6200
JHX,20180320,17.57,17.61,17.51,17.57,4900
JHX,20180319,17.59,17.65,17.42,17.63,11444
JHX,20180316,17.6528,17.70,17.60,17.68,1869
JHX,20180315,17.69,17.71,17.54,17.70,13919
JHX,20180314,17.86,17.86,17.7509,17.7509,2517
JHX,20180313,18.00,18.11,17.81,17.87,5809
JHX,20180312,17.98,18.07,17.95,18.07,7657
JHX,20180309,17.77,17.97,17.77,17.955,2686
JHX,20180308,17.58,17.6153,17.39,17.61,7248
JHX,20180307,17.32,17.37,17.17,17.37,6426
JHX,20180306,17.51,17.58,17.49,17.57,2899
JHX,20180305,17.23,17.48,17.21,17.47,3474
JHX,20180302,17.31,17.43,17.20,17.43,8725
JHX,20180301,17.56,17.58,17.28,17.41,5127
JHX,20180228,17.95,17.95,17.668,17.72,6225
JHX,20180227,18.21,18.21,17.97,18.01,2636
JHX,20180226,18.1951,18.24,18.0962,18.24,22740
JHX,20180223,18.27,18.27,18.13,18.22,1879
JHX,20180222,18.26,18.38,18.26,18.38,3486
JHX,20180221,18.20,18.359,18.20,18.20,3957
JHX,20180220,18.15,18.174,18.02,18.111,4910
JHX,20180216,18.06,18.07,18.001,18.001,4129
JHX,20180215,17.991,18.10,17.85,18.10,4679
JHX,20180214,17.94,18.25,17.80,18.2234,8437
JHX,20180213,18.04,18.3475,18.04,18.33,2743
JHX,20180212,17.87,18.07,17.80,18.06,6834
JHX,20180209,17.77,17.79,17.25,17.69,14793
JHX,20180208,17.80,17.80,17.27,17.36,10956
JHX,20180207,17.83,17.98,17.75,17.8595,26011
JHX,20180206,18.21,18.49,18.06,18.49,10133
JHX,20180205,18.58,18.61,18.18,18.26,14343
JHX,20180202,18.72,18.79,18.33,18.575,11040
JHX,20180201,17.6476,17.86,17.55,17.55,10647
JHX,20180131,17.64,17.7199,17.51,17.54,16858
JHX,20180130,17.28,17.28,17.16,17.23,4741
JHX,20180129,17.37,17.45,17.33,17.33,8849
JHX,20180126,17.26,17.35,17.26,17.35,7207
JHX,20180125,17.16,17.27,17.0636,17.1372,6483
JHX,20180124,17.35,17.3836,17.25,17.32,5823
JHX,20180123,17.13,17.33,17.13,17.32,20872
JHX,20180122,17.13,17.19,17.07,17.19,16418
JHX,20180119,17.246,17.299,17.22,17.22,2399
JHX,20180118,17.13,17.259,17.13,17.16,4074
JHX,20180117,17.10,17.29,17.0821,17.24,7270
JHX,20180116,17.20,17.2501,17.07,17.139,6165
JHX,20180112,17.04,17.144,16.87,17.10,25867
JHX,20180111,17.13,17.22,17.10,17.15,10211
JHX,20180110,17.21,17.26,17.15,17.17,11113
JHX,20180109,17.58,17.63,17.51,17.55,12812
JHX,20180108,17.85,17.90,17.77,17.90,3903
JHX,20180105,17.82,17.91,17.78,17.91,8445
JHX,20180104,17.85,17.94,17.85,17.94,8833
JHX,20180103,17.80,17.94,17.80,17.94,6612
JHX,20180102,17.62,17.79,17.61,17.75,4479
JHX,20171229,17.63,17.68,17.57,17.57,6545
JHX,20171228,17.64,17.69,17.53,17.66,10705
JHX,20171227,17.49,17.53,17.46,17.50,4347
JHX,20171226,17.35,17.45,17.30,17.31,3334
JHX,20171222,17.38,17.38,17.25,17.38,8817
JHX,20171221,17.20,17.45,17.20,17.40,53520
JHX,20171220,17.10,17.10,17.00,17.07,6918
JHX,20171219,17.06,17.10,17.0386,17.06,8916
JHX,20171218,17.10,17.14,17.01,17.11,12180
JHX,20171215,16.97,16.99,16.87,16.93,9791
JHX,20171214,17.03,17.08,16.98,17.06,12527
JHX,20171213,16.78,16.97,16.78,16.89,5716
JHX,20171212,16.59,16.60,16.5116,16.59,10951
JHX,20171211,16.57,16.74,16.52,16.66,24499
JHX,20171208,16.57,16.63,16.55,16.62,18493
JHX,20171207,16.17,16.27,16.11,16.20,46332
JHX,20171206,16.25,16.2937,16.18,16.27,3839
