<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
JPM,20180423,111.57,111.95,110.63,110.93,9843011
JPM,20180420,112.30,112.74,110.88,111.47,13434874
JPM,20180419,109.53,111.87,109.50,111.72,14110879
JPM,20180418,110.53,111.07,108.89,109.32,14591364
JPM,20180417,111.37,111.92,109.99,110.21,13624837
JPM,20180416,110.94,111.47,109.79,110.21,14991100
JPM,20180413,115.02,115.15,109.05,110.30,32570406
JPM,20180412,111.56,114.39,111.50,113.37,14419796
JPM,20180411,111.66,111.81,110.515,110.62,12598131
JPM,20180410,112.13,112.87,111.42,112.51,12624938
JPM,20180409,110.01,112.98,109.89,110.40,13786815
JPM,20180406,110.55,111.55,107.82,109.09,17175385
JPM,20180405,111.63,112.83,111.39,111.88,13599670
JPM,20180404,107.10,111.21,107.02,110.99,13556411
JPM,20180403,108.36,109.5025,107.26,109.33,12316860
JPM,20180402,109.96,110.73,106.08,107.85,16423526
JPM,20180329,108.50,110.78,107.78,109.97,11148466
JPM,20180328,108.28,109.1699,106.65,108.00,17025965
JPM,20180327,111.07,111.69,107.30,108.17,16376200
JPM,20180326,109.19,111.16,108.645,110.31,17764564
JPM,20180323,110.27,110.92,106.76,107.01,20542965
JPM,20180322,113.20,113.60,109.54,109.95,19405002
JPM,20180321,114.81,116.63,114.21,114.74,12233904
JPM,20180320,114.87,115.445,114.445,114.64,8315933
JPM,20180319,115.10,115.45,113.30,114.53,9923107
JPM,20180316,115.34,116.6015,115.34,115.44,15060358
JPM,20180315,115.87,116.00,114.83,115.24,7642718
JPM,20180314,116.56,116.59,114.60,114.95,11198630
JPM,20180313,118.20,118.47,115.83,116.25,11042044
JPM,20180312,118.00,118.75,117.25,117.66,10616182
JPM,20180309,116.55,118.08,115.67,118.04,12153578
JPM,20180308,115.11,115.23,113.21,114.74,9605932
JPM,20180307,113.75,115.10,113.11,114.73,10995302
JPM,20180306,115.64,115.82,114.32,115.16,9229852
JPM,20180305,112.05,115.925,111.89,115.06,11995729
JPM,20180302,112.39,113.56,111.12,113.32,16803702
JPM,20180301,115.48,116.6427,112.65,113.43,16400948
JPM,20180228,117.82,118.49,115.34,115.50,14440019
JPM,20180227,118.91,119.33,117.35,117.36,15197703
JPM,20180226,118.14,118.90,117.32,118.77,14037253
JPM,20180223,115.31,117.39,115.31,117.31,10529871
JPM,20180222,115.50,116.425,114.76,114.98,13726469
JPM,20180221,115.00,117.45,114.67,115.19,12743952
JPM,20180220,114.65,115.39,113.97,114.71,10788373
JPM,20180216,114.55,116.07,114.50,114.68,11943338
JPM,20180215,115.535,115.985,114.22,115.51,9344984
JPM,20180214,112.63,115.27,112.53,115.03,13692291
JPM,20180213,111.32,113.05,110.80,112.43,13937036
JPM,20180212,111.17,112.725,110.07,111.74,16247103
JPM,20180209,109.10,111.05,106.2299,110.04,26143381
JPM,20180208,113.11,113.11,107.84,107.88,24844808
JPM,20180207,111.55,114.45,111.146,112.87,19230603
JPM,20180206,106.85,112.48,106.61,112.11,28383307
JPM,20180205,113.00,114.59,103.98,108.80,25779840
JPM,20180202,116.49,116.92,114.09,114.28,14212853
JPM,20180201,115.77,116.985,115.48,116.87,12085971
JPM,20180131,115.65,116.66,115.16,115.67,11404016
JPM,20180130,115.53,116.60,114.98,115.11,11558805
JPM,20180129,116.02,117.3529,116.02,116.20,9413645
JPM,20180126,115.70,116.32,114.96,116.32,10257905
JPM,20180125,116.04,116.17,115.075,115.70,11263309
JPM,20180124,114.86,116.00,114.66,115.67,12381297
JPM,20180123,113.67,114.64,113.35,114.21,9885746
JPM,20180122,112.66,114.39,112.50,114.33,10327020
JPM,20180119,113.94,114.34,112.804,113.01,15809583
JPM,20180118,112.76,113.7226,112.27,113.26,13117770
JPM,20180117,111.89,113.2958,111.31,112.99,13233258
JPM,20180116,111.51,113.43,111.07,112.27,19397079
JPM,20180112,111.65,112.85,110.84,112.67,16600851
JPM,20180111,110.67,110.929,110.051,110.84,11870343
JPM,20180110,109.47,110.70,109.39,110.25,11895160
JPM,20180109,108.72,109.63,108.49,109.05,11281330
JPM,20180108,108.15,108.68,107.70,108.50,10302213
JPM,20180105,109.26,109.55,107.775,108.34,11685486
JPM,20180104,108.36,110.03,108.20,109.04,11611127
JPM,20180103,107.86,108.49,107.48,108.06,10597299
JPM,20180102,107.63,108.02,106.8056,107.95,10588265
JPM,20171229,108.09,108.28,106.94,106.94,8020736
JPM,20171228,107.40,107.84,107.1601,107.79,6694982
JPM,20171227,106.67,107.29,106.67,107.22,7100750
JPM,20171226,107.20,107.99,106.40,107.02,6633815
JPM,20171222,108.20,108.46,106.805,107.45,8943369
JPM,20171221,106.59,108.07,106.56,107.83,10919075
JPM,20171220,107.60,107.7305,106.09,106.14,11516243
JPM,20171219,107.35,107.49,106.44,106.51,10785340
JPM,20171218,107.19,107.63,106.48,106.96,11150435
JPM,20171215,105.79,106.52,105.20,106.14,25530242
JPM,20171214,106.12,106.45,104.64,104.66,11709631
JPM,20171213,106.70,107.11,105.48,105.51,13413575
JPM,20171212,105.92,107.37,105.54,106.85,12437668
JPM,20171211,105.72,106.06,105.31,105.62,9228582
JPM,20171208,105.08,105.94,104.34,105.93,11620831
JPM,20171207,103.95,105.185,103.73,104.62,12206974
JPM,20171206,105.41,105.76,104.525,104.93,12824400
JPM,20171205,107.17,107.41,104.12,105.72,15287367
JPM,20171204,107.73,108.40,106.77,106.95,20392331
JPM,20171201,104.90,105.316,102.20,104.79,17569772
JPM,20171130,104.74,106.66,104.04,104.52,21261272
JPM,20171129,102.41,104.22,101.96,103.73,18791321
JPM,20171128,98.21,101.70,97.97,101.36,15262360
JPM,20171127,98.31,99.13,97.93,97.93,8892360
JPM,20171124,98.83,98.90,98.26,98.32,2935402
JPM,20171122,99.03,99.5239,98.59,98.64,6360882
JPM,20171121,99.50,99.55,98.91,98.93,8394581
JPM,20171120,98.45,99.145,97.76,99.01,8141523
JPM,20171117,97.82,98.41,97.57,98.14,7958664
JPM,20171116,98.53,99.06,98.31,98.47,8791418
JPM,20171115,96.39,98.74,95.95,98.19,13309974
JPM,20171114,97.34,97.78,96.85,97.27,8948187
JPM,20171113,96.69,98.05,96.62,97.86,7521022
JPM,20171110,97.81,98.34,97.50,97.51,8282185
JPM,20171109,97.12,98.215,96.81,97.63,12479478
JPM,20171108,98.27,98.37,97.15,97.64,12876322
JPM,20171107,100.56,100.75,98.25,98.75,13707091
JPM,20171106,101.34,101.6874,100.66,100.78,7271520
JPM,20171103,101.10,101.525,100.73,101.41,6321128
JPM,20171102,100.87,101.765,100.16,101.59,7762333
JPM,20171101,101.10,101.70,100.73,100.92,7393378
JPM,20171031,101.37,101.70,100.57,100.61,7575253
JPM,20171030,101.13,101.93,100.87,101.41,7774645
JPM,20171027,101.43,102.2263,101.05,101.77,8931809
JPM,20171026,101.35,102.4201,101.32,101.74,11223503
JPM,20171025,101.25,101.45,100.19,101.02,13032623
JPM,20171024,99.88,101.19,99.76,100.92,11411389
JPM,20171023,99.51,99.99,99.24,99.34,7978565
JPM,20171020,99.28,99.89,98.7301,99.51,13415946
JPM,20171019,97.19,98.20,97.09,98.11,7367291
JPM,20171018,98.15,98.55,97.63,97.99,8821194
JPM,20171017,98.07,98.179,97.32,97.62,9194126
JPM,20171016,96.34,97.95,96.34,97.84,11428271
JPM,20171013,95.48,96.71,94.96,95.86,12001406
JPM,20171012,97.30,97.50,95.62,95.99,16655655
JPM,20171011,96.83,97.01,96.14,96.84,12032227
JPM,20171010,96.455,97.18,96.24,97.13,8982665
JPM,20171009,96.96,97.07,96.14,96.41,6913490
JPM,20171006,97.55,97.64,96.47,96.92,7867441
JPM,20171005,96.00,97.40,95.55,97.09,11463993
JPM,20171004,97.30,97.44,96.28,96.36,10361165
JPM,20171003,96.83,97.43,96.7739,97.35,8681608
JPM,20171002,95.77,96.88,95.46,96.84,11589230
JPM,20170929,95.30,95.52,95.02,95.51,9843384
JPM,20170928,95.59,95.88,94.91,95.38,8581308
JPM,20170927,94.97,95.72,94.58,95.18,13202443
JPM,20170926,93.78,94.03,93.341,93.70,8308920
JPM,20170925,94.51,94.88,93.45,94.12,9484250
JPM,20170922,94.70,94.98,94.43,94.83,7075651
JPM,20170921,94.46,95.37,94.19,95.03,8953290
JPM,20170920,94.10,95.29,93.71,94.60,12473660
JPM,20170919,92.71,94.36,92.52,93.94,10730343
JPM,20170918,91.93,93.135,91.85,92.92,9577138
JPM,20170915,91.08,91.71,90.76,91.62,16023351
JPM,20170914,91.20,91.53,90.74,90.97,9715347
JPM,20170913,90.61,91.50,90.32,91.15,11267599
JPM,20170912,90.17,91.25,90.10,90.89,12954291
JPM,20170911,89.39,90.25,88.95,89.79,11709964
JPM,20170908,88.31,89.42,88.24,88.42,12601497
JPM,20170907,90.11,90.13,88.08,88.53,13134118
JPM,20170906,90.00,90.5172,89.64,90.11,10670864
JPM,20170905,91.02,91.105,89.0243,89.51,15309014
JPM,20170901,91.25,92.36,90.95,91.70,8827127
JPM,20170831,91.81,91.85,90.80,90.89,11567065
JPM,20170830,91.25,91.875,91.19,91.31,7575014
JPM,20170829,90.45,91.31,90.31,91.10,9775360
JPM,20170828,92.16,92.19,91.13,91.60,6412095
JPM,20170825,91.88,92.48,91.80,91.89,10268012
JPM,20170824,91.93,92.12,91.41,91.52,7788789
JPM,20170823,90.87,92.34,90.84,91.67,7456525
JPM,20170822,91.07,91.71,91.00,91.56,8310246
JPM,20170821,90.85,90.94,90.16,90.63,8738946
JPM,20170818,90.31,91.54,90.19,90.74,11677577
JPM,20170817,91.76,91.96,90.50,90.65,12472435
JPM,20170816,93.04,93.23,91.88,92.09,9847001
JPM,20170815,93.31,93.56,92.65,92.73,7717538
JPM,20170814,92.37,92.90,92.33,92.49,9952752
JPM,20170811,92.13,92.67,91.24,91.42,9514130
JPM,20170810,92.90,93.07,92.07,92.19,11998471
JPM,20170809,93.68,93.68,93.68,93.53,9862393
JPM,20170808,93.95,95.2193,93.60,93.68,12251999
JPM,20170807,93.89,94.19,93.71,94.02,7341990
JPM,20170804,93.50,94.40,93.471,93.66,12661702
JPM,20170803,92.70,93.13,92.235,92.50,9587731
JPM,20170802,92.865,93.21,92.505,93.11,9070810
JPM,20170801,92.49,93.14,92.28,93.03,11334742
JPM,20170731,91.51,92.36,91.50,91.80,10607200
JPM,20170728,91.45,91.75,90.905,91.28,8595356
JPM,20170727,91.83,92.06,91.16,91.55,10772725
JPM,20170726,93.10,93.19,91.68,91.93,10672715
JPM,20170725,92.37,93.52,92.27,92.80,15223139
JPM,20170724,90.96,91.54,90.91,91.28,8957050
JPM,20170721,91.06,91.36,90.52,90.89,10069621
JPM,20170720,91.15,91.72,90.90,91.20,10042885
JPM,20170719,91.34,91.6199,91.001,91.20,9855772
JPM,20170718,90.45,91.58,90.32,91.07,13230411
JPM,20170717,91.82,91.99,91.25,91.39,12862901
JPM,20170714,90.81,92.605,90.58,92.25,19183439
JPM,20170713,92.69,93.38,92.34,93.10,11208258
JPM,20170712,92.61,92.83,92.07,92.51,12521882
JPM,20170711,93.33,93.33,92.28,92.83,11278596
JPM,20170710,93.50,93.68,93.09,93.19,12213203
JPM,20170707,93.96,94.17,93.23,93.85,11003973
JPM,20170706,93.54,94.51,92.88,93.38,14214642
JPM,20170705,93.12,93.79,92.61,93.68,14748135
JPM,20170703,91.56,93.48,91.41,92.875,11617701
JPM,20170630,91.96,92.00,91.16,91.40,13928402
JPM,20170629,92.34,92.65,90.31,91.15,25276348
JPM,20170628,88.60,90.07,88.60,89.82,15356653
JPM,20170627,87.71,88.94,87.50,88.05,14093846
JPM,20170626,87.01,87.67,86.615,87.24,9068671
JPM,20170623,87.66,88.00,86.61,86.86,16466546
JPM,20170622,86.93,87.36,86.65,87.02,10664865
JPM,20170621,87.48,87.545,86.76,87.12,9112655
JPM,20170620,87.75,87.92,87.37,87.52,9992571
JPM,20170619,86.97,88.23,86.85,88.07,13912365
JPM,20170616,86.85,86.96,86.015,86.18,15115816
JPM,20170615,86.25,87.08,86.24,86.57,11531113
JPM,20170614,86.77,87.31,85.82,87.09,14802075
JPM,20170613,87.55,87.85,86.98,87.27,11526698
JPM,20170612,87.32,87.74,86.29,86.98,13468900
JPM,20170609,85.51,87.05,85.39,86.96,17448608
JPM,20170608,83.91,85.7302,83.89,84.95,16134682
JPM,20170607,83.31,84.1052,83.10,83.91,12088679
JPM,20170606,82.29,83.215,82.13,82.96,10722405
JPM,20170605,82.64,83.51,82.58,82.79,8053423
JPM,20170602,82.29,82.99,81.98,82.64,14038529
JPM,20170601,82.46,83.08,81.65,83.06,15907865
JPM,20170531,83.73,83.82,81.635,82.15,25143613
JPM,20170530,85.13,85.15,83.78,83.90,11764641
JPM,20170526,85.11,85.56,85.02,85.36,7379201
JPM,20170525,85.99,86.08,85.08,85.35,10737939
JPM,20170524,85.88,85.97,85.24,85.71,8879898
JPM,20170523,84.75,86.07,84.51,85.76,10475452
JPM,20170522,85.18,85.29,84.21,84.70,9831042
JPM,20170519,84.21,85.34,84.15,84.78,12191805
JPM,20170518,84.07,84.80,83.36,83.96,21290221
JPM,20170517,86.11,86.39,83.97,84.27,22240137
JPM,20170516,87.36,88.09,87.34,87.61,8326981
JPM,20170515,87.10,87.49,86.86,87.34,7811279
JPM,20170512,86.68,87.0484,86.3399,86.92,7373096
JPM,20170511,87.09,87.48,86.35,87.16,9218256
JPM,20170510,86.5288,87.48,86.47,87.43,7486536
JPM,20170509,87.26,87.84,86.50,86.75,8489597
JPM,20170508,87.04,87.3198,86.6481,87.10,7294998
JPM,20170505,87.25,87.34,86.42,87.00,8505415
