<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KB,20180423,56.10,56.34,55.85,55.94,89549
KB,20180420,56.92,57.21,55.82,56.02,128940
KB,20180419,56.76,57.37,56.20,57.21,102346
KB,20180418,55.62,56.00,55.54,55.82,92723
KB,20180417,55.43,55.70,55.35,55.44,83768
KB,20180416,55.91,56.02,55.63,55.74,126659
KB,20180413,56.62,56.62,55.54,55.59,98254
KB,20180412,55.37,56.18,55.195,55.94,133726
KB,20180411,55.22,55.22,54.80,54.93,109769
KB,20180410,54.77,55.63,54.63,55.48,125010
KB,20180409,53.43,53.60,52.97,52.99,147076
KB,20180406,54.88,55.56,54.09,54.44,130269
KB,20180405,55.39,56.17,55.39,55.77,227144
KB,20180404,54.11,56.07,53.611,56.05,301546
KB,20180403,55.10,56.12,54.86,56.06,175999
KB,20180402,56.67,56.67,55.11,55.40,111424
KB,20180329,57.50,58.17,57.50,57.94,110611
KB,20180328,56.29,56.72,56.01,56.43,82395
KB,20180327,56.98,57.39,56.00,56.18,125996
KB,20180326,56.22,56.64,55.65,56.52,163361
KB,20180323,57.32,57.44,55.90,55.94,220406
KB,20180322,58.28,58.42,57.63,57.69,151841
KB,20180321,58.38,58.88,58.33,58.82,121723
KB,20180320,58.76,59.23,58.76,58.90,71943
KB,20180319,58.09,58.61,57.84,58.04,102000
KB,20180316,58.31,58.64,57.9523,58.31,164232
KB,20180315,57.79,57.87,57.30,57.51,86106
KB,20180314,57.87,58.25,57.60,57.68,82711
KB,20180313,58.82,58.82,57.43,57.53,127275
KB,20180312,59.79,60.17,59.44,59.76,79374
KB,20180309,58.40,59.35,58.40,59.26,77839
KB,20180308,58.03,58.11,57.57,57.90,105384
KB,20180307,58.19,58.19,57.45,58.01,123688
KB,20180306,59.04,59.53,58.86,59.21,133917
KB,20180305,57.69,58.63,57.69,58.54,93604
KB,20180302,58.17,59.10,58.10,59.06,51595
KB,20180301,58.57,59.00,57.80,58.51,100479
KB,20180228,59.50,59.50,58.59,58.61,96676
KB,20180227,60.40,60.40,59.18,59.20,186129
KB,20180226,60.14,60.279,59.82,60.13,113950
KB,20180223,60.32,60.39,59.88,60.39,110833
KB,20180222,60.26,60.67,59.84,59.94,117845
KB,20180221,60.96,61.36,60.47,60.53,103453
KB,20180220,61.24,61.99,61.24,61.51,60658
KB,20180216,61.36,62.15,61.25,61.57,94603
KB,20180215,61.485,61.70,60.724,61.31,75634
KB,20180214,59.03,60.61,58.95,60.57,105231
KB,20180213,59.00,59.46,58.08,58.33,224219
KB,20180212,58.81,59.62,58.29,59.34,144194
KB,20180209,56.60,56.96,54.98,56.80,130987
KB,20180208,57.44,58.12,56.03,56.03,114241
KB,20180207,58.87,59.22,58.38,58.42,163073
KB,20180206,59.00,60.43,58.58,60.17,160654
KB,20180205,61.55,62.10,60.00,60.10,119516
KB,20180202,61.41,61.41,60.57,60.60,113712
KB,20180201,61.81,62.07,61.5844,62.07,84511
KB,20180131,63.32,63.32,62.59,62.67,61141
KB,20180130,61.94,62.47,61.92,62.26,57187
KB,20180129,62.61,62.92,62.30,62.34,167420
KB,20180126,62.87,63.91,62.87,63.90,101045
KB,20180125,63.25,63.44,62.89,63.09,139091
KB,20180124,63.78,63.78,63.18,63.38,81143
KB,20180123,63.50,63.91,63.50,63.60,92310
KB,20180122,61.88,61.89,61.40,61.79,155173
KB,20180119,62.95,63.64,62.815,63.64,96089
KB,20180118,62.08,62.24,61.63,61.95,137823
KB,20180117,61.89,62.54,61.68,62.54,164448
KB,20180116,62.39,62.43,61.801,62.30,163178
KB,20180112,63.50,63.96,63.43,63.72,110282
KB,20180111,63.36,63.54,63.00,63.38,113966
KB,20180110,61.60,62.13,61.05,61.76,77621
KB,20180109,62.79,62.79,62.38,62.57,99796
KB,20180108,62.00,62.046,61.55,61.74,107481
KB,20180105,60.20,60.80,60.17,60.80,103658
KB,20180104,59.35,59.71,59.23,59.47,62176
KB,20180103,59.11,59.4399,59.11,59.33,70372
KB,20180102,59.25,59.31,58.8357,59.295,81357
KB,20171229,58.90,58.91,58.51,58.51,49367
KB,20171228,59.00,59.10,58.09,58.35,90066
KB,20171227,58.64,59.155,58.62,58.80,96757
KB,20171226,58.70,59.09,58.56,58.59,66138
KB,20171222,57.60,58.00,57.60,57.94,67406
KB,20171221,57.70,57.70,56.94,57.47,97918
KB,20171220,57.75,57.97,57.65,57.86,69923
KB,20171219,57.34,57.34,56.7552,56.97,87281
KB,20171218,57.24,57.60,57.06,57.22,78903
KB,20171215,56.97,57.23,56.88,56.97,136838
KB,20171214,56.26,56.66,56.26,56.35,74749
KB,20171213,55.46,55.96,55.36,55.39,122498
KB,20171212,53.99,53.99,53.57,53.70,152124
KB,20171211,54.00,55.07,54.00,54.99,181743
KB,20171208,54.98,54.98,54.40,54.64,56119
KB,20171207,54.03,54.58,54.00,54.54,78579
KB,20171206,54.62,54.96,54.62,54.72,55595
KB,20171205,54.88,55.30,54.73,54.73,59482
KB,20171204,55.36,55.55,54.71,54.75,87465
KB,20171201,53.97,54.11,53.44,53.99,84271
KB,20171130,54.85,55.52,54.85,55.31,99638
KB,20171129,54.79,55.05,54.64,54.83,74679
KB,20171128,53.66,54.57,53.61,54.57,128622
KB,20171127,52.73,53.0617,52.5342,52.555,38751
KB,20171124,52.23,52.52,52.23,52.41,52921
KB,20171122,51.86,51.95,51.64,51.80,128413
KB,20171121,51.50,51.61,51.31,51.39,59054
KB,20171120,52.00,52.09,51.78,51.87,117312
KB,20171117,51.78,52.17,51.66,52.00,88058
KB,20171116,52.37,53.31,52.35,53.28,91669
KB,20171115,51.10,52.00,51.10,51.85,40465
KB,20171114,50.73,51.16,50.6581,51.06,40343
KB,20171113,50.57,50.98,50.15,50.82,90532
KB,20171110,51.42,51.51,51.16,51.19,88633
KB,20171109,51.36,51.49,50.82,51.34,88995
KB,20171108,51.52,51.86,51.46,51.83,53773
