<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KEYS,20180423,53.72,54.58,53.72,54.23,792335
KEYS,20180420,54.02,54.44,53.55,53.56,499314
KEYS,20180419,54.33,54.52,53.77,54.11,449421
KEYS,20180418,54.61,55.02,54.39,54.57,515645
KEYS,20180417,53.95,54.84,53.78,54.51,616786
KEYS,20180416,54.28,54.39,53.61,53.80,721600
KEYS,20180413,54.08,54.70,53.835,53.89,1005202
KEYS,20180412,53.27,54.06,53.27,53.84,674502
KEYS,20180411,52.59,53.19,52.56,53.11,573601
KEYS,20180410,52.11,53.25,52.06,52.83,779116
KEYS,20180409,51.08,52.23,51.005,51.29,529973
KEYS,20180406,51.72,52.26,50.25,50.57,617504
KEYS,20180405,52.33,52.41,51.61,52.05,558442
KEYS,20180404,50.71,52.125,50.55,52.02,646753
KEYS,20180403,51.43,51.99,51.15,51.63,584252
KEYS,20180402,51.99,52.32,50.66,51.14,640684
KEYS,20180329,51.36,52.78,51.265,52.39,498612
KEYS,20180328,51.34,51.58,50.39,51.23,582023
KEYS,20180327,52.45,53.09,51.11,51.34,719101
KEYS,20180326,51.68,52.30,50.90,52.19,584451
KEYS,20180323,51.82,52.17,50.77,50.81,528157
KEYS,20180322,52.71,53.15,51.87,51.89,562618
KEYS,20180321,52.69,53.68,52.69,53.16,1132800
KEYS,20180320,52.62,53.07,52.45,52.70,647419
KEYS,20180319,53.15,53.36,52.14,52.69,663793
KEYS,20180316,53.40,53.71,53.28,53.39,1766929
KEYS,20180315,53.82,53.97,53.24,53.38,904329
KEYS,20180314,54.02,54.14,53.37,53.58,802617
KEYS,20180313,54.65,55.19,53.78,53.87,546783
KEYS,20180312,54.19,55.21,54.13,54.62,738150
KEYS,20180309,53.08,54.11,52.84,54.07,1018068
KEYS,20180308,53.00,53.329,52.41,52.59,805734
KEYS,20180307,52.27,52.87,51.84,52.61,1546606
KEYS,20180306,51.21,52.86,51.20,52.55,1762360
KEYS,20180305,48.99,50.715,48.91,50.54,1591222
KEYS,20180302,47.05,50.04,47.05,49.39,2578905
KEYS,20180301,47.04,47.20,45.98,46.58,654048
KEYS,20180228,47.54,47.79,46.95,47.01,542744
KEYS,20180227,47.60,48.16,47.324,47.43,1024838
KEYS,20180226,46.55,47.9428,46.49,47.75,739358
KEYS,20180223,45.83,46.34,45.56,46.29,526410
KEYS,20180222,45.82,46.06,45.31,45.57,490650
KEYS,20180221,45.88,46.285,45.57,45.57,313612
KEYS,20180220,45.59,46.03,45.54,45.70,333591
KEYS,20180216,45.91,46.06,45.52,45.87,196673
KEYS,20180215,45.50,46.04,45.10,45.98,285924
KEYS,20180214,44.05,45.55,43.96,45.37,542808
KEYS,20180213,43.79,44.59,43.64,44.47,355340
KEYS,20180212,43.55,44.30,43.49,44.03,475137
KEYS,20180209,44.27,44.55,42.13,43.26,783796
KEYS,20180208,45.28,45.28,43.81,43.81,687597
KEYS,20180207,44.94,45.59,44.71,45.22,703758
KEYS,20180206,43.94,45.31,43.02,45.15,995765
KEYS,20180205,45.76,46.655,44.83,44.84,819937
KEYS,20180202,46.70,46.92,46.12,46.38,448478
KEYS,20180201,46.53,47.23,46.46,47.15,555822
KEYS,20180131,47.50,47.95,46.64,46.72,693449
KEYS,20180130,46.98,47.66,46.85,47.20,877155
KEYS,20180129,46.80,48.03,46.80,47.65,1036165
KEYS,20180126,46.02,46.58,45.82,46.58,337425
KEYS,20180125,46.36,46.46,45.55,45.74,332575
KEYS,20180124,46.53,46.90,45.98,46.03,668495
KEYS,20180123,46.50,46.63,46.38,46.55,671132
KEYS,20180122,46.24,46.49,45.92,46.48,483620
KEYS,20180119,45.83,46.43,45.81,46.33,629618
KEYS,20180118,45.92,46.12,45.64,45.77,391126
KEYS,20180117,44.97,46.02,44.86,46.01,672075
KEYS,20180116,45.04,45.16,44.47,44.74,465631
KEYS,20180112,44.97,45.08,44.64,44.82,413139
KEYS,20180111,44.40,44.94,44.28,44.92,394876
KEYS,20180110,45.05,45.10,44.29,44.34,658714
KEYS,20180109,44.70,45.78,44.635,45.15,983357
KEYS,20180108,44.05,44.71,43.98,44.57,712071
KEYS,20180105,43.31,44.12,43.03,43.915,988208
