<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KKR,20180423,21.49,21.60,21.235,21.31,2238411
KKR,20180420,21.20,21.49,21.14,21.42,1703787
KKR,20180419,20.96,21.215,20.83,21.15,1814151
KKR,20180418,21.00,21.21,20.92,20.97,1239840
KKR,20180417,20.84,21.07,20.79,20.98,1465382
KKR,20180416,20.39,20.76,20.29,20.72,1330121
KKR,20180413,20.67,20.77,20.27,20.33,1625728
KKR,20180412,20.34,20.69,20.29,20.58,1446759
KKR,20180411,20.24,20.57,20.20,20.23,1993440
KKR,20180410,20.20,20.475,20.125,20.41,912276
KKR,20180409,20.16,20.366,19.99,20.01,1650420
KKR,20180406,20.03,20.27,19.86,20.01,2061667
KKR,20180405,20.30,20.515,20.13,20.33,1757580
KKR,20180404,19.44,20.17,19.37,20.10,2498910
KKR,20180403,20.03,20.2099,19.65,19.71,2141653
KKR,20180402,20.19,20.27,19.73,19.89,3116738
KKR,20180329,20.27,20.425,20.065,20.30,1744235
KKR,20180328,20.37,20.61,20.14,20.20,2277569
KKR,20180327,20.67,20.82,20.16,20.37,1736274
KKR,20180326,20.95,21.04,20.42,20.70,2486740
KKR,20180323,21.08,21.17,20.60,20.61,3124879
KKR,20180322,21.55,21.62,21.07,21.07,1323411
KKR,20180321,21.73,21.96,21.70,21.81,845555
KKR,20180320,21.74,21.81,21.55,21.75,829611
KKR,20180319,21.84,21.86,21.49,21.64,1613991
KKR,20180316,21.81,22.095,21.80,21.97,1006207
KKR,20180315,22.17,22.19,21.71,21.76,1293149
KKR,20180314,22.44,22.55,22.03,22.12,1220129
KKR,20180313,22.75,22.84,22.365,22.42,1009152
KKR,20180312,22.78,22.89,22.5807,22.69,1581066
KKR,20180309,22.30,22.75,22.28,22.71,1561036
KKR,20180308,22.26,22.35,21.81,22.12,1175715
KKR,20180307,22.06,22.28,21.93,22.19,971386
KKR,20180306,22.07,22.29,21.78,22.28,1713149
KKR,20180305,21.34,22.01,21.31,21.98,1751359
KKR,20180302,21.32,21.72,21.07,21.56,1558894
KKR,20180301,21.46,21.8801,21.33,21.43,2905639
KKR,20180228,21.61,21.81,21.42,21.46,1792649
KKR,20180227,22.01,22.09,21.525,21.54,3173140
KKR,20180226,22.06,22.255,21.95,22.06,3629515
KKR,20180223,21.89,22.02,21.77,21.96,2344145
KKR,20180222,22.00,22.12,21.74,21.78,2102322
KKR,20180221,21.96,22.435,21.81,21.89,1624705
KKR,20180220,22.03,22.36,21.75,21.87,2611728
KKR,20180216,22.31,22.46,22.10,22.23,2116428
KKR,20180215,21.95,22.73,21.92,22.48,7313460
KKR,20180214,21.25,21.605,21.1606,21.59,4738144
KKR,20180213,21.32,21.415,21.15,21.25,3397364
KKR,20180212,21.24,21.60,20.92,21.53,3333187
KKR,20180209,21.03,21.62,20.585,21.19,4520953
KKR,20180208,22.19,22.42,21.08,21.08,4294021
KKR,20180207,21.97,22.45,21.93,22.19,3339285
KKR,20180206,21.34,22.18,20.92,22.07,4765888
KKR,20180205,23.10,23.10,21.65,21.94,7030360
KKR,20180202,24.13,24.16,23.37,23.48,3606015
KKR,20180201,23.98,24.41,23.98,24.31,4370722
KKR,20180131,24.01,24.11,23.73,24.08,2660165
KKR,20180130,23.97,24.08,23.74,23.955,2564578
KKR,20180129,24.25,24.33,23.91,24.25,3951740
KKR,20180126,24.47,24.495,24.20,24.40,3426096
KKR,20180125,24.03,24.45,23.81,24.41,4191912
KKR,20180124,23.80,24.02,23.55,23.99,3700959
KKR,20180123,23.01,23.76,22.975,23.76,3213439
KKR,20180122,22.78,23.02,22.69,23.02,1491245
KKR,20180119,22.40,22.78,22.28,22.77,1896115
KKR,20180118,22.77,22.825,22.38,22.55,1821721
KKR,20180117,22.88,23.045,22.68,22.85,1263410
KKR,20180116,23.20,23.36,22.53,22.79,2056582
KKR,20180112,23.15,23.30,23.00,23.08,1556163
KKR,20180111,22.99,23.25,22.855,23.03,1611075
KKR,20180110,22.77,23.3172,22.63,22.85,2739106
KKR,20180109,22.47,23.06,22.315,22.67,6763358
KKR,20180108,21.89,22.08,21.57,22.03,1817587
KKR,20180105,21.97,21.98,21.71,21.92,1921173
KKR,20180104,22.00,22.14,21.74,21.99,1566488
KKR,20180103,21.59,22.00,21.57,21.97,3005787
KKR,20180102,21.06,21.64,20.9401,21.51,3298654
KKR,20171229,21.12,21.16,20.8789,21.06,952699
KKR,20171228,21.10,21.155,20.865,21.13,1865871
KKR,20171227,21.15,21.20,20.87,21.07,1740039
KKR,20171226,21.21,21.24,20.94,20.99,1698058
KKR,20171222,21.17,21.41,21.10,21.18,1904976
KKR,20171221,21.00,21.30,20.96,21.15,2391492
KKR,20171220,20.84,21.39,20.825,20.91,3198716
KKR,20171219,20.68,20.965,20.58,20.77,4183237
KKR,20171218,20.17,20.63,20.15,20.63,4495492
KKR,20171215,19.91,20.125,19.81,20.10,2879059
KKR,20171214,19.94,20.00,19.88,19.93,1449841
KKR,20171213,20.08,20.13,19.83,19.94,1685507
KKR,20171212,20.09,20.29,20.09,20.11,2339816
KKR,20171211,20.00,20.20,19.97,20.18,1518347
KKR,20171208,19.74,20.01,19.70,19.99,2645910
KKR,20171207,19.14,19.75,19.115,19.66,3301928
KKR,20171206,19.43,19.46,19.19,19.19,1213759
KKR,20171205,19.94,20.00,19.50,19.58,1552571
KKR,20171204,19.95,20.18,19.875,19.95,2147165
KKR,20171201,19.90,19.97,19.50,19.88,1818513
KKR,20171130,19.81,19.989,19.75,19.92,2133683
KKR,20171129,19.61,19.855,19.567,19.78,2262554
KKR,20171128,19.49,19.65,19.3044,19.63,2355941
KKR,20171127,19.53,19.54,19.365,19.49,2178471
KKR,20171124,19.49,19.555,19.45,19.51,630851
KKR,20171122,19.50,19.55,19.405,19.52,1541164
KKR,20171121,19.60,19.68,19.47,19.50,1926401
