<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LCII,20180423,93.45,95.45,92.50,92.90,68987
LCII,20180420,93.30,94.20,92.55,93.45,103836
LCII,20180419,95.50,95.70,92.35,93.65,149581
LCII,20180418,96.40,98.05,95.90,96.05,124589
LCII,20180417,96.25,97.85,95.00,96.00,157413
LCII,20180416,95.10,96.70,93.65,95.35,239318
LCII,20180413,96.25,96.75,93.85,94.50,148690
LCII,20180412,96.60,97.05,95.15,95.35,286657
LCII,20180411,96.40,97.90,95.50,96.15,173949
LCII,20180410,101.10,102.425,96.80,97.05,294420
LCII,20180409,100.40,102.30,99.85,99.85,84465
LCII,20180406,102.50,104.30,100.00,100.20,142474
LCII,20180405,101.40,103.45,100.10,103.10,75204
LCII,20180404,97.20,101.00,96.95,100.75,169417
LCII,20180403,99.30,100.55,97.95,98.55,157327
LCII,20180402,104.05,104.90,98.25,98.95,98479
LCII,20180329,102.45,104.65,102.35,104.15,196653
LCII,20180328,100.85,102.25,99.46,101.45,107470
LCII,20180327,101.90,103.45,100.50,100.95,82441
LCII,20180326,102.75,103.25,100.75,101.60,149236
LCII,20180323,104.00,105.45,100.11,100.95,153868
LCII,20180322,106.75,107.625,103.35,103.55,118259
LCII,20180321,109.15,109.20,106.15,107.75,84212
LCII,20180320,108.40,109.55,107.50,109.00,92119
LCII,20180319,110.10,110.65,107.20,108.25,98345
LCII,20180316,107.95,110.50,107.95,110.35,221551
LCII,20180315,110.05,111.05,107.10,108.10,94872
LCII,20180314,111.10,111.15,109.5284,110.20,72641
LCII,20180313,111.65,112.40,109.55,109.95,68174
LCII,20180312,111.55,112.90,110.30,110.80,97152
LCII,20180309,110.05,111.50,108.9805,111.35,90648
LCII,20180308,111.70,111.90,106.425,109.20,132816
LCII,20180307,110.20,111.85,109.95,110.90,110115
LCII,20180306,109.50,112.00,108.20,111.30,85132
LCII,20180305,105.75,112.00,105.60,109.15,212764
LCII,20180302,105.25,106.05,103.40,105.75,327576
LCII,20180301,108.00,108.05,104.80,106.10,265131
LCII,20180228,111.75,113.45,109.20,109.30,234167
LCII,20180227,117.65,118.40,110.95,111.00,165232
LCII,20180226,114.40,118.325,110.00,117.40,155980
LCII,20180223,112.25,114.40,111.70,114.35,90765
LCII,20180222,111.65,112.50,110.75,111.45,138686
LCII,20180221,114.10,114.25,110.85,111.15,135725
LCII,20180220,113.65,115.50,111.91,113.55,154030
LCII,20180216,117.70,118.65,113.45,113.75,173765
LCII,20180215,119.35,119.35,116.40,118.65,96348
LCII,20180214,114.75,118.30,114.05,118.00,118847
LCII,20180213,116.10,116.55,113.75,116.00,128531
LCII,20180212,115.10,117.75,112.45,116.95,162738
LCII,20180209,111.50,115.95,108.90,114.70,274441
LCII,20180208,111.30,113.00,105.80,110.00,335437
