<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LUK,20180423,24.15,24.50,24.10,24.42,2862084
LUK,20180420,24.25,24.37,24.01,24.02,3237452
LUK,20180419,24.35,24.63,24.11,24.11,2619960
LUK,20180418,24.56,24.56,24.14,24.32,3027243
LUK,20180417,24.79,24.82,24.44,24.53,3235692
LUK,20180416,24.48,24.74,24.36,24.63,2575445
LUK,20180413,24.50,24.62,24.25,24.30,3076617
LUK,20180412,24.37,24.62,24.34,24.36,4884044
LUK,20180411,24.14,24.37,24.04,24.31,2817627
LUK,20180410,24.45,24.87,24.37,24.38,4598690
LUK,20180409,23.60,24.748,23.26,24.29,6908564
LUK,20180406,22.29,22.345,21.61,21.77,2632221
LUK,20180405,22.37,22.65,22.26,22.48,2560186
LUK,20180404,21.88,22.33,21.88,22.25,3564579
LUK,20180403,22.26,22.34,21.96,22.28,1812263
LUK,20180402,22.58,22.72,21.79,22.10,2063689
LUK,20180329,22.62,22.92,22.56,22.74,1816561
LUK,20180328,22.15,22.50,22.08,22.46,2078619
LUK,20180327,22.55,22.61,22.03,22.15,2521473
LUK,20180326,22.21,22.52,22.08,22.48,1832784
LUK,20180323,22.42,22.51,21.72,21.85,2611096
LUK,20180322,22.93,23.14,22.35,22.36,1967922
LUK,20180321,23.16,23.39,23.08,23.16,1926441
LUK,20180320,24.09,24.10,23.19,23.19,2576701
LUK,20180319,24.60,24.63,23.76,24.00,2408119
LUK,20180316,24.41,24.72,24.345,24.65,2602327
LUK,20180315,24.40,24.58,24.28,24.41,2736411
LUK,20180314,24.39,24.52,24.19,24.30,2544749
LUK,20180313,24.65,24.65,24.23,24.30,1909179
LUK,20180312,24.47,24.61,24.41,24.50,1653721
LUK,20180309,24.22,24.72,24.13,24.50,1326641
LUK,20180308,24.04,24.10,23.63,23.98,1506251
LUK,20180307,23.82,24.04,23.67,24.00,1351657
LUK,20180306,24.09,24.20,23.765,24.07,2337804
LUK,20180305,23.61,24.13,23.46,23.92,1480790
LUK,20180302,23.45,23.87,23.13,23.81,1415827
LUK,20180301,23.93,24.26,23.56,23.64,1934290
LUK,20180228,24.68,24.72,23.98,23.98,1466397
LUK,20180227,25.14,25.45,24.55,24.56,1156873
LUK,20180226,25.09,25.23,24.86,25.02,1063402
