<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LZB,20180423,29.35,29.555,29.10,29.40,202815
LZB,20180420,29.40,29.55,29.15,29.20,221139
LZB,20180419,29.80,29.85,29.00,29.40,253919
LZB,20180418,29.95,30.35,29.95,30.05,238976
LZB,20180417,30.15,30.40,29.75,29.90,224190
LZB,20180416,29.35,30.15,29.175,29.95,264386
LZB,20180413,29.40,29.55,29.125,29.20,229270
LZB,20180412,29.90,30.05,29.40,29.45,155734
LZB,20180411,29.80,30.00,29.6353,29.85,164604
LZB,20180410,30.00,30.05,29.55,29.85,259662
LZB,20180409,30.55,30.65,29.60,29.65,353781
LZB,20180406,30.20,30.85,29.85,30.25,299711
LZB,20180405,30.40,30.50,30.05,30.40,288571
LZB,20180404,29.60,30.40,29.30,30.20,451905
LZB,20180403,29.65,30.10,29.35,30.05,261531
LZB,20180402,29.95,30.00,28.80,29.50,367355
LZB,20180329,30.85,30.95,29.90,29.95,438872
LZB,20180328,29.40,30.85,29.25,30.80,887591
LZB,20180327,29.80,30.05,29.25,29.30,437878
LZB,20180326,29.50,29.75,29.20,29.70,279001
LZB,20180323,29.65,29.95,28.75,28.75,247029
LZB,20180322,30.00,30.20,29.50,29.50,277443
LZB,20180321,30.35,30.75,30.20,30.20,159348
LZB,20180320,30.60,30.80,30.25,30.35,180756
LZB,20180319,30.85,31.05,30.125,30.55,237292
LZB,20180316,30.60,31.40,30.55,30.95,620770
LZB,20180315,31.05,31.20,30.50,30.60,170906
LZB,20180314,31.35,31.60,30.875,30.90,357755
LZB,20180313,31.60,31.85,31.05,31.25,365958
LZB,20180312,31.50,31.85,31.30,31.40,202007
LZB,20180309,31.60,31.90,31.30,31.50,225367
LZB,20180308,31.35,31.50,31.15,31.50,280249
LZB,20180307,31.00,31.35,30.75,31.25,223057
LZB,20180306,30.95,31.50,30.55,31.35,276093
LZB,20180305,30.25,30.95,30.10,30.80,377659
LZB,20180302,30.35,30.75,30.00,30.55,309591
LZB,20180301,30.70,31.00,30.10,30.60,332917
LZB,20180228,31.15,31.50,30.60,30.70,457205
LZB,20180227,31.75,32.00,30.90,31.00,462415
LZB,20180226,32.25,32.30,31.50,31.60,413758
LZB,20180223,31.35,32.30,31.30,32.20,371523
LZB,20180222,31.80,32.40,31.00,31.10,662230
LZB,20180221,30.60,32.65,30.45,31.75,1164520
