<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MDU,20180423,27.68,27.81,27.57,27.78,365652
MDU,20180420,27.77,27.86,27.58,27.62,331730
MDU,20180419,27.82,27.87,27.67,27.75,400926
MDU,20180418,28.20,28.25,27.89,27.89,464837
MDU,20180417,28.11,28.26,27.87,28.15,606604
MDU,20180416,27.83,28.27,27.76,28.08,709218
MDU,20180413,27.75,27.835,27.57,27.73,457119
MDU,20180412,27.83,27.94,27.55,27.63,469541
MDU,20180411,27.75,27.875,27.53,27.81,429501
MDU,20180410,27.85,27.99,27.68,27.79,566708
MDU,20180409,27.97,28.065,27.70,27.77,553277
MDU,20180406,28.35,28.39,27.81,27.94,478114
MDU,20180405,28.09,28.54,27.70,28.38,730209
MDU,20180404,28.00,28.08,27.73,27.98,684120
MDU,20180403,27.81,28.285,27.68,28.12,748102
MDU,20180402,28.05,28.24,27.575,27.85,671888
MDU,20180329,27.92,28.23,27.90,28.16,618480
MDU,20180328,27.78,28.045,27.67,27.89,854482
MDU,20180327,27.60,28.01,27.4318,27.77,560362
MDU,20180326,27.32,27.64,27.16,27.58,521513
MDU,20180323,27.57,27.83,27.1401,27.17,564257
MDU,20180322,27.57,28.02,27.52,27.53,639655
MDU,20180321,27.64,27.95,27.61,27.68,314927
MDU,20180320,27.75,27.98,27.48,27.65,544259
MDU,20180319,27.55,27.97,27.52,27.81,850710
MDU,20180316,27.67,27.70,26.96,27.55,3654659
MDU,20180315,27.34,27.685,27.328,27.61,914058
MDU,20180314,27.22,27.40,27.07,27.40,645875
MDU,20180313,26.90,27.17,26.875,27.05,1255894
MDU,20180312,26.58,26.94,26.58,26.88,612006
MDU,20180309,26.29,26.51,26.07,26.48,442622
MDU,20180308,26.58,26.59,26.16,26.27,836443
MDU,20180307,26.33,26.58,26.305,26.53,742496
MDU,20180306,27.01,27.01,26.33,26.60,659494
MDU,20180305,26.42,27.06,26.29,26.99,708595
MDU,20180302,26.36,26.555,26.09,26.47,509778
MDU,20180301,26.38,26.84,26.32,26.43,539447
MDU,20180228,26.67,26.71,26.28,26.29,656715
MDU,20180227,27.31,27.385,26.58,26.60,745266
MDU,20180226,27.46,27.81,27.17,27.28,618026
MDU,20180223,27.02,27.46,26.96,27.46,456892
MDU,20180222,26.91,27.23,26.80,26.98,591249
MDU,20180221,27.15,27.31,26.82,26.82,539431
MDU,20180220,27.43,27.46,26.985,27.13,526787
MDU,20180216,27.38,27.625,27.09,27.55,915156
MDU,20180215,27.18,27.48,27.04,27.48,503108
MDU,20180214,26.79,27.33,26.62,27.22,689228
MDU,20180213,26.76,27.06,26.44,26.93,610910
MDU,20180212,26.67,26.93,26.38,26.81,953250
MDU,20180209,25.68,26.79,25.68,26.62,1387519
MDU,20180208,25.74,26.05,25.22,25.55,1117358
MDU,20180207,25.57,26.50,25.41,25.67,1264468
MDU,20180206,24.86,25.23,24.29,25.15,1205708
MDU,20180205,25.64,26.05,25.17,25.17,906963
MDU,20180202,26.01,26.30,25.745,25.77,587323
MDU,20180201,26.50,26.6601,26.09,26.23,692734
MDU,20180131,26.51,26.61,26.16,26.48,2503449
MDU,20180130,26.28,26.595,26.28,26.41,797244
MDU,20180129,26.34,26.43,26.16,26.31,656968
MDU,20180126,26.54,26.54,26.12,26.46,493011
MDU,20180125,26.42,26.54,26.14,26.47,687118
MDU,20180124,26.33,26.39,26.055,26.38,839347
MDU,20180123,26.16,26.495,26.16,26.28,719990
MDU,20180122,26.16,26.39,25.98,26.03,561251
MDU,20180119,25.86,26.115,25.78,26.07,574297
MDU,20180118,26.14,26.19,25.69,25.85,658826
MDU,20180117,26.06,26.27,25.93,26.25,865632
MDU,20180116,26.09,26.17,25.665,25.90,888762
MDU,20180112,26.01,26.18,25.94,26.08,408616
MDU,20180111,26.07,26.23,25.905,25.98,757643
MDU,20180110,26.31,26.34,26.00,26.05,584501
MDU,20180109,26.53,26.73,26.38,26.42,765901
MDU,20180108,26.43,26.64,26.31,26.61,481943
MDU,20180105,26.72,26.85,26.35,26.41,552190
MDU,20180104,26.72,26.98,26.57,26.58,466165
MDU,20180103,26.70,27.04,26.56,26.76,754776
MDU,20180102,27.01,27.14,26.68,26.72,855239
MDU,20171229,26.80,27.05,26.72,26.88,622202
MDU,20171228,26.44,26.81,26.44,26.80,536669
MDU,20171227,26.15,26.42,26.09,26.34,311360
MDU,20171226,26.21,26.41,25.98,26.14,475909
MDU,20171222,26.07,26.35,25.98,26.21,362442
MDU,20171221,26.10,26.29,25.97,26.02,711878
MDU,20171220,26.30,26.59,26.14,26.15,786573
MDU,20171219,26.75,26.88,26.22,26.23,573215
MDU,20171218,26.50,27.20,26.50,26.61,1104461
MDU,20171215,26.86,27.27,26.86,26.91,1682495
MDU,20171214,27.13,27.22,26.76,26.76,784013
MDU,20171213,27.52,27.57,27.10,27.14,703396
MDU,20171212,28.02,28.12,27.67,27.67,472334
MDU,20171211,28.11,28.14,27.70,27.96,1058032
MDU,20171208,28.03,28.15,27.77,28.14,558654
MDU,20171207,27.54,28.07,27.47,28.06,908718
MDU,20171206,27.69,27.74,27.49,27.50,425993
MDU,20171205,28.05,28.05,27.54,27.65,758424
MDU,20171204,28.01,28.22,27.96,28.02,381264
MDU,20171201,28.02,28.07,27.48,27.96,477708
MDU,20171130,27.78,28.07,27.78,27.94,587629
MDU,20171129,27.43,28.1525,27.37,27.67,818970
MDU,20171128,27.17,27.43,27.04,27.40,580694
MDU,20171127,26.94,27.30,26.8308,27.24,597461
MDU,20171124,26.93,27.03,26.88,27.01,197062
MDU,20171122,26.91,26.93,26.64,26.87,577457
MDU,20171121,26.65,26.96,26.65,26.89,611225
MDU,20171120,26.78,26.85,26.565,26.65,400025
MDU,20171117,26.80,26.92,26.69,26.78,507012
MDU,20171116,26.36,27.05,26.3039,26.88,702687
MDU,20171115,26.75,26.80,26.325,26.36,839908
MDU,20171114,26.52,26.925,26.52,26.89,512892
MDU,20171113,26.33,26.62,26.27,26.62,466049
MDU,20171110,26.42,26.67,26.34,26.41,784327
MDU,20171109,26.57,26.73,26.50,26.54,689371
MDU,20171108,26.97,27.03,26.52,26.80,794200
MDU,20171107,27.14,27.28,26.73,26.90,1095998
MDU,20171106,26.13,27.22,26.09,27.15,1000102
MDU,20171103,26.17,26.50,26.10,26.16,601184
MDU,20171102,26.63,26.77,25.89,26.41,1173506
MDU,20171101,27.50,27.50,26.93,27.09,507446
MDU,20171031,27.12,27.405,26.99,27.35,894459
MDU,20171030,26.99,27.21,26.88,27.14,569102
MDU,20171027,26.73,27.04,26.61,27.02,517327
MDU,20171026,26.78,27.00,26.71,26.79,448677
MDU,20171025,26.78,26.80,26.53,26.70,643386
MDU,20171024,26.95,27.02,26.68,26.89,455737
MDU,20171023,27.02,27.04,26.76,26.97,348960
MDU,20171020,27.27,27.28,26.91,27.03,266746
